date,open,high,low,close,volume
2018-12-10,21.24,22.47,21.1,21.73,36061
2018-12-11,22.0,22.66,21.17,21.48,28577
2018-12-12,21.66,22.04,20.74,20.8,18499
2018-12-13,20.86,22.27,20.17,21.63,35018
2018-12-14,21.39,21.57,18.6,20.76,43670
2018-12-17,20.6,20.61,18.65,18.88,42530
2018-12-18,19.0,19.48,18.2,18.88,16296
2018-12-19,18.82,19.48,17.47,17.72,18902
2018-12-20,17.72,17.98,17.06,17.5,14771
2018-12-21,17.64,17.81,16.75,17.11,19371
2018-12-24,16.79,17.66,16.54,17.31,13337
2018-12-26,17.51,19.02,17.41,18.95,18640
2018-12-27,18.57,18.84,17.19,17.99,14367
2018-12-28,17.79,18.24,17.35,17.97,11774
2018-12-31,17.94,18.42,17.54,17.96,10677
2019-01-02,17.55,19.48,17.46,19.39,17710
2019-01-03,19.52,19.61,17.3,17.66,24913
2019-01-04,17.87,18.83,17.52,18.34,17795
2019-01-07,20.62,22.35,20.02,21.73,40102
2019-01-08,22.51,24.63,21.87,23.9,35456
2019-01-09,24.09,24.86,22.6,23.81,30591
2019-01-10,23.13,25.38,23.06,24.8,22613
2019-01-11,24.73,24.75,23.96,24.08,11646
2019-01-14,23.88,23.88,22.68,22.73,13466
2019-01-15,22.83,23.33,22.28,23.31,11168
2019-01-16,23.42,23.79,22.68,22.72,10677
2019-01-17,22.64,23.21,22.22,22.37,9849
2019-01-18,22.36,24.11,21.66,24.0,20609
2019-01-22,23.71,23.9,22.55,22.65,12818
2019-01-23,22.77,23.38,22.21,23.04,19094
2019-01-24,22.97,24.1,22.75,23.94,20907
2019-01-25,24.13,24.98,23.45,24.48,23469
2019-01-28,24.13,24.95,23.8,24.71,14632
2019-01-29,24.73,25.13,24.36,24.48,16241
2019-01-30,24.63,24.94,23.9,24.6,17509
2019-01-31,24.49,25.49,24.25,25.36,13883
2019-02-01,25.23,25.87,24.8,25.75,15717
2019-02-04,25.73,25.85,25.01,25.3,8164
2019-02-05,25.53,25.73,24.54,25.07,13700
2019-02-06,25.01,26.58,24.68,26.13,21809
2019-02-07,26.07,26.42,25.32,25.38,9945
2019-02-08,25.23,26.03,25.04,25.32,14878
2019-02-11,25.42,25.57,24.17,24.89,12168
2019-02-12,25.06,25.31,24.74,25.19,11173
2019-02-13,25.86,25.9,25.0,25.1,9806
2019-02-14,24.98,25.65,24.66,25.47,9916
2019-02-15,25.75,26.07,25.35,25.49,15929
2019-02-19,25.51,25.75,24.33,24.37,16121
2019-02-20,24.4,24.9,23.67,24.24,11361
2019-02-21,24.1,24.67,23.83,24.18,7416
2019-02-22,24.19,25.4,24.0,25.32,10122
2019-02-25,25.6,26.0,25.18,25.47,19584
2019-02-26,24.8,26.72,23.54,26.05,30636
2019-02-27,25.9,30.8,25.68,29.48,39715
2019-02-28,29.37,32.05,28.81,30.28,26958
2019-03-01,30.37,31.17,29.58,29.99,19197
2019-03-04,30.42,30.76,29.08,29.62,12642
2019-03-05,29.43,29.62,28.57,29.02,9832
2019-03-06,29.1,29.1,27.3,27.48,15109
2019-03-07,27.35,28.5,26.44,27.58,11919
2019-03-08,27.12,28.14,26.9,27.47,24950
2019-03-11,27.37,27.66,25.84,27.64,15901
2019-03-12,27.52,28.5,27.01,28.02,7567
2019-03-13,28.05,28.8,27.77,27.87,6659
2019-03-14,27.95,28.2,27.32,27.39,5169
2019-03-15,27.41,28.11,27.12,27.44,7921
