date,open,high,low,close,volume
2018-12-10,51.005,51.905,49.955,51.005,21
2018-12-11,50.405,52.025,50.405,52.025,19
2018-12-12,51.485,51.485,49.505,50.585,3
2018-12-13,51.995,51.995,50.255,50.255,17
2018-12-14,50.045,50.765,49.805,49.955,2
2018-12-17,49.805,50.075,49.805,49.955,2
2018-12-18,49.985,50.105,48.875,48.875,7
2018-12-19,44.045,50.405,43.805,48.605,16
2018-12-20,44.465,50.285,44.465,49.565,6
2018-12-21,48.605,48.635,44.225,44.225,45
2018-12-24,43.955,45.665,43.505,44.105,16
2018-12-26,43.925,47.105,43.655,45.005,19
2018-12-27,45.305,45.755,44.555,44.555,14
2018-12-28,45.725,45.755,44.585,44.705,23
2018-12-31,45.005,45.545,45.005,45.545,2
2019-01-02,47.255,51.305,47.255,51.305,9
2019-01-03,45.455,45.455,45.425,45.44,0
2019-01-04,47.945,48.245,46.565,48.245,2
2019-01-07,48.245,48.245,48.245,48.245,0
2019-01-08,48.245,48.245,48.245,48.245,0
2019-01-09,48.755,48.755,48.755,48.755,1
2019-01-10,48.755,48.935,48.755,48.755,7
2019-01-11,48.845,49.325,48.845,49.295,1
2019-01-14,48.995,52.145,48.995,52.145,109
2019-01-15,51.725,51.755,51.005,51.005,1
2019-01-16,51.755,52.145,51.305,52.145,11
2019-01-17,52.175,52.955,52.175,52.835,10
2019-01-18,52.565,52.835,52.565,52.655,7
2019-01-22,52.805,52.805,51.905,52.085,16
2019-01-23,52.805,52.805,51.545,51.935,46
2019-01-24,51.725,53.285,51.665,53.075,7
2019-01-25,53.015,53.255,51.695,52.205,22
2019-01-28,51.935,52.205,51.935,52.055,7
2019-01-29,52.355,52.985,52.355,52.955,0
2019-01-30,53.255,53.255,52.955,52.955,1
2019-01-31,53.105,53.105,52.955,53.105,0
2019-02-01,53.105,53.975,53.105,53.915,34
2019-02-04,53.585,53.585,51.305,51.455,36
2019-02-05,52.295,52.295,52.295,52.295,0
2019-02-06,53.105,53.105,52.355,52.505,13
2019-02-07,51.905,52.925,51.905,52.925,1
2019-02-08,53.015,53.165,52.265,52.505,7
2019-02-11,52.775,53.105,52.685,52.955,35
2019-02-12,53.135,53.165,53.105,53.105,19
2019-02-13,52.505,52.505,52.505,52.505,0
2019-02-14,52.865,53.225,52.865,53.195,1
2019-02-15,52.985,53.015,52.055,52.055,0
2019-02-19,53.825,53.945,53.075,53.135,4
2019-02-20,53.105,53.855,53.105,53.105,3
2019-02-21,53.075,53.855,53.045,53.855,2
2019-02-22,53.885,54.245,53.645,53.825,44
2019-02-25,53.435,53.435,53.135,53.375,3
2019-02-26,53.945,54.725,53.435,54.035,9
2019-02-27,54.035,54.755,54.005,54.035,47
2019-02-28,54.665,54.755,54.395,54.695,14
2019-03-01,54.695,54.695,54.275,54.665,8
2019-03-04,54.665,54.665,53.855,54.005,6
2019-03-05,53.915,54.695,53.915,54.515,11
2019-03-06,54.6355,54.6655,53.9754,54.6655,9
2019-03-07,54.5455,54.5455,52.9553,52.9553,5
2019-03-08,53.4053,55.5056,53.4053,55.2055,37
2019-03-11,54.7555,55.5056,54.7555,54.7855,17
2019-03-12,55.4755,55.4755,55.4455,55.4455,0
2019-03-13,54.9055,56.9457,54.9055,55.8056,32
2019-03-14,56.0456,56.1056,55.6556,55.6556,6
2019-03-15,56.0456,56.2256,54.7555,54.7555,15
2019-03-18,56.1356,56.1356,54.8455,55.1755,9
