date,open,high,low,close,volume
2018-12-10,11.94,12.02,11.48,11.62,22944
2018-12-11,11.74,11.88,11.42,11.53,29373
2018-12-12,11.69,11.9,11.63,11.68,19502
2018-12-13,11.68,11.72,11.24,11.26,11590
2018-12-14,11.25,11.38,11.07,11.09,28140
2018-12-17,10.97,11.25,10.46,10.98,29788
2018-12-18,10.98,11.17,10.78,10.9,23932
2018-12-19,10.94,11.45,10.87,10.91,34738
2018-12-20,11.25,11.25,10.45,10.66,25520
2018-12-21,10.53,10.57,10.0,10.01,18040
2018-12-24,9.87,10.06,9.74,9.83,8789
2018-12-26,9.83,10.47,9.67,10.47,14600
2018-12-27,10.37,10.64,10.15,10.64,17364
2018-12-28,10.67,10.73,10.36,10.59,11656
2018-12-31,10.62,10.7,10.38,10.63,12887
2019-01-02,10.47,10.8,10.33,10.75,9046
2019-01-03,10.68,10.74,10.37,10.59,7386
2019-01-04,10.74,11.03,10.72,10.99,16054
2019-01-07,11.0,11.39,10.89,11.3,16555
2019-01-08,11.45,11.61,11.08,11.53,13106
2019-01-09,11.6,11.75,11.5,11.69,7803
2019-01-10,11.6,11.92,11.5,11.84,11065
2019-01-11,11.78,11.99,11.68,11.88,22107
2019-01-14,11.77,12.02,11.75,11.94,13771
2019-01-15,11.95,12.18,11.84,11.99,18760
2019-01-16,11.95,12.01,11.74,11.8,12423
2019-01-17,11.76,12.31,11.73,12.03,21726
2019-01-18,12.15,12.27,11.92,12.21,21772
2019-01-22,12.15,12.38,11.94,11.99,26269
2019-01-23,12.05,12.6,12.05,12.24,34188
2019-01-24,12.26,12.51,12.17,12.43,37929
2019-01-25,12.52,12.96,12.46,12.84,18115
2019-01-28,12.78,12.78,12.51,12.71,11408
2019-01-29,12.75,12.82,12.56,12.67,11662
2019-01-30,12.72,12.74,12.4,12.58,12029
2019-01-31,12.52,12.85,12.52,12.75,14001
2019-02-01,12.8,13.0,12.73,12.81,8475
2019-02-04,12.79,12.99,12.51,12.98,8802
2019-02-05,12.99,13.25,12.95,13.24,9937
2019-02-06,13.21,13.37,13.17,13.23,8166
2019-02-07,13.17,13.24,12.86,13.0,10117
2019-02-08,12.85,13.21,12.85,13.01,16760
2019-02-11,13.04,13.49,13.0,13.35,12550
2019-02-12,13.45,13.54,13.33,13.5,7947
2019-02-13,13.54,13.71,13.51,13.6,8783
2019-02-14,13.52,13.8,13.51,13.63,11407
2019-02-15,13.71,13.74,13.55,13.59,13407
2019-02-19,14.27,14.84,14.22,14.53,25300
2019-02-20,14.77,15.34,14.05,15.29,29890
2019-02-21,15.25,15.48,15.1,15.35,34666
2019-02-22,15.37,15.4,15.07,15.28,19159
2019-02-25,15.33,15.36,14.99,15.1,22086
2019-02-26,15.06,15.12,14.85,14.85,12862
2019-02-27,14.78,14.84,14.65,14.76,14155
2019-02-28,14.81,14.81,14.57,14.62,8757
2019-03-01,14.75,14.88,14.62,14.75,6594
2019-03-04,14.74,14.74,14.14,14.37,15993
2019-03-05,14.35,14.47,14.23,14.26,15083
2019-03-06,14.27,14.28,14.06,14.06,11602
2019-03-07,14.0,14.03,13.73,13.89,32389
2019-03-08,13.73,14.37,13.65,14.16,26218
2019-03-11,14.19,14.41,14.17,14.25,17324
2019-03-12,14.24,14.48,14.18,14.27,27475
2019-03-13,14.29,14.49,14.19,14.33,11932
2019-03-14,14.32,14.41,14.04,14.08,14099
2019-03-15,14.08,14.21,14.0,14.11,12189
2019-03-18,14.11,14.3,14.05,14.21,8009
2019-03-19,14.22,14.29,13.95,13.99,12581
2019-03-20,13.92,14.15,13.8,13.94,17269
2019-03-21,13.84,14.19,13.84,14.12,18405
2019-03-22,14.08,14.1,13.59,13.61,14074
2019-03-25,13.54,13.58,13.33,13.4,10504
2019-03-26,13.57,14.0,13.54,13.96,11823
2019-03-27,14.0,14.15,13.86,13.94,9678
2019-03-28,14.0,14.04,13.76,14.04,10276
2019-03-29,14.12,14.12,13.72,13.83,10538
2019-04-01,13.92,14.12,13.8,13.98,11936
2019-04-02,13.98,13.98,13.63,13.72,11914
2019-04-03,13.8,13.94,13.71,13.82,9809
2019-04-04,13.78,13.92,13.74,13.86,6958
2019-04-05,13.88,14.2,13.86,14.18,7577
2019-04-08,14.1,14.17,13.91,14.08,7788
2019-04-09,14.02,14.09,13.91,13.99,6135
2019-04-10,14.04,14.16,13.96,14.08,5583
2019-04-11,14.08,14.11,13.94,13.98,8175
2019-04-12,13.76,13.82,12.86,13.14,41724
2019-04-15,13.15,13.37,13.01,13.1,14707
2019-04-16,13.1,13.19,12.95,13.12,8020
