date,open,high,low,close,volume
2018-12-10,28.42,28.62,27.91,28.46,30626
2018-12-11,28.58,28.87,28.49,28.78,42495
2018-12-12,28.89,29.2,28.83,28.89,41921
2018-12-13,28.88,29.5,28.88,29.34,52508
2018-12-14,29.55,29.58,29.21,29.3,48601
2018-12-17,29.39,29.63,28.73,28.91,63573
2018-12-18,28.88,29.12,28.23,28.3,49621
2018-12-19,28.41,28.75,28.14,28.39,41074
2018-12-20,28.38,28.68,28.03,28.4,50372
2018-12-21,28.41,29.11,28.23,28.37,55327
2018-12-24,28.46,28.56,27.16,27.22,25073
2018-12-26,27.22,27.71,26.81,27.65,36136
2018-12-27,27.6,28.12,27.16,28.09,44775
2018-12-28,28.16,28.33,27.89,28.0,25157
2018-12-31,28.0,28.25,27.77,28.23,22824
2019-01-02,28.16,28.18,27.74,28.0,33380
2019-01-03,28.04,28.4,27.96,28.16,59962
2019-01-04,28.14,28.71,28.14,28.68,51802
2019-01-07,28.9,29.2,28.63,28.79,47610
2019-01-08,28.87,29.35,28.82,29.34,32490
2019-01-09,29.35,29.43,28.92,28.98,40946
2019-01-10,29.04,29.55,28.97,29.51,24408
2019-01-11,29.48,29.55,29.22,29.38,27219
2019-01-14,29.24,29.31,28.94,29.2,31215
2019-01-15,29.3,29.72,29.19,29.29,39585
2019-01-16,29.21,29.53,29.21,29.52,33684
2019-01-17,29.48,29.67,29.4,29.54,24281
2019-01-18,29.78,29.82,29.43,29.44,49434
2019-01-22,29.49,29.61,29.08,29.61,47849
2019-01-23,29.62,29.9,29.62,29.87,32827
2019-01-24,29.8,30.17,29.62,30.12,45893
2019-01-25,30.05,30.2,29.73,29.79,40789
2019-01-28,29.79,30.02,29.61,29.86,53022
2019-01-29,29.99,30.07,29.85,30.03,31196
2019-01-30,29.9,30.39,29.9,30.21,27826
2019-01-31,30.2,30.99,30.04,30.92,38755
2019-02-01,30.86,30.96,30.55,30.81,34896
2019-02-04,30.62,30.94,30.39,30.93,29827
2019-02-05,30.82,30.96,30.74,30.83,43509
2019-02-06,30.72,30.82,30.5,30.6,31616
2019-02-07,30.63,30.86,30.47,30.81,32514
2019-02-08,30.81,30.88,30.47,30.85,38761
2019-02-11,30.83,30.94,30.48,30.79,30410
2019-02-12,30.86,31.01,30.65,30.84,26302
2019-02-13,30.76,30.89,30.62,30.76,25571
2019-02-14,30.78,30.98,30.67,30.83,26253
2019-02-15,30.95,31.04,30.74,30.89,27241
2019-02-19,30.93,31.24,30.88,31.21,36090
2019-02-20,30.95,31.06,30.77,30.98,31171
2019-02-21,30.8,31.26,30.68,31.22,23439
2019-02-22,31.28,31.42,31.08,31.4,24735
2019-02-25,31.39,31.41,30.87,31.01,25050
2019-02-26,31.27,31.27,30.91,30.93,32274
2019-02-27,30.91,31.18,30.72,31.16,42477
2019-02-28,30.19,30.22,29.19,30.14,89635
2019-03-01,30.1,30.28,29.82,30.17,45972
2019-03-04,30.17,30.36,29.89,30.34,36406
2019-03-05,30.29,30.36,30.06,30.17,35610
2019-03-06,30.21,30.25,29.94,30.1,29377
2019-03-07,30.16,30.31,29.92,30.03,44462
2019-03-08,30.08,30.12,29.75,30.03,28081
2019-03-11,30.03,30.43,30.0,30.43,29688
2019-03-12,30.43,30.73,30.33,30.68,29520
2019-03-13,30.71,30.76,30.4,30.41,55374
2019-03-14,30.42,30.62,30.26,30.41,38204
2019-03-15,30.42,30.81,30.35,30.81,47176
2019-03-18,30.8,30.83,30.38,30.58,31211
2019-03-19,30.48,30.57,30.21,30.27,27772
2019-03-20,30.37,30.53,30.22,30.26,25607
2019-03-21,30.24,30.76,30.18,30.62,24130
2019-03-22,30.72,30.92,30.65,30.72,23224
2019-03-25,30.66,30.88,30.56,30.8,20766
2019-03-26,30.8,31.07,30.77,30.93,19558
2019-03-27,30.97,31.0,30.49,30.54,27913
2019-03-28,30.55,30.65,30.14,30.33,33265
2019-03-29,30.36,30.78,30.24,30.7,28784
2019-04-01,30.69,30.76,30.44,30.7,22737
2019-04-02,30.81,30.86,30.57,30.78,32013
2019-04-03,30.7,30.89,30.45,30.7,19535
2019-04-04,30.9,30.94,30.42,30.53,19592
2019-04-05,30.63,30.87,30.51,30.87,28908
2019-04-08,30.78,30.8,30.39,30.46,24209
2019-04-09,30.47,30.53,30.18,30.32,28619
2019-04-10,30.37,30.52,30.08,30.2,38189
2019-04-11,30.24,30.37,30.1,30.29,36869
2019-04-12,30.19,30.63,30.02,30.57,29184
2019-04-15,30.69,30.77,30.4,30.5,25027
2019-04-16,30.38,30.5,29.98,30.15,27134
2019-04-17,30.14,30.18,29.96,30.01,17467
2019-04-18,30.16,30.46,30.11,30.29,31278
2019-04-22,30.24,30.5,30.21,30.48,22714
2019-04-23,30.58,30.73,30.4,30.62,30405
2019-04-24,30.67,30.76,30.28,30.29,53651
2019-04-25,30.19,30.62,30.02,30.51,37586
2019-04-26,30.71,30.88,30.46,30.47,23526
2019-04-29,30.36,30.53,30.3,30.45,18426
2019-04-30,30.53,31.04,30.39,31.0,29624
2019-05-01,30.89,31.09,30.75,30.78,50193
2019-05-02,30.77,31.03,30.7,30.75,48914
2019-05-03,30.81,31.16,30.81,31.15,18260
2019-05-06,31.15,31.17,30.94,31.05,22775
2019-05-07,31.03,31.12,30.7,30.81,38231
2019-05-08,30.72,30.84,30.41,30.45,29627
2019-05-09,30.38,30.45,29.14,29.25,85495
2019-05-10,29.02,29.71,28.76,29.66,59543
2019-05-13,29.51,30.19,29.47,30.16,52580
2019-05-14,30.08,30.14,29.63,29.78,64408
2019-05-15,29.56,29.66,29.37,29.42,43090
2019-05-16,29.4,29.74,29.32,29.6,34049
2019-05-17,29.46,29.92,29.46,29.77,32502
2019-05-20,29.8,30.03,29.54,29.64,31092
2019-05-21,29.64,29.91,29.5,29.52,28283
2019-05-22,29.54,29.68,29.35,29.55,53782
2019-05-23,29.57,29.61,29.17,29.42,52073
2019-05-24,29.6,29.72,29.37,29.39,31823
2019-05-28,29.49,29.51,28.82,28.82,48754
2019-05-29,28.92,28.93,28.41,28.45,32498
2019-05-30,28.46,28.6,28.19,28.27,30721
2019-05-31,28.29,28.54,28.2,28.44,35496
2019-06-03,28.6,28.74,28.28,28.66,39271
2019-06-04,28.7,28.84,28.15,28.82,45080
2019-06-05,28.91,29.19,28.8,29.04,49576
2019-06-06,29.19,29.41,29.06,29.15,38495
2019-06-07,29.41,29.54,28.78,28.82,31811
2019-06-10,28.83,28.98,28.58,28.92,25612
2019-06-11,28.86,28.92,28.53,28.64,55518
2019-06-12,28.74,29.06,28.67,28.98,21591
2019-06-13,29.56,29.56,29.16,29.26,37957
2019-06-14,29.37,29.74,29.29,29.62,35976
2019-06-17,29.62,29.75,29.44,29.6,33032
2019-06-18,29.79,29.8,29.34,29.54,26509
2019-06-19,29.36,30.09,29.36,29.98,29511
