date,open,high,low,close,volume
2018-12-10,83.11,83.26,80.31,82.45,23393
2018-12-11,83.62,83.85,80.89,81.36,15712
2018-12-12,82.56,83.32,81.72,82.04,13647
2018-12-13,82.09,82.39,80.0,80.39,14793
2018-12-14,79.57,81.23,78.53,78.73,25543
2018-12-17,78.31,78.85,76.46,76.91,30291
2018-12-18,77.79,78.14,75.29,76.21,24636
2018-12-19,76.02,77.45,74.08,74.67,24826
2018-12-20,74.28,75.35,73.76,74.49,30460
2018-12-21,74.17,75.96,72.0,72.39,30927
2018-12-24,71.23,72.89,70.75,70.78,13356
2018-12-26,71.05,74.41,69.9,74.41,22115
2018-12-27,73.11,74.99,72.08,74.99,23181
2018-12-28,75.33,75.99,74.23,74.66,17996
2018-12-31,74.99,75.7,74.38,75.59,17034
2019-01-02,74.49,77.36,74.39,77.26,25952
2019-01-03,76.6,77.48,75.98,76.16,24187
2019-01-04,77.68,79.61,77.66,79.54,16990
2019-01-07,79.19,80.5,78.64,79.98,17210
2019-01-08,80.67,81.16,78.9,80.02,23043
2019-01-09,80.7,80.93,79.79,80.57,14022
2019-01-10,80.1,80.38,79.57,79.95,24958
2019-01-11,79.37,81.03,79.04,80.94,13808
2019-01-14,80.21,81.65,79.92,81.4,15819
2019-01-15,81.0,81.63,80.52,81.52,18769
2019-01-16,82.4,84.31,82.16,83.62,27974
2019-01-17,83.2,84.06,82.23,83.65,16241
2019-01-18,83.89,85.01,82.94,84.97,19421
2019-01-22,84.0,84.16,82.8,83.4,32510
2019-01-23,79.77,80.58,77.71,78.2,73896
2019-01-24,78.2,80.84,78.2,80.18,45301
2019-01-25,80.98,81.3,79.54,79.62,27431
2019-01-28,78.74,79.55,78.44,79.48,24946
2019-01-29,79.6,80.0,78.88,79.56,17827
2019-01-30,79.9,81.25,79.19,80.88,21092
2019-01-31,80.28,80.81,79.9,80.59,18615
2019-02-01,80.94,81.34,80.43,80.88,17723
2019-02-04,80.85,81.62,80.3,81.39,21356
2019-02-05,81.56,81.6,80.5,80.86,16907
2019-02-06,80.68,81.2,79.59,80.14,25136
2019-02-07,79.91,80.03,78.35,79.03,26170
2019-02-08,77.91,78.59,76.82,77.83,22276
2019-02-11,78.08,78.4,77.75,78.04,19140
2019-02-12,78.82,80.32,78.76,79.79,15166
2019-02-13,80.08,80.64,79.96,79.99,13311
2019-02-14,79.45,80.47,78.52,79.61,15474
2019-02-15,80.27,81.71,80.06,81.57,18622
2019-02-19,81.55,82.58,81.14,82.2,20605
2019-02-20,82.41,82.82,81.82,82.72,13980
2019-02-21,82.98,82.98,81.62,82.07,12365
2019-02-22,82.07,82.44,81.02,81.2,14803
2019-02-25,81.99,82.64,81.39,81.42,17381
2019-02-26,81.16,81.67,80.25,80.9,17300
2019-02-27,80.71,82.33,80.5,82.26,20653
2019-02-28,82.43,83.87,81.91,83.58,31292
2019-03-01,84.0,85.48,83.81,84.26,22051
2019-03-04,84.29,84.92,82.51,83.31,15937
2019-03-05,83.3,83.57,81.65,82.97,12524
2019-03-06,82.76,83.46,82.48,82.51,11374
2019-03-07,82.22,82.29,80.81,81.28,14784
2019-03-08,80.44,81.43,80.08,81.37,12853
2019-03-11,81.96,83.26,81.86,82.85,16643
2019-03-12,82.99,84.03,82.74,82.95,13773
2019-03-13,83.36,84.33,83.2,83.74,11212
2019-03-14,83.62,83.96,83.19,83.21,10233
2019-03-15,83.11,84.52,82.93,84.33,15792
2019-03-18,84.54,85.62,84.37,84.9,13154
2019-03-19,85.38,85.87,84.16,84.41,16282
2019-03-20,84.13,84.23,82.79,82.95,17841
2019-03-21,82.2,83.51,81.48,82.89,18492
2019-03-22,82.14,82.27,79.68,80.0,20627
2019-03-25,79.86,80.49,78.45,79.36,16892
2019-03-26,80.0,80.68,79.42,80.66,11787
2019-03-27,80.38,80.97,79.82,80.07,13411
2019-03-28,80.33,81.06,80.05,80.96,8409
2019-03-29,81.74,82.33,81.42,81.69,15718
2019-04-01,82.35,84.88,82.27,84.48,22916
2019-04-02,84.5,85.57,84.0,84.68,17202
2019-04-03,85.11,86.2,84.93,85.31,18424
2019-04-04,85.52,86.74,85.12,86.7,15840
2019-04-05,87.0,87.25,85.9,86.54,10613
2019-04-08,85.8,86.14,85.29,86.04,12957
2019-04-09,85.5,85.71,84.59,85.1,8149
2019-04-10,85.27,85.78,84.53,85.63,9453
2019-04-11,86.12,86.69,85.62,86.25,8311
2019-04-12,87.25,88.69,86.94,87.83,9970
2019-04-15,87.81,87.95,86.55,86.88,7248
2019-04-16,87.45,88.35,87.03,87.91,12591
2019-04-17,88.1,88.25,87.3,87.92,15390
2019-04-18,87.71,88.29,87.5,88.11,10099
2019-04-22,87.87,88.23,87.3,87.61,7369
2019-04-23,87.81,88.64,87.4,88.19,10719
2019-04-24,88.0,88.61,87.53,87.79,11023
2019-04-25,87.71,88.76,87.37,88.05,16138
2019-04-26,90.7,94.14,90.7,93.73,34658
2019-04-29,93.85,94.38,92.28,92.38,19067
2019-04-30,93.02,93.26,91.58,92.83,13290
2019-05-01,92.56,93.49,92.24,92.58,15581
2019-05-02,92.66,93.26,92.15,92.92,11484
2019-05-03,93.22,94.3,93.12,94.26,11523
2019-05-06,92.05,94.08,91.88,93.61,14199
2019-05-07,92.41,92.61,90.9,91.6,12063
2019-05-08,91.18,91.65,90.17,90.22,14076
2019-05-09,89.12,90.35,88.37,90.2,15740
2019-05-10,89.65,90.77,88.32,90.39,8623
2019-05-13,88.49,88.88,87.32,87.54,9339
2019-05-14,88.24,90.05,88.1,89.26,9157
2019-05-15,88.3,90.06,87.24,89.38,12659
2019-05-16,89.87,91.56,89.69,90.98,11123
2019-05-17,90.06,91.38,89.93,90.54,9013
2019-05-20,90.41,91.88,90.0,91.38,8568
2019-05-21,91.97,92.27,91.6,92.2,12322
2019-05-22,91.66,92.16,91.25,91.26,5224
2019-05-23,90.27,90.41,88.6,89.25,10518
2019-05-24,89.87,90.88,89.73,90.78,7591
2019-05-28,90.36,90.91,88.69,88.75,11235
2019-05-29,88.22,89.56,87.54,89.44,10846
2019-05-30,89.55,90.2,87.67,88.35,9650
2019-05-31,87.24,87.58,85.72,85.87,18057
2019-06-03,85.98,87.42,85.87,87.08,11756
2019-06-04,88.19,89.94,87.99,89.92,12115
2019-06-05,90.0,90.2,88.51,89.9,8174
2019-06-06,89.8,90.67,89.61,90.36,7487
2019-06-07,90.16,90.95,90.04,90.26,6274
2019-06-10,90.92,91.74,90.36,90.43,8465
2019-06-11,91.22,92.24,90.98,91.34,7064
2019-06-12,91.38,91.71,90.01,90.55,5826
2019-06-13,90.6,91.44,90.49,90.77,7347
2019-06-14,91.0,91.0,89.58,90.57,7733
2019-06-17,90.57,91.05,89.73,89.95,9601
2019-06-18,90.0,91.87,89.9,91.29,14213
2019-06-19,91.42,92.04,90.22,90.48,8787
2019-06-20,91.56,91.94,90.5,91.63,7786
2019-06-21,91.73,92.36,90.84,91.52,15680
2019-06-24,91.0,91.18,87.99,88.72,22644
2019-06-25,88.57,89.72,88.07,88.82,12367
2019-06-26,89.0,89.71,88.65,89.38,9038
2019-06-27,89.59,90.39,88.99,89.33,9676
