date,open,high,low,close,volume
2018-12-10,37.9,37.9,36.91,37.72,11755
2018-12-11,37.77,38.95,37.77,38.82,20387
2018-12-12,38.8,39.37,38.67,38.86,16079
2018-12-13,38.72,39.58,38.7,39.4,14299
2018-12-14,39.25,39.51,38.96,39.16,10565
2018-12-17,39.1,39.59,38.57,38.83,21145
2018-12-18,38.87,39.38,38.29,38.49,17419
2018-12-19,38.88,39.43,38.45,38.65,21318
2018-12-20,38.43,38.58,37.07,37.67,30191
2018-12-21,37.71,38.23,35.75,35.75,35932
2018-12-24,35.69,35.79,33.12,33.42,33155
2018-12-26,33.61,34.31,32.21,34.25,39497
2018-12-27,34.14,34.14,32.39,33.5,32256
2018-12-28,33.6,34.18,33.25,33.44,23750
2018-12-31,33.46,33.55,32.55,32.99,19927
2019-01-02,32.76,32.88,32.03,32.26,27959
2019-01-03,32.22,33.08,32.09,32.66,27390
2019-01-04,32.62,33.11,32.38,32.84,18269
2019-01-07,32.73,33.9,32.43,33.69,26818
2019-01-08,33.34,33.75,33.08,33.59,19552
2019-01-09,33.58,34.49,33.42,34.18,30076
2019-01-10,33.96,34.59,33.75,34.48,22968
2019-01-11,34.57,35.13,34.28,35.04,17778
2019-01-14,34.85,35.29,34.65,35.04,15333
2019-01-15,34.94,35.6,34.8,35.53,28814
2019-01-16,35.36,35.76,35.16,35.28,31196
2019-01-17,35.31,35.95,35.14,35.78,20656
2019-01-18,35.65,35.81,35.32,35.49,19289
2019-01-22,35.3,35.41,34.69,35.39,23610
2019-01-23,35.45,35.6,34.82,35.38,20164
2019-01-24,34.81,35.17,34.26,34.72,19086
2019-01-25,34.86,35.15,34.19,34.24,20674
2019-01-28,34.17,34.7,34.09,34.61,18778
2019-01-29,34.6,34.8,34.26,34.49,12619
2019-01-30,34.48,35.11,34.27,34.89,18820
2019-01-31,34.92,35.47,34.76,35.43,19691
2019-02-01,35.56,35.56,34.89,35.01,18136
2019-02-04,35.02,35.17,34.73,35.01,14636
2019-02-05,35.01,35.3,34.65,34.96,19612
2019-02-06,35.0,35.16,34.17,34.19,21201
2019-02-07,33.68,34.38,33.45,34.2,27727
2019-02-08,34.06,34.4,34.06,34.29,13077
2019-02-11,34.35,34.65,33.85,34.16,19789
2019-02-12,34.22,34.87,34.08,34.56,13139
2019-02-13,34.61,34.81,34.47,34.66,11209
2019-02-14,34.5,34.66,34.2,34.45,14005
2019-02-15,34.73,35.11,34.66,34.79,15994
