date,open,high,low,close,volume
2018-12-10,0.25,0.26,0.25,0.2531,628
2018-12-11,0.28,0.28,0.25,0.2501,1042
2018-12-12,0.25,0.2535,0.24,0.2475,1870
2018-12-13,0.25,0.2772,0.2405,0.2523,2739
2018-12-14,0.26,0.26,0.24,0.2405,695
2018-12-17,0.25,0.25,0.23,0.2309,770
2018-12-18,0.23,0.2424,0.23,0.2325,1832
2018-12-19,0.2441,0.2441,0.22,0.22,1531
2018-12-20,0.21,0.2299,0.21,0.2101,1344
2018-12-21,0.21,0.24,0.21,0.213,3304
2018-12-24,0.2236,0.23,0.2,0.2,1621
2018-12-26,0.2,0.21,0.195,0.209,5003
2018-12-27,0.26,0.26,0.21,0.212,1417
2018-12-28,0.2101,0.23,0.2101,0.215,1700
2018-12-31,0.23,0.2574,0.205,0.2574,8301
2019-01-02,0.2205,0.25,0.2205,0.24,2432
2019-01-03,0.2203,0.23115,0.21,0.23115,2200
2019-01-04,0.2219,0.26,0.2219,0.2401,4186
2019-01-07,0.2401,0.3,0.225,0.27,11353
2019-01-08,0.2611,0.275,0.24,0.26,2768
2019-01-09,0.25,0.2848,0.246,0.2848,1673
2019-01-10,0.25,0.28,0.2462,0.2679,2039
2019-01-11,0.2529,0.3,0.2529,0.265,5009
2019-01-14,0.275,0.28,0.26,0.2718,1173
2019-01-15,0.273,0.273,0.26,0.27,2489
2019-01-16,0.2601,0.315,0.2601,0.29,4280
2019-01-17,0.28,0.3101,0.27,0.3086,3346
2019-01-18,0.31,0.335,0.28,0.299,8837
2019-01-22,0.29,0.2989,0.2805,0.285,2748
2019-01-23,0.265,0.3,0.265,0.2873,1252
2019-01-24,0.29,0.2968,0.27,0.2821,1041
2019-01-25,0.28,0.2921,0.28,0.2854,494
2019-01-28,0.2996,0.305,0.275,0.2829,1219
2019-01-29,0.2651,0.299,0.2651,0.275,1438
2019-01-30,0.28,0.299,0.265,0.29,4042
2019-01-31,0.293,0.293,0.2753,0.292,1946
2019-02-01,0.29,0.31,0.2823,0.31,4648
2019-02-04,0.298,0.31,0.29,0.3096,2031
