date,open,high,low,close,volume
2018-12-10,11.69,11.845,11.35,11.64,667
2018-12-11,11.67,11.845,11.65,11.74,1484
2018-12-12,11.795,12.195,11.785,11.925,931
2018-12-13,11.875,11.98,11.69,11.74,1430
2018-12-14,11.69,11.905,11.64,11.75,822
2018-12-17,11.765,11.865,11.23,11.395,1475
2018-12-18,11.395,11.59,11.25,11.425,717
2018-12-19,11.56,11.855,11.25,11.28,866
2018-12-20,11.375,11.375,10.785,11.135,1306
2018-12-21,11.3,11.33,10.725,10.82,687
2018-12-24,10.725,11.105,10.725,10.92,162
2018-12-26,10.92,10.99,10.59,10.92,1531
2018-12-27,10.675,11.085,10.675,11.085,588
2018-12-28,11.31,11.68,11.165,11.385,763
2018-12-31,11.68,11.845,11.34,11.835,1959
2019-01-02,11.71,12.275,11.545,12.12,820
2019-01-03,11.94,12.33,11.845,12.12,827
2019-01-04,12.235,12.525,12.06,12.41,1454
2019-01-07,12.48,12.885,12.4,12.45,1054
2019-01-08,12.635,12.665,12.42,12.49,533
2019-01-09,12.525,12.79,12.515,12.615,1830
2019-01-10,12.675,12.73,12.545,12.55,1357
2019-01-11,12.535,12.73,12.505,12.685,730
2019-01-14,12.685,12.935,12.615,12.83,528
2019-01-15,12.885,12.915,12.7,12.905,550
2019-01-16,12.78,12.955,12.685,12.86,588
2019-01-17,12.77,12.85,12.565,12.75,872
2019-01-18,12.79,12.875,12.76,12.77,483
2019-01-22,12.675,12.7,12.245,12.44,771
2019-01-23,12.555,12.665,12.47,12.565,398
2019-01-24,12.49,12.925,12.42,12.87,1022
2019-01-25,12.885,13.12,12.81,12.955,1459
2019-01-28,12.995,13.255,12.615,13.13,2407
2019-01-29,13.12,13.375,12.995,13.265,2004
2019-01-30,13.275,13.275,12.875,13.1,349
2019-01-31,13.1,13.2,12.685,13.13,900
2019-02-01,13.16,13.395,12.995,13.385,768
2019-02-04,13.295,13.635,13.295,13.52,631
2019-02-05,13.51,13.635,13.12,13.58,967
2019-02-06,13.635,13.635,13.24,13.315,300
2019-02-07,13.23,13.23,12.895,13.12,476
