date,open,high,low,close,volume
2018-12-10,22.9,23.43,22.63,22.84,6397
2018-12-11,23.1,24.0,22.81,23.36,4939
2018-12-12,23.57,24.72,23.25,24.42,4810
2018-12-13,24.27,24.87,24.27,24.62,6194
2018-12-14,24.2,24.44,23.42,23.58,4267
2018-12-17,23.56,24.62,23.53,23.7,10779
2018-12-18,23.69,24.27,23.16,23.78,5113
2018-12-19,23.78,24.01,22.76,23.14,3212
2018-12-20,22.87,23.53,22.33,22.96,6424
2018-12-21,23.05,23.5,22.65,22.85,3003
2018-12-24,22.76,23.46,22.76,23.1,2155
2018-12-26,23.2,23.45,22.91,23.34,2894
2018-12-27,23.06,23.45,22.44,23.07,5670
2018-12-28,22.93,23.3,22.2,22.66,3939
2018-12-31,22.67,23.13,22.35,22.72,4950
2019-01-02,22.65,23.99,22.42,23.76,3352
2019-01-03,23.21,24.05,22.89,23.7,3684
2019-01-04,23.05,24.11,23.05,23.69,3306
2019-01-07,23.78,23.99,23.25,23.56,3464
2019-01-08,23.6,24.34,23.49,23.91,3004
2019-01-09,24.05,24.87,24.05,24.78,3849
2019-01-10,24.6,24.86,24.28,24.71,2668
2019-01-11,24.72,25.7,24.72,25.12,3579
2019-01-14,25.13,25.59,24.98,25.16,2504
2019-01-15,25.22,25.46,24.9,25.02,3644
2019-01-16,25.06,25.38,24.74,25.17,3072
2019-01-17,25.12,25.3,24.93,25.03,2498
2019-01-18,25.11,25.32,24.71,24.95,4791
2019-01-22,24.76,25.2,23.85,23.99,3629
2019-01-23,23.85,24.76,23.73,23.98,4657
2019-01-24,23.99,24.59,23.75,24.51,1164
2019-01-25,24.32,25.1,23.92,24.87,1294
2019-01-28,24.62,24.98,23.98,24.62,1583
2019-01-29,24.74,24.84,24.35,24.42,860
2019-01-30,24.75,24.83,24.05,24.79,1532
2019-01-31,24.71,25.24,24.71,24.9,1990
2019-02-01,24.85,26.1,24.85,25.48,2967
2019-02-04,25.42,25.82,25.21,25.76,3834
2019-02-05,25.8,26.5,25.72,26.48,5931
2019-02-06,26.71,26.76,26.15,26.6,5345
2019-02-07,26.38,26.38,25.35,26.25,5583
2019-02-08,26.08,26.46,25.67,26.41,3689
2019-02-11,26.16,26.39,24.57,24.75,7868
2019-02-12,24.86,26.19,24.1,25.66,8999
2019-02-13,29.9,30.85,27.1,27.82,26779
2019-02-14,27.79,28.52,26.24,27.3,6488
2019-02-15,27.36,27.67,26.85,27.28,6111
2019-02-19,26.69,27.5,26.52,27.35,4298
2019-02-20,27.5,27.53,26.76,26.9,4346
2019-02-21,26.79,27.19,26.48,26.7,3301
2019-02-22,27.11,27.66,26.67,27.47,5784
2019-02-25,27.65,27.95,27.28,27.36,3039
2019-02-26,27.48,27.71,26.76,27.16,1808
2019-02-27,27.03,27.45,26.75,27.38,3690
2019-02-28,27.24,27.51,26.98,27.14,6435
2019-03-01,27.27,27.55,26.94,27.15,3422
2019-03-04,27.21,27.45,25.8,26.52,2845
2019-03-05,26.34,27.37,26.25,27.23,4144
2019-03-06,26.48,27.98,26.48,27.49,4109
2019-03-07,27.35,28.18,26.98,27.76,3778
2019-03-08,27.6,28.46,27.28,28.21,3799
2019-03-11,28.2,28.41,27.56,28.25,2091
2019-03-12,28.25,28.5,27.93,28.06,1053
2019-03-13,28.2,28.39,28.02,28.19,2291
2019-03-14,27.96,28.41,27.76,27.79,1963
2019-03-15,28.18,28.3,27.34,27.51,4688
2019-03-18,27.62,27.91,26.51,26.63,3656
2019-03-19,26.79,27.14,25.99,26.06,2811
2019-03-20,25.95,26.42,25.75,25.81,3004
2019-03-21,25.69,26.7,25.46,26.51,3691
2019-03-22,26.32,26.32,25.09,25.11,2179
2019-03-25,24.01,24.35,21.93,21.98,13590
2019-03-26,21.21,21.68,17.74,18.2,39962
2019-03-27,18.72,19.49,18.51,19.14,11439
2019-03-28,18.83,19.43,18.37,19.11,5966
2019-03-29,19.23,20.09,19.19,20.03,7521
2019-04-01,19.4,20.49,19.4,20.03,4378
2019-04-02,20.03,20.36,19.8,20.06,3840
2019-04-03,20.18,20.58,20.01,20.31,2566
2019-04-04,20.35,20.44,20.03,20.2,2377
2019-04-05,20.17,20.56,20.1,20.47,3002
2019-04-08,20.25,20.65,20.07,20.29,2769
2019-04-09,20.35,20.55,20.02,20.41,2891
2019-04-10,20.42,20.72,20.24,20.31,3607
2019-04-11,20.28,20.28,19.72,20.0,4743
2019-04-12,20.19,21.06,20.06,20.86,3859
2019-04-15,20.82,21.26,20.75,21.05,3211
2019-04-16,21.08,21.81,21.08,21.73,5816
2019-04-17,21.76,22.23,21.06,21.9,4204
2019-04-18,21.81,22.11,21.0,21.97,3385
2019-04-22,21.88,22.38,21.61,22.25,2650
2019-04-23,22.15,22.96,22.07,22.78,3522
2019-04-24,22.78,22.78,21.95,22.09,5005
2019-04-25,21.77,22.66,21.29,22.13,4808
2019-04-26,22.14,22.48,21.98,22.11,2850
2019-04-29,22.23,22.55,21.77,22.45,5710
2019-04-30,19.85,20.37,18.89,19.78,22904
2019-05-01,19.63,19.7,18.99,19.01,6675
2019-05-02,19.0,19.21,18.62,19.07,4321
2019-05-03,19.09,19.55,18.81,19.35,3173
2019-05-06,18.88,20.46,18.88,19.4,10550
2019-05-07,19.11,19.68,19.06,19.14,3508
2019-05-08,19.08,21.2,18.61,20.93,11383
2019-05-09,20.79,21.12,20.17,20.72,5911
2019-05-10,20.74,20.74,19.63,19.85,5117
2019-05-13,19.78,19.95,19.18,19.48,2974
2019-05-14,19.59,20.05,19.06,19.4,3593
2019-05-15,19.4,19.91,19.22,19.75,2456
2019-05-16,19.56,20.1,19.56,19.95,2706
2019-05-17,19.95,20.57,19.84,20.34,6520
2019-05-20,20.38,20.47,19.56,19.88,1667
2019-05-21,20.12,20.52,20.12,20.18,1397
2019-05-22,20.17,20.44,19.72,19.81,1212
2019-05-23,19.59,19.59,18.88,19.09,2973
2019-05-24,19.23,19.64,18.96,19.5,3335
2019-05-28,19.5,19.84,19.15,19.17,1150
2019-05-29,19.07,19.29,18.99,19.07,2099
2019-05-30,19.08,19.26,18.71,18.81,2829
2019-05-31,18.7,18.7,18.2,18.36,3927
2019-06-03,18.1,18.62,17.92,18.07,5433
2019-06-04,18.06,18.64,18.04,18.46,5948
2019-06-05,18.74,19.64,18.46,18.97,13023
2019-06-06,19.05,19.27,18.58,18.63,3080
2019-06-07,18.58,19.04,18.57,18.84,2644
2019-06-10,18.9,19.06,18.47,18.52,3183
2019-06-11,18.91,19.01,18.57,18.88,1327
2019-06-12,18.76,19.04,18.22,18.3,2653
2019-06-13,18.37,18.59,17.95,18.46,6418
2019-06-14,18.39,18.61,18.17,18.58,4115
2019-06-17,18.76,18.88,18.45,18.55,5006
2019-06-18,18.6,19.7,18.47,18.55,7853
2019-06-19,18.65,18.9,18.2,18.56,8016
2019-06-20,18.89,18.96,18.17,18.57,9491
2019-06-21,18.54,18.64,18.27,18.41,2061
2019-06-24,18.42,18.58,17.85,18.07,2089
2019-06-25,18.07,18.29,17.86,17.96,2774
2019-06-26,17.74,17.74,16.51,16.61,15759
2019-06-27,16.61,17.45,16.46,17.11,7609
2019-06-28,17.39,17.66,17.16,17.21,4835
2019-07-01,17.53,17.59,17.12,17.32,2406
2019-07-02,17.24,17.78,17.23,17.74,2460
2019-07-03,17.93,17.94,17.66,17.74,1089
2019-07-05,17.81,18.35,17.7,18.11,2492
2019-07-08,18.01,18.08,17.74,17.79,2204
2019-07-09,17.05,18.14,17.05,18.0,1162
2019-07-10,17.65,18.28,17.65,17.97,1912
2019-07-11,18.0,18.17,17.85,17.97,887
2019-07-12,18.01,18.07,17.85,17.92,1074
2019-07-15,17.64,17.84,17.33,17.81,2370
2019-07-16,17.76,17.99,17.67,17.8,2440
2019-07-17,17.79,18.12,17.51,17.79,2848
2019-07-18,17.74,17.94,17.53,17.71,1696
2019-07-19,17.76,17.95,17.46,17.56,2109
2019-07-22,17.55,17.66,17.44,17.6,3174
2019-07-23,17.63,17.99,17.63,17.89,2054
2019-07-24,17.89,18.28,17.89,18.02,1938
2019-07-25,18.17,18.25,17.9,18.13,2688
2019-07-26,18.26,18.69,18.16,18.49,1924
