date,open,high,low,close,volume
2018-12-10,15.0,15.41,14.79,15.4,1651
2018-12-11,15.52,15.69,15.12,15.23,748
2018-12-12,15.38,15.65,14.9,14.92,1947
2018-12-13,14.95,14.95,14.36,14.56,2257
2018-12-14,14.46,14.87,14.3,14.67,2095
2018-12-17,14.61,14.88,14.24,14.34,998
2018-12-18,14.44,14.55,13.91,13.96,990
2018-12-19,13.92,14.4,13.85,14.06,1347
2018-12-20,13.92,14.15,13.47,13.54,946
2018-12-21,13.61,13.72,13.07,13.09,1067
2018-12-24,12.86,12.96,12.67,12.84,1970
2018-12-26,12.81,13.0,12.56,12.74,5216
2018-12-27,12.49,13.75,12.49,13.74,2375
2018-12-28,13.75,14.05,13.21,13.25,1357
2018-12-31,13.35,13.61,13.35,13.58,722
2019-01-02,13.39,14.08,13.39,13.81,1424
2019-01-03,13.77,14.15,13.75,13.86,870
2019-01-04,14.0,14.44,13.96,14.18,549
2019-01-07,14.17,14.43,13.92,14.24,669
2019-01-08,14.33,14.33,13.97,14.05,821
2019-01-09,14.05,14.47,13.88,14.44,1111
2019-01-10,14.4,14.5,13.91,14.03,598
2019-01-11,13.96,14.14,13.71,14.11,1125
2019-01-14,14.11,14.25,13.97,13.97,748
2019-01-15,13.97,14.63,13.96,14.61,2487
2019-01-16,14.62,15.27,14.62,15.06,1138
2019-01-17,14.98,15.27,14.62,15.21,627
2019-01-18,15.22,15.59,15.22,15.37,998
2019-01-22,15.29,15.37,14.63,14.74,756
2019-01-23,14.8,14.81,14.42,14.67,405
2019-01-24,14.64,14.82,14.46,14.81,238
2019-01-25,14.91,15.24,14.79,14.82,408
2019-01-28,14.67,15.12,14.67,15.09,421
2019-01-29,15.01,15.21,14.86,15.11,420
2019-01-30,15.24,15.24,14.7,14.91,385
2019-01-31,14.93,15.4,14.89,15.38,823
2019-02-01,15.38,15.77,15.24,15.46,2290
2019-02-04,15.38,15.85,15.26,15.82,696
2019-02-05,15.94,16.12,15.53,15.77,2081
2019-02-06,15.0,16.2,14.15,15.06,9167
2019-02-07,15.14,15.87,14.84,15.43,2127
2019-02-08,15.42,15.94,15.36,15.68,726
2019-02-11,15.63,16.46,15.6,16.32,1437
2019-02-12,16.36,16.86,16.25,16.31,1330
2019-02-13,16.3,16.75,16.13,16.65,1172
2019-02-14,16.55,16.78,16.36,16.4,1402
2019-02-15,16.48,17.28,16.48,17.24,1351
2019-02-19,17.04,17.41,16.89,17.19,1950
2019-02-20,17.08,17.21,16.96,17.08,879
2019-02-21,17.0,17.14,16.51,16.92,1172
2019-02-22,17.01,17.14,16.77,17.06,684
2019-02-25,17.12,17.31,16.74,16.76,710
2019-02-26,16.7,16.8,16.46,16.6,547
2019-02-27,16.57,16.8,16.46,16.78,681
2019-02-28,16.75,16.84,16.45,16.8,682
2019-03-01,16.89,17.15,16.58,17.01,627
2019-03-04,17.02,17.27,16.82,16.95,1156
2019-03-05,16.94,17.07,16.66,16.94,868
2019-03-06,16.87,16.95,16.5,16.53,1401
2019-03-07,16.65,16.74,16.39,16.44,769
2019-03-08,16.43,16.61,16.33,16.4,1190
2019-03-11,16.47,16.76,16.42,16.67,1136
2019-03-12,16.66,16.81,16.19,16.55,1264
2019-03-13,16.6,16.66,16.21,16.28,1521
2019-03-14,16.21,16.28,15.9,15.92,645
2019-03-15,15.92,16.16,15.81,15.87,1097
2019-03-18,15.87,15.87,15.57,15.73,463
2019-03-19,15.71,15.93,15.45,15.54,574
2019-03-20,15.46,15.91,15.25,15.65,542
2019-03-21,15.61,16.0,15.58,15.68,335
2019-03-22,15.57,15.58,15.1,15.17,684
2019-03-25,15.17,15.56,15.1,15.51,418
2019-03-26,15.52,15.62,15.22,15.4,527
2019-03-27,15.36,15.62,15.34,15.45,606
2019-03-28,15.5,15.85,15.35,15.78,364
2019-03-29,15.83,15.89,15.45,15.61,921
2019-04-01,15.61,16.07,15.61,15.77,446
2019-04-02,15.7,15.87,15.5,15.68,315
2019-04-03,15.8,15.84,15.56,15.61,441
2019-04-04,15.54,15.94,15.54,15.72,289
