date,open,high,low,close,volume
2018-12-10,4.34,4.38,4.25,4.27,1132
2018-12-11,4.25,4.3,4.25,4.25,131
2018-12-12,4.31,4.31,4.18,4.19,355
2018-12-13,4.18,4.22,4.16,4.2,142
2018-12-14,4.2,4.42,4.19,4.32,321
2018-12-17,4.26,4.3,4.16,4.19,322
2018-12-18,4.16,4.32,4.15,4.15,249
2018-12-19,4.16,4.2,4.12,4.18,180
2018-12-20,4.14,4.18,4.1,4.1,215
2018-12-21,4.09,4.14,3.9,3.98,180
2018-12-24,3.92,3.92,3.85,3.85,23
2018-12-26,4.1,4.11,3.88,4.07,188
2018-12-27,4.03,4.1,3.96,4.05,40
2018-12-28,4.04,4.13,4.0,4.07,228
2018-12-31,4.13,4.13,3.96,4.08,92
2019-01-02,3.99,4.13,3.97,4.11,13
2019-01-03,4.04,4.19,3.9,4.1,91
2019-01-04,4.17,4.38,4.17,4.33,108
2019-01-07,4.32,4.42,4.32,4.32,72
2019-01-08,4.39,4.57,4.1,4.57,123
2019-01-09,4.58,4.62,4.31,4.59,277
2019-01-10,4.67,4.68,4.53,4.57,19
2019-01-11,4.6,4.71,4.6,4.615,15
2019-01-14,4.34,4.55,4.32,4.34,114
2019-01-15,4.35,4.49,4.18,4.18,222
2019-01-16,4.22,4.67,4.21,4.21,125
2019-01-17,4.16,4.2,4.02,4.09,268
2019-01-18,4.11,4.29,4.11,4.18,93
2019-01-22,4.1,4.48,4.1,4.31,44
2019-01-23,4.36,4.41,4.33,4.41,36
2019-01-24,4.42,4.46,4.42,4.43,114
2019-01-25,4.51,4.64,4.45,4.59,77
2019-01-28,4.62,4.78,4.62,4.64,183
2019-01-29,4.64,4.68,4.19,4.25,432
2019-01-30,4.32,4.33,4.26,4.31,43
2019-01-31,4.26,4.3,4.24,4.25,205
2019-02-01,4.24,4.29,4.2,4.21,349
2019-02-04,4.22,4.23,4.18,4.18,157
2019-02-05,4.15,4.23,4.15,4.18,105
2019-02-06,4.18,4.47,4.18,4.47,143
2019-02-07,4.4,4.43,4.26,4.29,159
2019-02-08,4.28,4.3,4.21,4.23,171
2019-02-11,4.23,4.3,4.23,4.28,255
2019-02-12,4.3,4.35,4.3,4.3,81
2019-02-13,4.29,4.3,4.26,4.26,37
2019-02-14,4.37,4.45,4.37,4.4,81
2019-02-15,4.39,4.48,4.34,4.4,227
2019-02-19,4.2,4.29,4.0,4.25,322
2019-02-20,4.16,4.16,4.06,4.08,428
2019-02-21,4.08,4.3,4.05,4.28,187
2019-02-22,4.26,4.3,4.16,4.29,168
2019-02-25,4.28,4.3,4.2,4.3,1334
2019-02-26,4.29,4.34,4.22,4.22,239
2019-02-27,4.27,4.29,4.09,4.18,80
2019-02-28,4.16,4.19,4.09,4.15,108
2019-03-01,4.14,4.27,4.14,4.18,13
2019-03-04,4.13,4.14,4.01,4.12,168
2019-03-05,4.12,4.16,4.09,4.12,126
2019-03-06,4.09,4.14,4.04,4.04,112
2019-03-07,4.04,4.13,4.0,4.03,77
2019-03-08,4.0,4.08,4.0,4.01,181
2019-03-11,4.04,4.06,4.03,4.045,23
2019-03-12,4.08,4.14,4.02,4.07,239
2019-03-13,4.09,4.09,4.01,4.03,107
2019-03-14,4.02,4.08,4.01,4.02,76
2019-03-15,4.08,4.08,4.03,4.03,66
2019-03-18,4.04,4.08,4.01,4.07,81
2019-03-19,4.06,4.09,4.02,4.08,217
2019-03-20,4.05,4.11,4.05,4.1,243
2019-03-21,4.12,4.12,4.07,4.1,122
2019-03-22,4.1,4.2,4.05,4.19,244
2019-03-25,4.2,4.43,4.09,4.25,663
2019-03-26,4.31,4.4,4.25,4.34,185
2019-03-27,4.38,4.39,4.28,4.33,151
2019-03-28,4.33,4.33,4.26,4.31,304
2019-03-29,4.29,4.35,4.25,4.3,128
2019-04-01,4.25,4.37,4.25,4.37,222
2019-04-02,4.39,4.42,4.31,4.415,242
2019-04-03,4.35,4.35,4.25,4.34,501
2019-04-04,4.35,4.35,4.27,4.27,90
2019-04-05,4.26,4.32,4.25,4.29,70
2019-04-08,4.31,4.33,4.19,4.265,183
2019-04-09,4.25,4.3,4.13,4.13,307
2019-04-10,4.17,4.27,4.05,4.06,242
2019-04-11,4.37,4.37,4.07,4.07,44
2019-04-12,4.11,4.36,4.11,4.2,290
