date,open,high,low,close,volume
2018-12-10,1.51,1.54,1.48,1.48,747
2018-12-11,1.51,1.555,1.49,1.5,1800
2018-12-12,1.53,1.59,1.48,1.48,1190
2018-12-13,1.56,1.58,1.32,1.36,3010
2018-12-14,1.4,1.46,1.24,1.245,3761
2018-12-17,1.18,1.32,1.1312,1.23,2691
2018-12-18,1.25,1.27,1.2,1.21,1756
2018-12-19,1.22,1.32,1.15,1.16,2862
2018-12-20,1.16,1.195,1.08,1.11,2461
2018-12-21,1.09,1.12,1.01,1.01,3659
2018-12-24,1.0,1.03,0.6001,0.76,10781
2018-12-26,0.8,0.92,0.7911,0.8543,4788
2018-12-27,0.8543,0.95,0.8371,0.8411,6776
2018-12-28,0.8411,0.8901,0.789,0.8001,4913
2018-12-31,0.8001,0.85,0.7302,0.7336,5615
2019-01-02,0.7446,1.0,0.7402,0.9298,6186
2019-01-03,1.0,1.02,0.9332,0.9859,3673
2019-01-04,1.02,1.29,1.01,1.21,7207
2019-01-07,1.21,1.4,1.2,1.33,4675
2019-01-08,1.35,1.48,1.32,1.37,5103
2019-01-09,1.37,1.39,1.3,1.35,2664
2019-01-10,1.36,1.36,1.26,1.32,1653
2019-01-11,1.32,1.36,1.27,1.33,1717
2019-01-14,1.31,1.39,1.27,1.29,1713
2019-01-15,1.29,1.29,1.15,1.27,2092
2019-01-16,1.26,1.33,1.25,1.28,1046
2019-01-17,1.26,1.3,1.23,1.24,810
2019-01-18,1.24,1.29,1.2,1.22,2012
2019-01-22,1.24,1.24,1.11,1.13,2336
2019-01-23,1.14,1.17,1.07,1.11,6050
2019-01-24,1.13,1.13,1.02,1.07,7292
2019-01-25,1.07,1.11,1.04,1.08,2515
2019-01-28,1.09,1.11,1.01,1.03,3869
2019-01-29,1.04,1.05,1.0,1.02,2054
2019-01-30,1.05,1.23,1.03,1.17,3903
2019-01-31,1.22,1.24,1.18,1.19,2876
2019-02-01,1.0,1.06,0.99,1.0,10935
2019-02-04,1.04,1.04,0.9803,0.9828,4646
2019-02-05,0.99,0.99,0.9103,0.9405,4824
2019-02-06,0.9623,0.98,0.8951,0.9309,4554
2019-02-07,0.94,0.9799,0.92,0.9497,3346
2019-02-08,0.9414,0.96,0.88,0.9,4192
2019-02-11,0.95,0.96,0.8936,0.9153,2575
2019-02-12,0.938,0.938,0.88,0.9202,2300
2019-02-13,0.93,0.95,0.9,0.907,2313
2019-02-14,0.927,0.938,0.901,0.9219,1010
2019-02-15,0.92,0.95,0.92,0.9471,2113
2019-02-19,0.96,0.9698,0.93,0.9489,3299
2019-02-20,0.9527,0.96,0.9302,0.9302,1292
2019-02-21,0.931,0.95,0.9,0.9068,2814
2019-02-22,0.92,0.9432,0.9069,0.9211,1080
2019-02-25,0.95,0.9902,0.9236,0.9816,2268
2019-02-26,0.995,1.03,0.96,1.01,3454
2019-02-27,1.01,1.05,0.9922,1.02,2934
2019-02-28,1.02,1.08,0.982,1.02,5347
2019-03-01,1.02,1.1275,1.0,1.1,8787
2019-03-04,1.15,1.28,1.12,1.19,8231
2019-03-05,1.22,1.2437,1.16,1.19,3407
2019-03-06,1.22,1.24,1.03,1.06,9992
2019-03-07,1.1,1.1,1.0,1.05,2646
2019-03-08,1.09,1.09,1.0,1.0,2635
2019-03-11,1.01,1.1,0.86,0.9356,8395
2019-03-12,0.9401,0.996,0.9401,0.9832,2324
2019-03-13,0.9834,1.07,0.9362,1.0,3564
2019-03-14,1.06,1.06,0.99,1.01,2129
2019-03-15,1.02,1.05,0.985,0.9937,3498
2019-03-18,0.999,1.01,0.9712,1.01,2239
2019-03-19,1.02,1.03,1.0,1.01,1616
2019-03-20,1.02,1.03,0.98,1.01,1897
2019-03-21,1.01,1.02,0.98,0.9894,2347
2019-03-22,0.979,1.0,0.95,0.961,1643
2019-03-25,0.96,1.01,0.92,0.9294,2903
2019-03-26,0.9339,0.9895,0.9339,0.9582,1254
2019-03-27,0.99,0.99,0.921,0.9439,1820
2019-03-28,0.95,0.99,0.9439,0.96,692
2019-03-29,0.9641,0.98,0.95,0.9702,1437
2019-04-01,0.9709,1.01,0.9697,0.9701,1574
2019-04-02,0.97,0.9923,0.956,0.987,866
2019-04-03,0.98,0.993,0.9608,0.9838,1068
2019-04-04,0.99,1.02,0.97,0.9862,2456
2019-04-05,1.0,1.03,1.0,1.03,2015
2019-04-08,1.06,1.06,1.03,1.03,1834
2019-04-09,1.03,1.05,1.0,1.01,744
2019-04-10,1.0,1.03,0.98,1.01,3405
2019-04-11,1.0,1.03,0.985,0.9972,3745
2019-04-12,0.9997,1.03,0.9805,1.01,1747
2019-04-15,1.01,1.05,0.9903,1.03,3885
2019-04-16,1.04,1.08,1.02,1.03,2258
2019-04-17,1.04,1.07,1.0,1.01,2241
2019-04-18,1.0,1.04,0.96,0.9733,2707
2019-04-22,0.97,0.9733,0.9445,0.955,2212
2019-04-23,0.956,1.04,0.955,1.01,4085
2019-04-24,1.02,1.03,0.98,0.996,1748
2019-04-25,0.99,1.02,0.9651,0.9865,893
2019-04-26,1.01,1.0178,0.9623,0.984,1510
2019-04-29,0.9803,1.0,0.9767,0.9903,932
