date,open,high,low,close,volume
2018-12-10,36.31,36.55,35.28,35.7,5284
2018-12-11,36.1,36.47,35.79,36.27,6561
2018-12-12,36.7,37.26,36.38,36.51,7793
2018-12-13,36.81,36.91,35.89,36.05,3069
2018-12-14,35.63,35.85,34.43,34.64,8249
2018-12-17,34.62,34.99,33.99,34.24,16263
2018-12-18,34.56,34.58,33.04,33.23,5833
2018-12-19,33.3,33.56,32.11,32.73,10600
2018-12-20,32.82,32.85,31.02,31.12,5938
2018-12-21,31.79,31.79,30.32,30.44,12882
2018-12-24,30.19,30.46,29.23,29.95,8037
2018-12-26,30.28,31.05,29.72,31.04,12014
2018-12-27,30.55,30.79,29.74,30.78,7398
2018-12-28,31.01,31.4,30.44,30.74,5720
2018-12-31,30.87,31.42,30.41,31.18,9134
2019-01-02,30.86,31.26,30.24,30.91,9084
2019-01-03,30.66,30.66,29.29,29.84,9414
2019-01-04,30.05,31.36,29.94,31.08,17596
2019-01-07,31.02,32.18,30.85,32.0,8926
2019-01-08,32.34,33.06,32.15,32.79,10079
2019-01-09,32.79,33.43,32.73,33.38,4941
2019-01-10,33.19,33.97,32.97,33.88,6086
2019-01-11,33.83,33.94,33.57,33.75,4796
2019-01-14,33.54,33.69,33.3,33.59,6317
2019-01-15,33.72,34.27,33.52,34.07,6782
2019-01-16,34.19,34.96,34.19,34.63,7492
2019-01-17,34.54,35.35,34.32,35.21,10497
2019-01-18,35.44,35.95,35.04,35.61,4499
2019-01-22,35.38,35.8,35.16,35.39,8951
2019-01-23,35.39,35.78,34.8,35.31,6456
2019-01-24,35.1,35.75,34.92,35.6,9350
2019-01-25,35.92,36.3,35.61,36.0,8616
2019-01-28,35.61,36.62,35.53,36.49,8384
2019-01-29,36.68,36.68,36.0,36.27,9365
2019-01-30,36.47,36.76,35.97,36.52,6162
2019-01-31,36.51,37.24,36.24,36.93,6653
2019-02-01,36.89,37.76,36.78,37.28,8507
2019-02-04,37.27,37.41,36.75,37.34,14069
2019-02-05,41.22,41.5,38.99,39.23,15590
2019-02-06,39.5,39.65,38.75,39.48,12244
2019-02-07,39.39,39.6,38.79,39.52,6720
2019-02-08,39.13,39.74,38.79,39.71,4113
2019-02-11,39.81,40.25,39.44,40.01,6318
2019-02-12,40.18,40.94,39.99,40.85,4114
2019-02-13,41.34,41.5,40.62,41.13,4650
2019-02-14,41.06,41.81,41.06,41.58,4377
2019-02-15,41.83,42.26,41.5,42.03,5833
2019-02-19,41.92,42.35,41.62,42.24,4126
2019-02-20,42.26,42.91,42.0,42.79,6487
2019-02-21,42.79,42.86,42.28,42.54,4642
2019-02-22,42.57,43.61,42.55,43.58,4931
2019-02-25,43.8,43.87,43.33,43.42,6435
2019-02-26,43.43,43.47,42.61,42.86,5989
2019-02-27,42.76,43.49,42.64,43.08,4553
2019-02-28,43.12,43.67,42.82,43.22,4725
2019-03-01,43.62,44.07,43.52,43.92,3856
2019-03-04,44.04,44.11,43.05,43.71,6288
2019-03-05,43.8,44.14,43.37,43.72,3434
2019-03-06,43.77,43.77,42.53,42.64,5936
2019-03-07,42.66,42.77,41.95,42.57,4301
2019-03-08,42.25,42.33,41.72,42.22,8069
2019-03-11,42.12,42.34,41.24,41.82,7579
2019-03-12,41.82,42.2,41.71,41.8,5266
