date,open,high,low,close,volume
2018-12-10,32.15,32.24,31.61,32.12,11908
2018-12-11,32.14,32.42,32.03,32.2,10023
2018-12-12,32.35,32.39,31.01,31.1,11388
2018-12-13,31.16,31.65,31.16,31.44,9072
2018-12-14,31.49,31.59,31.22,31.39,10510
2018-12-17,31.45,31.5,30.07,30.17,10398
2018-12-18,30.16,30.64,30.16,30.3,15327
2018-12-19,30.3,30.44,30.02,30.14,16066
2018-12-20,30.18,30.26,29.57,29.77,12795
2018-12-21,29.67,30.26,29.38,29.4,20550
2018-12-24,29.37,29.54,28.41,28.45,7094
2018-12-26,28.49,29.14,28.35,29.11,10426
2018-12-27,29.02,29.07,28.36,29.02,12670
2018-12-28,29.23,29.43,28.82,29.1,11349
2018-12-31,28.91,29.02,28.38,28.69,10871
2019-01-02,28.51,28.92,27.97,28.07,11204
2019-01-03,28.08,28.72,28.08,28.36,10919
2019-01-04,28.37,28.7,28.08,28.13,11236
2019-01-07,28.22,28.48,28.08,28.15,14751
2019-01-08,28.17,28.94,28.17,28.9,13985
2019-01-09,28.47,28.84,28.09,28.37,17319
2019-01-10,28.42,28.89,28.33,28.79,17606
2019-01-11,28.88,28.97,28.54,28.7,8386
2019-01-14,28.7,29.21,28.57,28.77,14469
2019-01-15,28.82,29.52,28.77,29.42,9923
2019-01-16,29.24,29.54,29.15,29.42,7780
2019-01-17,29.33,29.59,29.15,29.41,7409
2019-01-18,29.35,29.52,29.2,29.25,7879
2019-01-22,29.3,29.4,28.95,29.19,5990
2019-01-23,29.18,29.27,28.72,29.07,9125
2019-01-24,29.12,29.22,28.94,29.1,5675
2019-01-25,29.12,29.49,29.05,29.48,6215
2019-01-28,29.45,30.0,29.3,29.91,11233
2019-01-29,29.96,30.61,29.82,30.61,14664
2019-01-30,30.48,30.97,30.48,30.62,14434
2019-01-31,30.59,30.98,30.42,30.95,10886
2019-02-01,30.89,31.07,30.14,30.5,10357
2019-02-04,30.42,30.59,30.18,30.59,5895
2019-02-05,30.65,30.77,30.39,30.75,7979
2019-02-06,30.75,30.85,30.58,30.83,11359
2019-02-07,30.79,31.3,30.69,31.21,8578
2019-02-08,31.27,31.56,31.17,31.34,15668
2019-02-11,31.25,31.43,31.12,31.19,16732
2019-02-12,31.18,31.21,30.66,30.88,10910
2019-02-13,30.79,31.1,30.7,31.05,6236
2019-02-14,31.15,31.21,30.88,31.13,8541
2019-02-15,31.18,31.23,31.03,31.21,8784
2019-02-19,31.24,31.28,31.1,31.24,9353
2019-02-20,31.11,31.11,30.39,30.48,11537
2019-02-21,30.36,30.36,29.36,29.6,28399
2019-02-22,29.64,30.51,29.26,30.22,14481
2019-02-25,30.13,30.22,29.68,30.1,18761
2019-02-26,30.09,30.37,30.0,30.23,13060
2019-02-27,30.14,30.58,29.92,30.25,20001
2019-02-28,30.2,31.07,30.12,30.64,16065
2019-03-01,30.59,30.59,29.92,30.42,12918
2019-03-04,30.52,30.75,30.21,30.67,9705
2019-03-05,30.58,30.92,30.58,30.75,13063
2019-03-06,30.74,30.88,30.48,30.48,10761
2019-03-07,30.59,30.77,30.32,30.4,10244
2019-03-08,30.47,30.75,30.32,30.6,9079
2019-03-11,30.53,31.04,30.53,31.03,6944
2019-03-12,31.11,31.31,31.05,31.16,7177
2019-03-13,31.25,31.54,31.06,31.32,9711
2019-03-14,31.39,31.56,31.21,31.49,10827
2019-03-15,31.59,31.59,31.31,31.39,13449
2019-03-18,31.34,31.42,30.91,31.12,10206
2019-03-19,31.16,31.2,30.94,31.06,11488
2019-03-20,31.08,31.66,30.77,31.5,21416
2019-03-21,31.95,32.15,31.71,31.98,15339
2019-03-22,32.05,32.4,31.94,32.1,16185
2019-03-25,32.1,32.36,31.98,32.31,14114
2019-03-26,32.32,32.44,32.15,32.3,11977
2019-03-27,32.27,32.41,31.99,32.06,10945
2019-03-28,32.0,32.49,32.0,32.43,10070
2019-03-29,32.16,32.18,31.83,32.04,12390
2019-04-01,32.0,32.06,31.51,32.05,9096
2019-04-02,32.07,32.33,31.67,32.25,9858
2019-04-03,32.25,32.37,31.94,32.2,7778
2019-04-04,32.2,32.2,31.91,32.07,8854
2019-04-05,31.99,32.24,31.92,32.21,6918
2019-04-08,32.12,32.16,31.73,31.82,6668
2019-04-09,31.82,32.07,31.78,31.8,6712
2019-04-10,31.94,32.13,31.87,32.07,10319
2019-04-11,32.11,32.22,31.82,31.99,7089
2019-04-12,31.91,32.2,31.7,32.16,6516
2019-04-15,32.18,32.23,31.75,31.81,8040
2019-04-16,31.77,31.85,30.99,31.1,12859
2019-04-17,31.17,31.17,30.73,30.8,15204
2019-04-18,30.85,31.28,30.72,31.18,10296
2019-04-22,31.14,31.14,30.31,30.62,9132
2019-04-23,30.77,31.06,30.7,31.0,9864
2019-04-24,31.11,31.6,30.98,31.45,11620
2019-04-25,31.34,31.6,31.09,31.45,15373
2019-04-26,31.45,32.0,30.95,31.9,13268
2019-04-29,31.83,32.0,31.54,31.63,17105
2019-04-30,31.64,32.09,31.57,31.91,7710
2019-05-01,31.96,32.56,31.73,32.22,15916
2019-05-02,32.23,32.61,32.14,32.28,16227
2019-05-03,32.31,32.67,32.2,32.47,9671
2019-05-06,32.49,32.75,32.17,32.4,8842
2019-05-07,32.38,32.41,31.88,32.04,9242
2019-05-08,32.15,32.39,32.01,32.1,8589
2019-05-09,32.08,32.54,31.93,32.48,15799
2019-05-10,32.52,32.96,32.43,32.82,22693
2019-05-13,32.57,33.15,32.57,33.04,20097
2019-05-14,33.02,33.21,32.66,32.87,9039
2019-05-15,32.87,33.21,32.85,32.87,4529
2019-05-16,32.9,33.13,32.68,32.99,9838
2019-05-17,32.91,33.08,32.8,33.06,6209
2019-05-20,33.04,33.27,32.97,33.12,7304
2019-05-21,33.13,33.42,32.8,33.26,7628
2019-05-22,33.31,33.36,33.19,33.32,6607
2019-05-23,33.3,33.63,33.23,33.55,8496
2019-05-24,33.63,33.83,33.62,33.76,9824
2019-05-28,33.89,34.0,33.54,33.61,12039
