date,open,high,low,close,volume
2018-12-10,103.68,105.1,101.66,103.13,1695
2018-12-11,104.94,105.58,101.69,102.38,1228
2018-12-12,104.56,107.49,103.03,105.63,2167
2018-12-13,106.03,106.03,104.1,104.2,2093
2018-12-14,103.29,105.33,102.9,103.34,2303
2018-12-17,103.19,105.32,101.3,101.52,2704
2018-12-18,102.76,105.0,102.76,103.83,2479
2018-12-19,105.33,106.12,101.07,101.56,3269
2018-12-20,101.17,102.28,98.41,100.04,2143
2018-12-21,100.08,101.44,98.96,99.04,3960
2018-12-24,98.04,98.78,97.03,97.15,1424
2018-12-26,97.56,99.57,95.22,99.44,1612
2018-12-27,98.04,101.45,97.23,101.41,1905
2018-12-28,102.03,102.8,100.27,100.6,1514
2018-12-31,101.13,102.13,100.4,102.12,2127
2019-01-02,100.36,103.19,100.02,103.02,1375
2019-01-03,102.51,102.85,98.99,99.45,1723
2019-01-04,100.56,103.11,100.21,102.89,1405
2019-01-07,102.63,103.47,101.36,102.52,1394
2019-01-08,103.75,105.23,103.24,104.71,2010
2019-01-09,105.52,106.61,104.35,105.34,1127
2019-01-10,104.86,107.71,104.32,107.46,1367
2019-01-11,106.7,107.7,106.37,107.45,1457
2019-01-14,106.83,107.7,105.95,106.37,1091
2019-01-15,106.4,108.0,106.05,107.99,859
2019-01-16,107.79,109.19,106.99,108.88,2355
2019-01-17,108.15,111.33,108.15,110.89,2512
2019-01-18,111.71,113.02,111.17,112.01,1262
2019-01-22,110.99,111.15,107.85,108.71,1234
2019-01-23,109.34,110.36,107.45,109.69,1251
2019-01-24,109.9,111.23,109.6,110.47,825
2019-01-25,111.56,112.3,111.34,112.06,1026
2019-01-28,111.25,112.92,110.92,112.28,1463
2019-01-29,112.42,113.94,112.06,112.76,1176
2019-01-30,113.6,114.77,111.61,113.69,1381
2019-01-31,113.33,114.42,112.63,113.52,1055
2019-02-01,114.03,114.45,112.28,113.0,852
2019-02-04,112.88,114.25,112.88,114.16,876
2019-02-05,114.64,116.5,114.16,116.17,2518
2019-02-06,116.11,116.72,115.47,116.16,1231
2019-02-07,115.4,116.21,113.42,115.71,3059
2019-02-08,114.98,116.53,114.98,116.41,1405
2019-02-11,116.8,117.42,115.29,115.77,1423
2019-02-12,116.67,117.76,116.15,117.51,1008
2019-02-13,118.19,118.7,116.87,117.98,897
2019-02-14,117.26,118.64,117.0,118.12,1032
2019-02-15,118.99,120.2,118.85,120.13,1421
2019-02-19,119.96,120.45,119.33,120.08,862
2019-02-20,120.24,121.38,119.8,121.19,1364
2019-02-21,121.07,121.17,119.96,120.96,1122
2019-02-22,121.44,122.13,120.94,121.42,813
2019-02-25,122.1,122.1,121.13,121.62,1038
2019-02-26,121.47,121.47,119.01,119.2,1702
2019-02-27,119.34,125.94,119.34,124.26,4724
2019-02-28,124.78,125.71,122.91,123.29,2174
2019-03-01,122.47,124.29,121.27,122.59,3222
2019-03-04,123.01,124.37,121.03,121.08,2814
2019-03-05,121.2,121.95,120.36,120.4,1528
2019-03-06,120.36,120.9,117.43,117.44,1565
2019-03-07,117.07,117.43,115.18,115.89,1217
2019-03-08,114.94,115.14,114.11,114.57,1651
2019-03-11,114.44,114.77,113.72,114.29,2958
2019-03-12,114.25,114.6,113.62,114.3,2728
2019-03-13,114.71,115.91,114.42,115.03,1805
2019-03-14,114.75,115.39,113.83,114.63,1346
2019-03-15,114.68,114.78,111.87,112.25,2099
2019-03-18,112.26,115.62,112.26,115.12,1756
2019-03-19,115.49,116.25,113.8,114.02,2187
2019-03-20,114.14,117.37,114.07,115.51,1836
2019-03-21,115.08,117.22,115.08,116.29,945
2019-03-22,115.61,115.68,112.86,112.89,1476
2019-03-25,112.71,113.74,112.38,112.46,1637
2019-03-26,113.36,113.83,111.71,111.95,1066
2019-03-27,111.94,113.51,111.81,112.5,1066
2019-03-28,112.76,113.75,112.14,113.12,1028
2019-03-29,113.97,113.97,112.8,113.34,4870
2019-04-01,114.28,115.58,112.37,112.54,4232
2019-04-02,112.64,113.25,111.79,112.0,6650
2019-04-03,112.65,112.82,109.81,110.03,4301
2019-04-04,110.57,113.93,110.2,112.48,5873
2019-04-05,113.0,113.68,112.1,112.88,1199
2019-04-08,112.0,113.47,111.47,113.21,2389
2019-04-09,112.51,113.08,110.58,110.67,1906
2019-04-10,110.95,110.95,109.54,110.16,2118
2019-04-11,110.33,112.14,109.82,111.85,3087
2019-04-12,112.7,113.37,111.86,112.18,2409
2019-04-15,112.06,112.51,111.15,112.33,907
2019-04-16,112.37,112.89,111.89,112.7,1013
2019-04-17,113.09,113.44,110.47,110.53,962
2019-04-18,110.78,112.45,110.62,112.39,1221
2019-04-22,112.04,112.55,111.59,112.16,1067
2019-04-23,112.98,115.52,112.38,114.67,1474
2019-04-24,115.26,115.8,113.81,114.12,817
2019-04-25,113.62,114.07,112.0,113.53,1110
2019-04-26,113.48,115.02,113.03,114.73,1654
2019-04-29,114.67,116.01,114.56,115.09,831
2019-04-30,115.16,115.41,113.68,113.94,898
2019-05-01,114.32,115.75,114.08,114.31,903
2019-05-02,114.15,114.6,112.77,114.57,1131
2019-05-03,115.27,116.98,115.27,115.85,1190
2019-05-06,113.85,116.2,113.46,115.82,1841
2019-05-07,114.49,114.84,112.53,113.3,1076
2019-05-08,112.96,114.03,112.83,113.35,887
2019-05-09,114.12,114.12,109.87,113.64,2108
2019-05-10,113.24,115.16,112.22,115.09,1863
2019-05-13,112.67,112.91,108.96,109.31,1954
2019-05-14,110.03,113.52,109.87,112.87,2302
2019-05-15,111.85,114.38,111.85,114.1,1106
2019-05-16,115.0,118.47,114.86,117.6,2223
2019-05-17,116.54,117.48,115.45,116.11,2531
2019-05-20,115.2,115.9,114.39,115.2,1845
2019-05-21,116.5,117.73,115.51,117.68,1236
2019-05-22,116.74,117.73,116.39,116.98,1574
2019-05-23,115.62,116.25,113.97,115.74,1825
2019-05-24,116.41,116.67,114.14,115.26,1216
2019-05-28,115.26,115.82,114.15,114.24,1191
2019-05-29,113.39,114.38,112.81,113.35,948
2019-05-30,113.54,114.41,112.57,113.19,823
2019-05-31,112.0,112.22,111.14,111.49,1122
2019-06-03,111.35,114.13,110.93,112.75,1379
2019-06-04,113.81,117.39,113.64,117.39,961
2019-06-05,117.49,117.93,116.19,117.18,850
2019-06-06,117.05,118.34,116.82,117.74,1383
2019-06-07,118.16,119.12,117.8,118.06,608
2019-06-10,119.08,119.81,117.71,118.36,960
2019-06-11,119.28,119.46,114.31,115.28,1444
2019-06-12,115.61,116.05,114.98,115.56,1434
2019-06-13,116.26,117.97,115.19,117.9,882
2019-06-14,117.37,117.95,117.0,117.55,2434
2019-06-17,117.82,117.82,116.48,116.8,1515
2019-06-18,117.51,120.02,117.51,119.59,1337
2019-06-19,119.62,119.62,118.5,119.42,623
2019-06-20,120.8,121.25,119.84,121.09,693
2019-06-21,120.44,120.44,119.12,119.5,1398
2019-06-24,119.8,120.46,119.49,119.7,606
2019-06-25,119.56,120.83,119.3,119.77,752
2019-06-26,120.0,122.23,119.33,121.03,1715
2019-06-27,121.37,122.96,120.8,122.63,3296
2019-06-28,123.0,127.17,122.74,127.13,3529
2019-07-01,128.2,128.95,126.87,127.32,2485
2019-07-02,127.47,127.47,124.83,125.53,2171
2019-07-03,125.86,126.68,125.6,126.5,387
2019-07-05,125.59,127.47,125.59,127.32,789
2019-07-08,126.43,126.85,125.69,126.29,1377
2019-07-09,125.7,126.94,125.07,126.9,1527
2019-07-10,126.9,127.95,125.75,125.98,2452
2019-07-11,125.69,125.89,123.48,125.16,1555
2019-07-12,125.62,127.56,125.06,127.12,2311
2019-07-15,127.24,127.53,125.76,126.3,1119
2019-07-16,125.96,127.3,125.64,127.15,884
2019-07-17,126.98,126.98,125.06,126.14,3529
2019-07-18,126.15,126.53,125.49,126.47,1185
2019-07-19,127.25,128.16,126.59,127.13,1115
2019-07-22,127.23,127.75,126.5,127.32,720
2019-07-23,128.27,128.54,127.39,128.24,1134
2019-07-24,127.87,130.06,127.62,129.96,1190
2019-07-25,130.43,130.59,128.5,128.8,742
2019-07-26,128.54,129.3,128.18,128.94,1081
2019-07-29,128.85,128.85,127.39,127.71,753
2019-07-30,126.97,127.98,125.88,127.91,1204
2019-07-31,128.2,129.56,126.69,126.91,1474
2019-08-01,125.0,128.13,123.08,124.05,1712
2019-08-02,124.27,124.27,121.65,123.43,1448
2019-08-05,121.37,121.37,117.06,118.6,1221
2019-08-06,119.53,121.84,118.84,121.63,2015
2019-08-07,120.07,121.51,119.38,120.85,1626
2019-08-08,121.48,123.78,121.42,123.37,1859
2019-08-09,122.94,122.94,120.57,120.69,1079
2019-08-12,119.99,120.59,118.87,118.875,604
2019-08-13,119.04,122.19,118.64,120.48,934
2019-08-14,118.51,119.98,116.63,116.81,1179
2019-08-15,117.08,117.98,115.85,117.72,1085
2019-08-16,118.53,120.29,118.48,119.95,711
2019-08-19,121.18,121.96,120.78,121.53,499
2019-08-20,121.04,121.61,120.7,121.02,912
2019-08-21,122.19,122.21,120.64,121.82,837
2019-08-22,122.26,123.25,121.69,122.97,999
2019-08-23,122.01,122.88,120.22,120.62,2299
2019-08-26,122.06,122.15,119.83,121.31,938
2019-08-27,121.95,122.83,120.36,120.81,873
2019-08-28,120.42,122.35,119.97,121.7,838
2019-08-29,123.02,124.04,122.62,122.86,658
