date,open,high,low,close,volume
2018-12-10,31.48,32.1,29.89,31.58,1198
2018-12-11,32.24,32.82,31.45,31.66,906
2018-12-12,32.25,33.34,31.85,32.7,1362
2018-12-13,32.88,33.07,32.39,32.88,2094
2018-12-14,32.57,33.23,32.32,32.5,1040
2018-12-17,32.5,33.35,32.06,32.12,2375
2018-12-18,32.48,33.74,32.48,33.03,1466
2018-12-19,32.78,33.17,30.93,31.28,1917
2018-12-20,31.51,31.7,30.44,30.84,1288
2018-12-21,31.0,31.38,30.28,30.52,2414
2018-12-24,30.22,30.67,30.06,30.15,757
2018-12-26,30.51,31.91,30.16,31.88,1483
2018-12-27,31.27,32.06,31.02,32.04,1301
2018-12-28,32.23,32.98,31.63,32.07,820
2018-12-31,32.55,32.63,31.61,32.26,928
2019-01-02,31.62,32.62,31.62,32.02,1066
2019-01-03,31.33,31.58,29.88,30.15,1722
2019-01-04,30.66,31.79,30.5,31.55,1068
2019-01-07,31.81,32.29,31.64,32.03,1619
2019-01-08,32.39,32.5,31.24,31.4,2781
2019-01-09,31.7,31.7,30.67,31.08,15758
2019-01-10,30.89,32.46,30.56,32.19,4604
2019-01-11,32.08,33.56,31.89,32.74,3615
2019-01-14,32.73,32.73,31.91,32.13,1766
2019-01-15,32.19,32.62,31.67,31.87,1183
2019-01-16,31.93,32.3,31.67,31.96,2057
2019-01-17,31.77,32.43,31.31,31.94,1905
2019-01-18,32.08,32.43,31.66,31.8,2882
2019-01-22,31.54,31.59,30.11,30.45,2139
2019-01-23,30.64,30.95,30.43,30.61,1528
2019-01-24,31.01,32.28,31.0,31.96,1071
2019-01-25,32.25,33.35,32.01,33.31,1657
2019-01-28,32.29,33.02,32.0,32.54,872
2019-01-29,32.54,32.54,32.03,32.25,813
2019-01-30,32.59,32.68,31.92,32.64,980
2019-01-31,32.57,33.67,32.48,33.63,2030
2019-02-01,33.69,34.28,33.25,33.94,1840
2019-02-04,34.08,35.0,33.65,34.97,2409
2019-02-05,35.01,35.88,34.94,35.71,3871
2019-02-06,36.1,36.86,36.01,36.57,2103
2019-02-07,36.26,36.3,35.04,35.38,3016
2019-02-08,34.84,35.3,34.6,35.08,1659
2019-02-11,35.21,35.42,34.77,35.21,1463
2019-02-12,35.68,36.36,35.35,36.26,2234
2019-02-13,36.55,37.68,36.27,37.4,4231
2019-02-14,38.0,41.43,37.07,40.63,14436
2019-02-15,40.91,42.61,40.79,42.08,9004
2019-02-19,41.9,41.96,40.36,40.61,2988
2019-02-20,40.71,41.74,40.61,41.11,2035
2019-02-21,41.11,41.53,40.74,41.04,2027
2019-02-22,40.89,41.68,40.88,41.57,1574
2019-02-25,41.67,44.27,41.67,43.29,5172
2019-02-26,43.27,43.39,42.41,42.46,3366
2019-02-27,41.19,41.64,39.44,40.5,7450
2019-02-28,40.4,40.55,39.69,40.33,3327
2019-03-01,41.92,41.97,40.28,40.3,2724
2019-03-04,40.63,41.0,39.83,40.3,2142
2019-03-05,40.27,40.72,39.89,39.97,2595
2019-03-06,40.07,40.07,38.69,38.71,1723
2019-03-07,38.43,38.72,37.48,37.56,3770
2019-03-08,37.29,37.53,36.81,37.11,2975
2019-03-11,37.43,38.23,37.12,37.82,2628
2019-03-12,37.92,38.12,36.95,37.85,2365
2019-03-13,38.06,38.15,37.43,37.47,1461
2019-03-14,37.46,37.67,36.81,37.01,1181
2019-03-15,37.26,38.05,37.16,37.66,2537
2019-03-18,37.64,37.88,37.04,37.59,1491
2019-03-19,37.82,37.93,37.32,37.56,1231
2019-03-20,37.62,37.92,36.78,37.08,1692
2019-03-21,37.08,38.04,36.86,37.73,2331
2019-03-22,37.43,37.73,35.74,35.97,2306
2019-03-25,34.63,35.51,34.55,34.99,2952
2019-03-26,35.28,35.47,34.73,35.13,2820
2019-03-27,35.12,35.31,33.79,34.61,4416
2019-03-28,34.65,35.29,34.37,34.99,5128
2019-03-29,35.4,35.54,34.4,34.7,1995
2019-04-01,35.1,36.2,35.1,36.17,2140
2019-04-02,36.2,37.05,36.0,36.7,2898
2019-04-03,37.14,38.1,36.78,37.49,3286
2019-04-04,37.5,38.2,37.12,38.14,2946
2019-04-05,38.43,38.56,37.83,38.36,1556
2019-04-08,38.26,38.67,37.84,38.66,1345
2019-04-09,38.55,38.79,37.85,37.97,1694
2019-04-10,37.85,38.7,37.85,38.53,1256
2019-04-11,38.64,38.68,38.06,38.46,1269
2019-04-12,38.77,38.99,38.02,38.36,1209
2019-04-15,38.4,38.69,38.1,38.49,1231
2019-04-16,38.76,39.43,38.76,39.2,2186
2019-04-17,38.88,39.5,37.23,37.81,4858
2019-04-18,37.82,38.15,37.13,37.18,2055
2019-04-22,36.88,37.18,36.0,36.35,1952
2019-04-23,36.38,37.25,36.13,37.12,2801
2019-04-24,37.19,38.65,37.19,37.74,2143
2019-04-25,37.61,37.61,36.34,36.55,1521
2019-04-26,36.35,36.35,35.69,36.2,1634
2019-04-29,36.17,36.48,35.85,35.9,1655
2019-04-30,35.96,36.53,35.75,36.42,1454
2019-05-01,36.7,36.92,36.22,36.4,2132
2019-05-02,36.25,37.23,35.95,36.42,2117
2019-05-03,36.55,37.15,36.15,37.03,2183
2019-05-06,35.97,36.37,34.73,35.98,4444
2019-05-07,35.57,35.9,34.96,35.2,4315
2019-05-08,38.75,40.75,37.3,38.98,9709
2019-05-09,38.27,39.2,36.9,37.64,4374
2019-05-10,37.51,37.92,36.49,37.81,2558
2019-05-13,36.6,36.6,35.29,35.91,2597
2019-05-14,36.44,37.24,36.04,37.11,2308
2019-05-15,36.48,37.55,36.47,36.84,2415
2019-05-16,37.0,37.22,36.37,36.78,2461
2019-05-17,36.39,36.39,33.87,33.96,2928
2019-05-20,33.24,34.0,32.85,33.38,2216
2019-05-21,33.9,34.36,33.79,34.16,1721
2019-05-22,33.74,34.14,33.4,33.45,1311
2019-05-23,32.86,32.86,31.81,32.26,2798
2019-05-24,32.5,32.74,32.25,32.42,1175
2019-05-28,32.63,32.8,31.9,32.1,1747
2019-05-29,31.69,32.13,31.41,31.64,1658
2019-05-30,31.83,31.98,31.37,31.69,1534
2019-05-31,31.23,31.34,30.77,30.93,1516
2019-06-03,31.01,31.38,30.51,31.02,2696
2019-06-04,31.58,33.45,31.36,33.38,3486
2019-06-05,33.53,33.61,32.74,32.91,2327
2019-06-06,32.86,33.1,32.19,32.82,1176
2019-06-07,33.08,33.31,32.74,33.01,1226
2019-06-10,33.22,34.09,33.04,33.66,888
2019-06-11,34.26,34.37,33.45,33.9,1249
2019-06-12,33.55,33.64,33.18,33.47,1084
2019-06-13,33.69,33.94,33.56,33.78,945
2019-06-14,33.01,33.18,32.45,33.07,1050
2019-06-17,33.04,33.04,32.3,32.35,1757
2019-06-18,32.71,33.95,32.39,33.92,2737
2019-06-19,34.19,34.19,33.41,33.68,1740
2019-06-20,34.43,34.43,33.61,33.78,1981
2019-06-21,33.62,34.16,33.61,33.95,3820
2019-06-24,33.96,34.32,33.67,33.73,1117
2019-06-25,33.71,34.31,33.5,33.62,1885
2019-06-26,34.13,34.96,34.02,34.29,4949
2019-06-27,34.61,35.54,34.61,35.17,2183
2019-06-28,35.5,36.62,35.2,36.37,3087
2019-07-01,37.38,38.46,36.51,36.74,3838
2019-07-02,36.63,36.71,36.13,36.5,1725
2019-07-03,36.5,36.94,36.24,36.85,1326
2019-07-05,36.01,36.89,36.01,36.84,1898
2019-07-08,36.47,36.93,36.39,36.43,2158
2019-07-09,36.0,36.47,36.0,36.35,2385
2019-07-10,36.73,37.12,35.85,36.23,2630
2019-07-11,36.28,36.28,35.05,35.25,3862
2019-07-12,35.33,36.63,35.33,36.56,2777
2019-07-15,36.67,36.88,36.28,36.79,2436
2019-07-16,36.56,37.0,36.39,36.92,4235
2019-07-17,36.83,37.09,36.65,36.99,2778
2019-07-18,36.89,37.5,36.8,37.19,3036
2019-07-19,37.24,37.72,36.8,37.45,1630
2019-07-22,37.62,39.11,37.21,39.03,6920
2019-07-23,39.18,39.65,38.99,39.63,2597
2019-07-24,39.94,42.69,39.5,42.6,5858
2019-07-25,42.41,42.42,41.94,42.13,4984
2019-07-26,42.39,43.35,42.1,42.97,3650
2019-07-29,42.92,43.13,42.53,42.68,2856
2019-07-30,42.07,43.57,41.92,43.24,4078
2019-07-31,43.25,43.51,42.21,42.6,9724
2019-08-01,43.15,44.23,42.41,42.92,9657
2019-08-02,42.38,42.41,39.51,39.74,4149
2019-08-05,38.35,38.51,37.0,38.37,11204
2019-08-06,41.04,41.04,38.55,38.6,9774
2019-08-07,37.8,37.81,36.68,37.67,4478
2019-08-08,37.83,38.54,37.65,38.22,2409
2019-08-09,38.55,39.9,36.9,37.65,10202
