date,open,high,low,close,volume
2018-12-10,13.31,13.39,12.63,12.74,9021
2018-12-11,12.83,12.95,12.08,12.24,10307
2018-12-12,12.51,12.91,12.36,12.68,6682
2018-12-13,12.74,12.74,12.03,12.2,5538
2018-12-14,12.02,12.26,11.83,11.87,4363
2018-12-17,11.87,12.23,11.59,11.86,8588
2018-12-18,12.0,12.07,11.54,11.78,8283
2018-12-19,11.47,11.65,10.78,10.88,20906
2018-12-20,10.74,11.12,10.58,10.68,13679
2018-12-21,10.63,11.04,10.48,10.83,20331
2018-12-24,10.69,10.77,10.36,10.38,4357
2018-12-26,10.53,11.41,10.46,11.4,9733
2018-12-27,11.08,11.55,11.08,11.48,13617
2018-12-28,11.47,11.76,11.36,11.46,5242
2018-12-31,11.55,11.7,11.2,11.64,7430
2019-01-02,11.38,12.15,11.25,12.05,11912
2019-01-03,12.01,12.18,11.67,11.82,9721
2019-01-04,12.07,12.44,11.87,12.18,10938
2019-01-07,12.25,12.86,12.11,12.74,9490
2019-01-08,13.0,13.3,12.92,13.21,6997
2019-01-09,13.41,13.55,13.19,13.25,11379
2019-01-10,13.11,13.4,12.96,13.27,4851
2019-01-11,13.09,13.49,13.01,13.35,4347
2019-01-14,13.2,13.64,13.05,13.41,4397
2019-01-15,13.51,13.62,13.16,13.32,4973
2019-01-16,13.36,13.62,13.22,13.4,4387
2019-01-17,13.16,13.64,13.12,13.55,5150
2019-01-18,13.59,13.9,13.4,13.73,6597
2019-01-22,13.52,13.52,13.13,13.26,6325
2019-01-23,13.35,13.49,12.84,12.89,3508
2019-01-24,12.89,13.2,12.77,13.14,4803
2019-01-25,13.29,13.6,13.23,13.52,2775
2019-01-28,13.26,13.49,13.12,13.48,4328
2019-01-29,13.6,13.6,13.44,13.48,2676
2019-01-30,13.62,13.87,13.27,13.76,3705
2019-01-31,13.79,13.81,13.37,13.53,6883
2019-02-01,13.56,13.94,13.42,13.73,4179
2019-02-04,13.6,13.89,13.58,13.82,3884
2019-02-05,13.79,13.96,13.72,13.88,4079
2019-02-06,13.77,13.99,13.68,13.85,2674
2019-02-07,13.76,13.76,13.03,13.33,7932
2019-02-08,13.23,13.36,13.02,13.25,6403
2019-02-11,13.26,13.51,13.16,13.4,7601
2019-02-12,13.58,13.75,13.49,13.63,6498
2019-02-13,13.76,13.87,13.49,13.66,7656
2019-02-14,13.22,14.78,12.93,14.47,21491
2019-02-15,14.61,15.1,14.34,15.1,16806
2019-02-19,15.0,15.45,14.86,15.3,8296
2019-02-20,15.4,15.93,15.28,15.86,6537
2019-02-21,15.71,15.83,15.4,15.53,5442
2019-02-22,15.65,15.75,15.44,15.47,3555
2019-02-25,15.45,15.55,15.16,15.44,4950
2019-02-26,15.42,15.54,14.98,14.98,3764
2019-02-27,15.02,15.26,14.87,15.15,3660
2019-02-28,15.08,15.08,14.31,14.43,6756
2019-03-01,14.57,14.91,14.52,14.88,4273
2019-03-04,14.92,15.06,14.62,14.64,2973
2019-03-05,14.76,14.76,14.38,14.39,4077
2019-03-06,14.34,14.34,13.83,13.87,4886
2019-03-07,13.9,13.9,13.58,13.69,6035
2019-03-08,13.48,13.71,13.24,13.71,6635
2019-03-11,13.78,14.05,13.66,13.99,5698
2019-03-12,14.07,14.2,13.88,14.1,8495
2019-03-13,14.21,14.43,14.12,14.27,5212
2019-03-14,14.25,14.37,14.05,14.06,3945
2019-03-15,13.81,14.04,13.61,13.65,13044
2019-03-18,13.7,14.2,13.61,14.12,11460
2019-03-19,14.28,14.66,14.19,14.36,11757
2019-03-20,14.33,14.79,14.32,14.57,6175
2019-03-21,14.51,14.89,14.5,14.63,4102
2019-03-22,14.43,14.58,13.84,13.91,9025
2019-03-25,13.85,14.02,13.63,13.88,3453
2019-03-26,14.09,14.3,13.83,13.97,3772
2019-03-27,13.96,14.16,13.7,14.06,3284
2019-03-28,14.0,14.4,14.0,14.37,3904
2019-03-29,14.56,14.74,13.77,13.96,4437
2019-04-01,14.12,14.74,14.12,14.59,4587
2019-04-02,14.62,14.83,14.39,14.63,4181
2019-04-03,14.75,14.96,14.34,14.41,11484
2019-04-04,14.46,14.62,14.35,14.57,3375
2019-04-05,14.65,15.09,14.56,14.94,4911
2019-04-08,14.99,15.13,14.85,14.93,3488
2019-04-09,14.86,14.88,14.53,14.57,3151
2019-04-10,14.57,14.98,14.56,14.9,4086
2019-04-11,14.9,15.17,14.85,15.08,3023
2019-04-12,15.23,15.36,15.12,15.27,3830
2019-04-15,15.19,15.33,15.1,15.25,3994
2019-04-16,15.36,15.49,15.17,15.47,4060
2019-04-17,15.49,15.66,15.34,15.4,4641
2019-04-18,15.38,15.63,15.27,15.45,4400
2019-04-22,15.5,15.58,15.27,15.43,3180
2019-04-23,15.47,15.72,15.32,15.62,2796
2019-04-24,15.56,15.67,15.36,15.36,3477
2019-04-25,15.27,15.27,14.98,14.98,3135
2019-04-26,14.93,15.09,14.75,14.97,3701
2019-04-29,15.03,15.17,14.97,15.15,2939
2019-04-30,15.19,15.27,14.56,14.62,4470
2019-05-01,14.69,14.76,14.21,14.26,7831
2019-05-02,14.97,15.42,14.3,14.85,9018
2019-05-03,15.14,15.55,14.69,15.53,6774
2019-05-06,15.25,15.37,14.96,15.08,3963
2019-05-07,14.86,15.03,14.39,14.6,4146
2019-05-08,14.57,14.73,14.2,14.26,4088
2019-05-09,14.09,14.18,13.78,14.05,5164
2019-05-10,13.94,14.29,13.76,14.24,3835
2019-05-13,14.02,14.03,13.4,13.5,4982
2019-05-14,13.6,14.0,13.56,13.93,2636
2019-05-15,13.71,13.91,13.53,13.88,3901
2019-05-16,13.99,14.27,13.93,13.98,2588
2019-05-17,13.82,14.06,13.63,13.77,3526
2019-05-20,13.65,14.05,13.65,13.94,3682
2019-05-21,14.08,14.39,14.08,14.37,3895
2019-05-22,14.24,14.32,14.0,14.07,2796
2019-05-23,13.76,13.83,13.16,13.37,3199
2019-05-24,13.55,13.64,13.39,13.51,2871
2019-05-28,13.55,13.91,13.48,13.8,4094
2019-05-29,13.57,13.85,13.49,13.74,4521
2019-05-30,13.73,13.99,13.49,13.52,8596
2019-05-31,13.23,13.37,13.0,13.03,5077
2019-06-03,13.13,13.58,13.06,13.45,5812
2019-06-04,13.59,13.91,13.5,13.73,8222
2019-06-05,13.74,13.93,13.24,13.63,4063
2019-06-06,13.63,13.85,13.33,13.66,3196
2019-06-07,13.71,13.83,13.58,13.66,3797
2019-06-10,13.69,13.93,13.65,13.8,3356
2019-06-11,13.96,14.09,13.69,13.76,3936
2019-06-12,13.63,13.72,13.39,13.51,3185
2019-06-13,13.69,13.92,13.69,13.87,4078
2019-06-14,13.78,13.78,13.1,13.13,3264
2019-06-17,13.1,13.41,12.97,13.25,3094
2019-06-18,13.4,13.83,13.34,13.67,4283
2019-06-19,13.66,13.81,13.53,13.6,4378
2019-06-20,13.9,14.11,13.82,13.96,3077
2019-06-21,13.94,14.15,13.83,14.01,6471
2019-06-24,14.04,14.19,13.82,13.83,3017
2019-06-25,13.84,14.22,13.79,13.98,5429
2019-06-26,14.15,14.5,14.1,14.48,4710
2019-06-27,14.5,14.65,14.18,14.35,5268
2019-06-28,14.41,14.8,14.4,14.76,6284
2019-07-01,15.02,15.33,14.74,14.88,6275
2019-07-02,14.83,14.88,14.66,14.77,6944
2019-07-03,14.8,14.84,14.63,14.64,2811
2019-07-05,14.57,14.74,14.49,14.68,3435
2019-07-08,14.57,14.72,14.38,14.47,6250
2019-07-09,14.28,14.28,13.42,13.67,7731
2019-07-10,13.74,13.89,13.56,13.78,6835
2019-07-11,13.75,13.81,13.38,13.41,6066
2019-07-12,13.4,13.65,13.38,13.49,5234
2019-07-15,13.47,13.57,12.9,12.96,5486
2019-07-16,12.92,12.95,12.57,12.64,6918
2019-07-17,12.5,12.68,12.29,12.33,6973
2019-07-18,12.3,12.38,11.78,11.98,5565
2019-07-19,11.98,12.18,11.91,12.04,5150
2019-07-22,12.04,12.33,11.93,11.98,5049
2019-07-23,12.05,12.65,11.94,12.61,6794
2019-07-24,12.52,12.98,12.39,12.94,4517
2019-07-25,12.99,12.99,12.48,12.59,6085
2019-07-26,12.6,12.74,12.46,12.54,5401
2019-07-29,12.54,12.56,12.0,12.13,6867
2019-07-30,12.04,12.27,11.93,12.2,16397
