date,open,high,low,close,volume
2018-12-10,3.1481,3.2312,3.0927,3.15735,6899
2018-12-11,3.22195,3.24965,3.1389,3.1666,2786
2018-12-12,3.21275,3.21275,3.1481,3.15735,1355
2018-12-13,3.18505,3.18505,3.07425,3.07425,1861
2018-12-14,3.065,3.0927,2.93585,3.0004,2457
2018-12-17,3.065,3.12965,3.03735,3.0927,3314
2018-12-18,3.0927,3.2035,3.0927,3.12965,3071
2018-12-19,3.1204,3.1666,3.0004,3.01885,1372
2018-12-20,2.99115,3.1204,2.96345,3.065,6057
2018-12-21,3.10195,3.10195,3.0004,3.03735,4500
2018-12-24,2.9727,3.0281,2.8619,2.9173,3146
2018-12-26,2.945,2.9773,2.8527,2.9727,4020
2018-12-27,2.9081,2.95425,2.8979,2.92655,2195
2018-12-28,2.9358,3.0004,2.87115,2.9081,2778
2018-12-31,2.945,2.9727,2.9081,2.9358,3846
2019-01-02,2.89885,3.03735,2.87115,2.98195,3407
2019-01-03,2.98195,3.03735,2.95425,3.00965,1325
2019-01-04,3.03735,3.1666,3.0281,3.1389,1683
2019-01-07,3.1481,3.2958,3.1389,3.2035,1556
2019-01-08,3.2035,3.3235,3.1941,3.2958,2333
2019-01-09,3.3143,3.3143,3.1712,3.2312,1159
2019-01-10,3.1758,3.24965,3.07425,3.1666,964
2019-01-11,3.1268,3.1758,3.0835,3.1204,1108
2019-01-14,3.19425,3.19425,3.03735,3.07425,1233
2019-01-15,3.0558,3.0558,2.9727,2.99115,1257
2019-01-16,2.98195,3.04655,2.9727,3.0004,1217
2019-01-17,2.98195,3.1204,2.98195,3.10195,691
2019-01-18,3.1204,3.2312,3.07425,3.1666,1855
2019-01-22,3.12965,3.12965,2.98655,3.0281,2140
2019-01-23,3.0281,3.0558,2.99115,3.00965,1380
2019-01-24,3.0004,3.01885,2.945,2.98195,2720
2019-01-25,3.0004,3.04655,2.9358,2.9727,4105
2019-01-28,2.92655,2.9727,2.72345,2.77885,5664
2019-01-29,2.80655,2.81575,2.76035,2.78805,1301
2019-01-30,2.7973,2.825,2.6773,2.7142,3064
2019-01-31,2.73265,2.81575,2.6865,2.7142,2861
2019-02-01,2.73265,2.7696,2.705,2.75115,1399
2019-02-04,2.75115,2.78805,2.73265,2.77885,1163
2019-02-05,2.8342,2.8527,2.78805,2.7973,1202
2019-02-06,2.7696,2.8804,2.7465,2.84345,9979
2019-02-07,2.80655,2.8619,2.76035,2.76035,2405
2019-02-08,2.75115,2.8342,2.6865,2.825,1350
2019-02-11,2.8342,2.8342,2.7609,2.80655,551
2019-02-12,2.8342,3.01885,2.7696,2.98195,2933
2019-02-13,2.99115,2.99115,2.87115,2.8804,2218
2019-02-14,2.8804,2.9081,2.78805,2.8342,3365
2019-02-15,2.84345,2.84345,2.76035,2.78805,2826
2019-02-19,2.7419,2.81575,2.7419,2.7973,9587
2019-02-20,2.76035,2.80655,2.7419,2.76035,2166
2019-02-21,2.75115,2.80655,2.7188,2.7973,1521
2019-02-22,2.73265,2.7973,2.72345,2.73265,2277
2019-02-25,2.73265,2.80655,2.73265,2.77885,2782
2019-02-26,2.73265,2.76035,2.50185,2.5111,11851
2019-02-27,2.5111,2.58495,2.4003,2.4742,9021
2019-02-28,2.4834,2.52035,2.4188,2.428,3850
2019-03-01,2.43725,2.4557,2.4003,2.40955,3803
2019-03-04,2.4188,2.5065,2.4188,2.4465,1723
2019-03-05,2.4557,2.50185,2.428,2.43725,3226
2019-03-06,2.4557,2.4644,2.3449,2.3634,6580
2019-03-07,2.3634,2.4003,2.3265,2.3265,3223
2019-03-08,2.3542,2.3634,2.224,2.2618,5952
2019-03-11,2.2711,2.3911,2.2711,2.3726,2090
2019-03-12,2.3726,2.4188,2.3265,2.4003,2107
2019-03-13,2.4096,2.5203,2.4096,2.5019,4172
2019-03-14,2.5019,2.5388,2.4096,2.4649,2552
2019-03-15,2.4649,2.5296,2.4465,2.4465,3417
2019-03-18,2.4465,2.5203,2.4465,2.5203,2027
2019-03-19,2.5296,2.5296,2.4742,2.5019,1151
2019-03-20,2.4834,2.5388,2.4096,2.5111,2287
2019-03-21,2.4926,2.5388,2.4742,2.5203,1621
2019-03-22,2.5203,2.5665,2.5019,2.5111,3155
2019-03-25,2.4926,2.5296,2.465,2.5111,2848
2019-03-26,2.5296,2.5942,2.4926,2.585,6509
2019-03-27,2.585,2.585,2.5065,2.585,2443
2019-03-28,2.5942,2.6496,2.548,2.6219,2962
2019-03-29,2.668,2.668,2.5757,2.6034,2293
2019-04-01,2.6127,2.7142,2.585,2.6773,3738
2019-04-02,2.6773,2.7234,2.6404,2.6957,2736
2019-04-03,2.6957,2.8065,2.6957,2.7973,2801
2019-04-04,2.7788,2.8065,2.6957,2.7696,2806
2019-04-05,2.7604,2.8158,2.705,2.7881,2208
2019-04-08,2.8065,2.825,2.668,2.7142,1671
2019-04-09,2.6773,2.7327,2.6127,2.6957,1761
2019-04-10,2.7234,2.8435,2.7142,2.825,2258
2019-04-11,2.8527,2.9081,2.8158,2.8712,3166
2019-04-12,2.8896,2.9161,2.7973,2.8065,786
