date,open,high,low,close,volume
2018-12-10,1.13,1.26,1.12,1.15,94
2018-12-11,1.15,1.18,1.12,1.12,147
2018-12-12,1.15,1.19,1.13,1.19,91
2018-12-13,1.18,1.18,1.07,1.09,227
2018-12-14,1.06,1.2,1.02,1.02,322
2018-12-17,1.05,1.05,0.86,0.94,307
2018-12-18,0.91,1.0,0.91,0.92,270
2018-12-19,0.88,0.96,0.88,0.915,360
2018-12-20,0.92,1.2,0.9,0.95,257
2018-12-21,1.01,1.01,0.89,0.89,177
2018-12-24,0.89,1.02,0.81,0.81,580
2018-12-26,0.96,0.96,0.75,0.75,1255
2018-12-27,0.75,0.8,0.75,0.75,722
2018-12-28,0.75,0.8,0.7,0.7,1565
2018-12-31,0.7,0.78,0.7,0.71,1761
2019-01-02,0.77,0.9,0.75,0.8,859
2019-01-03,0.84,0.85,0.8,0.8,225
2019-01-04,0.92,0.97,0.86,0.95,75
2019-01-07,0.94,0.96,0.77,0.94,480
2019-01-08,0.99,1.02,0.95,0.95,61
2019-01-09,0.97,0.97,0.8,0.95,183
2019-01-10,0.95,1.04,0.81,0.86,584
2019-01-11,0.9,0.99,0.86,0.97,181
2019-01-14,0.89,0.96,0.88,0.89,283
2019-01-15,0.9,0.95,0.89,0.95,41
2019-01-16,0.94,0.94,0.88,0.94,87
2019-01-17,0.92,0.98,0.89,0.905,201
2019-01-18,0.95,0.97,0.9,0.94,98
2019-01-22,0.93,0.93,0.89,0.9,690
2019-01-23,0.93,0.98,0.88,0.95,234
2019-01-24,0.92,0.94,0.88,0.9,120
2019-01-25,0.89,0.92,0.88,0.9,60
2019-01-28,0.92,0.92,0.88,0.88,72
2019-01-29,0.9,0.91,0.89,0.9,69
2019-01-30,0.9,0.9,0.88,0.88,27
2019-01-31,0.89,0.89,0.86,0.86,90
2019-02-01,0.87,0.89,0.84,0.84,210
2019-02-04,0.9,1.29,0.85,1.16,3059
2019-02-05,1.24,1.24,1.16,1.16,1053
2019-02-06,1.18,1.23,1.18,1.2,212
2019-02-07,1.19,1.22,1.19,1.2,285
2019-02-08,1.21,1.22,1.19,1.2,460
2019-02-11,1.21,1.33,1.21,1.24,471
2019-02-12,1.26,1.35,1.16,1.19,602
2019-02-13,1.22,1.28,1.19,1.25,153
2019-02-14,1.22,1.29,1.16,1.23,257
2019-02-15,1.25,1.26,1.17,1.2,379
2019-02-19,1.17,1.24,1.17,1.2,73
2019-02-20,1.24,1.24,1.16,1.16,623
2019-02-21,1.16,1.19,1.16,1.17,633
2019-02-22,1.19,1.27,1.19,1.26,486
2019-02-25,1.26,1.45,1.26,1.35,1552
2019-02-26,1.36,1.47,1.36,1.4,547
2019-02-27,1.37,1.42,1.36,1.42,162
2019-02-28,1.41,1.42,1.25,1.27,274
2019-03-01,1.26,1.32,1.26,1.32,96
2019-03-04,1.35,1.38,1.26,1.275,81
2019-03-05,1.33,1.42,1.27,1.27,340
2019-03-06,1.27,1.34,1.16,1.16,386
2019-03-07,1.16,1.2,1.05,1.1,1642
2019-03-08,1.07,1.11,1.06,1.06,334
2019-03-11,1.06,1.1,1.06,1.06,164
2019-03-12,1.07,1.08,1.05,1.05,136
2019-03-13,1.06,1.09,1.05,1.09,263
2019-03-14,1.08,1.09,0.99,1.02,231
2019-03-15,1.05,1.05,1.01,1.03,39
2019-03-18,1.05,1.18,1.01,1.03,314
2019-03-19,1.05,1.05,0.99,1.01,211
2019-03-20,1.0,1.04,0.99,0.99,252
2019-03-21,1.01,1.04,0.99,0.99,149
2019-03-22,0.99,0.99,0.92,0.93,251
2019-03-25,0.95,1.04,0.93,0.93,458
2019-03-26,1.0,1.03,0.92,0.93,64
2019-03-27,0.93,0.93,0.92,0.93,19
2019-03-28,0.9,0.92,0.9,0.92,354
2019-03-29,0.91,0.96,0.9,0.94,118
2019-04-01,0.96,0.97,0.9,0.91,173
2019-04-02,0.92,0.92,0.9,0.91,139
2019-04-03,0.92,0.92,0.9,0.92,347
2019-04-04,0.92,0.95,0.9,0.9,315
2019-04-05,0.9,0.95,0.88,0.885,159
2019-04-08,0.9,0.91,0.88,0.8875,71
2019-04-09,0.9001,0.9046,0.825,0.8414,386
2019-04-10,0.87,0.87,0.8411,0.8411,604
2019-04-11,0.8652,0.8727,0.84,0.8451,181
2019-04-12,0.8721,0.88,0.8011,0.8011,590
2019-04-15,0.824,0.86,0.81,0.86,130
2019-04-16,0.8685,0.8685,0.8157,0.831,162
2019-04-17,0.82,0.8402,0.81,0.81,42
