date,open,high,low,close,volume
2018-12-10,12.77,13.02,12.6,12.86,23
2018-12-11,12.94,12.94,12.3,12.33,106
2018-12-12,12.33,12.59,12.0,12.45,201
2018-12-13,12.45,12.88,12.26,12.41,333
2018-12-14,12.41,12.87,12.02,12.39,83
2018-12-17,12.33,13.43,12.33,13.21,231
2018-12-18,12.82,14.44,12.8,14.19,419
2018-12-19,14.78,15.4,14.26,14.78,806
2018-12-20,14.86,14.9,14.52,14.8,468
2018-12-21,14.79,14.79,13.35,13.35,350
2018-12-24,13.2,13.2,12.59,12.88,81
2018-12-26,12.97,14.39,12.89,13.96,221
2018-12-27,13.97,14.34,13.37,14.34,254
2018-12-28,14.34,14.34,13.56,13.92,134
2018-12-31,13.97,14.1,13.8,13.91,137
2019-01-02,13.79,13.84,13.4,13.7,63
2019-01-03,13.85,13.98,13.26,13.26,40
2019-01-04,13.46,13.82,13.26,13.26,62
2019-01-07,13.25,13.67,13.25,13.47,53
2019-01-08,13.71,14.27,13.37,13.81,359
2019-01-09,13.78,14.0,13.68,13.74,63
2019-01-10,13.77,13.77,13.3,13.42,49
2019-01-11,13.42,13.42,12.64,12.83,243
2019-01-14,12.97,13.19,12.47,12.67,67
2019-01-15,12.72,13.06,12.72,13.04,33
2019-01-16,13.31,13.31,12.97,13.11,21
2019-01-17,13.08,13.18,12.9,13.11,42
2019-01-18,13.18,13.18,12.83,12.85,30
2019-01-22,12.84,12.84,12.5,12.5,49
2019-01-23,12.66,12.8,12.59,12.77,17
2019-01-24,12.78,13.0,12.51,13.0,16
2019-01-25,13.05,13.05,12.98,13.04,12
2019-01-28,12.89,13.17,12.75,12.75,103
2019-01-29,12.88,13.09,12.75,13.03,21
2019-01-30,13.11,13.17,12.84,13.17,50
2019-01-31,13.14,13.6,13.09,13.36,93
2019-02-01,13.49,14.1,13.26,13.945,65
2019-02-04,14.06,14.32,14.04,14.32,155
2019-02-05,14.2,14.5,13.83,14.405,253
2019-02-06,14.03,14.08,13.86,13.87,94
2019-02-07,13.85,14.0,13.53,13.76,86
2019-02-08,13.27,13.94,12.93,13.31,84
2019-02-11,13.45,13.92,13.31,13.32,41
2019-02-12,13.34,13.57,13.23,13.57,115
2019-02-13,13.65,13.72,13.5,13.7,36
2019-02-14,13.7,14.0,13.66,13.85,180
2019-02-15,13.97,14.25,13.48,14.07,76
