date,open,high,low,close,volume
2018-12-10,63.88,63.88,62.03,62.43,333
2018-12-11,63.14,63.83,62.03,62.43,211
2018-12-12,62.83,64.79,62.71,63.14,384
2018-12-13,63.14,64.15,62.31,63.4,307
2018-12-14,62.94,67.14,62.94,65.35,1106
2018-12-17,65.88,66.19,63.9,64.48,874
2018-12-18,65.12,65.63,63.47,63.85,563
2018-12-19,63.8,64.6,61.23,62.19,507
2018-12-20,62.2,63.12,60.01,61.49,414
2018-12-21,61.49,61.72,59.01,59.87,806
2018-12-24,59.62,60.91,58.6,58.6,343
2018-12-26,58.68,61.01,57.59,60.87,314
2018-12-27,60.07,61.53,59.29,61.52,287
2018-12-28,61.43,64.09,60.89,62.0,286
2018-12-31,62.01,62.98,61.4,62.98,287
2019-01-02,61.98,64.09,60.35,63.85,844
2019-01-03,63.57,66.75,62.24,63.46,670
2019-01-04,63.78,66.54,63.51,63.99,673
2019-01-07,64.18,66.18,64.02,64.16,678
2019-01-08,64.81,65.34,64.25,64.87,964
2019-01-09,65.11,65.75,64.53,64.81,1037
2019-01-10,64.35,65.26,64.03,64.8,848
2019-01-11,64.45,64.82,63.7,64.0,1648
2019-01-14,63.59,64.23,63.25,63.9,1064
2019-01-15,63.6,64.51,63.37,63.99,452
2019-01-16,64.17,65.01,63.55,63.95,600
2019-01-17,63.65,64.08,63.59,63.99,553
2019-01-18,63.98,64.13,62.86,63.95,561
2019-01-22,63.75,64.18,62.73,63.4,494
2019-01-23,63.71,64.46,62.4,62.73,464
2019-01-24,63.03,65.64,62.31,62.56,431
2019-01-25,62.72,63.78,62.52,63.39,452
2019-01-28,63.1,63.1,61.5,61.67,303
2019-01-29,61.78,63.25,61.36,62.21,339
2019-01-30,62.4,63.57,60.83,63.55,375
2019-01-31,63.54,64.2,62.75,63.67,682
2019-02-01,63.66,63.66,61.0,62.85,386
2019-02-04,62.78,64.05,62.78,63.99,479
2019-02-05,63.67,64.37,62.9,63.05,648
2019-02-06,62.9,63.81,62.38,63.03,467
2019-02-07,62.63,63.76,61.4,62.22,1392
2019-02-08,62.24,62.99,60.82,62.57,1152
2019-02-11,62.7,64.45,62.55,63.98,1690
2019-02-12,64.03,65.26,62.11,65.26,1128
2019-02-13,65.27,67.19,63.72,64.17,398
2019-02-14,63.79,65.51,63.79,64.27,444
2019-02-15,64.59,66.14,64.13,64.95,593
2019-02-19,65.17,65.92,64.82,65.79,377
2019-02-20,65.78,66.17,65.34,65.99,332
2019-02-21,66.2,66.46,65.08,65.55,352
2019-02-22,63.11,64.35,60.07,61.76,1439
2019-02-25,61.24,61.75,57.79,58.0,1264
