date,open,high,low,close,volume
2018-12-10,5.3,5.76,5.29,5.3,188
2018-12-11,5.37,5.54,4.79,4.91,790
2018-12-12,5.0,5.82,4.78,4.9,744
2018-12-13,4.94,5.05,4.56,4.6,912
2018-12-14,4.53,4.8,4.21,4.21,2398
2018-12-17,4.5,5.04,4.16,4.96,2183
2018-12-18,5.37,5.37,4.64,4.76,875
2018-12-19,4.75,5.77,4.75,5.7,868
2018-12-20,5.82,6.71,5.56,5.94,2349
2018-12-21,5.95,6.3,5.01,5.88,2112
2018-12-24,5.87,6.03,5.5,5.57,480
2018-12-26,5.63,6.22,5.5,5.72,1001
2018-12-27,5.71,5.72,5.52,5.63,187
2018-12-28,5.63,5.87,5.41,5.69,719
2018-12-31,5.75,6.38,5.75,6.26,1052
2019-01-02,6.16,7.25,6.03,7.11,2189
2019-01-03,7.13,7.64,6.6,7.6,1991
2019-01-04,7.7,8.65,7.65,8.36,1921
2019-01-07,8.36,8.42,7.24,7.28,3367
2019-01-08,7.21,7.23,5.83,5.89,3594
2019-01-09,5.91,5.99,5.28,5.61,4454
2019-01-10,5.6,6.04,5.27,5.84,3099
2019-01-11,5.76,5.96,5.3,5.38,1322
2019-01-14,5.39,5.54,4.82,5.05,1139
2019-01-15,5.1,5.13,4.7,4.9,1598
2019-01-16,4.89,5.03,4.81,4.84,644
2019-01-17,4.87,5.04,4.68,4.95,958
2019-01-18,5.02,5.36,4.8,5.22,791
2019-01-22,5.22,5.77,5.22,5.62,930
2019-01-23,5.66,5.85,5.51,5.84,323
2019-01-24,5.8,6.15,5.59,5.89,494
2019-01-25,6.1,6.1,5.6,5.99,630
2019-01-28,5.93,6.19,5.82,6.05,629
2019-01-29,6.07,6.2,6.0,6.14,463
2019-01-30,6.14,6.4,6.05,6.29,417
2019-01-31,6.3,6.96,6.3,6.68,1682
2019-02-01,6.73,6.93,6.55,6.57,582
2019-02-04,6.46,7.09,6.4,6.85,497
2019-02-05,6.87,7.41,6.72,7.06,738
2019-02-06,7.1,7.37,6.76,7.37,676
2019-02-07,7.32,7.49,6.99,7.42,395
2019-02-08,7.36,7.41,6.52,6.65,712
2019-02-11,6.73,6.8,6.16,6.76,979
2019-02-12,6.75,6.9,6.4,6.75,203
2019-02-13,6.62,7.06,6.55,6.91,390
2019-02-14,7.0,7.5,6.88,7.26,393
2019-02-15,7.29,7.39,6.8,6.87,636
2019-02-19,7.05,7.29,6.75,6.87,292
2019-02-20,6.87,6.9,6.47,6.89,1032
2019-02-21,6.88,7.75,6.85,7.67,809
2019-02-22,7.71,10.25,7.3,8.97,3858
2019-02-25,9.24,9.49,8.89,9.07,1439
2019-02-26,9.17,9.58,8.52,8.88,1459
2019-02-27,8.88,9.24,8.56,8.85,1047
2019-02-28,8.83,9.06,8.24,8.74,954
2019-03-01,8.82,9.02,8.29,8.97,743
2019-03-04,9.07,9.1,8.37,8.5,1441
2019-03-05,8.66,8.71,7.8,8.24,1586
2019-03-06,8.13,8.27,7.52,7.83,1587
2019-03-07,7.68,8.2,7.61,8.1,677
2019-03-08,8.09,8.19,7.28,7.56,1179
2019-03-11,7.56,8.14,7.3,8.06,900
2019-03-12,8.17,8.37,7.48,7.65,488
2019-03-13,7.7,7.96,7.28,7.66,1235
2019-03-14,7.72,7.93,7.07,7.53,1114
2019-03-15,7.43,7.7,7.4,7.58,1052
2019-03-18,7.68,8.29,7.51,8.27,1101
2019-03-19,8.26,8.45,7.72,8.35,1803
2019-03-20,8.3,8.49,7.85,8.19,1733
2019-03-21,8.26,8.98,8.26,8.95,2660
2019-03-22,8.9,9.1,8.21,8.4,1504
2019-03-25,8.52,8.66,8.12,8.24,2936
2019-03-26,8.32,8.43,7.38,7.76,1131
2019-03-27,7.69,7.69,7.05,7.52,2082
2019-03-28,6.88,7.98,6.38,7.63,1104
2019-03-29,7.62,7.62,6.88,7.0,1673
2019-04-01,7.01,7.18,6.55,6.72,1140
2019-04-02,6.74,6.74,6.08,6.15,2097
2019-04-03,6.21,6.51,5.46,5.51,1208
2019-04-04,5.5,5.78,5.5,5.63,805
2019-04-05,5.69,5.75,5.51,5.66,641
2019-04-08,5.65,5.72,5.55,5.59,253
2019-04-09,5.56,5.79,5.55,5.58,952
2019-04-10,5.63,5.7,5.45,5.52,507
2019-04-11,5.52,5.53,5.4,5.48,707
2019-04-12,5.52,5.76,5.44,5.72,643
2019-04-15,5.74,6.5,5.74,6.35,755
2019-04-16,6.4,6.54,5.83,6.07,1668
2019-04-17,6.05,6.05,5.65,5.76,297
2019-04-18,5.77,6.4,5.75,6.4,240
2019-04-22,6.4,6.46,5.98,6.14,263
2019-04-23,6.17,6.3,6.04,6.18,198
2019-04-24,6.18,6.28,5.99,6.1,185
2019-04-25,6.08,6.35,6.08,6.34,204
2019-04-26,6.37,6.37,6.17,6.22,210
2019-04-29,6.24,6.36,6.1,6.25,1091
2019-04-30,6.29,6.45,5.97,6.25,585
2019-05-01,6.24,6.42,6.24,6.35,629
2019-05-02,6.34,6.34,6.17,6.3,444
2019-05-03,6.3,6.3,5.95,6.25,1091
2019-05-06,6.25,6.25,6.02,6.12,497
2019-05-07,6.05,6.13,5.91,5.99,373
2019-05-08,6.04,6.12,5.79,5.9,650
2019-05-09,5.89,6.3,5.55,6.15,3893
2019-05-10,6.12,6.31,5.89,5.97,1566
2019-05-13,6.01,6.01,5.72,5.72,334
2019-05-14,5.76,6.16,5.33,5.33,1390
2019-05-15,5.05,5.07,3.72,3.75,5534
2019-05-16,3.75,3.98,3.75,3.79,2398
2019-05-17,3.75,3.79,2.82,3.0,4407
2019-05-20,3.03,3.34,2.84,3.12,1679
2019-05-21,3.11,3.19,2.94,3.13,693
2019-05-22,3.11,3.18,2.66,2.7,1653
2019-05-23,2.76,2.8,2.55,2.65,1154
2019-05-24,2.66,2.76,2.46,2.53,1855
2019-05-28,2.55,2.61,2.18,2.19,2914
2019-05-29,2.18,2.21,2.0,2.06,2541
2019-05-30,2.36,2.37,1.77,1.95,7262
2019-05-31,1.89,1.89,1.53,1.71,4894
2019-06-03,1.71,1.722,1.505,1.65,3102
2019-06-04,1.66,1.835,1.555,1.68,5644
2019-06-05,1.73,1.77,1.49,1.69,4130
2019-06-06,1.82,1.82,1.62,1.655,2232
2019-06-07,1.71,2.3,1.67,2.24,7997
2019-06-10,2.37,2.38,1.95,2.0,5216
2019-06-11,1.99,1.99,1.7,1.85,2790
2019-06-12,1.88,1.88,1.66,1.72,1748
2019-06-13,1.73,2.2,1.73,2.18,4538
2019-06-14,2.17,2.178,1.95,1.96,2328
2019-06-17,1.96,2.08,1.9301,1.98,1042
2019-06-18,1.99,2.02,1.82,1.82,1579
2019-06-19,1.84,1.99,1.83,1.94,910
2019-06-20,1.96,2.04,1.9,1.99,3527
2019-06-21,1.97,2.1691,1.8807,2.12,3919
2019-06-24,2.13,2.15,1.8101,1.88,3942
2019-06-25,1.85,1.8788,1.719,1.73,3271
2019-06-26,1.75,1.87,1.72,1.78,1707
2019-06-27,1.79,1.89,1.75,1.84,900
2019-06-28,1.83,2.0,1.81,2.0,1557
2019-07-01,2.03,2.06,1.95,1.97,1347
2019-07-02,1.98,2.06,1.95,2.02,1301
2019-07-03,2.03,2.14,1.82,1.85,846
2019-07-05,1.82,1.95,1.76,1.79,739
2019-07-08,1.79,1.861,1.7,1.77,1593
2019-07-09,1.77,1.79,1.7,1.71,665
2019-07-10,1.73,1.76,1.66,1.67,712
2019-07-11,1.66,1.69,1.5375,1.69,1609
2019-07-12,1.69,1.7094,1.6,1.62,913
2019-07-15,1.65,1.7,1.55,1.61,704
2019-07-16,1.58,1.59,1.35,1.4,2309
2019-07-17,1.43,1.4928,1.39,1.39,511
2019-07-18,1.39,1.4,1.26,1.3,1326
2019-07-19,1.27,1.373,1.25,1.25,685
2019-07-22,1.28,1.28,1.25,1.25,1286
2019-07-23,1.26,1.856,1.23,1.54,9940
2019-07-24,1.53,1.61,1.36,1.5,1634
2019-07-25,1.52,1.53,1.32,1.36,1170
2019-07-26,1.37,1.45,1.3415,1.4,490
2019-07-29,1.39,1.45,1.39,1.4,314
2019-07-30,1.39,1.52,1.39,1.44,723
2019-07-31,1.46,1.54,1.39,1.41,252
2019-08-01,1.41,1.495,1.25,1.26,490
2019-08-02,1.3,1.4,1.28,1.285,952
2019-08-05,1.25,1.34,1.25,1.29,124
2019-08-06,1.29,1.36,1.25,1.32,364
2019-08-07,1.29,1.42,1.25,1.37,484
2019-08-08,1.44,1.5,1.39,1.46,402
2019-08-09,1.47,1.54,1.43,1.5,464
2019-08-12,1.5,1.6396,1.43,1.56,821
2019-08-13,1.41,1.62,1.41,1.56,684
2019-08-14,1.52,1.52,1.2663,1.39,1023
2019-08-15,1.37,1.66,1.37,1.51,1475
2019-08-16,1.51,1.67,1.48,1.64,1566
2019-08-19,1.64,1.82,1.61,1.69,1424
2019-08-20,1.74,1.7615,1.65,1.695,792
2019-08-21,1.71,1.88,1.71,1.82,1949
2019-08-22,1.89,1.89,1.69,1.77,467
2019-08-23,1.75,1.75,1.53,1.57,1120
2019-08-26,1.59,1.78,1.59,1.71,846
2019-08-27,1.72,1.72,1.53,1.57,747
2019-08-28,1.56,1.73,1.54,1.7,386
2019-08-29,1.7,1.96,1.65,1.87,1676
2019-08-30,1.89,1.99,1.87,1.91,880
2019-09-03,1.91,1.97,1.77,1.94,694
2019-09-04,1.96,2.2484,1.9,2.22,1637
2019-09-05,2.3,2.58,2.1,2.55,2926
2019-09-06,2.55,2.99,2.45,2.89,2996
2019-09-09,2.85,2.95,2.6,2.89,1494
2019-09-10,2.9,3.5,2.75,3.27,2161
2019-09-11,3.35,3.51,3.0,3.48,2211
2019-09-12,3.5,3.65,3.31,3.61,1890
2019-09-13,3.56,3.8,3.35,3.75,1963
2019-09-16,3.7,4.0,3.57,3.89,2502
2019-09-17,3.91,4.14,3.78,4.05,1562
2019-09-18,4.11,4.9,3.98,4.75,4182
2019-09-19,4.86,5.64,4.675,4.96,8584
2019-09-20,4.95,5.24,4.4,5.0,5572
2019-09-23,5.02,5.02,4.0,4.18,4130
2019-09-24,4.13,4.29,2.7,3.36,5729
2019-09-25,3.11,3.1915,2.5099,2.57,5246
2019-09-26,2.6,2.8999,2.43,2.48,3063
2019-09-27,2.43,2.43,2.11,2.175,2707
2019-09-30,2.13,2.21,2.03,2.19,1262
2019-10-01,2.15,2.19,1.8,1.86,2279
2019-10-02,1.85,2.06,1.8,2.0,2086
2019-10-03,2.0,2.0,1.83,1.98,500
2019-10-04,2.06,3.1112,2.06,2.67,11624
2019-10-07,2.69,2.88,2.44,2.56,3420
2019-10-08,2.47,2.55,2.26,2.37,1901
2019-10-09,2.39,2.75,2.39,2.62,1578
2019-10-10,2.62,2.646,2.35,2.42,789
2019-10-11,2.43,2.68,1.93,2.07,2445
2019-10-14,2.0,2.15,1.92,1.97,1730
2019-10-15,1.93,2.021,1.72,1.89,2268
2019-10-16,1.87,1.935,1.83,1.88,704
2019-10-17,1.89,2.07,1.81,1.96,1764
2019-10-18,1.99,2.054,1.87,1.88,1116
2019-10-21,1.92,1.95,1.88,1.91,766
2019-10-22,1.88,1.99,1.88,1.97,727
2019-10-23,1.97,2.0799,1.9,2.06,1074
2019-10-24,2.05,2.05,1.85,1.86,1529
2019-10-25,1.86,1.95,1.85,1.85,794
2019-10-28,1.86,1.93,1.76,1.81,1016
2019-10-29,1.9,1.9,1.65,1.69,1139
2019-10-30,1.68,1.71,1.3701,1.46,4071
2019-10-31,1.45,1.64,1.42,1.58,1797
2019-11-01,1.56,1.65,1.48,1.55,1371
2019-11-04,1.54,1.715,1.54,1.69,1008
2019-11-05,1.67,1.69,1.49,1.505,1786
2019-11-06,1.52,1.6,1.51,1.515,418
2019-11-07,1.51,1.5899,1.46,1.55,603
2019-11-08,1.54,1.73,1.53,1.63,710
2019-11-11,1.63,1.69,1.6,1.64,429
2019-11-12,1.61,1.8873,1.6,1.82,1608
2019-11-13,1.84,1.95,1.81,1.85,1351
2019-11-14,1.47,1.52,1.3,1.48,3199
2019-11-15,1.5,1.6599,1.5,1.58,1781
2019-11-18,1.53,1.58,1.31,1.37,2451
2019-11-19,1.4,1.56,1.3701,1.56,2025
2019-11-20,1.57,1.7,1.48,1.51,1692
2019-11-21,1.5,1.57,1.46,1.52,483
2019-11-22,1.51,1.5925,1.41,1.52,2454
2019-11-25,1.53,1.58,1.47,1.55,923
2019-11-26,1.53,1.55,1.47,1.48,584
2019-11-27,1.51,1.55,1.47,1.48,639
2019-11-29,1.5,1.56,1.45,1.51,630
2019-12-02,1.51,1.53,1.44,1.5,1423
2019-12-03,1.65,1.6981,1.48,1.53,1142
