date,open,high,low,close,volume
2018-12-10,110.52,113.4,110.21,112.88,2078
2018-12-11,114.2,115.86,112.62,113.17,1874
2018-12-12,114.46,115.17,111.35,111.45,2809
2018-12-13,111.46,113.38,106.94,107.83,3823
2018-12-14,106.77,107.39,104.06,104.79,4545
2018-12-17,104.6,105.58,100.55,100.96,5783
2018-12-18,101.06,103.22,100.11,102.91,3935
2018-12-19,103.47,105.86,101.03,101.96,4736
2018-12-20,101.1,102.04,97.9,100.41,4365
2018-12-21,101.01,101.01,96.98,97.08,4423
2018-12-24,96.41,97.64,95.44,96.7,1522
2018-12-26,97.49,101.2,91.78,101.12,2329
2018-12-27,99.1,101.43,98.23,101.42,2464
2018-12-28,101.92,102.92,100.01,101.18,2114
2018-12-31,101.64,102.38,99.62,102.38,2008
2019-01-02,100.59,102.85,99.92,101.56,3508
2019-01-03,100.52,100.97,96.42,96.45,4210
2019-01-04,98.08,100.88,96.94,100.13,4361
2019-01-07,100.46,101.88,98.19,101.47,4104
2019-01-08,101.58,104.05,101.58,103.31,4430
2019-01-09,103.39,104.62,102.89,104.01,4662
2019-01-10,103.16,104.64,102.82,104.6,3032
2019-01-11,104.54,105.22,103.81,104.74,3470
2019-01-14,104.24,106.93,103.01,106.05,2905
2019-01-15,106.08,108.03,106.08,107.96,2112
2019-01-16,108.1,110.1,108.1,109.7,2470
2019-01-17,109.55,112.0,109.55,110.79,3257
2019-01-18,111.37,113.26,110.85,113.0,2371
2019-01-22,112.77,112.77,111.6,112.46,3631
2019-01-23,112.5,114.24,111.62,113.56,2632
2019-01-24,113.45,114.83,113.45,114.37,2498
2019-01-25,115.09,116.38,114.89,115.41,2731
2019-01-28,114.59,115.56,113.42,114.79,1694
2019-01-29,114.72,114.99,113.04,113.65,1341
2019-01-30,114.4,115.69,113.48,115.56,2141
2019-01-31,115.6,116.98,109.8,115.01,2831
2019-02-01,115.0,116.58,114.67,115.35,2429
2019-02-04,115.36,116.52,114.88,116.52,1903
2019-02-05,116.9,118.25,116.6,117.51,1353
2019-02-06,117.4,117.73,116.21,116.85,1681
2019-02-07,116.68,117.12,115.0,115.33,3508
2019-02-08,118.6,129.34,115.35,126.57,13796
2019-02-11,127.91,134.0,127.29,129.13,7973
2019-02-12,129.33,131.55,128.14,128.76,4776
2019-02-13,129.27,130.15,128.6,129.29,3138
2019-02-14,129.16,130.88,128.17,129.37,2714
2019-02-15,130.27,130.85,128.65,128.98,2967
2019-02-19,128.54,130.19,128.08,129.76,2280
2019-02-20,129.7,132.29,129.33,131.6,2025
2019-02-21,131.59,132.38,130.67,131.3,1343
2019-02-22,131.9,134.52,131.83,133.99,1951
2019-02-25,134.99,135.0,132.51,133.2,1668
2019-02-26,132.68,134.27,131.32,133.01,1650
2019-02-27,133.06,134.94,132.71,134.63,1589
2019-02-28,134.65,135.08,133.53,134.32,1587
2019-03-01,135.42,135.89,132.76,135.37,3836
2019-03-04,136.17,137.77,135.05,136.97,3285
2019-03-05,137.07,137.5,135.79,137.14,2174
2019-03-06,137.53,137.98,135.78,137.13,1643
2019-03-07,136.69,137.56,135.38,136.46,1412
2019-03-08,135.27,136.52,134.6,135.55,1873
2019-03-11,135.88,138.54,134.9,137.9,3530
2019-03-12,138.0,139.27,137.0,138.31,2282
2019-03-13,138.29,139.58,137.7,138.77,4650
2019-03-14,139.55,143.17,139.28,140.47,7858
2019-03-15,140.5,141.06,137.76,138.15,3298
2019-03-18,138.49,139.87,138.08,139.73,2634
2019-03-19,140.66,142.99,139.25,140.45,3929
2019-03-20,139.58,139.92,135.65,137.82,4327
2019-03-21,138.33,143.0,138.33,142.02,4632
2019-03-22,142.04,143.45,138.24,138.78,3894
2019-03-25,138.29,139.09,136.38,137.3,2413
2019-03-26,138.37,139.89,137.39,139.38,3170
2019-03-27,139.46,140.98,138.52,139.51,1810
2019-03-28,141.75,142.6,139.35,139.98,3580
2019-03-29,140.95,142.9,140.2,142.59,2545
2019-04-01,143.8,145.91,143.24,144.95,3371
2019-04-02,145.33,147.43,141.0,141.33,5377
2019-04-03,142.22,144.22,141.11,141.98,6053
2019-04-04,141.69,143.2,139.02,141.03,4360
2019-04-05,142.35,143.84,141.02,142.75,2832
2019-04-08,142.2,143.63,140.9,143.51,2395
2019-04-09,142.79,144.78,141.2,143.82,2908
2019-04-10,143.74,144.97,142.73,143.07,2867
2019-04-11,143.51,144.4,141.03,142.88,3043
2019-04-12,143.49,145.26,142.5,144.69,4902
2019-04-15,144.92,146.92,144.73,146.72,4283
2019-04-16,147.35,148.19,146.08,146.81,6111
2019-04-17,146.82,149.15,145.95,148.96,4988
2019-04-18,149.13,150.53,147.15,147.42,5059
2019-04-22,146.79,148.05,146.15,147.49,1964
2019-04-23,148.03,149.27,147.55,147.97,2691
2019-04-24,147.85,149.17,147.08,147.96,4103
2019-04-25,149.2,149.59,146.18,147.02,2940
2019-04-26,147.08,147.91,146.33,147.24,1953
2019-04-29,148.12,148.53,146.42,147.45,4263
2019-04-30,147.52,150.63,145.51,149.89,7611
2019-05-01,150.48,152.0,148.51,149.75,4636
2019-05-02,149.25,151.03,146.79,148.16,3108
2019-05-03,149.06,150.81,147.64,150.67,2728
2019-05-06,147.64,152.17,147.6,151.96,2421
2019-05-07,151.99,152.34,148.0,150.33,2564
2019-05-08,149.96,152.16,149.96,150.92,2443
2019-05-09,148.92,150.96,148.1,150.77,2405
2019-05-10,150.04,151.65,147.73,151.46,2078
2019-05-13,148.47,150.05,145.75,146.8,2468
2019-05-14,147.74,149.65,147.55,148.37,1889
2019-05-15,147.67,150.99,147.65,149.83,2053
2019-05-16,150.61,154.72,150.61,153.51,2641
2019-05-17,152.63,154.89,152.63,153.28,2433
2019-05-20,152.01,153.78,151.16,152.04,1985
2019-05-21,153.13,155.99,153.13,155.46,3251
2019-05-22,154.64,158.7,154.64,158.39,3198
2019-05-23,157.05,157.37,155.52,156.14,2882
2019-05-24,157.17,158.8,156.82,158.39,1199
2019-05-28,159.21,160.2,157.72,158.04,1697
2019-05-29,157.18,157.67,155.09,155.91,1521
2019-05-30,156.66,158.27,156.03,156.48,1985
2019-05-31,154.76,155.69,152.91,155.04,1872
2019-06-03,154.9,156.63,153.45,154.16,2830
2019-06-04,155.26,156.22,153.27,155.93,2297
2019-06-05,156.59,160.85,156.53,160.28,1110
2019-06-06,160.7,162.75,158.32,159.38,1641
2019-06-07,160.65,163.11,160.23,160.67,2107
2019-06-10,161.66,162.7,161.09,161.26,2021
2019-06-11,161.86,162.89,159.82,161.35,1681
2019-06-12,162.07,163.61,161.41,162.98,1949
2019-06-13,161.54,162.54,158.94,160.12,3558
2019-06-14,160.11,161.34,158.16,158.83,2257
2019-06-17,159.54,161.27,158.66,159.64,2318
2019-06-18,159.14,159.24,156.43,156.96,2923
2019-06-19,156.84,162.69,156.36,162.25,5592
2019-06-20,163.83,165.27,162.79,163.32,2034
2019-06-21,163.25,163.25,161.23,161.49,1440
2019-06-24,161.4,164.0,161.29,162.33,2170
2019-06-25,162.78,163.1,158.95,161.23,2644
2019-06-26,161.45,163.26,159.84,160.22,2557
2019-06-27,160.5,164.2,160.25,163.83,3142
2019-06-28,164.72,168.77,164.17,168.24,4501
2019-07-01,169.58,170.25,165.27,167.47,1735
2019-07-02,166.94,168.71,165.03,167.72,1722
2019-07-03,168.34,169.54,167.24,169.05,1438
2019-07-05,168.67,168.86,166.62,167.41,2242
2019-07-08,166.46,168.13,165.62,168.11,1445
2019-07-09,167.66,170.09,167.66,169.16,2113
2019-07-10,170.32,170.75,168.76,170.21,1192
2019-07-11,170.61,171.26,168.52,169.36,1270
2019-07-12,169.5,169.99,167.0,168.41,1639
2019-07-15,169.29,170.94,166.55,167.14,1511
2019-07-16,166.92,167.47,164.35,164.52,2697
2019-07-17,165.33,166.72,164.16,164.62,1794
2019-07-18,164.62,165.85,162.09,165.01,1806
2019-07-19,166.05,167.44,164.8,165.11,1943
2019-07-22,165.46,165.94,163.72,164.09,2588
2019-07-23,164.98,165.48,162.72,165.36,3092
2019-07-24,162.75,162.75,148.31,157.43,18170
2019-07-25,155.14,156.95,153.15,155.36,3983
2019-07-26,156.69,159.03,156.48,157.5,2209
2019-07-29,160.67,161.16,157.61,159.63,2333
2019-07-30,159.01,159.66,155.08,155.63,2679
2019-07-31,156.2,158.93,155.31,155.91,2817
2019-08-01,156.14,159.2,155.76,158.17,2074
2019-08-02,155.2,156.86,152.58,153.13,2393
2019-08-05,150.08,150.95,145.66,146.95,2359
2019-08-06,148.0,149.76,147.17,148.37,2572
2019-08-07,147.23,152.12,146.01,151.51,1480
2019-08-08,153.11,158.39,153.08,155.56,2603
2019-08-09,154.3,155.05,153.02,153.12,1486
2019-08-12,152.78,154.39,151.17,152.81,1775
2019-08-13,150.78,154.9,150.0,153.39,2249
2019-08-14,150.38,151.2,146.82,147.46,2536
2019-08-15,148.03,150.37,147.5,148.88,2228
2019-08-16,150.35,152.09,150.35,150.6,3176
2019-08-19,152.09,153.29,150.62,152.68,1730
2019-08-20,152.37,155.0,151.39,153.87,1109
2019-08-21,154.94,156.0,153.58,154.03,2123
2019-08-22,154.06,154.34,150.73,151.36,2260
2019-08-23,150.52,152.91,147.97,148.6,888
2019-08-26,150.04,150.99,148.98,150.85,976
