date,open,high,low,close,volume
2018-12-10,99.3,99.41,96.05,98.44,7583
2018-12-11,98.89,99.23,96.78,97.04,4435
2018-12-12,98.27,99.64,97.66,98.05,6586
2018-12-13,98.44,98.44,96.25,97.12,6242
2018-12-14,96.23,97.25,96.0,97.18,7136
2018-12-17,96.95,98.23,96.16,97.24,13828
2018-12-18,97.88,98.65,94.56,95.12,12385
2018-12-19,94.95,97.19,93.35,94.23,10734
2018-12-20,93.83,94.38,90.33,91.28,11866
2018-12-21,91.5,92.86,89.87,91.0,13667
2018-12-24,90.26,91.14,89.75,90.0,9725
2018-12-26,90.23,92.82,88.68,92.7,7305
2018-12-27,91.32,94.13,90.18,94.13,6407
2018-12-28,94.68,94.68,92.42,92.86,7829
2018-12-31,93.33,93.99,92.08,93.13,4693
2019-01-02,91.34,93.41,91.29,93.04,6152
2019-01-03,93.11,93.71,90.68,91.34,4365
2019-01-04,92.29,94.54,91.97,94.25,4129
2019-01-07,94.16,95.09,93.52,93.68,4361
2019-01-08,94.07,94.82,93.32,94.39,5150
2019-01-09,94.28,96.07,94.2,96.0,5975
2019-01-10,95.71,96.9,95.17,96.66,9628
2019-01-11,95.92,96.66,95.91,96.65,4217
2019-01-14,95.8,96.78,95.1,96.17,5343
2019-01-15,96.25,98.4,96.18,97.41,16684
2019-01-16,97.38,98.76,97.32,98.41,5527
2019-01-17,98.2,101.1,97.82,101.05,13200
2019-01-18,101.5,104.28,101.49,104.24,13903
2019-01-22,103.87,104.06,102.6,103.62,6861
2019-01-23,103.52,104.3,102.96,104.02,8065
2019-01-24,104.0,104.42,103.28,103.82,7143
2019-01-25,104.85,105.64,104.58,105.63,4806
2019-01-28,104.77,105.9,104.21,105.21,10967
2019-01-29,105.32,105.82,104.34,104.91,3866
2019-01-30,105.33,106.6,104.47,105.9,7787
2019-01-31,105.93,107.36,105.21,107.02,5072
2019-02-01,107.09,108.52,106.6,107.94,11012
2019-02-04,107.86,108.15,106.75,107.77,9751
2019-02-05,106.7,107.82,106.02,107.78,5107
2019-02-06,107.29,107.62,106.42,107.07,7029
2019-02-07,106.27,107.09,105.69,106.6,5058
2019-02-08,105.99,106.92,105.71,106.88,8113
2019-02-11,107.0,107.73,106.65,107.25,10944
2019-02-12,107.57,108.5,106.91,108.42,9965
2019-02-13,108.69,108.8,107.81,108.5,8438
2019-02-14,107.5,109.67,107.41,108.93,37662
2019-02-15,109.66,110.52,109.15,109.31,7483
2019-02-19,108.88,109.7,108.55,109.32,15530
2019-02-20,109.56,110.36,107.85,108.13,19161
2019-02-21,107.05,113.11,105.58,110.49,21327
2019-02-22,110.41,110.98,108.52,110.76,11240
2019-02-25,111.33,111.95,110.34,110.39,7445
2019-02-26,110.36,111.0,109.41,110.95,9154
2019-02-27,110.78,111.28,108.7,108.74,7693
2019-02-28,108.84,109.85,108.26,109.51,4608
2019-03-01,109.99,110.61,109.0,110.46,6153
2019-03-04,110.9,111.25,109.3,110.22,4090
2019-03-05,110.33,110.33,109.51,109.91,2860
2019-03-06,109.93,110.05,109.29,109.38,3763
2019-03-07,109.27,109.52,107.82,108.71,4293
2019-03-08,108.06,108.67,107.58,108.53,3737
2019-03-11,108.3,110.4,108.3,110.04,4472
2019-03-12,110.5,111.49,110.34,111.09,4694
2019-03-13,111.25,112.45,111.15,111.57,3536
2019-03-14,111.47,111.65,110.01,110.32,4717
2019-03-15,110.15,111.05,109.76,111.02,4693
2019-03-18,111.26,112.87,111.2,112.71,4375
2019-03-19,112.82,113.76,112.79,113.43,6045
2019-03-20,113.16,113.48,111.42,112.45,2857
2019-03-21,112.04,115.11,112.04,115.0,3587
2019-03-22,114.74,114.78,112.8,112.88,4099
2019-03-25,113.01,113.01,111.51,112.37,3489
2019-03-26,113.04,113.58,112.48,113.36,3612
2019-03-27,113.33,115.21,113.12,114.92,6070
2019-03-28,114.53,117.05,114.44,116.78,5908
2019-03-29,117.55,118.95,117.39,118.5,8442
2019-04-01,119.1,119.83,118.86,119.52,3948
2019-04-02,119.69,120.32,118.45,120.23,2855
2019-04-03,120.71,122.4,120.36,122.34,4875
