date,open,high,low,close,volume
2018-12-10,33.32005,33.81005,31.57005,32.41005,396
2018-12-11,32.90005,33.32005,32.41005,32.97005,241
2018-12-12,33.53005,33.74005,32.90005,32.97005,164
2018-12-13,32.97005,33.25005,31.22005,32.27005,783
2018-12-14,31.92005,33.32005,31.85005,32.97005,407
2018-12-17,32.69005,33.01695,29.68005,30.66005,684
2018-12-18,30.66005,30.87005,28.21005,30.45005,391
2018-12-19,29.89005,32.06005,29.89005,30.87005,423
2018-12-20,30.87005,31.92005,30.10005,31.15005,776
2018-12-21,31.15005,31.92005,29.68005,29.96005,1072
2018-12-24,30.03005,30.03005,28.56005,29.40005,276
2018-12-26,29.75005,31.29005,28.42005,31.01005,584
2018-12-27,30.59005,31.43005,30.31005,31.36005,447
2018-12-28,31.43005,32.27005,30.73005,32.13005,451
2018-12-31,32.06005,32.48005,31.08005,32.27005,266
2019-01-02,32.20005,33.46005,31.57005,33.04005,184
2019-01-03,33.04005,33.25005,32.27005,32.76005,177
2019-01-04,33.25005,34.47505,32.97005,34.44005,317
2019-01-07,34.51005,36.40005,33.56925,35.70005,305
2019-01-08,36.68005,37.10005,35.70005,36.12005,340
2019-01-09,36.40005,36.68005,35.63005,36.05005,550
2019-01-10,35.70005,35.91005,34.23005,34.86005,325
2019-01-11,35.00005,35.70005,34.58005,35.56005,193
2019-01-14,35.21005,35.98005,34.51005,35.14005,220
2019-01-15,35.07005,35.35005,33.04005,33.32005,156
2019-01-16,33.32005,34.23005,33.32005,33.53005,160
2019-01-17,33.46005,33.98505,32.97005,33.81005,130
2019-01-18,33.81005,34.86005,33.67005,34.30005,396
2019-01-22,34.02005,34.44005,29.54005,29.96005,632
2019-01-23,30.59005,31.57005,30.45005,31.36005,545
2019-01-24,31.22005,31.71005,30.31005,31.43005,390
2019-01-25,31.43005,31.78005,30.87005,31.01005,273
2019-01-28,31.15005,31.50005,28.70005,29.12005,537
2019-01-29,29.40005,29.68005,28.73505,28.98005,220
2019-01-30,28.91005,29.08505,27.72565,28.91005,574
2019-01-31,29.05005,29.61005,28.49005,28.77005,419
2019-02-01,28.98005,29.26005,28.07005,28.77005,335
2019-02-04,28.70005,29.19005,28.52505,28.63005,222
2019-02-05,28.84005,28.98005,28.49005,28.63005,240
2019-02-06,28.77005,30.17005,28.56005,29.89005,462
2019-02-07,29.54005,30.17005,27.93005,28.14005,405
2019-02-08,28.21005,28.56005,26.95005,28.21005,434
2019-02-11,28.35005,30.24005,28.21005,30.17005,274
2019-02-12,30.10005,33.11005,29.76685,32.76005,1089
2019-02-13,33.32005,33.95005,31.81505,32.41005,577
2019-02-14,32.34005,32.97005,31.88225,32.76005,278
2019-02-15,33.04005,34.54505,32.90005,33.81005,391
2019-02-19,33.88005,34.57305,32.90005,33.39005,207
2019-02-20,33.74005,33.74005,32.34005,33.04005,274
2019-02-21,33.53005,34.30005,33.04005,33.74005,465
2019-02-22,33.74005,35.70005,33.74005,35.42005,633
2019-02-25,34.86005,36.01505,34.65005,35.28005,465
