date,open,high,low,close,volume
2018-12-10,37.36,37.66,36.29,37.06,861
2018-12-11,37.69,38.29,36.62,37.25,688
2018-12-12,37.67,37.92,34.27,36.7,784
2018-12-13,36.71,36.81,35.04,35.41,1552
2018-12-14,35.21,35.89,35.08,35.33,912
2018-12-17,35.1,35.98,34.53,34.66,1511
2018-12-18,34.66,35.39,34.08,34.4,1609
2018-12-19,34.89,35.35,34.03,34.52,2082
2018-12-20,34.9,37.54,34.9,36.79,3634
2018-12-21,36.72,38.05,36.11,36.33,2776
2018-12-24,35.84,36.68,35.52,36.54,680
2018-12-26,36.35,38.19,36.35,37.56,2324
2018-12-27,37.17,37.49,34.14,36.88,2884
2018-12-28,36.88,37.38,35.29,36.7,1546
2018-12-31,36.7,38.57,36.7,38.42,1046
2019-01-02,37.96,38.93,36.58,38.18,1893
2019-01-03,38.05,38.05,36.07,36.19,2454
2019-01-04,36.45,37.87,36.0,37.72,1547
2019-01-07,37.73,39.6,37.73,39.0,2146
2019-01-08,39.56,41.85,39.46,41.28,2482
2019-01-09,41.48,41.93,40.6,40.74,2037
2019-01-10,40.45,40.91,39.19,40.85,1370
2019-01-11,40.55,40.93,40.45,40.74,1028
2019-01-14,40.5,42.31,40.02,42.3,1513
2019-01-15,42.32,43.99,42.04,43.8,2606
2019-01-16,44.29,45.36,43.77,44.9,4135
2019-01-17,44.9,45.71,43.51,44.78,2648
2019-01-18,45.0,46.95,44.54,46.25,2678
2019-01-22,46.44,46.55,44.73,45.46,1690
2019-01-23,49.34,52.01,46.0,51.32,14781
2019-01-24,50.9,55.42,50.82,54.61,25832
2019-01-25,54.61,55.92,52.91,55.3,5459
2019-01-28,55.0,56.54,54.78,55.44,3021
2019-01-29,55.5,56.26,53.73,56.16,4258
2019-01-30,56.29,59.24,56.21,59.06,2841
2019-01-31,59.1,61.3,58.88,61.16,5856
2019-02-01,61.07,61.65,59.37,61.46,3146
2019-02-04,61.9,63.47,60.45,63.45,3419
2019-02-05,63.87,64.81,59.94,60.26,5519
2019-02-06,60.0,60.0,55.01,58.6,8155
2019-02-07,58.48,59.81,57.58,59.65,3523
