date,open,high,low,close,volume
2018-12-10,25.715,26.01,25.5,25.83,15490
2018-12-11,25.915,26.01,25.63,25.635,14616
2018-12-12,25.79,25.985,24.97,24.98,11416
2018-12-13,24.985,25.525,24.965,25.14,13911
2018-12-14,25.11,25.29,25.05,25.245,11378
2018-12-17,25.275,25.42,24.44,24.455,8613
2018-12-18,24.63,24.985,24.6,24.775,11100
2018-12-19,24.84,24.9,24.545,24.66,9678
2018-12-20,24.69,24.975,24.505,24.725,11433
2018-12-21,24.815,25.245,24.485,24.485,11820
2018-12-24,24.48,24.58,23.31,23.315,4633
2018-12-26,23.36,24.095,23.23,24.065,9165
2018-12-27,23.805,24.12,23.355,24.1,9850
2018-12-28,24.3,24.46,23.795,24.09,8445
2018-12-31,24.1,24.305,23.805,24.285,6123
2019-01-02,24.06,24.135,23.415,23.505,11733
2019-01-03,23.495,24.085,23.47,23.79,9391
2019-01-04,23.715,24.165,23.635,23.85,12675
2019-01-07,23.985,24.2,23.675,23.74,11806
2019-01-08,23.875,24.255,23.74,24.205,10571
2019-01-09,24.235,24.3,23.885,24.145,9525
2019-01-10,24.17,24.815,24.05,24.745,8250
2019-01-11,24.715,24.84,24.605,24.8,9817
2019-01-14,24.77,24.835,24.61,24.725,7098
2019-01-15,24.74,25.045,24.74,24.88,8991
2019-01-16,24.865,25.355,24.73,25.25,8039
2019-01-17,25.19,25.395,25.155,25.38,5662
2019-01-18,25.415,25.455,25.135,25.4,4802
2019-01-22,25.4,25.5,25.22,25.46,6002
2019-01-23,25.495,25.535,25.19,25.405,6554
2019-01-24,25.385,25.58,25.23,25.26,11055
2019-01-25,25.305,25.535,25.265,25.52,6427
2019-01-28,25.4,25.8,25.4,25.76,6559
2019-01-29,25.78,26.025,25.475,25.99,11201
2019-01-30,25.96,26.125,25.78,26.03,5548
2019-01-31,25.965,26.505,25.835,26.47,10081
2019-02-01,26.47,26.65,25.895,26.42,9821
2019-02-04,26.36,26.8,26.345,26.8,9389
2019-02-05,27.02,27.11,26.69,27.08,15009
2019-02-06,27.075,27.13,26.95,27.095,6744
2019-02-07,27.06,27.42,26.965,27.355,12392
2019-02-08,27.315,27.62,27.28,27.615,10013
2019-02-11,27.63,27.85,27.44,27.45,10707
2019-02-12,27.435,27.435,26.69,27.02,9009
2019-02-13,26.86,27.1,26.795,27.06,12237
2019-02-14,27.115,27.255,27.01,27.15,11364
