date,open,high,low,close,volume
2018-12-10,8.24995,8.26195,6.74995,7.94995,69
2018-12-11,7.80595,7.83895,7.49995,7.64995,12
2018-12-12,7.63795,7.72495,7.63795,7.72495,11
2018-12-13,7.66195,7.68745,7.55395,7.55395,20
2018-12-14,7.49995,7.49995,7.30945,7.34995,18
2018-12-17,7.34995,7.34995,6.80245,6.8617,24
2018-12-18,6.74995,7.13995,6.74995,6.74995,46
2018-12-19,7.04995,7.04995,5.99995,5.99995,60
2018-12-20,5.84995,6.20995,5.69995,5.69995,42
2018-12-21,5.54995,5.84995,5.39995,5.66245,67
2018-12-24,5.51245,5.54845,5.36395,5.5147,26
2018-12-26,5.24995,5.66395,5.24995,5.47495,68
2018-12-27,5.20195,5.62495,4.95,5.09245,106
2018-12-28,5.10145,5.70145,5.09995,5.40145,96
2018-12-31,5.67145,5.99995,5.39995,5.5477,183
2019-01-02,5.54995,6.29995,5.39845,6.29695,30
2019-01-03,6.44995,7.31845,6.44995,7.04995,61
2019-01-04,7.27495,7.64395,6.75145,7.38745,16
2019-01-07,7.08745,7.38745,6.37645,6.67645,93
2019-01-08,7.00945,7.13395,6.44995,6.74995,55
2019-01-09,6.88945,7.14895,6.52495,6.80545,18
2019-01-10,6.79495,7.19995,6.79495,6.79495,29
2019-01-11,6.79495,7.1032,6.79495,7.1032,22
2019-01-14,7.34995,7.34995,6.75145,6.75145,9
2019-01-15,6.59995,7.19845,6.59995,7.04995,8
2019-01-16,7.12495,7.30495,7.04995,7.21495,8
2019-01-17,7.19995,8.24995,7.19995,7.79995,56
2019-01-18,7.94995,8.98495,7.94995,8.84995,35
2019-01-22,8.99995,9.29995,8.17195,8.24545,34
2019-01-23,8.39395,8.39395,8.18545,8.25145,10
2019-01-24,7.86895,8.17945,7.86895,8.17195,12
2019-01-25,7.79995,8.29195,7.34995,7.94695,349
2019-01-28,7.84045,7.84045,7.30945,7.35145,27
2019-01-29,7.34995,7.49695,7.34695,7.34695,7
2019-01-30,7.19995,7.33045,7.04695,7.30345,19
2019-01-31,7.30345,7.60195,7.19995,7.49995,21
2019-02-01,7.87495,7.87495,7.42795,7.64995,32
2019-02-04,7.64995,7.79995,7.58095,7.6867,5
2019-02-05,7.64995,7.83595,7.64995,7.79995,21
2019-02-06,7.94995,8.18395,7.65895,7.65895,16
2019-02-07,7.38745,7.65895,7.30645,7.30795,12
2019-02-08,7.34995,7.41745,7.19545,7.19995,8
2019-02-11,7.19995,7.79995,6.75145,6.86845,43
2019-02-12,6.82345,7.61695,6.82345,7.12645,53
2019-02-13,6.97645,7.04995,6.90145,7.04995,17
2019-02-14,6.89995,7.19995,6.89995,6.98395,10
2019-02-15,7.13395,7.34995,7.04995,7.11445,12
2019-02-19,7.49995,8.09995,7.46995,7.63945,30
2019-02-20,7.93045,8.68945,7.66495,7.79995,152
2019-02-21,8.08345,8.20645,7.27495,7.54495,46
2019-02-22,7.34995,7.90795,7.24495,7.24495,44
2019-02-25,7.60645,7.98595,6.93895,7.07995,46
2019-02-26,7.23595,7.64995,7.04995,7.06945,18
2019-02-27,6.89995,7.37395,6.89995,7.04395,12
2019-02-28,6.89995,7.09345,6.86845,6.95245,28
2019-03-01,7.29895,7.29895,6.95995,7.00495,17
2019-03-04,7.25995,7.25995,6.88495,6.88645,36
2019-03-05,6.89995,7.12345,6.59995,6.81745,33
2019-03-06,6.9345,7.3335,6.72,6.75,29
2019-03-07,6.999,7.05,6.7215,6.7365,5
2019-03-08,7.029,7.275,6.72,6.72,89
2019-03-11,7.005,7.005,6.216,6.714,39
2019-03-12,7.0155,7.167,6.6,6.9,27
2019-03-13,7.26,7.26,7.2,7.2,54
2019-03-14,7.305,8.1,7.305,7.305,63
2019-03-15,7.5,8.1375,6.84,7.9125,72
2019-03-18,7.8,8.25,7.8,8.0115,65
2019-03-19,8.16,8.199,7.635,7.935,29
2019-03-20,7.8,7.9485,7.2,7.38,89
2019-03-21,7.65,7.749,7.1655,7.1655,41
2019-03-22,7.2015,7.65,7.2,7.65,65
2019-03-25,7.35,7.728,7.05,7.2457,59
2019-03-26,7.8,7.8,7.2015,7.647,94
2019-03-27,7.8,7.8,7.215,7.347,15
2019-03-28,7.65,7.8,7.35,7.8,99
2019-03-29,8.475,8.475,7.767,7.95,105
2019-04-01,8.325,8.55,7.5015,7.8585,105
2019-04-02,7.8135,7.869,7.5,7.743,66
2019-04-03,7.65,7.677,7.215,7.365,43
2019-04-04,7.35,7.5,7.2,7.2555,52
2019-04-05,7.245,7.4085,7.05,7.125,108
2019-04-08,7.05,7.4265,6.75,7.02,231
2019-04-09,7.086,7.086,6.75,6.75,34
2019-04-10,7.08,7.35,6.75,6.939,127
2019-04-11,7.05,7.2495,6.9,6.939,48
2019-04-12,7.2,7.2,6.9,6.9,59
2019-04-15,7.05,7.2765,6.75,6.8265,34
2019-04-16,6.75,6.9,6.303,6.675,47
2019-04-17,6.678,6.795,6.315,6.4005,17
2019-04-18,6.6645,6.6735,6.15,6.3,71
2019-04-22,6.1215,6.87,6.1215,6.6375,250
2019-04-23,6.6375,6.9315,6.555,6.825,29
2019-04-24,6.825,7.2,6.4515,6.6,16
2019-04-25,6.51,6.975,6.1335,6.465,19
2019-04-26,6.465,6.6915,6.45,6.5692,12
2019-04-29,6.57,7.05,6.57,6.9232,43
2019-04-30,7.005,7.005,6.2265,6.7267,43
2019-05-01,6.5475,6.8835,6.3015,6.5235,47
2019-05-02,6.3285,6.75,6.3,6.45,35
2019-05-03,6.648,6.675,6.3015,6.36,9
2019-05-06,6.678,7.4985,6.3,6.675,130
2019-05-07,6.183,6.9075,6.183,6.9,91
2019-05-08,6.45,7.65,6.45,7.5,177
2019-05-09,7.65,7.65,6.774,7.485,15
2019-05-10,7.467,7.467,6.4485,7.245,34
2019-05-13,6.6,7.35,6.6,6.8985,31
2019-05-14,6.9,7.275,6.75,6.75,32
2019-05-15,7.0875,7.35,6.7515,6.9645,15
2019-05-16,9.0,10.7999,7.245,7.5,2486
2019-05-17,7.7985,7.7985,6.8415,7.14,223
2019-05-20,7.182,8.1,6.078,8.1,234
2019-05-21,7.5,8.1,7.2135,7.9515,53
2019-05-22,7.6545,7.875,7.5,7.8345,69
2019-05-23,7.515,7.944,7.275,7.5,22
2019-05-24,7.539,7.5735,6.915,7.425,63
2019-05-28,6.915,7.4565,6.915,7.203,24
2019-05-29,7.05,7.266,6.81,7.0515,36
2019-05-30,7.0515,7.0515,6.804,7.014,19
2019-05-31,6.804,7.05,6.804,6.9,19
2019-06-03,7.05,7.575,6.804,7.5,38
2019-06-04,7.1865,7.4625,6.7935,7.1985,12
2019-06-05,6.7815,7.2,6.7815,6.8775,8
2019-06-06,6.7815,7.35,6.78,6.78,24
2019-06-07,6.783,7.0485,6.0765,6.534,57
2019-06-10,6.165,6.75,6.165,6.45,32
2019-06-11,6.2565,6.4725,6.015,6.2985,35
2019-06-12,6.2985,6.2985,6.0,6.015,7
2019-06-13,6.0,6.2985,5.7,5.8425,180
2019-06-14,5.7,6.15,5.7,5.9865,9
2019-06-17,6.15,6.285,5.5365,5.9332,38
2019-06-18,6.0825,6.0825,5.55,5.916,80
2019-06-19,5.925,6.324,5.625,6.1125,53
2019-06-20,6.12,6.3135,6.0105,6.1642,24
2019-06-21,6.441,6.8145,6.0015,6.8145,33
2019-06-24,6.75,7.05,6.4515,6.528,54
2019-06-25,7.05,7.05,6.2115,6.45,22
2019-06-26,6.435,6.6,6.2115,6.6,10
2019-06-27,6.6,6.6,6.1515,6.1515,17
2019-06-28,6.0,6.3705,5.6415,5.6415,21
2019-07-01,5.85,6.15,5.85,5.925,17
2019-07-02,6.192,6.192,5.85,5.9265,29
2019-07-03,6.21,6.21,5.85,5.9235,30
2019-07-05,6.0,6.0,5.7015,5.85,13
2019-07-08,5.8515,5.9325,5.55,5.7,49
2019-07-09,5.7,5.9385,5.6295,5.6325,33
2019-07-10,5.805,6.0,5.7,6.0,47
2019-07-11,6.0,6.1155,5.739,6.0,31
2019-07-12,6.0,6.7425,6.0,6.0,79
2019-07-15,6.3,6.9735,6.15,6.8985,97
2019-07-16,7.2,7.2,6.75,7.0515,108
2019-07-17,7.2,7.35,6.762,6.8415,97
2019-07-18,7.185,7.5,6.9,7.2,203
2019-07-19,7.5,7.5,6.75,6.75,68
2019-07-22,7.0875,7.191,6.75,7.125,143
2019-07-23,7.2,7.344,6.93,7.05,103
2019-07-24,6.975,7.347,6.9,7.125,104
2019-07-25,6.75,7.05,6.6,6.8842,228
2019-07-26,6.636,7.2,6.636,7.1745,19
2019-07-29,7.059,7.2,6.837,6.837,34
2019-07-30,6.9345,7.425,6.9,7.2165,53
2019-07-31,6.93,7.3455,6.906,6.906,63
2019-08-01,6.9,7.3605,6.1515,6.1515,61
2019-08-02,6.1515,6.45,6.1515,6.375,77
2019-08-05,6.0,6.216,6.0,6.0285,37
2019-08-06,6.0,6.4185,5.85,5.946,38
2019-08-07,5.85,6.042,5.7075,5.82,44
2019-08-08,5.775,5.85,5.7,5.7,38
2019-08-09,5.7285,5.85,5.4315,5.55,31
2019-08-12,5.7165,5.7165,5.103,5.2875,28
2019-08-13,5.829,5.829,5.25,5.58,46
2019-08-14,5.7,5.7,4.9515,5.277,75
2019-08-15,4.95,5.2965,4.125,4.752,155
2019-08-16,4.875,4.875,4.35,4.4985,69
2019-08-19,4.65,4.8,4.5,4.71,54
2019-08-20,4.827,4.827,4.2075,4.5,75
2019-08-21,4.5,4.6605,4.092,4.1625,146
2019-08-22,4.275,4.275,3.9,3.987,143
2019-08-23,4.005,4.185,3.453,3.702,125
2019-08-26,3.8865,4.05,3.462,3.6,389
2019-08-27,3.45,3.6,3.162,3.234,161
2019-08-28,3.162,3.5625,3.162,3.369,150
2019-08-29,3.5625,3.807,3.3,3.675,192
2019-08-30,3.75,4.0485,3.6,3.753,67
2019-09-03,3.9405,4.0125,3.675,3.6765,141
2019-09-04,3.675,3.7425,3.4575,3.462,68
2019-09-05,3.6345,3.6735,3.3495,3.3495,117
2019-09-06,3.51,3.516,3.3,3.516,65
2019-09-09,3.516,3.6525,3.249,3.3,212
2019-09-10,3.3,3.4965,3.234,3.396,156
2019-09-11,3.396,3.6,3.3,3.4065,55
2019-09-12,3.525,3.525,3.3,3.4485,93
2019-09-13,3.45,3.45,3.165,3.2235,109
2019-09-16,3.525,3.7245,3.225,3.5865,604
2019-09-17,3.75,3.8625,3.45,3.573,145
2019-09-18,3.6,3.6825,3.2775,3.411,90
2019-09-19,3.468,3.8325,3.3,3.7425,238
