date,open,high,low,close,volume
2018-12-10,4.99,5.9,4.7,5.49,39
2018-12-11,5.91,6.29,4.76,4.89,1320
2018-12-12,4.4,4.68,4.22,4.6,225
2018-12-13,4.12,4.96,3.75,4.4,130
2018-12-14,4.1,4.1,3.73,3.96,302
2018-12-17,4.0,4.0,3.73,3.89,77
2018-12-18,3.7,3.99,3.7,3.9,8
2018-12-19,3.54,3.86,3.52,3.725,77
2018-12-20,3.55,3.55,3.08,3.2,70
2018-12-21,2.88,3.64,2.88,3.25,154
2018-12-24,3.33,3.43,3.32,3.43,23
2018-12-26,3.37,3.43,2.88,3.0,546
2018-12-27,2.81,3.23,2.78,3.21,28
2018-12-28,2.78,3.35,2.78,3.28,65
2018-12-31,3.1,3.15,3.05,3.05,56
2019-01-02,2.9,3.14,2.55,3.01,340
2019-01-03,3.05,3.24,2.84,3.24,94
2019-01-04,3.25,3.26,3.11,3.15,25
2019-01-07,3.2,3.22,3.02,3.22,44
2019-01-08,3.18,3.25,3.02,3.23,12
2019-01-09,3.26,3.65,2.87,3.45,401
2019-01-10,3.25,3.66,3.16,3.26,39
2019-01-11,3.22,3.23,3.1,3.15,96
2019-01-14,3.19,3.34,3.1,3.27,264
2019-01-15,3.24,3.5,3.06,3.06,20
2019-01-16,3.2,3.92,3.2,3.92,943
2019-01-17,3.95,4.25,3.68,3.97,435
2019-01-18,3.9,4.09,3.61,3.7,718
2019-01-22,3.9,3.93,3.31,3.48,134
2019-01-23,3.45,3.57,3.3,3.4,610
2019-01-24,3.53,3.75,3.53,3.7,78
2019-01-25,3.7,3.81,3.53,3.8,164
2019-01-28,3.73,4.07,3.72,4.04,200
2019-01-29,4.04,4.04,4.04,4.04,0
2019-01-30,3.92,4.25,3.92,4.0,297
2019-01-31,4.44,4.44,3.77,4.0,772
2019-02-01,4.1,4.19,3.78,4.18,131
2019-02-04,4.24,4.32,3.9,4.25,317
2019-02-05,4.29,4.34,4.12,4.33,107
2019-02-06,4.31,4.5,4.15,4.17,199
2019-02-07,4.5,4.5,4.15,4.15,19
2019-02-08,4.34,4.5,4.21,4.21,54
2019-02-11,5.05,5.05,4.29,4.84,235
2019-02-12,5.05,5.1,4.33,4.6,223
2019-02-13,4.61,5.0,4.55,4.8,68
2019-02-14,4.79,4.79,4.51,4.76,75
2019-02-15,4.75,4.75,4.46,4.75,26
2019-02-19,4.8,4.8,4.48,4.485,32
2019-02-20,4.49,4.49,4.31,4.45,76
2019-02-21,4.34,4.37,4.02,4.12,103
2019-02-22,4.6,4.6,4.13,4.54,222
2019-02-25,4.54,4.54,4.22,4.48,9
2019-02-26,4.4,4.4,4.25,4.34,22
2019-02-27,4.32,4.33,4.2,4.33,24
2019-02-28,4.31,4.54,4.2,4.35,18
2019-03-01,4.35,4.55,4.1,4.43,151
2019-03-04,4.3,4.4,4.3,4.4,2
2019-03-05,4.31,4.31,4.3,4.31,1
2019-03-06,4.13,4.28,4.13,4.28,91
2019-03-07,4.1,4.27,4.09,4.11,242
2019-03-08,4.1,4.56,4.09,4.5,107
2019-03-11,4.1,4.4,4.1,4.31,37
2019-03-12,4.47,4.47,4.25,4.46,34
2019-03-13,4.01,4.39,4.01,4.39,11
2019-03-14,4.39,4.39,4.39,4.39,0
