date,open,high,low,close,volume
2018-12-10,8.73,8.82,8.43,8.63,4776
2018-12-11,8.82,8.95,8.48,8.57,1434
2018-12-12,8.69,8.75,8.25,8.49,3345
2018-12-13,8.5,8.5,8.13,8.19,2129
2018-12-14,8.08,8.35,8.08,8.2,2115
2018-12-17,8.18,8.4,7.76,7.83,3249
2018-12-18,7.9,8.05,7.82,7.91,3845
2018-12-19,7.89,8.21,7.48,7.5,7260
2018-12-20,7.48,7.68,6.94,7.04,8830
2018-12-21,7.05,7.49,7.01,7.35,4079
2018-12-24,7.22,7.86,7.22,7.66,2747
2018-12-26,7.73,8.42,7.66,8.39,4039
2018-12-27,8.18,8.61,8.09,8.59,2600
2018-12-28,8.66,8.66,8.22,8.31,2980
2018-12-31,8.44,8.44,7.83,8.29,4111
2019-01-02,8.06,8.46,7.97,8.32,2436
2019-01-03,8.23,8.42,8.0,8.19,1731
2019-01-04,8.35,8.93,8.35,8.78,2231
2019-01-07,8.83,9.23,8.74,9.08,2259
2019-01-08,9.21,9.43,8.99,9.28,1699
2019-01-09,9.32,9.45,9.02,9.17,1217
2019-01-10,9.08,9.28,8.97,9.13,1387
2019-01-11,9.09,9.35,8.96,9.28,957
2019-01-14,9.18,9.32,8.99,9.21,1274
2019-01-15,9.21,9.46,9.17,9.26,1715
2019-01-16,9.31,9.52,9.09,9.1,2282
2019-01-17,9.07,9.22,9.02,9.09,4637
2019-01-18,9.15,9.16,8.88,8.9,2942
2019-01-22,8.85,9.01,8.57,8.94,3090
2019-01-23,8.96,9.38,8.86,9.19,2826
2019-01-24,9.19,9.49,9.07,9.25,2148
2019-01-25,9.28,9.63,9.21,9.61,1743
2019-01-28,9.57,9.64,9.21,9.43,4849
2019-01-29,9.4,9.44,9.08,9.1,2481
2019-01-30,9.09,9.48,9.07,9.39,2949
2019-01-31,9.39,9.64,9.35,9.53,2727
2019-02-01,9.57,9.84,9.46,9.68,3147
2019-02-04,9.65,10.04,9.6,9.86,4005
2019-02-05,9.86,9.97,9.46,9.67,3035
2019-02-06,9.59,9.62,9.08,9.31,3953
2019-02-07,9.1,9.51,9.1,9.46,2739
2019-02-08,9.41,9.57,9.35,9.41,1333
2019-02-11,9.52,9.61,9.27,9.49,3423
2019-02-12,9.61,9.68,9.38,9.55,3733
2019-02-13,9.62,9.74,9.55,9.63,1618
2019-02-14,9.62,10.0,9.53,9.99,1882
2019-02-15,10.0,10.13,9.84,9.87,2650
2019-02-19,9.83,10.33,9.81,10.26,1628
2019-02-20,10.27,10.48,9.65,9.89,4463
2019-02-21,10.37,10.8,9.99,10.28,9003
2019-02-22,10.25,10.35,9.62,9.73,3806
2019-02-25,9.85,10.24,9.82,10.1,2296
2019-02-26,10.1,10.28,9.76,10.01,3703
2019-02-27,9.98,10.06,9.72,9.77,1268
2019-02-28,9.78,10.03,9.6,9.61,1455
2019-03-01,9.72,9.88,9.69,9.72,1812
2019-03-04,9.77,9.86,9.46,9.6,2180
2019-03-05,9.58,10.05,9.36,10.0,2866
2019-03-06,201.4,203.8,197.4,201.0,81
2019-03-07,201.0,201.8,192.0,194.0,127
2019-03-08,192.2,199.6,191.6,198.8,87
2019-03-11,201.0,208.2,199.6,207.6,144
2019-03-12,208.0,213.6,204.8,210.2,135
2019-03-13,211.0,212.2,203.8,208.8,143
2019-03-14,208.0,213.8,207.2,209.0,110
2019-03-15,209.8,212.2,199.0,202.8,248
2019-03-18,201.4,208.6,201.4,204.0,98
2019-03-19,204.2,207.6,202.0,203.0,71
2019-03-20,203.0,206.4,196.6,204.0,156
2019-03-21,204.0,211.0,199.2,208.2,299
2019-03-22,206.0,209.4,203.0,205.2,224
2019-03-25,204.4,207.6,197.2,198.2,174
2019-03-26,200.8,202.2,192.4,193.6,141
2019-03-27,193.6,195.8,183.6,185.2,276
2019-03-28,185.8,187.6,179.8,180.2,163
2019-03-29,182.0,185.0,179.6,182.8,143
2019-04-01,183.8,186.2,177.4,179.4,197
2019-04-02,179.6,183.6,170.0,177.2,680
2019-04-03,179.0,182.6,177.6,178.0,159
2019-04-04,178.0,181.6,174.8,175.8,106
2019-04-05,175.2,179.0,174.6,177.0,107
2019-04-08,177.2,177.8,175.2,176.4,77
2019-04-09,176.0,176.6,172.4,173.6,125
2019-04-10,175.0,176.2,171.0,174.2,137
2019-04-11,174.8,177.4,171.4,174.6,237
2019-04-12,176.2,176.4,172.2,173.8,113
2019-04-15,173.8,174.4,165.8,171.8,259
2019-04-16,172.2,173.0,167.2,167.8,164
2019-04-17,169.2,169.2,164.2,166.0,113
2019-04-18,165.0,166.8,164.4,164.6,90
2019-04-22,164.6,164.6,157.0,160.0,226
2019-04-23,160.0,174.0,158.4,173.4,247
2019-04-24,174.0,178.2,170.0,171.2,213
