date,open,high,low,close,volume
2020-11-20,9.75,9.94,9.74,9.81,8
2020-11-23,9.9,10.4,9.89,9.9,122
2020-11-24,10.4,10.4,9.75,9.8,429
2020-11-25,9.98,9.99,9.79,9.95,157
2020-11-27,10.0,10.43,9.97,10.03,574
2020-11-30,10.53,10.9,9.88,9.945,1750
2020-12-01,10.0,10.1,10.0,10.09,126
2020-12-02,10.05,10.16,9.88,10.0,144
2020-12-03,10.01,10.02,9.91,9.91,115
2020-12-04,10.04,10.31,9.99,10.14,1375
2020-12-07,10.36,10.45,9.99,10.31,1289
2020-12-08,10.69,10.69,10.04,10.09,721
2020-12-09,10.07,10.25,10.0,10.2,971
2020-12-10,10.26,10.26,10.04,10.13,649
2020-12-11,10.23,10.76,10.2,10.49,1728
2020-12-14,10.74,10.74,10.35,10.5,608
2020-12-15,10.63,10.66,10.19,10.36,683
2020-12-16,10.4,10.5,10.15,10.49,730
2020-12-17,10.41,10.8,10.41,10.48,171
2020-12-18,10.63,10.63,10.35,10.4,471
2020-12-21,10.59,10.59,10.5,10.53,498
2020-12-22,10.46,10.85,10.46,10.63,790
2020-12-23,10.71,11.32,10.66,11.025,3078
2020-12-24,11.0,11.38,10.76,10.93,3488
2020-12-28,11.23,11.24,10.85,10.95,926
2020-12-29,11.01,11.01,10.48,10.76,1689
2020-12-30,10.75,10.77,10.64,10.74,1600
2020-12-31,10.81,10.88,10.6,10.71,433
2021-01-04,10.91,10.92,10.53,10.53,1020
2021-01-05,10.6,10.7,10.5,10.59,462
2021-01-06,10.6,10.71,10.44,10.55,1616
2021-01-07,10.69,11.07,10.6,10.98,1135
2021-01-08,11.34,11.34,10.81,10.83,885
2021-01-11,11.26,11.5,11.0,11.5,1309
2021-01-12,11.5,13.49,11.38,11.89,3201
2021-01-13,12.4,13.35,12.1,12.8,5061
2021-01-14,13.11,13.25,12.84,13.1,4928
2021-01-15,13.2,13.28,12.54,12.55,2014
2021-01-19,12.62,15.01,12.42,13.22,10605
2021-01-20,14.14,14.14,13.48,13.58,5650
2021-01-21,13.65,13.76,13.0,13.34,2920
2021-01-22,20.75,24.0,20.0,22.0,379467
2021-01-25,22.49,23.5,19.5,19.67,79903
2021-01-26,21.49,24.34,20.67,22.07,98822
2021-01-27,21.46,23.5,19.8,20.1,56962
2021-01-28,21.83,21.89,20.4,20.91,25295
2021-01-29,21.0,21.5,20.4,20.9,16502
2021-02-01,21.85,21.95,20.38,20.97,13913
2021-02-02,21.11,21.38,20.49,20.6,14397
