date,open,high,low,close,volume
2018-12-10,48.19,48.64,47.76,48.32,1015
2018-12-11,48.8,49.34,48.14,49.03,1140
2018-12-12,49.58,50.83,47.27,50.49,1242
2018-12-13,50.5,51.22,49.84,50.5,1140
2018-12-14,50.13,50.53,49.44,49.81,1096
2018-12-17,49.73,50.15,48.54,48.82,1641
2018-12-18,49.33,49.98,48.9,49.73,1313
2018-12-19,49.69,50.59,48.88,49.37,1585
2018-12-20,49.38,49.52,48.19,48.4,1528
2018-12-21,48.21,48.43,46.73,46.83,3116
2018-12-24,46.82,47.49,46.0,46.7,1452
2018-12-26,46.97,48.88,46.49,48.82,1271
2018-12-27,48.13,49.38,47.77,49.37,1077
2018-12-28,49.61,50.48,48.73,49.92,1031
2018-12-31,50.14,50.87,50.14,50.71,973
2019-01-02,50.2,50.62,48.47,50.01,808
2019-01-03,49.75,49.91,48.7,49.33,1418
2019-01-04,49.8,50.98,48.82,50.65,1147
2019-01-07,50.64,50.65,49.43,49.84,1289
2019-01-08,50.32,51.85,49.97,51.78,988
2019-01-09,51.8,52.68,51.29,52.37,1752
2019-01-10,52.17,52.5,51.23,51.5,736
2019-01-11,51.28,52.02,51.27,51.69,936
2019-01-14,51.47,52.1,51.03,51.1,935
2019-01-15,51.4,52.5,50.73,52.34,907
2019-01-16,52.41,52.6,51.47,51.87,740
2019-01-17,51.7,53.13,51.7,53.01,988
2019-01-18,53.08,53.33,52.55,52.96,1307
2019-01-22,52.67,53.32,51.33,51.54,1788
2019-01-23,51.54,52.5,50.68,50.82,1189
2019-01-24,50.9,51.13,50.07,50.48,1029
2019-01-25,50.93,51.04,50.1,50.41,902
2019-01-28,50.1,50.28,49.32,49.38,706
2019-01-29,49.69,49.69,48.56,48.84,1287
2019-01-30,48.92,49.75,48.71,49.67,905
2019-01-31,49.57,50.0,47.1,49.96,2243
2019-02-01,50.58,50.58,47.92,50.28,2206
2019-02-04,50.36,50.85,50.14,50.72,1481
2019-02-05,50.6,51.57,50.6,51.29,1144
2019-02-06,51.28,52.17,50.33,51.24,1159
2019-02-07,50.74,52.02,50.06,51.58,1144
2019-02-08,51.53,52.03,51.32,51.77,1129
2019-02-11,51.82,52.56,51.79,52.52,1038
