date,open,high,low,close,volume
2018-12-10,32.46,32.77,32.12,32.39,203
2018-12-11,32.64,32.64,31.65,32.14,91
2018-12-12,32.26,32.5,31.73,32.48,146
2018-12-13,32.23,32.47,31.47,31.63,116
2018-12-14,31.54,31.73,31.18,31.37,74
2018-12-17,31.2,31.57,30.37,30.55,148
2018-12-18,30.69,31.07,30.15,30.55,131
2018-12-19,30.65,30.78,29.45,29.65,297
2018-12-20,29.63,30.39,28.21,30.0,221
2018-12-21,30.02,30.55,29.4,29.67,538
2018-12-24,29.54,29.54,28.16,28.16,93
2018-12-26,28.28,30.95,28.28,29.26,290
2018-12-27,29.0,29.77,27.84,29.31,206
2018-12-28,29.41,30.24,29.33,30.07,150
2018-12-31,29.28,30.63,29.28,30.25,394
2019-01-02,29.98,30.91,29.98,30.91,131
2019-01-03,30.11,30.82,30.11,30.4,139
2019-01-04,30.66,30.79,30.18,30.48,184
2019-01-07,30.41,30.5,30.02,30.44,67
2019-01-08,30.5,30.65,30.34,30.65,165
2019-01-09,30.65,30.97,30.45,30.97,785
2019-01-10,30.89,31.52,30.89,31.11,86
2019-01-11,30.9,31.16,30.75,31.16,199
2019-01-14,30.99,31.44,30.99,31.04,60
2019-01-15,31.06,31.25,30.9,30.91,203
2019-01-16,31.05,31.53,31.05,31.48,43
2019-01-17,31.82,31.82,31.13,31.39,82
2019-01-18,31.41,31.86,31.03,31.62,78
2019-01-22,31.6,31.95,31.25,31.27,91
2019-01-23,31.41,31.6,31.23,31.45,74
2019-01-24,31.46,31.47,31.03,31.34,110
2019-01-25,31.46,31.57,31.27,31.57,54
2019-01-28,31.36,31.49,31.2,31.4,87
2019-01-29,31.75,31.91,31.74,31.77,394
2019-01-30,31.8,33.09,31.8,32.62,142
2019-01-31,32.43,32.46,32.0,32.41,137
2019-02-01,32.46,33.03,32.24,32.55,156
2019-02-04,32.55,33.08,32.55,32.87,262
2019-02-05,32.77,32.93,32.7,32.75,94
2019-02-06,32.65,32.9,32.57,32.73,74
2019-02-07,32.84,32.84,32.32,32.51,56
2019-02-08,32.36,32.51,30.33,32.25,96
2019-02-11,32.37,32.53,32.05,32.44,72
2019-02-12,32.24,32.98,32.24,32.8,98
2019-02-13,32.5,32.93,32.5,32.87,76
2019-02-14,32.48,32.88,32.48,32.52,69
2019-02-15,32.66,33.02,32.42,32.77,167
2019-02-19,32.75,32.99,32.7,32.8,190
2019-02-20,32.82,32.9,32.69,32.82,131
2019-02-21,32.72,32.9,32.6,32.83,34
2019-02-22,32.9,32.9,32.27,32.67,132
2019-02-25,32.84,32.93,32.38,32.38,125
2019-02-26,32.23,32.46,31.92,32.03,55
2019-02-27,32.07,32.48,31.15,32.4,517
2019-02-28,32.3,32.93,32.19,32.76,157
2019-03-01,32.77,33.0,32.48,32.9,310
2019-03-04,32.81,32.81,32.21,32.25,100
2019-03-05,32.25,32.25,31.55,31.61,223
2019-03-06,31.5,31.5,30.55,30.75,616
2019-03-07,30.75,31.12,30.7,30.75,700
2019-03-08,30.7,31.17,30.7,30.85,108
2019-03-11,30.82,31.8,30.82,31.5,904
2019-03-12,31.5,31.73,30.75,30.8,168
2019-03-13,30.8,30.94,30.38,30.57,90
2019-03-14,30.53,31.0,30.36,30.95,236
2019-03-15,30.96,31.39,30.66,31.22,492
2019-03-18,31.21,31.55,31.1,31.55,331
2019-03-19,31.41,31.58,30.79,31.17,562
2019-03-20,31.1,31.45,30.61,30.62,270
2019-03-21,30.63,30.89,30.28,30.42,435
2019-03-22,30.24,30.45,29.54,29.78,548
2019-03-25,29.77,29.87,29.09,29.8,94
2019-03-26,30.18,30.56,29.94,30.52,96
2019-03-27,30.41,30.86,30.19,30.78,163
2019-03-28,30.52,30.9,30.44,30.63,163
2019-03-29,31.07,31.08,30.35,30.9,495
2019-04-01,30.75,31.23,30.75,31.09,341
2019-04-02,30.93,31.18,30.86,30.99,72
2019-04-03,31.2,31.3,30.9,30.9,160
2019-04-04,30.91,31.05,30.75,31.0,109
2019-04-05,30.99,31.05,30.85,30.99,219
2019-04-08,30.98,30.99,30.66,30.81,95
2019-04-09,30.48,30.93,30.48,30.49,55
2019-04-10,30.25,30.79,29.78,30.68,160
2019-04-11,30.46,30.78,30.02,30.27,381
2019-04-12,30.46,30.85,30.23,30.79,120
2019-04-15,30.74,30.74,30.33,30.33,45
2019-04-16,30.61,30.68,30.39,30.56,473
2019-04-17,30.63,30.63,30.39,30.46,178
2019-04-18,30.53,30.9,30.4,30.73,444
2019-04-22,30.7,30.7,29.78,30.07,50
2019-04-23,30.13,30.6,29.5,30.49,215
2019-04-24,30.08,30.67,29.51,30.49,889
2019-04-25,30.41,30.93,30.34,30.74,194
2019-04-26,30.46,30.94,30.23,30.85,450
2019-04-29,30.91,31.25,30.91,31.14,682
2019-04-30,31.08,31.21,30.82,30.88,184
2019-05-01,30.94,31.18,30.6,30.98,636
2019-05-02,30.97,31.22,30.94,31.07,134
2019-05-03,31.0,31.44,31.0,31.41,597
2019-05-06,31.12,31.72,31.12,31.58,363
2019-05-07,31.37,31.61,31.27,31.44,216
2019-05-08,31.5,31.5,31.18,31.34,152
2019-05-09,31.07,31.48,30.86,30.99,207
2019-05-10,31.11,31.41,30.82,31.3,144
2019-05-13,30.97,30.97,30.57,30.67,169
2019-05-14,30.73,31.34,30.73,31.24,57
2019-05-15,30.97,31.34,30.95,31.29,249
2019-05-16,31.48,31.54,31.25,31.44,136
2019-05-17,31.26,31.59,30.34,31.39,179
2019-05-20,31.22,31.72,31.22,31.65,186
2019-05-21,31.65,31.65,31.48,31.61,60
2019-05-22,31.55,31.55,31.13,31.4,155
2019-05-23,31.1,31.26,30.79,30.97,228
2019-05-24,31.03,31.31,31.0,31.3,98
2019-05-28,31.19,31.33,30.93,30.98,169
2019-05-29,30.79,31.0,29.74,30.82,239
2019-05-30,30.94,30.99,30.26,30.64,87
2019-05-31,30.27,30.42,29.64,29.8,174
2019-06-03,29.75,30.63,29.69,30.05,244
2019-06-04,30.0,30.5,29.93,30.15,157
2019-06-05,30.06,30.37,29.7,30.0,232
2019-06-06,29.88,29.88,29.36,29.76,100
2019-06-07,29.62,29.77,29.44,29.58,88
2019-06-10,28.25,30.11,28.25,29.86,263
2019-06-11,29.91,30.49,29.61,29.99,179
2019-06-12,29.87,30.72,29.41,29.9,207
2019-06-13,29.94,30.0,29.55,29.83,252
2019-06-14,29.81,30.0,28.81,29.99,172
2019-06-17,29.89,30.01,29.48,29.81,223
2019-06-18,29.81,30.0,29.49,29.99,205
2019-06-19,29.74,30.0,29.74,29.92,111
2019-06-20,29.95,29.95,29.08,29.32,208
2019-06-21,29.1,29.86,29.1,29.34,223
2019-06-24,29.21,29.75,29.12,29.16,233
2019-06-25,28.07,29.81,28.07,29.7,222
2019-06-26,29.6,29.97,29.11,29.81,156
2019-06-27,29.79,30.0,29.55,30.0,315
2019-06-28,30.0,30.81,29.83,30.34,829
2019-07-01,30.4,30.84,30.4,30.73,481
2019-07-02,30.85,30.99,30.13,30.42,1290
2019-07-03,30.42,30.77,30.36,30.74,97
2019-07-05,30.74,30.84,30.52,30.75,211
2019-07-08,30.68,30.8,30.61,30.71,135
2019-07-09,29.83,30.55,29.83,30.48,182
2019-07-10,30.45,30.45,29.9,29.99,208
2019-07-11,29.83,29.94,29.61,29.85,191
2019-07-12,29.7,30.33,29.68,30.27,234
2019-07-15,30.2,30.25,29.89,30.12,432
2019-07-16,30.15,30.28,30.09,30.12,147
2019-07-17,29.96,30.18,29.96,30.0,125
2019-07-18,30.01,30.22,29.95,30.09,143
2019-07-19,29.95,30.0,29.81,29.87,158
2019-07-22,29.68,29.93,29.43,29.92,105
2019-07-23,30.0,30.69,29.61,30.69,292
2019-07-24,30.65,32.0,30.65,31.94,1246
2019-07-25,31.89,32.24,31.62,32.22,359
2019-07-26,32.2,32.65,32.2,32.54,463
2019-07-29,32.6,32.7,32.19,32.35,384
2019-07-30,32.24,32.92,30.8,32.85,316
2019-07-31,32.69,33.49,32.69,33.21,553
2019-08-01,33.37,33.7,32.64,32.81,460
2019-08-02,32.76,32.89,32.21,32.56,249
2019-08-05,32.27,32.43,31.77,32.08,312
2019-08-06,32.22,32.22,31.31,31.88,254
2019-08-07,31.42,31.96,31.42,31.94,157
2019-08-08,32.05,32.54,32.05,32.18,138
2019-08-09,32.21,32.52,32.08,32.2,1232
2019-08-12,32.07,32.07,31.62,31.73,97
2019-08-13,31.74,32.04,31.58,32.03,74
2019-08-14,31.58,31.82,30.76,30.76,195
2019-08-15,30.89,31.15,30.58,30.64,101
2019-08-16,30.78,31.39,30.71,30.92,158
2019-08-19,31.28,31.82,31.23,31.66,137
2019-08-20,31.41,31.61,31.1,31.17,114
2019-08-21,31.37,31.75,31.23,31.67,151
2019-08-22,31.74,31.75,31.5,31.52,170
2019-08-23,31.5,31.54,31.08,31.16,292
2019-08-26,31.35,31.47,31.22,31.45,87
2019-08-27,31.59,31.59,31.0,31.34,334
2019-08-28,31.2,31.75,31.2,31.61,300
2019-08-29,31.72,32.1,31.71,31.96,258
2019-08-30,32.01,32.01,31.5,31.54,142
2019-09-03,31.41,31.44,30.78,31.03,116
2019-09-04,31.19,31.49,30.98,31.32,146
2019-09-05,31.56,32.21,31.51,32.15,1072
2019-09-06,32.18,32.2,31.76,31.93,458
2019-09-09,32.0,32.91,31.91,32.84,531
2019-09-10,32.82,33.31,32.68,33.08,812
2019-09-11,33.13,33.5,32.54,33.48,425
2019-09-12,33.43,34.0,33.26,33.95,836
2019-09-13,34.0,34.28,33.75,33.82,492
2019-09-16,33.62,34.0,33.62,33.79,427
2019-09-17,33.58,33.95,33.33,33.58,326
2019-09-18,33.6,33.67,33.28,33.39,256
2019-09-19,33.43,33.75,33.06,33.13,384
2019-09-20,33.06,33.72,33.03,33.04,974
2019-09-23,33.12,33.6,32.78,33.58,1465
2019-09-24,33.58,33.62,33.05,33.27,276
2019-09-25,33.06,33.06,32.57,32.98,294
2019-09-26,32.85,32.89,32.21,32.45,353
2019-09-27,32.48,32.7,32.28,32.46,1525
2019-09-30,32.42,32.59,32.19,32.3,439
2019-10-01,32.4,32.74,31.74,31.86,309
2019-10-02,31.78,31.78,31.33,31.6,297
2019-10-03,31.46,31.62,31.08,31.51,279
2019-10-04,31.57,31.84,31.32,31.44,168
2019-10-07,31.28,31.79,31.23,31.31,247
2019-10-08,31.14,31.21,30.93,31.07,261
2019-10-09,31.3,31.37,30.93,31.02,89
2019-10-10,31.29,32.44,31.14,31.19,921
2019-10-11,31.38,32.21,31.38,31.79,895
2019-10-14,31.59,32.43,31.34,31.51,230
2019-10-15,31.61,32.13,31.31,32.08,352
2019-10-16,31.93,32.44,31.93,32.1,248
2019-10-17,32.0,32.17,31.77,32.13,385
2019-10-18,31.95,32.14,31.67,32.12,394
2019-10-21,32.41,32.44,32.09,32.25,350
2019-10-22,32.67,33.3,32.45,32.83,848
2019-10-23,32.92,33.06,32.49,32.77,180
2019-10-24,32.77,32.77,32.24,32.43,91
2019-10-25,32.46,32.72,32.38,32.52,119
2019-10-28,32.56,33.15,32.56,33.02,136
2019-10-29,33.06,33.39,33.06,33.27,292
2019-10-30,33.17,33.17,32.81,32.95,177
2019-10-31,32.94,32.97,32.41,32.96,295
2019-11-01,33.07,33.34,32.9,33.24,447
2019-11-04,33.39,33.4,33.13,33.3,237
2019-11-05,33.36,33.4,33.16,33.22,225
2019-11-06,33.25,33.44,32.99,33.34,518
2019-11-07,33.56,33.75,33.38,33.74,341
2019-11-08,33.55,33.93,33.51,33.76,316
2019-11-11,33.31,33.54,33.02,33.22,185
2019-11-12,33.26,33.48,33.13,33.4,145
2019-11-13,33.18,33.39,32.92,33.26,267
2019-11-14,33.26,33.34,32.99,33.04,111
2019-11-15,33.25,33.25,32.9,33.0,206
2019-11-18,32.85,33.29,32.85,33.09,966
2019-11-19,33.26,33.33,33.0,33.18,262
2019-11-20,33.11,33.29,32.81,33.05,440
2019-11-21,33.0,33.16,32.98,33.13,189
2019-11-22,33.32,33.34,33.05,33.23,259
2019-11-25,33.32,33.7,33.13,33.53,428
2019-11-26,33.4,33.59,33.26,33.5,208
2019-11-27,33.55,33.88,33.38,33.67,1782
2019-11-29,33.51,33.89,33.44,33.56,178
2019-12-02,33.58,33.83,33.24,33.58,380
2019-12-03,33.32,33.32,32.79,33.17,811
2019-12-04,33.21,33.49,32.96,33.16,197
2019-12-05,33.3,33.33,33.06,33.06,165
2019-12-06,33.32,33.67,33.29,33.32,260
2019-12-09,33.17,33.44,33.17,33.38,144
2019-12-10,33.28,33.5,33.28,33.45,109
2019-12-11,33.52,33.55,33.34,33.46,146
2019-12-12,33.51,34.16,33.45,33.73,417
2019-12-13,33.69,33.8,33.25,33.62,184
2019-12-16,33.63,34.26,33.63,34.15,1333
2019-12-17,34.22,34.6,34.22,34.5,933
2019-12-18,34.52,34.79,34.34,34.67,434
2019-12-19,34.56,34.86,33.81,34.81,1260
2019-12-20,34.62,35.07,34.53,35.05,1794
2019-12-23,35.1,35.26,34.62,35.07,615
2019-12-24,35.07,35.36,34.8,35.25,136
2019-12-26,35.19,35.56,35.11,35.52,1252
2019-12-27,35.59,35.69,35.38,35.52,969
2019-12-30,35.65,35.88,35.01,35.5,347
2019-12-31,35.4,35.61,35.21,35.52,265
2020-01-02,35.62,35.62,34.92,35.14,1857
2020-01-03,34.88,35.02,34.25,34.75,3727
2020-01-06,34.64,34.9,34.22,34.71,513
2020-01-07,34.55,34.81,34.34,34.69,310
2020-01-08,34.66,34.82,34.49,34.57,165
2020-01-09,34.57,34.61,34.1,34.13,270
2020-01-10,34.12,34.23,33.87,34.02,152
2020-01-13,33.91,34.0,33.72,33.91,250
2020-01-14,33.82,34.12,33.66,33.91,350
2020-01-15,33.74,33.82,33.59,33.82,180
2020-01-16,33.98,34.36,33.69,34.1,330
2020-01-17,34.33,34.36,34.02,34.11,205
2020-01-21,33.92,33.99,33.57,33.63,155
2020-01-22,33.76,34.0,33.09,33.87,639
2020-01-23,33.56,34.18,33.46,33.98,338
2020-01-24,33.85,33.96,33.74,33.84,318
2020-01-27,33.55,34.1,33.46,34.0,529
2020-01-28,33.82,34.33,33.78,34.32,532
2020-01-29,34.32,34.36,33.97,34.11,471
2020-01-30,33.94,34.87,33.94,34.85,584
2020-01-31,34.64,34.87,34.22,34.42,790
2020-02-03,34.58,35.07,34.57,34.96,1114
2020-02-04,35.27,35.36,35.03,35.2,303
2020-02-05,35.46,35.49,35.2,35.4,445
2020-02-06,35.14,35.4,35.1,35.34,216
2020-02-07,35.27,35.5,34.82,35.15,347
