date,open,high,low,close,volume
2018-12-10,15.35,15.49,15.09,15.46,63
2018-12-11,15.5,15.5,15.24,15.3,98
2018-12-12,15.49,15.49,15.05,15.2,205
2018-12-13,15.31,15.44,15.05,15.08,89
2018-12-14,15.07,15.24,14.93,15.05,270
2018-12-17,15.35,15.36,15.05,15.05,101
2018-12-18,15.16,15.25,15.05,15.07,185
2018-12-19,15.05,15.4,15.05,15.23,261
2018-12-20,15.22,15.55,15.05,15.1,219
2018-12-21,15.08,15.44,15.05,15.17,277
2018-12-24,15.17,15.31,15.05,15.05,142
2018-12-26,15.11,15.45,15.05,15.15,89
2018-12-27,15.15,15.36,15.05,15.14,152
2018-12-28,15.19,15.65,15.19,15.55,164
2018-12-31,15.56,15.68,15.39,15.47,96
2019-01-02,15.48,15.66,15.06,15.37,261
2019-01-03,15.3,15.64,15.13,15.13,160
2019-01-04,15.34,15.74,15.34,15.68,197
2019-01-07,15.54,15.75,15.49,15.49,208
2019-01-08,15.53,15.96,15.53,15.96,202
2019-01-09,15.95,15.95,15.71,15.82,129
2019-01-10,15.72,15.85,15.6,15.68,168
2019-01-11,15.57,15.85,15.42,15.73,120
2019-01-14,15.59,15.82,15.32,15.32,154
2019-01-15,15.33,15.8,15.33,15.73,109
2019-01-16,15.8,15.94,15.7,15.7,113
2019-01-17,15.71,15.94,15.67,15.7,164
2019-01-18,15.79,16.11,15.75,15.78,234
2019-01-22,15.64,15.88,15.51,15.55,238
2019-01-23,15.68,15.83,15.51,15.8,113
2019-01-24,15.8,15.96,15.21,15.41,177
2019-01-25,15.3,15.73,15.12,15.53,262
2019-01-28,15.38,15.68,15.3,15.35,118
2019-01-29,15.6,15.61,15.38,15.38,102
2019-01-30,15.67,15.67,15.45,15.51,123
2019-01-31,15.5,15.6,15.1,15.15,161
2019-02-01,15.28,15.46,15.08,15.28,152
2019-02-04,15.25,15.55,15.18,15.54,199
2019-02-05,15.5,15.8,15.43,15.43,132
2019-02-06,15.42,15.92,15.42,15.6,144
2019-02-07,15.73,15.92,15.73,15.82,108
2019-02-08,15.54,16.04,15.52,15.94,132
2019-02-11,16.01,16.34,15.99,16.16,53
2019-02-12,16.18,16.25,15.96,16.1,38
2019-02-13,15.9,16.15,15.8,15.99,54
2019-02-14,15.98,16.1,15.85,15.85,92
2019-02-15,15.96,16.24,15.82,16.05,77
2019-02-19,16.08,16.42,16.08,16.34,147
2019-02-20,16.14,16.38,15.89,15.89,140
2019-02-21,15.97,16.37,15.97,16.27,102
2019-02-22,16.29,16.46,16.26,16.27,27
2019-02-25,16.36,16.5,15.8,16.28,73
2019-02-26,15.84,16.44,15.84,16.2,106
2019-02-27,16.25,16.34,15.83,16.02,36
2019-02-28,16.1,16.43,16.1,16.22,85
2019-03-01,16.36,16.51,16.0,16.51,59
2019-03-04,16.54,16.72,16.5,16.53,221
2019-03-05,16.58,16.9,16.55,16.55,15
2019-03-06,16.83,16.83,15.73,15.73,67
2019-03-07,15.77,16.0,15.06,15.06,294
2019-03-08,15.05,15.76,15.05,15.51,150
2019-03-11,15.71,15.98,15.7,15.98,161
2019-03-12,15.92,16.05,15.75,15.75,53
2019-03-13,15.86,15.98,15.75,15.9,78
2019-03-14,16.25,16.31,15.9,16.04,14
2019-03-15,16.0,16.5,15.87,16.29,302
2019-03-18,16.19,16.19,15.98,15.98,62
2019-03-19,16.1,16.19,15.67,15.7,44
2019-03-20,15.76,15.84,15.55,15.55,63
2019-03-21,15.58,16.16,15.58,15.71,74
2019-03-22,15.73,15.73,15.07,15.07,51
2019-03-25,15.78,15.78,15.14,15.4,226
2019-03-26,15.36,15.68,15.33,15.51,72
2019-03-27,15.83,15.95,15.58,15.68,115
2019-03-28,15.92,15.93,15.52,15.72,126
2019-03-29,15.77,15.95,15.75,15.75,61
2019-04-01,15.75,16.17,15.75,16.01,379
2019-04-02,16.2,16.24,16.14,16.24,10
2019-04-03,16.3,16.3,16.02,16.2,21
2019-04-04,16.17,16.3,16.17,16.17,98
2019-04-05,16.05,16.74,16.05,16.74,79
2019-04-08,16.61,16.72,16.57,16.63,10
2019-04-09,16.53,16.76,16.05,16.56,30
2019-04-10,16.54,16.91,16.27,16.82,11
2019-04-11,16.41,16.72,16.41,16.7,9
2019-04-12,16.81,16.81,16.49,16.49,16
2019-04-15,16.63,16.63,16.25,16.5,318
2019-04-16,16.43,16.96,16.43,16.62,285
2019-04-17,16.6,16.71,16.48,16.54,111
2019-04-18,16.46,16.68,16.09,16.49,103
2019-04-22,16.35,16.41,16.01,16.04,100
2019-04-23,16.05,16.25,15.76,16.2,551
2019-04-24,15.85,16.7,15.85,16.51,95
2019-04-25,16.79,16.79,16.52,16.69,24
2019-04-26,16.74,16.75,16.55,16.75,17
2019-04-29,16.71,16.71,16.55,16.69,46
2019-04-30,16.54,16.73,16.48,16.73,131
2019-05-01,16.42,17.0,16.42,16.66,18
2019-05-02,16.34,16.59,16.34,16.52,45
2019-05-03,16.61,17.24,16.4,17.0,93
2019-05-06,16.82,16.89,16.5,16.64,50
2019-05-07,16.37,16.72,16.37,16.67,18
2019-05-08,16.96,16.99,16.49,16.5,92
2019-05-09,16.52,16.7,16.19,16.42,41
2019-05-10,16.32,16.59,16.11,16.32,26
2019-05-13,16.16,16.54,16.13,16.13,51
2019-05-14,16.25,16.57,16.24,16.57,18
2019-05-15,16.4,16.5,16.07,16.28,15
2019-05-16,16.51,16.52,16.0,16.0,14
2019-05-17,16.01,16.05,15.83,15.83,26
2019-05-20,15.52,15.77,15.52,15.77,1
2019-05-21,15.68,15.85,15.54,15.72,13
2019-05-22,15.72,15.72,15.56,15.56,5
2019-05-23,15.55,15.82,15.11,15.18,86
2019-05-24,15.21,15.59,15.12,15.5,66
2019-05-28,15.2,15.37,15.11,15.16,26
2019-05-29,15.26,15.29,15.05,15.06,52
2019-05-30,15.17,15.17,15.05,15.05,80
2019-05-31,15.05,15.21,15.05,15.16,17
2019-06-03,15.05,15.5,15.05,15.39,211
2019-06-04,15.5,15.66,15.28,15.5,70
2019-06-05,15.33,15.43,15.26,15.43,5
2019-06-06,15.16,15.36,15.06,15.2,57
2019-06-07,15.27,15.33,15.07,15.24,20
2019-06-10,15.16,15.29,15.06,15.22,65
2019-06-11,15.23,15.26,15.05,15.06,218
2019-06-12,15.03,15.06,14.79,14.85,42
2019-06-13,15.0,15.13,14.75,15.11,99
2019-06-14,15.01,15.03,14.78,14.78,49
2019-06-17,14.82,14.85,13.9,14.27,159
2019-06-18,14.13,14.42,14.13,14.39,46
2019-06-19,14.45,14.45,14.04,14.04,55
2019-06-20,14.13,14.14,13.8,13.87,95
2019-06-21,13.74,13.88,13.26,13.61,191
2019-06-24,13.58,13.84,13.3,13.49,301
2019-06-25,13.57,13.87,13.4,13.69,28
2019-06-26,13.8,13.97,13.66,13.66,73
2019-06-27,13.65,14.04,13.62,14.04,208
2019-06-28,14.1,14.48,13.87,14.15,67
2019-07-01,14.24,14.34,13.91,14.11,84
2019-07-02,13.9,14.1,13.75,14.02,67
2019-07-03,14.04,14.04,13.79,13.93,6
2019-07-05,13.89,14.13,13.76,13.92,35
2019-07-08,14.0,14.0,13.95,14.0,24
2019-07-09,14.02,14.1,13.85,14.05,19
2019-07-10,14.15,14.16,13.99,14.16,45
2019-07-11,14.13,14.17,14.05,14.17,27
2019-07-12,14.25,14.38,14.08,14.17,11
2019-07-15,14.14,14.14,14.08,14.08,4
2019-07-16,14.05,14.11,13.9,13.95,180
2019-07-17,13.95,14.36,13.95,14.29,48
2019-07-18,14.06,14.47,14.06,14.4,96
2019-07-19,14.26,14.5,14.21,14.39,45
2019-07-22,14.32,14.33,13.6,13.72,364
2019-07-23,13.83,14.0,13.76,13.96,191
2019-07-24,14.13,14.24,13.86,14.08,33
2019-07-25,14.29,14.85,14.29,14.8,32
2019-07-26,14.89,14.89,14.03,14.62,32
2019-07-29,14.85,14.92,14.66,14.66,14
2019-07-30,14.71,15.24,14.71,14.9,24
2019-07-31,14.99,15.12,14.76,14.78,42
2019-08-01,15.12,15.12,14.63,14.68,51
2019-08-02,14.57,14.62,14.5,14.5,68
2019-08-05,14.5,14.75,14.31,14.42,58
2019-08-06,14.55,14.68,14.45,14.55,92
2019-08-07,14.55,14.9,14.5,14.55,79
2019-08-08,14.8,14.89,14.72,14.83,60
2019-08-09,14.89,14.89,14.5,14.56,54
2019-08-12,14.6,14.64,14.5,14.56,6
2019-08-13,14.58,14.59,14.5,14.54,49
2019-08-14,14.26,14.49,14.26,14.35,55
2019-08-15,14.35,14.59,13.43,13.57,662
2019-08-16,13.69,13.82,13.51,13.78,179
2019-08-19,13.86,13.97,13.84,13.93,82
2019-08-20,13.93,14.0,13.81,13.95,88
2019-08-21,13.95,14.1,13.64,13.75,267
2019-08-22,13.75,13.9,13.71,13.71,85
2019-08-23,13.64,13.86,13.51,13.51,137
2019-08-26,13.69,13.87,13.55,13.87,106
2019-08-27,13.9,14.05,13.32,13.48,254
2019-08-28,13.52,13.8,13.2,13.37,324
2019-08-29,13.45,13.77,13.31,13.42,1047
2019-08-30,13.56,13.77,13.56,13.72,64
2019-09-03,13.7,13.83,13.61,13.61,48
2019-09-04,13.9,13.92,13.57,13.77,71
2019-09-05,13.8,13.99,13.8,13.99,38
2019-09-06,13.95,14.21,13.95,14.1,31
2019-09-09,14.15,14.57,14.15,14.45,32
2019-09-10,14.5,14.95,14.46,14.84,53
2019-09-11,14.86,15.16,14.79,14.99,65
2019-09-12,14.73,15.06,14.41,14.66,126
2019-09-13,14.76,15.0,14.7,14.9,92
2019-09-16,14.79,15.0,14.65,14.89,141
2019-09-17,14.6,14.95,14.58,14.88,11
2019-09-18,14.92,15.0,14.76,14.9,99
2019-09-19,14.94,15.01,14.78,14.8,149
2019-09-20,14.76,14.9,14.38,14.9,156
2019-09-23,14.86,14.9,14.45,14.89,265
2019-09-24,14.55,14.79,14.55,14.62,31
2019-09-25,14.56,14.95,14.56,14.87,60
2019-09-26,14.9,14.94,14.76,14.76,9
2019-09-27,14.88,14.88,14.67,14.67,4
2019-09-30,14.7,14.93,14.66,14.78,57
2019-10-01,14.7,14.79,14.13,14.4,21
2019-10-02,14.35,14.35,13.72,14.01,11
2019-10-03,13.86,14.69,13.55,14.33,12
2019-10-04,14.35,14.4,14.24,14.4,16
2019-10-07,14.18,14.37,13.64,14.37,4
2019-10-08,14.26,14.26,13.79,14.15,4
2019-10-09,14.12,14.39,13.88,13.97,19
2019-10-10,14.22,14.29,13.87,14.04,15
2019-10-11,14.26,14.48,14.1,14.12,20
2019-10-14,14.04,14.25,14.0,14.25,48
2019-10-15,14.32,14.35,14.14,14.31,5
2019-10-16,14.39,14.39,14.05,14.18,14
2019-10-17,14.12,14.13,13.8,14.1,56
2019-10-18,13.97,14.0,13.86,13.99,27
2019-10-21,14.09,14.39,14.09,14.3,55
2019-10-22,14.33,14.35,14.16,14.28,10
2019-10-23,14.3,14.31,14.08,14.14,57
2019-10-24,14.14,14.2,13.9,14.09,11
2019-10-25,14.0,14.29,13.96,14.1,10
2019-10-28,14.1,14.24,14.1,14.11,57
2019-10-29,14.0,14.22,13.97,14.22,57
2019-10-30,14.2,14.28,14.13,14.24,80
2019-10-31,14.05,14.17,14.05,14.15,31
2019-11-01,14.2,14.29,14.19,14.2,82
2019-11-04,14.25,14.37,14.02,14.29,177
2019-11-05,14.3,14.43,14.3,14.39,45
2019-11-06,14.35,14.5,14.35,14.39,114
2019-11-07,14.42,14.49,14.35,14.45,81
2019-11-08,14.25,14.38,14.2,14.25,180
2019-11-11,14.26,14.35,14.24,14.25,54
2019-11-12,14.32,14.33,14.25,14.32,20
2019-11-13,14.29,14.3,14.23,14.23,127
2019-11-14,14.39,14.55,14.18,14.18,153
2019-11-15,14.29,14.4,14.22,14.27,87
2019-11-18,14.25,14.35,14.22,14.22,100
2019-11-19,14.4,14.5,14.35,14.5,30
2019-11-20,14.41,14.5,14.28,14.28,51
2019-11-21,14.28,14.42,14.28,14.35,35
2019-11-22,14.3,14.36,14.08,14.28,192
2019-11-25,14.27,14.89,14.27,14.83,19
2019-11-26,14.77,14.91,14.61,14.61,16
2019-11-27,14.55,14.73,14.55,14.66,26
2019-11-29,14.91,14.91,14.73,14.73,11
2019-12-02,14.74,14.75,14.73,14.74,13
