date,open,high,low,close,volume
2018-12-10,24.8,24.9,24.06,24.27,5954
2018-12-11,24.52,24.6,24.04,24.34,6926
2018-12-12,24.71,25.3,24.55,25.02,7200
2018-12-13,25.08,25.25,24.66,24.67,7287
2018-12-14,24.55,24.81,24.45,24.65,6018
2018-12-17,24.87,25.51,24.62,24.84,6027
2018-12-18,25.05,25.57,24.92,24.96,6564
2018-12-19,25.17,25.17,24.28,24.6,7792
2018-12-20,24.61,25.21,24.5,24.8,6218
2018-12-21,24.76,25.57,24.65,25.12,12232
2018-12-24,25.09,25.8,24.82,25.3,4272
2018-12-26,25.38,26.47,25.12,26.45,9498
2018-12-27,25.74,26.25,25.62,26.25,7559
2018-12-28,26.33,26.65,26.07,26.42,8179
2018-12-31,26.51,26.78,26.07,26.55,4016
2019-01-02,26.22,26.5,25.94,26.23,7735
2019-01-03,26.11,26.18,25.42,25.75,7953
2019-01-04,26.08,26.48,25.77,25.94,7771
2019-01-07,25.99,26.34,25.67,26.03,6531
2019-01-08,26.28,26.42,25.8,25.94,3936
2019-01-09,26.13,26.32,25.9,26.03,4169
2019-01-10,26.05,26.11,25.75,25.91,4363
2019-01-11,25.67,25.67,24.68,25.3,5504
2019-01-14,25.23,25.47,25.13,25.19,5121
2019-01-15,25.13,25.29,24.59,25.29,5840
2019-01-16,25.51,25.95,25.48,25.85,5474
2019-01-17,25.79,26.32,25.65,25.99,5736
2019-01-18,26.13,26.73,26.08,26.43,7331
2019-01-22,26.2,26.51,26.09,26.38,5120
2019-01-23,26.43,26.5,25.8,25.9,8124
2019-01-24,25.88,25.93,25.02,25.09,11219
2019-01-25,25.12,25.81,24.65,25.48,13441
2019-01-28,25.77,26.46,25.64,26.39,9386
2019-01-29,26.46,27.03,26.1,26.71,12722
2019-01-30,26.75,26.92,25.8,25.9,5881
2019-01-31,25.82,26.22,25.68,26.13,6856
2019-02-01,26.18,26.28,25.81,26.0,6583
2019-02-04,26.02,26.38,25.96,26.26,2551
2019-02-05,26.33,26.76,26.3,26.72,5486
2019-02-06,26.67,27.41,26.67,27.32,9056
2019-02-07,27.05,27.37,26.73,27.36,6451
2019-02-08,27.41,27.44,26.98,27.35,8289
2019-02-11,27.4,27.78,27.27,27.75,5290
2019-02-12,27.89,28.0,27.66,27.77,9150
2019-02-13,27.86,28.09,27.7,27.83,7816
2019-02-14,27.7,27.97,27.53,27.84,6943
2019-02-15,28.0,28.56,27.88,28.37,5152
2019-02-19,28.2,28.55,27.43,28.42,4495
2019-02-20,28.31,28.72,28.23,28.69,6333
2019-02-21,28.59,28.96,28.5,28.86,7317
2019-02-22,28.89,28.97,28.52,28.93,3122
2019-02-25,29.0,29.4,28.89,28.96,5612
2019-02-26,28.93,29.11,28.7,28.88,5805
2019-02-27,28.89,29.37,28.64,29.3,5548
2019-02-28,29.4,29.93,29.33,29.75,6304
2019-03-01,29.95,30.35,29.51,29.55,7856
2019-03-04,29.53,30.02,29.43,29.59,5629
2019-03-05,29.57,30.09,29.57,29.89,6637
2019-03-06,29.81,30.34,29.71,29.83,8068
2019-03-07,29.79,29.83,29.02,29.15,5021
2019-03-08,29.04,29.33,28.73,29.28,3750
2019-03-11,29.46,29.85,29.27,29.84,3945
2019-03-12,29.85,29.92,29.52,29.67,2687
2019-03-13,29.76,29.9,29.42,29.7,7501
2019-03-14,29.7,29.82,29.3,29.37,4790
2019-03-15,29.36,29.93,29.36,29.75,9000
2019-03-18,29.85,30.43,29.78,30.4,3938
2019-03-19,30.5,30.58,29.37,29.6,6919
2019-03-20,29.56,29.78,29.17,29.22,9139
2019-03-21,29.06,29.6,28.95,29.14,8325
2019-03-22,29.1,29.1,28.2,28.52,6833
2019-03-25,28.48,28.64,27.98,28.5,14052
2019-03-26,28.67,29.19,28.67,29.07,5210
2019-03-27,29.12,29.32,28.86,29.15,4509
2019-03-28,29.11,29.56,28.6,29.43,4421
2019-03-29,29.61,29.65,29.24,29.31,4651
2019-04-01,29.52,30.06,29.4,30.06,4450
2019-04-02,30.08,30.23,29.58,29.71,4394
2019-04-03,29.94,30.25,29.76,30.07,4637
2019-04-04,30.13,30.49,30.07,30.49,2962
2019-04-05,30.5,30.9,30.34,30.9,3313
2019-04-08,30.95,31.24,30.83,31.19,4759
2019-04-09,31.2,31.22,30.73,31.22,4420
2019-04-10,31.24,31.87,31.03,31.75,4681
2019-04-11,31.8,32.52,31.76,32.19,5062
2019-04-12,32.48,32.72,32.23,32.65,4059
2019-04-15,32.69,32.76,32.41,32.46,4941
2019-04-16,32.7,33.18,32.62,33.02,5268
2019-04-17,33.11,33.11,31.98,32.2,8736
2019-04-18,32.18,32.65,32.02,32.56,3564
2019-04-22,32.54,32.86,32.39,32.6,17083
2019-04-23,32.57,33.19,32.41,32.68,9590
2019-04-24,32.69,33.11,32.52,32.99,7191
2019-04-25,32.9,33.77,32.56,33.54,10947
2019-04-26,30.7,31.74,29.97,31.09,20381
2019-04-29,31.07,31.46,30.78,30.83,7664
2019-04-30,31.0,31.2,30.66,30.73,7365
2019-05-01,30.87,31.58,30.64,31.35,5763
2019-05-02,31.4,31.65,30.93,31.23,5024
2019-05-03,31.25,31.53,31.19,31.52,2664
2019-05-06,31.06,31.93,30.89,31.87,6518
2019-05-07,31.36,32.19,31.01,31.64,8881
2019-05-08,31.54,31.98,31.54,31.79,4343
2019-05-09,31.65,32.1,31.32,31.96,4881
2019-05-10,31.91,32.16,31.55,31.9,3898
2019-05-13,31.6,31.71,30.76,30.87,4716
2019-05-14,30.89,31.04,30.64,30.71,4887
2019-05-15,30.48,30.82,30.1,30.72,5616
2019-05-16,30.81,31.08,30.73,30.93,3481
2019-05-17,30.76,30.99,30.49,30.56,3383
2019-05-20,30.37,30.43,30.13,30.29,3066
2019-05-21,30.41,31.14,30.41,30.99,5057
2019-05-22,30.85,31.05,30.33,30.61,3383
2019-05-23,30.37,30.74,30.11,30.3,4787
2019-05-24,30.45,30.86,30.37,30.84,4010
2019-05-28,30.76,31.42,30.65,31.36,8378
2019-05-29,31.21,31.63,31.08,31.57,6109
2019-05-30,31.57,31.78,30.93,31.03,3741
2019-05-31,30.78,30.82,30.34,30.53,5374
2019-06-03,30.48,31.28,30.32,31.15,4334
2019-06-04,31.46,31.91,31.25,31.77,2723
2019-06-05,31.82,31.9,31.2,31.87,2806
2019-06-06,31.8,32.04,31.7,31.93,3365
2019-06-07,31.94,32.24,31.74,31.76,4455
2019-06-10,32.35,32.68,31.82,32.15,4477
2019-06-11,32.26,32.56,31.93,32.34,2648
2019-06-12,32.3,32.84,32.26,32.57,3732
2019-06-13,32.67,32.82,32.29,32.39,2472
2019-06-14,32.44,32.62,32.25,32.41,2544
2019-06-17,32.37,32.4,31.26,31.33,3832
2019-06-18,31.62,32.23,31.55,32.0,3567
2019-06-19,32.06,32.24,31.63,31.76,3221
2019-06-20,31.98,32.42,31.7,32.09,3624
2019-06-21,31.87,32.24,31.8,32.19,6794
2019-06-24,32.22,32.37,31.81,31.89,2486
2019-06-25,31.97,31.97,31.49,31.64,2777
2019-06-26,31.71,31.99,31.49,31.72,7674
2019-06-27,31.81,32.46,31.8,32.41,3618
2019-06-28,32.55,32.9,32.43,32.5,4548
2019-07-01,32.79,32.98,32.25,32.68,2636
2019-07-02,32.73,32.8,32.34,32.49,2048
2019-07-03,32.58,33.27,32.54,33.1,1551
2019-07-05,33.11,33.33,32.97,33.28,1759
2019-07-08,33.09,33.33,32.9,33.03,2514
2019-07-09,32.99,33.4,32.63,33.35,2825
2019-07-10,33.48,33.5,32.98,33.0,3062
2019-07-11,33.16,33.61,33.0,33.6,4800
2019-07-12,33.75,33.96,33.51,33.8,6230
2019-07-15,33.85,33.99,33.18,33.41,5234
2019-07-16,33.44,33.64,33.17,33.36,4712
2019-07-17,33.24,33.34,32.85,32.98,3702
2019-07-18,32.9,33.61,32.84,33.51,4594
2019-07-19,33.45,33.94,33.25,33.26,5440
2019-07-22,33.25,33.29,32.68,33.1,4745
2019-07-23,33.27,33.44,33.14,33.34,3597
2019-07-24,33.19,33.9,33.03,33.89,4340
2019-07-25,33.93,34.35,33.72,34.25,5718
2019-07-26,34.57,35.87,34.5,35.56,14104
2019-07-29,35.64,35.98,35.06,35.25,6418
2019-07-30,35.03,35.33,34.85,35.0,5159
2019-07-31,34.99,35.39,34.72,34.75,5590
2019-08-01,34.56,34.76,33.42,33.91,6236
2019-08-02,33.75,34.13,33.65,33.99,3144
2019-08-05,33.49,33.5,32.54,32.8,4200
2019-08-06,32.86,33.56,32.86,33.5,4826
2019-08-07,32.71,33.31,32.21,32.71,4290
2019-08-08,33.0,33.38,32.86,33.26,3354
2019-08-09,33.13,33.16,32.31,32.48,3902
2019-08-12,32.19,32.53,32.04,32.26,3244
2019-08-13,32.15,32.9,32.08,32.78,3488
2019-08-14,32.1,32.49,32.02,32.1,5239
2019-08-15,32.35,32.64,32.04,32.18,3262
2019-08-16,32.36,32.62,31.94,32.1,7178
2019-08-19,32.41,32.49,32.09,32.23,2597
2019-08-20,32.14,32.36,31.83,32.27,2168
2019-08-21,32.56,32.67,32.07,32.12,2148
2019-08-22,32.15,32.74,32.06,32.39,2734
2019-08-23,32.34,32.48,31.75,31.85,2661
2019-08-26,32.17,32.19,31.57,31.77,2282
2019-08-27,31.95,32.09,31.18,31.31,2931
2019-08-28,31.19,31.6,31.1,31.45,2664
2019-08-29,31.73,31.96,31.54,31.83,2860
2019-08-30,31.97,32.33,31.8,32.04,1783
2019-09-03,31.8,32.01,31.43,31.73,2039
2019-09-04,32.05,32.26,31.86,32.21,1990
2019-09-05,32.6,33.32,32.6,32.79,3125
2019-09-06,32.66,32.66,31.88,31.96,3453
2019-09-09,32.15,32.37,31.78,31.92,5481
2019-09-10,32.09,32.45,31.91,32.24,6798
2019-09-11,32.41,33.31,32.07,33.27,4928
2019-09-12,33.29,33.65,33.05,33.51,4025
2019-09-13,34.0,34.11,33.0,33.02,4480
2019-09-16,32.4,33.07,32.18,32.85,3161
2019-09-17,32.74,32.85,31.82,32.41,4382
2019-09-18,32.37,32.39,31.94,32.27,2015
2019-09-19,32.25,32.97,32.24,32.57,2072
2019-09-20,32.61,32.69,31.89,31.93,4848
2019-09-23,31.77,32.69,31.73,32.53,2805
2019-09-24,32.63,32.84,32.15,32.31,3302
2019-09-25,32.29,32.62,31.96,32.38,2361
2019-09-26,32.48,32.64,32.21,32.34,1954
2019-09-27,32.54,32.73,32.31,32.46,3245
2019-09-30,32.45,32.73,32.01,32.41,3200
2019-10-01,32.51,32.58,31.52,31.67,2922
2019-10-02,31.36,31.66,30.51,30.78,2304
2019-10-03,30.61,30.88,30.31,30.8,1897
2019-10-04,30.74,30.96,30.17,30.78,3984
2019-10-07,30.8,31.04,30.56,30.71,4891
2019-10-08,30.52,31.1,30.31,30.86,5963
2019-10-09,31.22,31.53,31.02,31.4,3632
2019-10-10,31.4,31.69,31.31,31.58,4084
2019-10-11,32.06,32.46,31.76,31.78,5304
2019-10-14,31.58,31.64,31.31,31.35,2259
2019-10-15,31.23,31.35,30.44,30.91,8544
2019-10-16,30.81,31.3,30.64,30.96,6288
2019-10-17,31.21,31.46,30.95,31.13,2191
2019-10-18,31.01,31.76,31.01,31.38,3082
2019-10-21,31.73,32.23,31.73,32.05,2355
2019-10-22,32.16,32.24,31.61,31.63,1987
2019-10-23,31.62,31.89,31.46,31.8,1782
2019-10-24,31.78,32.13,31.23,31.31,3668
2019-10-25,32.4,32.4,30.11,30.49,10261
2019-10-28,30.68,31.17,30.48,30.94,8011
2019-10-29,31.0,31.52,30.74,31.32,3426
2019-10-30,31.32,31.82,31.22,31.74,3002
2019-10-31,31.6,31.99,31.41,31.94,2988
2019-11-01,32.19,32.62,32.0,32.53,2743
2019-11-04,32.81,33.57,32.71,33.52,5440
2019-11-05,33.69,34.04,33.6,34.04,4998
2019-11-06,34.09,34.09,33.62,33.74,2580
2019-11-07,33.7,33.95,33.56,33.71,2370
2019-11-08,33.72,34.06,33.46,33.94,3407
2019-11-11,33.72,34.02,33.47,33.65,2322
2019-11-12,33.69,33.83,33.43,33.6,3016
2019-11-13,33.35,33.99,33.21,33.71,2136
2019-11-14,33.54,33.78,33.43,33.64,1769
2019-11-15,33.8,33.8,33.25,33.29,2369
2019-11-18,33.23,33.53,33.13,33.43,2688
2019-11-19,33.58,33.87,33.49,33.64,1225
2019-11-20,33.43,33.69,33.26,33.45,2042
2019-11-21,33.54,33.55,32.98,33.03,2148
2019-11-22,33.06,33.16,32.78,33.0,1659
2019-11-25,32.94,33.77,32.94,33.74,2044
2019-11-26,33.56,33.8,33.24,33.45,2701
2019-11-27,33.63,33.97,33.49,33.79,2042
2019-11-29,33.72,34.0,33.49,33.52,926
2019-12-02,33.65,33.71,33.11,33.2,2257
2019-12-03,32.95,33.0,32.5,32.73,1643
2019-12-04,32.86,33.5,32.86,33.22,2666
2019-12-05,33.57,33.69,33.29,33.57,2101
2019-12-06,33.95,34.13,33.73,33.79,2324
2019-12-09,33.7,33.92,33.69,33.77,2041
2019-12-10,33.71,33.88,33.55,33.84,2765
2019-12-11,33.93,34.1,33.66,33.99,1658
2019-12-12,33.94,34.49,33.88,34.43,2656
2019-12-13,33.79,34.18,33.35,33.45,4075
2019-12-16,33.62,34.15,33.24,33.37,2810
2019-12-17,33.38,33.6,33.24,33.52,2397
2019-12-18,33.68,33.7,33.03,33.14,3106
2019-12-19,33.34,33.64,33.06,33.47,2931
2019-12-20,33.62,33.62,32.93,32.99,5496
2019-12-23,33.0,33.08,32.77,32.82,2166
2019-12-24,32.97,33.06,32.72,32.89,766
2019-12-26,32.96,33.14,32.78,32.97,1229
2019-12-27,32.95,33.02,32.54,32.72,1753
2019-12-30,32.8,33.05,32.55,32.84,3228
2019-12-31,32.78,32.94,32.52,32.59,1509
2020-01-02,32.86,32.9,32.54,32.85,2775
2020-01-03,32.45,32.65,32.24,32.54,2523
