date,open,high,low,close,volume
2019-03-13,39.0,39.9,38.7,39.75,81221
2019-03-14,39.75,41.4,39.75,40.65,54062
2019-03-15,41.38,41.87,41.24,41.7,69453
2019-03-18,41.95,41.95,41.05,41.7,32915
2019-03-19,41.55,41.7,39.84,40.34,84363
2019-03-20,40.49,40.81,38.24,38.62,145747
2019-03-21,39.01,40.07,38.75,40.02,107313
2019-03-22,39.95,39.99,37.69,38.72,95406
2019-03-25,38.89,38.96,37.39,37.44,82138
2019-03-26,37.65,38.28,37.51,37.54,53369
2019-03-27,37.58,37.91,36.76,36.92,49151
2019-03-28,36.85,37.15,36.34,36.4,47186
2019-03-29,36.55,36.91,36.15,36.71,38491
2019-04-01,36.97,37.15,36.71,36.85,42320
2019-04-02,36.96,37.18,35.9,36.28,49755
2019-04-03,36.37,36.56,35.9,36.08,76233
2019-04-04,36.2,36.8,36.01,36.76,42804
2019-04-05,36.85,37.85,36.69,37.68,61391
2019-04-08,37.6,37.68,37.26,37.47,27137
2019-04-09,37.42,37.65,37.17,37.31,27723
2019-04-10,37.3,37.53,36.36,36.48,35327
2019-04-11,36.57,37.16,35.99,37.09,37578
2019-04-12,37.15,37.62,36.47,37.53,52786
2019-04-15,37.46,37.57,36.99,37.53,28215
2019-04-16,37.67,37.85,37.47,37.75,34933
2019-04-17,37.82,38.85,37.76,38.84,61853
2019-04-18,38.81,39.0,38.43,38.44,39822
2019-04-22,38.36,38.44,37.62,37.7,62963
2019-04-23,37.79,38.39,37.63,38.08,52860
2019-04-24,37.95,38.31,37.8,37.96,43059
2019-04-25,37.97,38.2,37.54,38.15,40591
2019-04-26,38.08,38.53,37.9,38.48,46933
2019-04-29,38.5,39.53,38.31,39.2,59522
2019-04-30,39.18,39.33,38.47,38.99,31875
2019-05-01,39.12,39.49,38.66,39.4,45736
2019-05-02,39.37,39.47,37.08,37.28,87956
2019-05-03,37.41,37.75,37.12,37.47,39189
2019-05-06,37.17,37.99,36.96,37.92,35961
2019-05-07,37.58,37.81,37.12,37.26,48925
2019-05-08,37.34,37.7,36.85,37.42,65243
2019-05-09,38.66,39.25,37.51,38.5,136667
2019-05-10,38.64,38.75,37.44,38.53,54390
2019-05-13,37.73,38.68,37.73,37.97,46699
2019-05-14,38.05,38.52,37.87,37.89,55434
2019-05-15,37.7,37.97,37.57,37.71,23812
2019-05-16,37.91,38.08,36.7,36.74,69190
2019-05-17,36.61,37.59,36.55,37.32,39224
2019-05-20,37.18,37.64,37.0,37.14,29898
2019-05-21,37.26,38.0,37.1,37.69,38470
2019-05-22,37.66,37.76,37.05,37.12,25803
2019-05-23,36.82,37.08,36.63,36.91,34233
2019-05-24,37.05,37.21,36.85,36.92,21543
2019-05-28,36.98,37.34,36.5,36.64,23068
