date,open,high,low,close,volume
2018-12-10,11.57,11.79,11.48,11.58,60
2018-12-11,11.74,11.85,11.39,11.42,95
2018-12-12,11.46,11.73,11.2,11.605,90
2018-12-13,11.56,11.77,11.48,11.67,63
2018-12-14,11.66,11.89,11.57,11.6,98
2018-12-17,11.53,11.78,11.26,11.7,172
2018-12-18,11.87,11.87,11.66,11.72,188
2018-12-19,11.79,11.9,11.41,11.47,260
2018-12-20,11.48,11.88,11.13,11.62,265
2018-12-21,11.62,11.88,11.5,11.88,383
2018-12-24,11.85,12.23,11.8,11.82,93
2018-12-26,11.82,12.38,11.82,12.17,215
2018-12-27,12.07,12.5,11.77,11.95,946
2018-12-28,12.05,12.9,11.56,12.02,230
2018-12-31,12.03,12.25,11.66,12.12,338
2019-01-02,12.02,12.1,11.85,12.0,308
2019-01-03,11.92,12.0,11.91,11.91,94
2019-01-04,12.05,12.05,11.8,11.89,224
2019-01-07,11.88,11.91,11.84,11.9,683
2019-01-08,11.97,12.0,11.86,11.9,526
2019-01-09,11.9,11.9,11.75,11.8,94
2019-01-10,11.75,11.84,11.45,11.53,122
2019-01-11,11.37,11.48,11.31,11.4,725
2019-01-14,11.3,11.49,11.3,11.34,1274
2019-01-15,11.35,11.69,11.31,11.42,206
2019-01-16,11.4,11.56,11.39,11.42,153
2019-01-17,11.36,11.75,11.36,11.42,655
2019-01-18,11.41,11.67,11.4,11.48,733
2019-01-22,11.49,11.63,11.36,11.4,203
2019-01-23,11.46,11.81,11.36,11.43,179
2019-01-24,11.44,12.02,11.35,11.48,253
2019-01-25,11.41,11.56,11.37,11.49,389
2019-01-28,11.25,11.43,11.04,11.14,253
2019-01-29,11.21,11.27,11.04,11.09,84
2019-01-30,11.08,11.3,10.95,11.08,3561
2019-01-31,11.05,11.28,10.98,11.24,238
2019-02-01,11.25,11.36,11.13,11.15,176
2019-02-04,11.07,11.21,11.07,11.17,400
2019-02-05,11.21,11.21,11.15,11.17,94
2019-02-06,11.2,11.3,11.1,11.13,132
2019-02-07,11.19,11.19,11.07,11.08,55
2019-02-08,11.14,11.2,11.09,11.12,223
2019-02-11,11.15,11.3,11.1,11.19,1355
2019-02-12,11.29,11.41,11.13,11.22,178
2019-02-13,11.25,11.37,11.15,11.2,144
2019-02-14,11.2,11.25,11.14,11.14,81
2019-02-15,11.2,11.38,11.19,11.26,6970
2019-02-19,11.27,11.57,11.27,11.57,1256
2019-02-20,11.5,11.6,11.5,11.58,4044
2019-02-21,11.55,11.62,11.52,11.57,363
2019-02-22,11.57,11.59,11.52,11.57,161
2019-02-25,11.57,11.58,11.5,11.52,841
2019-02-26,11.52,11.6,11.49,11.59,3714
2019-02-27,11.6,11.62,11.58,11.59,159
2019-02-28,11.59,11.62,11.55,11.57,104
2019-03-01,11.59,11.62,11.56,11.62,104
2019-03-04,11.6,11.69,11.51,11.61,79
2019-03-05,11.58,11.74,11.53,11.65,80
2019-03-06,11.64,11.75,11.33,11.33,117
2019-03-07,11.22,11.34,11.19,11.25,135
2019-03-08,11.19,11.32,11.13,11.255,199
2019-03-11,11.26,11.42,11.09,11.4,113
2019-03-12,11.4,11.59,11.24,11.43,316
2019-03-13,11.46,11.69,11.46,11.54,321
2019-03-14,11.53,11.59,11.5,11.52,104
2019-03-15,11.53,11.58,11.5,11.55,414
2019-03-18,11.55,11.6,11.49,11.56,46
2019-03-19,11.51,11.54,11.36,11.43,98
2019-03-20,11.44,11.44,11.3,11.3,70
2019-03-21,11.32,11.74,11.1,11.13,318
2019-03-22,11.1,11.1,10.9,10.9,167
2019-03-25,10.83,11.09,10.73,10.96,147
2019-03-26,11.0,11.38,11.0,11.26,25
2019-03-27,11.27,11.45,11.15,11.33,125
2019-03-28,11.4,11.4,11.29,11.3,46
2019-03-29,11.45,11.54,11.22,11.53,242
2019-04-01,11.5,11.55,11.4,11.5,236
2019-04-02,11.51,11.72,11.42,11.51,105
2019-04-03,11.61,11.67,11.42,11.49,56
2019-04-04,11.57,11.57,11.27,11.42,102
2019-04-05,11.4,11.54,11.3,11.43,193
2019-04-08,11.42,11.55,11.37,11.415,92
2019-04-09,11.33,11.34,11.24,11.24,58
2019-04-10,11.25,11.41,11.21,11.36,150
2019-04-11,11.39,11.45,11.35,11.39,177
2019-04-12,11.42,11.49,11.38,11.4,58
2019-04-15,11.48,11.5,11.36,11.39,32
2019-04-16,11.48,11.52,11.36,11.43,300
2019-04-17,11.54,11.54,11.26,11.41,117
2019-04-18,11.36,11.51,11.29,11.34,67
2019-04-22,11.38,11.38,11.17,11.25,78
2019-04-23,11.43,11.43,11.3,11.33,88
2019-04-24,11.25,11.41,11.24,11.31,44
2019-04-25,11.29,11.31,11.16,11.265,165
2019-04-26,11.34,11.46,11.2,11.43,101
2019-04-29,11.28,11.65,11.28,11.48,186
2019-04-30,11.43,11.6,11.26,11.41,285
2019-05-01,11.22,11.49,11.2,11.3,113
2019-05-02,11.4,11.44,11.12,11.12,180
2019-05-03,11.19,11.37,11.18,11.37,154
2019-05-06,11.3,11.47,11.12,11.38,38
2019-05-07,11.38,11.38,11.25,11.25,75
2019-05-08,11.26,11.38,11.26,11.28,16
2019-05-09,11.25,11.38,11.23,11.27,245
2019-05-10,11.13,11.38,11.13,11.3,290
2019-05-13,11.17,11.39,11.15,11.15,82
2019-05-14,11.29,11.35,11.23,11.32,137
2019-05-15,11.25,11.45,11.13,11.25,352
2019-05-16,11.27,11.44,11.27,11.3,306
2019-05-17,11.21,11.42,11.21,11.27,309
2019-05-20,11.3,11.39,11.22,11.29,235
2019-05-21,11.23,11.37,11.18,11.33,358
2019-05-22,11.31,11.33,11.27,11.27,29
2019-05-23,11.18,11.26,11.16,11.21,170
2019-05-24,11.29,11.41,11.17,11.28,123
2019-05-28,11.33,11.41,11.17,11.26,512
2019-05-29,11.19,11.34,11.19,11.23,153
2019-05-30,11.3,11.32,11.18,11.26,148
2019-05-31,11.16,11.3,11.16,11.2,148
2019-06-03,11.28,11.28,11.06,11.14,229
2019-06-04,11.25,11.25,11.11,11.24,180
2019-06-05,11.2,11.3,11.08,11.12,111
2019-06-06,11.11,11.3,11.11,11.15,1030
2019-06-07,11.13,11.2,11.13,11.19,60
2019-06-10,11.27,11.34,11.17,11.31,135
2019-06-11,11.42,11.42,11.29,11.37,59
2019-06-12,11.39,11.66,11.33,11.66,77
2019-06-13,11.75,11.75,11.54,11.57,80
2019-06-14,11.62,11.78,11.43,11.74,183
2019-06-17,11.68,11.7,11.45,11.49,84
2019-06-18,11.68,11.68,11.48,11.64,50
2019-06-19,11.67,11.7,11.57,11.63,20
2019-06-20,11.69,11.69,11.45,11.46,102
2019-06-21,11.36,11.56,11.28,11.44,2266
2019-06-24,11.47,11.64,11.37,11.44,54
2019-06-25,11.22,11.55,11.22,11.5,46
2019-06-26,11.47,11.55,11.29,11.34,24
2019-06-27,11.3,11.53,11.02,11.45,312
2019-06-28,11.45,11.82,11.45,11.74,324
2019-07-01,11.74,11.74,11.51,11.63,68
2019-07-02,11.61,11.73,11.61,11.68,145
2019-07-03,11.63,11.74,11.63,11.73,33
2019-07-05,11.67,11.75,11.67,11.72,47
2019-07-08,11.63,11.72,11.6,11.64,36
2019-07-09,11.69,11.7,11.58,11.68,163
2019-07-10,11.74,11.74,11.51,11.61,154
2019-07-11,11.61,11.66,11.56,11.63,139
2019-07-12,11.65,11.76,11.6,11.62,100
2019-07-15,11.65,11.76,11.52,11.55,79
2019-07-16,11.66,11.66,11.49,11.53,13
2019-07-17,11.48,11.51,11.34,11.43,29
2019-07-18,11.4,11.47,11.4,11.46,107
2019-07-19,11.4,11.49,11.32,11.44,51
2019-07-22,11.3,11.49,11.25,11.43,88
2019-07-23,11.39,11.48,11.39,11.48,131
2019-07-24,11.48,11.8,11.44,11.52,128
2019-07-25,11.13,11.7,11.13,11.32,25
2019-07-26,11.43,11.55,11.38,11.42,58
2019-07-29,11.35,11.49,11.35,11.37,113
2019-07-30,11.45,11.58,11.31,11.46,75
2019-07-31,11.41,11.6,11.38,11.38,108
2019-08-01,11.3,11.4,11.05,11.05,251
2019-08-02,11.04,11.19,10.97,10.99,305
2019-08-05,10.96,10.96,10.68,10.68,236
2019-08-06,10.68,10.81,10.46,10.53,205
2019-08-07,10.39,10.66,10.34,10.53,209
2019-08-08,10.58,10.93,10.45,10.67,121
2019-08-09,10.69,10.88,10.69,10.72,116
2019-08-12,10.7,10.83,10.42,10.7,204
2019-08-13,10.83,10.87,10.66,10.69,102
2019-08-14,10.47,10.65,10.4,10.45,56
2019-08-15,10.45,10.57,10.29,10.3,82
2019-08-16,10.34,10.67,10.34,10.67,121
2019-08-19,10.69,10.8,10.57,10.64,102
2019-08-20,10.64,10.68,10.49,10.53,104
2019-08-21,10.65,10.67,10.57,10.58,430
2019-08-22,10.68,10.68,10.39,10.44,78
2019-08-23,10.47,10.66,10.31,10.37,577
2019-08-26,10.44,10.47,10.31,10.46,44
2019-08-27,10.46,10.47,10.35,10.37,276
2019-08-28,10.31,10.52,10.31,10.42,45
2019-08-29,10.53,11.09,10.37,10.44,136
2019-08-30,11.0,11.0,10.38,10.56,7
2019-09-03,10.96,10.96,10.34,10.41,219
2019-09-04,10.5,10.52,10.36,10.45,28
2019-09-05,10.53,10.86,10.53,10.59,84
2019-09-06,10.67,10.74,10.48,10.54,38
2019-09-09,10.52,10.86,10.52,10.8,125
2019-09-10,10.78,11.05,10.59,10.99,74
2019-09-11,11.06,11.16,10.88,11.01,182
2019-09-12,10.82,11.42,10.77,11.38,194
2019-09-13,11.44,11.55,11.37,11.46,234
2019-09-16,11.36,11.4,11.18,11.31,132
2019-09-17,11.25,11.36,11.1,11.28,154
2019-09-18,11.3,11.39,11.1,11.28,217
2019-09-19,11.25,11.38,11.1,11.12,103
2019-09-20,11.07,11.14,10.82,11.13,301
2019-09-23,11.01,11.16,10.83,10.94,153
2019-09-24,11.04,11.04,10.78,10.8,182
2019-09-25,10.94,11.03,10.9,10.95,89
2019-09-26,10.82,11.04,10.78,10.85,39
2019-09-27,11.0,11.04,10.91,10.93,51
2019-09-30,10.99,10.99,10.8,10.83,102
