date,open,high,low,close,volume
2018-12-10,20.0,20.38,18.85,20.06,390
2018-12-11,20.32,20.35,19.0,20.1,496
2018-12-12,19.51,20.3,19.33,19.84,299
2018-12-13,19.99,20.26,19.3,20.13,320
2018-12-14,20.24,20.24,19.4,19.85,308
2018-12-17,19.57,19.9,18.29,18.92,272
2018-12-18,19.0,19.73,18.1,18.16,444
2018-12-19,18.32,18.44,15.53,15.9,483
2018-12-20,16.3,17.0,15.9,15.95,628
2018-12-21,16.09,18.39,16.09,17.51,372
2018-12-24,17.48,17.48,16.37,16.6,28
2018-12-26,16.69,17.22,16.05,16.61,101
2018-12-27,16.5,16.5,16.05,16.35,56
2018-12-28,16.29,16.7,16.29,16.69,20
2018-12-31,16.84,17.95,16.29,17.61,133
2019-01-02,17.67,17.75,16.96,17.67,155
2019-01-03,17.65,17.71,16.78,17.71,45
2019-01-04,17.83,18.25,17.71,18.24,74
2019-01-07,18.23,18.23,17.85,17.85,47
2019-01-08,18.1,18.1,17.16,17.78,11
2019-01-09,17.8,18.19,17.33,17.64,19
2019-01-10,18.14,18.14,17.52,17.52,5
2019-01-11,17.46,17.81,17.34,17.57,7
2019-01-14,17.42,17.99,17.42,17.67,4
2019-01-15,17.67,17.98,17.5,17.56,7
2019-01-16,17.61,18.08,17.6,18.08,7
2019-01-17,17.95,18.09,17.57,17.57,77
2019-01-18,17.63,18.47,17.44,17.6,58
2019-01-22,17.46,18.33,17.45,17.65,40
2019-01-23,17.72,17.88,17.72,17.88,4
2019-01-24,17.77,17.77,17.37,17.56,21
2019-01-25,17.45,17.61,17.41,17.42,498
2019-01-28,17.31,17.45,17.31,17.45,30
2019-01-29,17.33,17.55,17.25,17.25,446
2019-01-30,17.27,17.5,17.26,17.35,12
2019-01-31,17.46,17.5,17.29,17.5,18
2019-02-01,17.47,17.54,17.32,17.45,22
2019-02-04,17.45,17.5,17.42,17.45,62
2019-02-05,17.46,17.49,17.42,17.45,40
2019-02-06,17.48,17.48,17.32,17.32,51
2019-02-07,17.44,17.44,17.27,17.28,40
2019-02-08,17.14,17.45,17.14,17.29,22
2019-02-11,17.51,17.51,17.31,17.35,27
2019-02-12,17.45,17.45,17.39,17.4,14
2019-02-13,17.4,17.4,17.4,17.4,0
2019-02-14,17.42,17.45,17.42,17.45,25
2019-02-15,17.46,17.75,17.46,17.46,299
2019-02-19,17.5,17.59,17.47,17.59,89
2019-02-20,17.57,17.65,17.57,17.6,120
2019-02-21,17.66,17.67,17.6,17.66,132
2019-02-22,17.8,17.88,17.6,17.88,600
2019-02-25,17.82,17.99,17.66,17.74,29
2019-02-26,17.68,17.75,17.68,17.68,54
2019-02-27,17.68,17.86,17.62,17.73,71
2019-02-28,17.91,17.91,17.73,17.75,16
2019-03-01,17.77,17.92,17.77,17.77,82
2019-03-04,17.69,17.82,17.66,17.66,175
2019-03-05,17.66,17.75,17.66,17.66,42
2019-03-06,17.66,17.74,17.66,17.66,42
2019-03-07,17.66,17.66,17.61,17.61,2
2019-03-08,17.61,17.64,17.33,17.5,109
2019-03-11,17.46,17.52,17.37,17.445,71
2019-03-12,17.42,17.51,17.37,17.37,43
2019-03-13,17.4,17.4,17.37,17.39,43
2019-03-14,17.4,17.4,17.29,17.36,127
2019-03-15,17.34,17.35,17.31,17.31,62
2019-03-18,17.29,17.34,17.05,17.32,633
2019-03-19,17.28,17.62,17.22,17.62,91
2019-03-20,17.5,17.5,17.22,17.36,115
2019-03-21,17.3,17.49,17.19,17.19,12
2019-03-22,17.16,17.17,16.71,17.1,29
2019-03-25,16.65,17.15,16.59,16.79,96
2019-03-26,17.01,17.2,16.62,17.19,158
2019-03-27,17.04,17.23,16.88,16.97,168
2019-03-28,16.93,17.0,16.92,16.92,21
2019-03-29,16.83,16.91,16.83,16.91,5
2019-04-01,16.87,16.99,16.87,16.95,55
2019-04-02,16.87,17.05,16.87,17.02,29
2019-04-03,16.88,17.17,16.87,16.99,33
2019-04-04,17.0,17.0,16.92,16.98,15
2019-04-05,17.0,17.13,16.93,17.13,53
2019-04-08,17.0,17.12,16.94,16.94,61
2019-04-09,16.9,16.9,16.87,16.87,5
2019-04-10,16.82,17.11,16.82,16.82,40
2019-04-11,16.77,16.89,16.18,16.42,268
2019-04-12,16.83,16.84,16.45,16.45,49
2019-04-15,16.4,16.48,16.37,16.42,23
2019-04-16,16.63,16.63,16.63,16.63,8
2019-04-17,16.57,16.74,16.57,16.57,22
2019-04-18,16.65,16.74,16.65,16.74,2
2019-04-22,16.59,16.73,15.93,16.04,72
2019-04-23,16.06,16.47,16.02,16.13,173
2019-04-24,16.12,16.3,16.05,16.05,122
2019-04-25,16.25,16.44,16.07,16.2,49
2019-04-26,16.2,16.74,16.2,16.25,61
2019-04-29,16.25,16.25,16.25,16.25,1
2019-04-30,16.25,16.6,16.17,16.4,200
2019-05-01,16.4,16.74,16.38,16.38,197
2019-05-02,16.39,16.71,16.32,16.69,216
2019-05-03,16.61,16.99,16.36,16.74,120
2019-05-06,16.43,17.0,16.42,16.7,90
2019-05-07,16.65,16.78,16.32,16.38,79
2019-05-08,16.47,17.0,16.47,16.64,112
2019-05-09,16.73,16.9,16.54,16.63,57
2019-05-10,16.77,16.8,16.61,16.8,36
2019-05-13,16.66,17.32,16.53,17.13,218
2019-05-14,17.5,17.5,17.14,17.49,223
2019-05-15,17.57,18.61,17.44,17.49,1190
2019-05-16,17.5,17.87,16.77,17.67,989
2019-05-17,17.59,18.07,16.93,17.25,515
2019-05-20,17.4,17.57,16.2,16.99,1124
2019-05-21,17.12,17.5,16.77,17.32,271
2019-05-22,17.42,17.5,16.81,17.0,379
2019-05-23,17.16,17.58,16.95,17.58,176
2019-05-24,17.94,17.94,17.14,17.74,278
2019-05-28,17.72,17.98,17.37,17.98,132
2019-05-29,17.8,18.0,17.67,17.88,178
2019-05-30,17.65,18.01,17.65,17.94,344
2019-05-31,17.46,18.0,17.37,17.75,201
2019-06-03,17.83,17.87,17.55,17.85,137
2019-06-04,17.88,17.89,17.27,17.57,137
2019-06-05,17.34,18.0,17.34,17.92,290
2019-06-06,18.0,18.09,17.76,17.98,71
2019-06-07,17.06,18.37,17.06,18.0,111
2019-06-10,17.86,18.1,17.34,18.09,313
2019-06-11,18.09,18.45,17.56,18.09,209
2019-06-12,18.19,18.43,17.54,18.25,727
2019-06-13,18.1,19.6,17.84,19.0,377
2019-06-14,18.85,18.85,18.44,18.65,252
2019-06-17,18.45,19.0,18.33,18.9,408
2019-06-18,18.77,19.13,18.28,18.89,305
