date,open,high,low,close,volume
2019-06-13,26.0,41.68,25.55,39.9,197130
2019-06-14,41.78,44.25,31.49,31.49,86921
2019-06-17,32.81,34.88,31.54,34.38,34459
2019-06-18,35.26,35.92,31.04,31.15,29813
2019-06-19,31.8,31.8,28.25,28.67,17326
2019-06-20,29.35,29.4,27.82,28.03,12472
2019-06-21,27.59,29.0,27.57,27.75,9323
2019-06-24,28.0,29.32,27.07,29.23,7817
2019-06-25,29.57,30.46,28.05,29.02,8995
2019-06-26,29.95,29.95,28.94,29.0,3076
2019-06-27,29.06,30.95,28.27,28.79,7886
2019-06-28,28.91,29.88,28.77,29.7,4099
2019-07-01,29.79,30.33,26.8,27.5,7579
2019-07-02,27.35,27.7,27.07,27.43,1836
2019-07-03,27.71,27.89,27.01,27.27,2301
2019-07-05,27.37,27.47,27.1,27.25,1713
2019-07-08,27.14,27.3,25.61,26.1,5135
2019-07-09,26.21,26.75,26.0,26.28,2579
2019-07-10,26.21,26.32,24.46,24.56,6235
2019-07-11,24.42,24.92,23.08,23.15,3694
2019-07-12,23.18,23.81,22.14,23.48,5389
2019-07-15,23.6,24.49,22.96,23.56,3712
2019-07-16,23.69,24.13,23.37,23.78,1928
2019-07-17,23.69,24.25,23.69,23.97,1553
2019-07-18,23.79,24.41,23.7,24.34,2246
2019-07-19,24.51,25.17,24.51,24.88,1736
2019-07-22,24.83,25.19,24.36,25.1,1642
2019-07-23,25.25,25.4,24.52,24.84,1064
2019-07-24,24.84,25.86,24.62,25.59,1344
2019-07-25,25.93,26.38,25.6,25.77,1545
2019-07-26,25.81,25.96,25.1,25.2,704
2019-07-29,25.5,25.5,24.56,25.25,704
2019-07-30,25.35,25.35,24.5,24.86,983
2019-07-31,25.85,25.85,24.9,25.4,847
2019-08-01,25.66,26.24,25.1,25.88,1724
2019-08-02,25.58,25.86,24.82,25.34,2435
2019-08-05,24.94,24.94,23.0,23.25,2439
2019-08-06,23.7,24.57,23.6,24.57,1257
2019-08-07,24.5,27.06,24.2,26.85,3040
2019-08-08,27.96,27.99,24.06,24.66,6989
2019-08-09,24.75,25.19,22.2,22.46,3193
2019-08-12,23.0,23.6,21.81,22.38,2230
2019-08-13,22.5,22.66,21.0,21.77,2917
2019-08-14,21.78,21.93,21.1,21.41,2152
2019-08-15,21.17,21.63,21.0,21.36,965
2019-08-16,21.2,22.1,21.2,21.68,567
2019-08-19,21.7,22.69,21.7,22.62,453
2019-08-20,22.57,23.63,22.19,23.27,811
2019-08-21,23.58,24.42,23.3,24.28,1298
2019-08-22,24.28,24.67,23.6,23.61,475
2019-08-23,23.61,23.8,22.8,23.39,627
2019-08-26,23.3,23.3,22.15,22.23,660
2019-08-27,22.4,22.57,21.3,21.5,788
2019-08-28,21.55,23.4,21.4,23.17,2192
2019-08-29,23.5,23.94,23.15,23.58,1154
2019-08-30,23.5,23.5,22.39,23.39,1217
2019-09-03,23.05,23.47,22.14,22.44,541
2019-09-04,22.61,22.91,22.15,22.27,532
2019-09-05,22.46,22.73,21.48,21.66,867
2019-09-06,21.74,22.03,21.4,21.63,1199
2019-09-09,21.78,22.13,20.86,20.92,6789
2019-09-10,20.81,20.81,20.1,20.47,4079
2019-09-11,20.58,20.6,18.9,19.24,4332
2019-09-12,19.39,19.78,19.01,19.4,1351
2019-09-13,19.42,19.7,18.75,19.27,937
2019-09-16,19.1,20.78,19.1,20.72,1886
2019-09-17,21.1,21.48,20.55,21.08,1070
2019-09-18,21.4,21.4,19.8,20.17,1124
2019-09-19,20.02,20.02,18.96,19.06,1318
2019-09-20,19.1,19.44,18.25,18.56,1455
2019-09-23,18.56,18.56,17.83,18.16,1624
2019-09-24,18.3,18.3,17.53,17.68,1594
2019-09-25,17.5,18.17,17.11,18.15,3317
2019-09-26,18.14,18.55,17.29,18.44,1140
2019-09-27,18.28,18.4,17.75,18.25,994
2019-09-30,18.11,18.78,17.96,18.7,1538
2019-10-01,18.58,19.35,18.5,18.65,1038
2019-10-02,18.55,19.39,18.46,18.84,1610
2019-10-03,18.73,20.06,18.48,20.03,1988
2019-10-04,20.08,20.67,19.33,20.65,760
2019-10-07,20.66,21.75,20.35,21.59,2036
2019-10-08,21.26,21.58,20.9,21.2,941
2019-10-09,21.15,21.31,20.5,20.63,1050
2019-10-10,20.5,20.8,20.28,20.69,495
2019-10-11,20.65,20.87,20.31,20.65,704
2019-10-14,20.64,20.95,20.13,20.8,606
2019-10-15,20.71,21.02,20.15,21.0,559
2019-10-16,21.0,21.5,20.63,21.15,780
2019-10-17,21.13,21.6,20.96,21.52,511
2019-10-18,21.55,21.55,20.25,20.5,832
2019-10-21,20.45,20.72,20.2,20.61,239
2019-10-22,20.78,21.24,20.72,20.97,561
2019-10-23,21.15,21.8,20.85,21.65,1088
