date,open,high,low,close,volume
2018-12-10,45.5,45.68,42.15,43.66,2656
2018-12-11,44.28,46.41,43.21,43.74,3696
2018-12-12,44.28,44.65,42.01,42.44,3582
2018-12-13,42.76,43.2,40.3,41.89,4728
2018-12-14,41.73,41.85,38.02,39.81,6812
2018-12-17,39.75,39.81,36.19,36.24,6643
2018-12-18,36.49,37.75,34.55,34.92,5954
2018-12-19,35.19,37.83,35.17,36.23,5747
2018-12-20,36.68,37.05,34.13,35.68,7981
2018-12-21,35.9,37.27,33.61,34.35,7303
2018-12-24,33.51,34.92,32.4,32.53,2640
2018-12-26,32.82,35.99,32.33,35.46,3615
2018-12-27,34.93,36.01,33.68,35.63,2889
2018-12-28,35.92,38.54,35.79,37.71,4021
2018-12-31,38.03,38.65,36.38,37.59,2954
2019-01-02,37.16,38.64,35.36,36.5,4443
2019-01-03,36.17,36.17,33.69,34.3,3537
2019-01-04,34.82,36.99,34.0,36.2,4782
2019-01-07,36.39,39.2,36.22,38.14,2966
2019-01-08,38.69,39.98,38.0,39.93,3510
2019-01-09,40.8,40.88,39.36,39.97,3952
2019-01-10,39.23,41.62,38.54,41.54,4048
2019-01-11,41.52,43.48,40.8,42.94,3105
2019-01-14,42.88,43.3,39.49,39.53,3962
2019-01-15,39.69,41.99,39.69,40.08,3528
2019-01-16,40.47,41.2,39.67,40.34,1840
2019-01-17,40.31,41.8,40.24,41.39,2150
2019-01-18,41.48,42.28,40.47,41.25,1763
2019-01-22,41.0,41.87,39.71,40.61,1946
2019-01-23,41.0,41.3,39.37,39.99,1597
2019-01-24,40.0,40.4,39.1,39.47,1593
2019-01-25,39.82,40.46,38.71,39.25,6344
2019-01-28,39.51,41.41,39.05,41.14,3340
2019-01-29,41.14,41.87,40.47,40.47,1082
2019-01-30,40.5,40.84,38.81,39.86,2080
2019-01-31,39.73,41.8,39.28,40.34,1953
2019-02-01,40.09,40.52,39.07,40.2,1462
2019-02-04,40.19,41.0,39.31,39.9,1932
2019-02-05,40.0,42.49,39.51,42.02,3381
2019-02-06,41.92,42.9,40.86,41.27,1010
2019-02-07,41.11,41.34,39.63,39.97,1469
2019-02-08,39.95,40.5,38.88,39.92,1696
2019-02-11,39.85,41.68,39.13,41.43,2114
2019-02-12,41.43,42.44,41.24,42.03,1414
2019-02-13,42.29,43.83,41.61,43.06,2032
2019-02-14,43.02,49.12,42.29,48.87,10385
2019-02-15,50.21,52.13,49.24,51.07,6543
2019-02-19,52.62,54.32,49.46,50.23,5303
2019-02-20,50.53,51.39,49.66,50.42,3216
2019-02-21,50.44,52.92,50.43,52.91,3538
2019-02-22,53.99,57.0,53.25,54.13,5128
2019-02-25,56.17,57.16,55.01,55.06,3912
2019-02-26,55.89,56.6,54.0,54.9,2669
2019-02-27,55.0,57.26,54.75,55.67,2242
2019-02-28,58.25,67.13,57.8,66.64,9310
2019-03-01,67.51,74.47,67.0,70.59,13853
2019-03-04,71.89,72.6,65.89,68.03,8068
2019-03-05,66.6,69.51,66.38,67.04,2788
2019-03-06,67.04,68.18,61.24,61.94,6188
2019-03-07,62.0,64.2,58.18,62.71,4979
2019-03-08,62.38,63.11,60.72,62.92,2844
2019-03-11,63.03,68.23,63.03,66.82,4391
2019-03-12,68.7,74.82,68.01,74.0,7803
2019-03-13,78.95,98.25,78.51,94.45,31157
2019-03-14,95.01,100.74,94.15,97.51,17357
2019-03-15,97.21,106.58,96.62,97.98,17489
2019-03-18,98.05,101.4,87.13,93.5,16732
2019-03-19,94.97,95.08,87.21,91.23,11155
2019-03-20,91.09,91.24,87.04,88.08,6789
2019-03-21,87.95,90.0,83.96,85.07,10819
2019-03-22,84.93,85.0,78.35,79.01,11624
2019-03-25,79.2,81.0,75.2,76.88,13818
2019-03-26,79.06,79.62,77.56,77.8,8005
2019-03-27,78.42,78.5,70.75,72.86,11032
2019-03-28,73.0,74.92,73.0,73.7,6937
2019-03-29,74.63,79.21,73.0,76.7,10089
2019-04-01,77.16,78.34,68.05,68.62,22125
2019-04-02,65.76,68.31,61.69,67.0,50943
2019-04-03,68.0,70.2,66.85,70.02,20750
2019-04-04,70.5,71.5,68.06,70.11,15592
2019-04-05,70.24,70.98,69.01,70.0,8213
2019-04-08,69.96,70.19,65.87,66.15,9345
2019-04-09,66.16,68.98,66.01,66.18,4423
2019-04-10,69.0,74.1,67.51,73.99,31001
2019-04-11,74.15,75.8,71.15,72.09,15495
