date,open,high,low,close,volume
2018-12-10,69.22,69.87,65.9,67.49,69866
2018-12-11,68.13,69.17,67.2,67.72,44503
2018-12-12,68.58,69.32,68.06,68.14,43761
2018-12-13,68.04,68.29,66.71,67.35,44384
2018-12-14,66.8,67.17,65.37,65.57,54847
2018-12-17,65.38,67.1,64.56,65.12,71996
2018-12-18,65.48,66.74,64.3,64.84,64051
2018-12-19,65.11,66.79,63.48,64.2,64054
2018-12-20,64.13,65.35,63.34,64.3,79082
2018-12-21,64.87,66.09,62.25,62.62,91776
2018-12-24,62.42,62.83,60.47,60.54,46266
2018-12-26,60.65,63.23,60.32,63.22,65522
2018-12-27,62.4,63.02,60.47,62.94,59888
2018-12-28,62.89,63.04,61.67,61.88,51766
2018-12-31,62.0,63.07,61.58,62.55,55260
2019-01-02,61.83,64.01,61.5,63.44,50521
2019-01-03,66.27,67.25,65.14,65.25,106487
2019-01-04,66.25,68.43,66.04,68.25,61973
2019-01-07,68.1,68.93,67.37,68.56,55415
2019-01-08,68.85,69.15,67.09,68.09,48339
2019-01-09,68.2,68.67,67.54,67.94,40019
2019-01-10,67.74,68.28,67.09,68.04,37894
2019-01-11,67.8,68.4,67.44,68.16,43419
2019-01-14,67.77,67.94,67.11,67.25,64738
2019-01-15,67.43,68.71,67.03,68.52,53750
2019-01-16,68.27,68.87,67.55,67.64,41583
2019-01-17,67.54,68.96,67.46,68.65,38610
2019-01-18,69.19,69.58,68.51,69.18,56781
2019-01-22,68.66,68.82,68.02,68.55,52102
2019-01-23,68.56,69.51,67.82,68.25,53919
2019-01-24,68.43,68.46,67.51,67.86,62694
2019-01-25,68.17,69.28,68.1,68.9,66922
2019-01-28,68.42,69.0,67.36,67.91,46437
2019-01-29,68.07,69.96,68.04,69.59,49583
2019-01-30,69.42,70.3,68.6,69.83,39550
2019-01-31,69.81,70.32,69.08,70.01,43197
2019-02-01,70.0,70.5,69.36,70.05,49471
2019-02-04,69.89,70.26,69.22,70.05,48108
2019-02-05,67.75,69.02,66.75,67.68,111482
2019-02-06,67.58,69.31,67.27,68.75,55024
2019-02-07,68.39,68.77,66.92,67.28,48563
2019-02-08,66.92,67.61,66.34,67.47,35269
2019-02-11,67.62,67.98,67.29,67.62,38435
2019-02-12,64.81,65.44,63.96,65.4,127066
2019-02-13,65.57,66.67,65.49,65.94,72473
2019-02-14,66.15,66.79,65.68,66.37,47052
2019-02-15,66.64,67.69,66.5,67.59,48192
2019-02-19,67.34,67.77,66.65,66.76,45914
2019-02-20,66.67,67.29,66.52,66.98,36504
2019-02-21,66.93,66.96,65.23,65.55,42971
2019-02-22,65.61,65.96,65.32,65.74,35354
2019-02-25,65.97,66.06,65.23,65.35,51215
2019-02-26,65.29,65.82,65.09,65.28,37721
2019-02-27,65.11,66.11,65.01,65.57,52627
2019-02-28,65.28,65.66,64.73,65.02,48361
