date,open,high,low,close,volume
2018-12-10,24.59,25.41,24.25,25.27,9914
2018-12-11,25.8,25.84,25.08,25.29,8526
2018-12-12,25.77,25.83,25.17,25.19,5981
2018-12-13,25.13,25.25,24.16,24.6,11042
2018-12-14,24.25,24.29,23.77,23.85,7157
2018-12-17,23.99,25.07,23.71,23.83,17205
2018-12-18,24.04,24.14,22.19,22.19,28843
2018-12-19,22.35,22.92,21.22,21.61,15007
2018-12-20,21.26,21.57,20.49,21.36,17293
2018-12-21,22.0,22.93,21.56,21.72,34616
2018-12-24,21.44,21.8,21.13,21.42,5996
2018-12-26,21.5,22.79,21.04,22.76,10145
2018-12-27,22.24,22.34,21.57,22.22,12249
2018-12-28,22.37,22.5,21.45,21.63,7604
2018-12-31,21.83,21.87,21.26,21.76,7455
2019-01-02,21.27,22.76,21.03,22.64,6734
2019-01-03,22.53,23.05,22.17,22.46,7761
2019-01-04,22.97,23.51,22.8,23.22,6601
2019-01-07,23.4,23.94,23.09,23.71,7065
2019-01-08,23.99,24.54,23.92,24.37,10569
2019-01-09,24.67,24.83,24.25,24.38,7188
2019-01-10,23.85,24.22,23.43,23.83,9429
2019-01-11,23.56,23.65,22.96,23.06,7922
2019-01-14,22.76,23.38,22.68,22.94,5713
2019-01-15,23.05,23.44,22.58,22.73,11834
2019-01-16,22.69,22.9,22.3,22.51,10264
2019-01-17,22.3,22.69,21.82,22.52,8952
2019-01-18,22.64,23.39,22.62,23.14,6479
2019-01-22,22.91,22.95,21.89,21.99,8576
2019-01-23,22.1,22.1,21.16,21.46,13139
2019-01-24,21.37,21.63,21.06,21.56,6637
2019-01-25,21.79,21.86,21.5,21.71,5470
2019-01-28,21.53,21.55,20.81,21.33,7494
2019-01-29,21.46,21.68,21.11,21.52,6006
2019-01-30,21.54,22.51,21.54,22.27,7386
2019-01-31,22.4,22.53,21.95,22.27,5029
2019-02-01,22.26,22.7,22.22,22.45,4431
2019-02-04,22.4,22.64,22.21,22.28,3758
2019-02-05,22.25,22.58,21.88,21.93,5615
2019-02-06,21.79,22.24,21.59,22.23,5934
2019-02-07,22.04,22.18,21.49,21.68,6869
2019-02-08,21.65,22.27,21.24,21.59,3799
2019-02-11,21.54,21.73,21.37,21.63,3503
2019-02-12,21.9,22.59,21.75,22.41,8035
2019-02-13,22.4,22.98,22.3,22.77,5395
2019-02-14,22.54,22.9,22.38,22.56,5057
2019-02-15,22.71,22.94,22.49,22.57,7291
2019-02-19,22.43,22.93,22.43,22.54,3315
2019-02-20,22.51,22.61,21.7,21.93,9666
2019-02-21,21.82,22.09,21.72,21.85,3795
2019-02-22,22.0,22.15,21.7,21.78,3626
2019-02-25,21.8,22.03,21.43,21.99,5128
2019-02-26,22.82,23.27,21.72,21.76,15357
2019-02-27,22.11,22.11,21.16,21.37,18789
2019-02-28,21.35,21.45,20.45,20.64,19561
2019-03-01,20.61,21.02,20.41,20.92,10292
2019-03-04,21.09,22.14,21.09,21.55,10760
2019-03-05,21.65,21.73,21.14,21.57,8399
2019-03-06,21.56,21.57,20.71,20.81,11773
2019-03-07,20.86,21.04,20.61,20.86,9483
2019-03-08,20.59,20.82,20.1,20.6,11069
2019-03-11,20.76,21.08,20.66,21.05,6398
2019-03-12,21.17,21.86,21.15,21.84,8942
2019-03-13,21.76,21.85,21.57,21.73,6748
2019-03-14,21.75,21.87,21.54,21.58,6684
2019-03-15,21.54,21.95,21.24,21.81,14206
2019-03-18,21.81,22.33,21.81,22.15,6796
2019-03-19,22.37,22.43,21.84,21.91,5573
2019-03-20,21.87,22.49,21.7,22.33,4466
2019-03-21,22.31,22.66,22.03,22.47,6283
2019-03-22,22.31,22.32,21.44,21.46,5275
2019-03-25,21.33,21.61,21.12,21.4,3638
2019-03-26,21.8,21.96,21.39,21.64,5264
2019-03-27,21.53,21.84,21.19,21.47,5254
2019-03-28,21.33,21.74,20.76,20.88,10696
2019-03-29,21.08,21.34,20.97,21.09,7714
2019-04-01,21.31,21.45,20.95,21.04,5576
2019-04-02,21.12,21.17,20.63,21.08,9582
2019-04-03,21.24,21.33,20.49,20.52,7231
2019-04-04,20.52,20.61,20.11,20.57,8630
2019-04-05,20.61,21.02,20.52,20.61,9657
2019-04-08,20.83,20.99,20.6,20.61,4360
2019-04-09,20.52,20.7,20.12,20.17,6773
2019-04-10,20.19,21.13,20.13,21.07,11272
2019-04-11,21.0,21.5,20.86,21.48,9734
2019-04-12,21.78,21.97,21.0,21.1,6710
2019-04-15,21.06,21.3,20.93,20.93,3675
2019-04-16,21.0,21.18,20.49,20.54,6060
2019-04-17,20.76,20.83,20.31,20.69,6318
2019-04-18,20.74,21.06,20.62,20.67,5608
2019-04-22,20.86,21.09,20.48,20.51,4216
2019-04-23,20.53,21.13,20.53,20.9,4437
2019-04-24,20.83,21.12,20.3,20.38,4734
2019-04-25,20.33,20.37,20.03,20.04,5218
2019-04-26,20.0,20.23,19.21,19.27,8443
2019-04-29,19.21,19.33,18.62,19.27,16437
2019-04-30,19.49,19.72,19.26,19.54,4640
2019-05-01,19.51,20.09,19.14,19.25,4820
2019-05-02,19.28,19.68,19.14,19.55,9298
2019-05-03,19.74,20.4,19.7,20.36,5756
2019-05-06,19.89,20.09,19.37,19.41,5201
2019-05-07,19.12,19.32,18.89,19.13,5448
2019-05-08,19.19,19.46,19.14,19.2,4078
2019-05-09,19.04,19.13,18.36,18.68,7928
2019-05-10,18.68,19.23,18.52,19.13,5819
2019-05-13,18.96,19.08,18.6,18.82,7103
2019-05-14,18.91,19.12,18.73,18.94,5758
2019-05-15,18.75,19.05,18.69,18.89,5665
2019-05-16,18.98,19.56,18.98,19.42,4224
2019-05-17,19.4,19.52,18.93,18.97,7715
2019-05-20,18.89,19.2,18.71,19.07,4129
2019-05-21,18.83,20.94,18.73,20.46,13495
2019-05-22,20.47,20.75,19.88,19.99,9359
2019-05-23,19.52,19.76,18.91,19.21,20148
2019-05-24,19.47,19.77,19.16,19.25,13527
2019-05-28,19.37,19.69,18.35,18.4,15288
2019-05-29,18.1,18.67,17.64,18.64,11548
2019-05-30,18.57,18.73,18.33,18.46,7944
2019-05-31,18.1,18.36,18.0,18.19,3212
2019-06-03,18.27,18.74,18.18,18.63,4655
2019-06-04,18.85,19.05,18.43,18.55,5180
2019-06-05,18.56,18.85,17.9,17.92,6557
2019-06-06,17.94,18.23,17.75,17.95,5579
2019-06-07,17.99,18.01,17.56,17.6,5270
2019-06-10,17.67,17.86,17.14,17.26,8961
2019-06-11,17.46,17.86,17.35,17.72,4963
2019-06-12,17.43,17.64,16.41,16.53,9333
2019-06-13,16.87,16.98,16.65,16.94,8812
2019-06-14,16.94,16.97,16.47,16.51,4915
2019-06-17,16.41,16.78,16.17,16.73,6807
2019-06-18,16.86,17.29,16.74,17.19,4423
2019-06-19,17.13,17.26,16.88,16.9,2812
2019-06-20,17.23,17.23,16.51,16.56,5982
2019-06-21,16.57,16.78,16.43,16.66,5530
2019-06-24,16.76,17.08,16.52,16.52,5910
2019-06-25,16.5,17.06,16.45,16.87,8703
2019-06-26,17.02,17.27,16.75,17.0,5806
2019-06-27,16.95,17.63,16.91,17.61,7446
2019-06-28,17.63,18.53,17.56,18.48,13379
2019-07-01,18.78,18.99,18.14,18.35,10853
2019-07-02,18.3,18.34,17.72,17.92,4992
2019-07-03,17.92,18.05,17.84,17.91,2707
2019-07-05,17.84,18.16,17.81,18.12,3374
2019-07-08,18.11,18.4,17.96,18.23,3743
2019-07-09,18.16,18.31,17.76,17.88,7796
2019-07-10,18.0,18.47,17.81,18.45,5244
2019-07-11,18.46,18.5,17.98,18.16,4212
2019-07-12,18.14,18.67,18.14,18.57,4804
2019-07-15,18.69,18.75,18.1,18.17,3719
2019-07-16,18.15,18.54,18.07,18.19,5500
2019-07-17,18.23,18.23,17.68,17.69,3771
2019-07-18,17.57,17.8,17.39,17.77,3863
2019-07-19,17.71,17.75,17.25,17.31,6299
2019-07-22,17.3,17.57,17.17,17.34,4200
2019-07-23,17.34,17.65,17.27,17.4,4529
2019-07-24,17.32,18.06,17.32,18.04,4309
2019-07-25,18.09,18.1,17.4,17.47,5230
2019-07-26,17.41,17.46,16.99,17.01,6737
2019-07-29,17.03,17.2,16.55,16.56,10434
2019-07-30,16.49,17.01,16.22,16.92,11982
2019-07-31,16.99,17.27,16.7,16.94,5770
2019-08-01,16.82,17.08,16.25,16.32,6309
2019-08-02,16.32,16.39,15.63,15.69,6092
2019-08-05,15.42,15.42,14.25,14.27,15710
2019-08-06,14.37,14.83,14.36,14.71,12237
2019-08-07,14.49,14.49,13.57,14.26,13424
2019-08-08,14.29,14.48,13.89,14.09,7437
2019-08-09,14.25,14.25,13.23,13.39,10057
2019-08-12,13.35,13.47,12.84,12.93,16092
2019-08-13,12.85,13.6,12.8,13.52,7752
2019-08-14,13.18,13.23,12.56,12.65,17624
2019-08-15,12.61,12.82,12.43,12.62,10925
2019-08-16,12.67,13.04,12.63,13.01,6227
2019-08-19,13.22,13.5,13.09,13.43,11467
2019-08-20,13.36,13.5,13.24,13.28,4930
2019-08-21,13.5,13.71,13.25,13.37,9201
2019-08-22,13.36,13.51,13.03,13.07,6516
2019-08-23,12.86,13.18,12.27,12.33,12277
2019-08-26,12.49,12.89,12.31,12.79,6176
2019-08-27,12.85,13.07,12.78,12.89,8346
2019-08-28,12.99,13.59,12.89,13.42,9284
2019-08-29,12.81,13.54,11.5,11.51,47618
2019-08-30,11.63,12.27,11.59,11.71,25536
2019-09-03,11.57,11.64,11.07,11.21,20328
2019-09-04,11.41,11.62,11.19,11.39,16314
2019-09-05,11.52,11.96,11.47,11.85,13195
2019-09-06,11.84,11.95,11.61,11.64,9503
2019-09-09,11.76,12.79,11.67,12.75,17059
2019-09-10,12.77,13.27,12.56,12.6,10574
2019-09-11,12.8,13.13,12.36,12.56,10776
2019-09-12,12.41,12.69,12.18,12.63,12051
2019-09-13,12.7,13.25,12.47,13.14,13554
2019-09-16,13.59,13.96,13.41,13.55,15561
2019-09-17,13.51,13.64,12.93,13.16,8470
2019-09-18,13.17,13.37,12.98,12.99,6537
2019-09-19,12.99,13.15,12.81,12.84,6114
2019-09-20,12.99,13.38,12.98,13.14,10949
2019-09-23,13.11,13.56,13.01,13.47,9355
2019-09-24,13.41,13.53,13.16,13.31,25445
2019-09-25,13.2,13.67,13.08,13.28,11656
2019-09-26,13.28,13.32,12.98,13.07,10463
2019-09-27,12.94,13.42,12.94,13.26,6992
2019-09-30,13.34,13.44,12.98,12.99,9452
2019-10-01,12.99,13.36,12.62,12.79,12257
2019-10-02,12.63,12.68,12.12,12.275,16869
2019-10-03,12.29,13.0,12.27,12.98,11600
2019-10-04,13.01,13.37,12.84,13.36,7217
2019-10-07,13.35,13.5,13.24,13.26,8151
2019-10-08,13.14,13.14,12.45,12.7,8790
2019-10-09,12.83,13.23,12.72,13.16,8880
2019-10-10,13.55,14.48,13.55,14.31,20277
2019-10-11,14.52,15.17,14.5,14.605,20523
2019-10-14,14.45,14.77,14.17,14.255,10913
2019-10-15,14.25,14.54,13.84,13.875,7492
2019-10-16,13.83,14.24,13.8,14.06,5295
2019-10-17,14.23,14.43,14.16,14.31,7541
2019-10-18,14.29,14.51,14.17,14.3,5796
2019-10-21,14.42,14.89,14.39,14.5,6865
2019-10-22,14.59,15.06,14.5,15.04,7665
2019-10-23,14.99,15.69,14.77,15.68,11529
2019-10-24,15.7,15.86,15.03,15.27,6819
2019-10-25,15.33,15.53,15.09,15.35,3701
2019-10-28,15.48,15.62,15.19,15.38,5586
2019-10-29,14.88,15.22,14.55,15.0,6585
2019-10-30,14.9,15.12,14.5,14.68,8519
2019-10-31,14.6,14.63,13.71,13.77,8968
2019-11-01,13.91,14.67,13.8,14.66,5202
2019-11-04,14.86,15.02,14.53,14.68,6555
2019-11-05,14.85,15.1,14.55,14.67,5088
2019-11-06,14.62,14.65,13.99,14.07,4254
2019-11-07,14.26,14.32,13.31,13.33,6767
2019-11-08,13.11,13.28,12.82,12.95,7023
2019-11-11,12.82,13.09,12.52,12.98,6553
2019-11-12,12.89,13.44,12.75,13.14,4522
2019-11-13,13.04,13.11,12.6,12.63,4900
2019-11-14,12.79,12.9,12.3,12.32,5890
2019-11-15,12.4,12.94,12.4,12.87,6500
2019-11-18,12.85,13.02,12.58,12.79,5783
2019-11-19,12.79,12.87,12.37,12.4,7021
2019-11-20,12.4,12.47,11.82,11.87,11830
2019-11-21,11.95,12.59,11.86,12.48,11059
2019-11-22,12.54,12.64,12.37,12.41,7117
2019-11-25,12.64,12.79,12.02,12.405,12618
2019-11-26,11.96,12.59,11.65,12.53,21084
2019-11-27,12.61,13.2,12.57,12.91,8740
2019-11-29,12.81,13.23,12.81,13.02,5565
2019-12-02,13.1,13.38,12.71,12.795,10047
2019-12-03,12.62,12.78,12.34,12.53,7634
2019-12-04,12.66,12.95,12.45,12.61,8418
2019-12-05,12.61,12.9,12.51,12.635,7275
2019-12-06,12.67,13.36,12.67,13.345,9478
2019-12-09,13.17,13.75,13.16,13.635,8617
2019-12-10,13.64,13.75,13.51,13.65,4736
2019-12-11,13.41,13.6,12.75,13.34,8884
2019-12-12,12.97,13.68,12.96,13.34,7993
2019-12-13,13.42,13.72,13.11,13.17,7697
2019-12-16,13.33,13.65,13.05,13.09,7435
2019-12-17,13.17,13.21,12.79,12.86,9135
2019-12-18,12.84,13.64,12.8,13.61,13073
2019-12-19,13.67,13.78,13.3,13.66,5928
2019-12-20,13.69,13.77,13.34,13.35,6306
