date,open,high,low,close,volume
2018-12-10,10.55,10.9,10.23,10.73,1348
2018-12-11,10.88,10.9,10.48,10.61,920
2018-12-12,10.77,10.9,10.51,10.79,1396
2018-12-13,10.85,10.92,10.06,10.11,2582
2018-12-14,10.06,10.58,10.01,10.33,1085
2018-12-17,10.36,11.01,10.14,10.29,2915
2018-12-18,10.54,11.07,10.14,10.24,3151
2018-12-19,10.23,10.58,8.74,9.77,4651
2018-12-20,9.75,10.14,9.38,9.56,5802
2018-12-21,9.63,10.12,9.05,9.08,3255
2018-12-24,8.89,9.02,8.42,8.47,3125
2018-12-26,8.58,8.93,8.4,8.91,5784
2018-12-27,8.77,8.99,8.29,8.68,3180
2018-12-28,8.72,9.31,8.54,9.12,2662
2018-12-31,9.25,9.61,9.25,9.47,1660
2019-01-02,9.38,10.12,9.09,10.02,3590
2019-01-03,10.01,10.36,9.71,9.96,2786
2019-01-04,10.14,10.7,10.06,10.57,2416
2019-01-07,10.7,11.19,10.55,10.69,3769
2019-01-08,10.82,11.01,10.41,10.88,3511
2019-01-09,10.88,10.96,10.5,10.8,1238
2019-01-10,10.71,11.03,10.57,10.98,1299
2019-01-11,10.91,10.95,10.5,10.68,1670
2019-01-14,10.57,10.72,10.15,10.18,1571
2019-01-15,10.24,10.54,10.11,10.48,1150
2019-01-16,10.48,11.06,10.48,10.69,1714
2019-01-17,10.64,10.92,10.49,10.59,1154
2019-01-18,10.65,11.04,10.65,10.81,1387
2019-01-22,10.76,10.84,10.07,10.29,3038
2019-01-23,10.34,10.41,10.04,10.18,1750
2019-01-24,10.16,10.47,10.1,10.46,1716
2019-01-25,10.5,10.82,10.33,10.81,1089
2019-01-28,10.72,10.72,10.16,10.19,1405
2019-01-29,10.16,10.64,10.06,10.52,1606
2019-01-30,10.56,11.23,10.5,11.21,2148
2019-01-31,11.24,11.48,11.14,11.2,2976
2019-02-01,11.21,11.29,10.88,11.2,1951
2019-02-04,11.21,11.32,11.04,11.2,587
2019-02-05,11.25,11.76,11.11,11.28,1116
2019-02-06,11.29,11.33,10.96,11.15,728
2019-02-07,11.08,11.08,10.72,10.78,1000
2019-02-08,10.73,11.12,10.73,11.08,764
2019-02-11,11.16,11.2,10.96,11.08,908
2019-02-12,11.17,11.47,11.07,11.32,638
2019-02-13,11.36,11.61,11.11,11.47,1600
2019-02-14,11.41,11.62,11.34,11.45,1197
2019-02-15,11.54,11.93,11.33,11.89,1338
2019-02-19,11.87,12.19,11.54,11.63,1412
2019-02-20,11.68,12.07,11.54,11.85,1814
2019-02-21,11.82,11.82,11.27,11.47,2001
2019-02-22,11.49,11.74,11.44,11.72,1452
2019-02-25,11.86,12.29,11.71,12.18,1162
2019-02-26,12.12,12.29,11.97,12.1,1146
2019-02-27,12.09,12.35,11.85,12.21,2220
2019-02-28,12.22,12.47,11.59,12.29,1912
2019-03-01,12.4,12.69,12.34,12.67,1077
2019-03-04,12.72,12.76,11.86,11.92,2107
2019-03-05,11.92,12.01,11.6,11.7,2184
2019-03-06,11.75,12.22,11.2,11.3,2135
2019-03-07,10.66,11.33,10.44,11.01,1978
2019-03-08,10.92,11.34,10.76,11.24,1840
2019-03-11,11.26,11.72,11.04,11.68,2000
2019-03-12,11.68,11.83,11.51,11.66,1312
2019-03-13,11.72,11.78,11.48,11.75,732
2019-03-14,11.75,11.79,11.39,11.42,803
2019-03-15,11.43,12.14,11.42,12.1,2478
2019-03-18,12.11,12.55,12.11,12.54,1331
2019-03-19,12.55,12.7,12.36,12.64,942
2019-03-20,12.69,13.1,12.54,12.87,1422
2019-03-21,12.74,13.17,12.74,13.1,1234
2019-03-22,13.02,13.24,12.93,12.97,2033
2019-03-25,12.95,13.39,12.8,13.32,1435
2019-03-26,13.42,13.47,12.71,13.44,2171
2019-03-27,13.41,13.56,12.05,12.35,2511
2019-03-28,12.35,12.85,11.93,12.75,1064
2019-03-29,12.88,12.88,12.38,12.46,2478
2019-04-01,12.57,12.67,12.08,12.18,3813
2019-04-02,12.19,12.4,11.77,11.95,2263
2019-04-03,12.02,12.37,11.88,12.0,1355
2019-04-04,12.01,12.35,11.95,12.12,1627
2019-04-05,12.18,12.65,12.05,12.64,2352
2019-04-08,12.63,12.84,12.34,12.45,1625
2019-04-09,12.44,12.51,11.83,11.83,1144
2019-04-10,11.89,12.15,11.82,12.11,778
2019-04-11,12.14,12.3,12.05,12.2,570
2019-04-12,12.82,12.84,11.93,12.02,1313
2019-04-15,12.04,12.09,11.79,12.04,783
2019-04-16,12.07,12.45,12.01,12.33,862
2019-04-17,12.41,12.41,11.51,11.97,1399
2019-04-18,12.01,12.22,11.69,12.11,1698
2019-04-22,12.08,12.57,12.08,12.46,1336
2019-04-23,12.5,13.2,12.5,13.01,1789
