date,open,high,low,close,volume
2018-12-10,20.96,20.97,20.31,20.81,12251
2018-12-11,21.09,21.33,20.7,20.87,12645
2018-12-12,21.16,21.23,20.92,21.09,12695
2018-12-13,21.12,21.37,20.65,20.65,10522
2018-12-14,20.47,20.85,20.28,20.34,12593
2018-12-17,20.21,20.58,19.99,20.05,13762
2018-12-18,20.18,20.43,19.89,19.97,18478
2018-12-19,20.01,20.72,19.83,19.97,14336
2018-12-20,19.95,20.39,19.82,19.99,17229
2018-12-21,20.02,20.47,19.82,19.87,23221
2018-12-24,19.82,19.9,19.36,19.38,8303
2018-12-26,19.46,19.98,19.24,19.98,12030
2018-12-27,19.69,20.09,19.44,20.08,10282
2018-12-28,20.11,20.41,19.68,19.84,15478
2018-12-31,19.88,20.22,19.6,20.21,14678
2019-01-02,19.89,20.37,19.73,20.33,15128
2019-01-03,20.32,20.37,19.58,20.01,15311
2019-01-04,20.26,20.43,19.92,20.42,11868
2019-01-07,20.52,20.68,20.21,20.42,9328
2019-01-08,20.62,21.07,20.46,21.02,14816
2019-01-09,21.16,21.65,21.01,21.56,10528
2019-01-10,21.52,22.06,21.34,21.97,20320
2019-01-11,21.97,22.14,21.84,22.06,10624
2019-01-14,21.95,22.21,21.84,22.07,7519
2019-01-15,22.12,22.24,21.86,22.23,12503
2019-01-16,22.05,22.44,22.05,22.29,8837
2019-01-17,22.28,22.47,22.19,22.37,8794
2019-01-18,22.53,23.02,22.33,22.95,17307
2019-01-22,22.86,22.98,22.44,22.56,19077
2019-01-23,22.6,22.79,22.17,22.49,18371
2019-01-24,22.47,22.72,22.41,22.59,9605
2019-01-25,22.85,22.99,22.72,22.79,10566
2019-01-28,22.67,22.91,22.55,22.87,13743
2019-01-29,22.95,23.15,22.82,23.03,14998
2019-01-30,21.4,22.41,20.9,22.25,50134
2019-01-31,21.89,22.02,21.14,21.18,36790
2019-02-01,21.22,21.22,20.86,21.0,24744
2019-02-04,20.97,21.24,20.87,20.95,23886
2019-02-05,20.72,20.85,20.6,20.76,18177
2019-02-06,20.72,20.91,20.7,20.77,11226
2019-02-07,20.58,20.62,19.91,19.98,25653
2019-02-08,19.93,20.01,19.55,19.77,22500
2019-02-11,19.84,19.99,19.69,19.98,25022
2019-02-12,20.09,20.4,20.09,20.15,20740
2019-02-13,20.22,20.36,19.86,19.88,15163
2019-02-14,19.79,19.98,19.63,19.77,20852
2019-02-15,19.9,20.41,19.9,20.36,18891
2019-02-19,20.32,20.65,20.25,20.49,14138
2019-02-20,20.56,20.69,20.4,20.4,17721
2019-02-21,20.35,20.5,19.96,19.99,17477
2019-02-22,20.15,20.2,19.99,20.11,11944
2019-02-25,20.24,20.52,20.07,20.11,19570
2019-02-26,20.06,20.59,20.06,20.33,12766
2019-02-27,20.32,20.44,20.17,20.31,8772
2019-02-28,20.25,20.37,20.07,20.34,11212
2019-03-01,20.47,20.72,20.33,20.5,14140
2019-03-04,20.56,20.71,20.05,20.13,14912
2019-03-05,20.15,20.58,20.1,20.47,15164
2019-03-06,20.51,20.87,20.37,20.48,25922
2019-03-07,20.4,20.58,20.22,20.54,24136
2019-03-08,20.46,20.81,20.41,20.48,13743
2019-03-11,20.56,20.75,20.43,20.67,11031
2019-03-12,20.72,20.98,20.5,20.86,18149
2019-03-13,20.9,20.9,20.57,20.68,12524
2019-03-14,20.62,20.7,20.41,20.55,13998
2019-03-15,20.59,20.97,20.59,20.83,17395
2019-03-18,20.82,20.97,20.54,20.68,10989
2019-03-19,20.81,20.94,20.62,20.7,8450
2019-03-20,20.71,20.71,20.22,20.27,11811
2019-03-21,20.22,20.51,20.09,20.42,8198
2019-03-22,20.31,20.33,19.91,19.94,8801
2019-03-25,19.96,20.06,19.82,19.98,13047
2019-03-26,20.07,20.23,20.0,20.2,9650
2019-03-27,20.25,20.59,20.06,20.48,14210
2019-03-28,20.49,20.72,20.34,20.62,12993
2019-03-29,20.74,20.75,20.63,20.68,12839
2019-04-01,20.89,21.33,20.82,21.12,15668
2019-04-02,21.12,21.12,20.61,20.8,11751
2019-04-03,20.99,21.26,20.94,21.01,14201
2019-04-04,21.0,21.21,20.92,21.16,18679
2019-04-05,21.2,21.29,21.08,21.2,7631
2019-04-08,21.11,21.44,20.97,21.38,7041
2019-04-09,21.21,21.22,20.9,21.01,6156
2019-04-10,21.0,21.38,20.93,21.31,10559
2019-04-11,21.32,21.45,21.22,21.45,9507
2019-04-12,21.53,21.87,21.42,21.82,7828
2019-04-15,21.85,21.95,21.65,21.67,6563
2019-04-16,21.77,22.0,21.71,21.93,11183
2019-04-17,22.01,22.15,21.88,22.01,7713
2019-04-18,22.07,22.33,22.01,22.3,8073
2019-04-22,22.2,22.29,21.81,21.85,7116
2019-04-23,22.03,22.24,21.96,22.1,16592
2019-04-24,22.75,23.56,22.22,23.42,21554
2019-04-25,21.86,23.15,21.8,22.77,20907
2019-04-26,22.87,23.33,22.85,23.29,20496
2019-04-29,23.1,23.32,23.09,23.12,6627
2019-04-30,23.13,23.24,22.87,23.03,8118
2019-05-01,23.04,23.1,22.75,22.88,9562
2019-05-02,22.89,23.05,22.76,23.04,11730
2019-05-03,23.08,23.42,23.02,23.39,8970
2019-05-06,22.99,23.6,22.91,23.49,15355
2019-05-07,23.32,23.42,23.18,23.36,13093
2019-05-08,23.35,23.38,22.8,22.82,8848
2019-05-09,22.56,22.66,22.27,22.6,9699
2019-05-10,22.44,22.74,22.19,22.62,12409
2019-05-13,22.1,22.29,21.85,21.92,13054
2019-05-14,21.99,22.24,21.88,22.13,5429
2019-05-15,21.91,22.24,21.71,22.12,10004
2019-05-16,22.12,22.39,21.95,22.19,8544
2019-05-17,22.02,22.29,21.9,22.08,5514
2019-05-20,21.89,22.17,21.8,22.0,8837
2019-05-21,22.07,22.41,22.06,22.37,10357
2019-05-22,22.33,22.4,21.97,22.08,6365
2019-05-23,21.95,21.95,21.59,21.79,9708
2019-05-24,21.88,22.01,21.75,21.97,9833
2019-05-28,22.05,22.26,21.95,22.01,9118
2019-05-29,21.82,21.89,21.26,21.7,18484
2019-05-30,21.69,21.92,21.63,21.68,10466
2019-05-31,21.37,21.38,20.96,21.36,14258
2019-06-03,21.38,22.41,21.26,22.33,18398
2019-06-04,22.56,23.04,22.56,23.02,14242
2019-06-05,23.09,23.49,23.01,23.43,11189
2019-06-06,23.39,23.48,23.07,23.38,9542
2019-06-07,23.48,23.7,23.36,23.6,11404
2019-06-10,23.72,24.36,23.71,23.93,13331
2019-06-11,24.06,24.24,23.81,23.84,7376
2019-06-12,23.75,23.9,23.7,23.8,6114
2019-06-13,23.79,23.84,23.51,23.77,6016
2019-06-14,23.75,23.76,23.48,23.51,7739
2019-06-17,23.54,23.67,23.32,23.36,6885
2019-06-18,23.5,23.94,23.38,23.54,9638
2019-06-19,23.66,23.69,23.41,23.66,8855
2019-06-20,23.91,24.0,23.7,23.97,7619
2019-06-21,23.91,24.46,23.86,24.09,11459
2019-06-24,24.05,24.27,24.0,24.14,8863
2019-06-25,24.22,24.5,24.19,24.34,10765
2019-06-26,24.35,24.58,24.2,24.37,7299
2019-06-27,24.46,24.99,24.46,24.97,9091
2019-06-28,24.96,25.0,24.56,24.61,17783
2019-07-01,24.72,24.98,24.33,24.46,12644
2019-07-02,24.42,24.61,24.27,24.41,9359
2019-07-03,24.49,24.58,24.26,24.39,3826
2019-07-05,24.31,24.45,24.09,24.38,3281
2019-07-08,24.36,24.38,23.87,23.91,8408
2019-07-09,23.69,23.74,23.26,23.61,19192
2019-07-10,23.62,23.81,23.38,23.62,6447
2019-07-11,23.62,23.67,23.31,23.53,7542
2019-07-12,23.56,23.97,23.56,23.88,8166
2019-07-15,23.81,23.89,23.5,23.71,7447
2019-07-16,23.5,24.0,23.21,23.88,12315
2019-07-17,23.92,23.92,23.39,23.51,11666
