date,open,high,low,close,volume
2018-12-10,99.73,99.73,97.4,99.32,4336
2018-12-11,100.05,100.51,98.54,99.11,4156
2018-12-12,100.14,100.8,99.94,100.11,3996
2018-12-13,100.0,100.7,99.16,100.11,3695
2018-12-14,99.73,100.42,98.34,98.9,3487
2018-12-17,98.76,98.84,95.92,96.5,6790
2018-12-18,96.93,97.91,95.42,96.21,6321
2018-12-19,96.51,98.0,94.25,94.79,4941
2018-12-20,94.33,94.93,92.8,93.8,8465
2018-12-21,93.65,95.28,93.07,93.21,8352
2018-12-24,92.9,93.46,91.04,91.85,4199
2018-12-26,92.32,94.83,91.16,94.81,4093
2018-12-27,94.27,95.2,92.36,95.2,4124
2018-12-28,95.6,96.65,94.64,95.51,4841
2018-12-31,95.9,96.37,95.09,96.02,3765
2019-01-02,95.09,95.79,94.4,94.79,4702
2019-01-03,94.42,94.89,92.97,93.28,6319
2019-01-04,93.99,94.69,93.39,93.79,5798
2019-01-07,93.76,95.34,93.56,94.62,4639
2019-01-08,95.31,95.97,94.12,95.15,4524
2019-01-09,96.0,96.85,95.5,96.21,7827
2019-01-10,95.87,97.17,95.51,97.06,4544
2019-01-11,96.79,97.06,95.69,96.16,4391
2019-01-14,95.49,96.09,94.85,95.27,5655
2019-01-15,95.19,96.84,95.16,96.68,6628
2019-01-16,96.15,96.56,95.71,96.05,4519
2019-01-17,95.7,97.08,95.41,97.06,4094
2019-01-18,97.41,97.98,96.42,97.93,7246
2019-01-22,97.16,97.67,95.95,96.79,6815
2019-01-23,96.98,97.39,96.01,96.86,2753
2019-01-24,96.83,96.83,94.86,95.54,5134
2019-01-25,96.34,96.91,95.86,96.8,5047
2019-01-28,96.29,96.93,95.65,96.91,4815
2019-01-29,97.05,98.37,96.55,98.32,6100
2019-01-30,98.58,99.5,98.15,99.43,6462
2019-01-31,99.29,99.91,98.74,99.82,7952
2019-02-01,99.79,100.92,99.34,100.88,7003
2019-02-04,100.77,101.68,99.27,101.39,18499
2019-02-05,102.0,102.57,100.8,102.57,9010
2019-02-06,102.6,102.87,102.09,102.53,7639
2019-02-07,102.46,103.32,101.55,102.87,7490
2019-02-08,102.39,102.92,102.39,102.84,7560
2019-02-11,103.17,103.66,102.83,103.61,3786
2019-02-12,104.26,105.63,103.95,105.55,6570
2019-02-13,105.75,106.12,105.38,105.96,7666
2019-02-14,105.58,106.06,105.3,105.69,6616
2019-02-15,106.44,107.6,106.01,107.59,8225
2019-02-19,107.7,109.79,107.32,109.18,11104
2019-02-20,109.54,109.56,108.18,109.11,11905
2019-02-21,108.82,110.3,108.29,109.9,7366
2019-02-22,110.34,110.81,109.97,110.81,8308
2019-02-25,111.36,112.18,109.55,109.64,8899
2019-02-26,110.58,111.26,109.67,109.8,5480
2019-02-27,109.53,109.99,108.34,109.16,5973
2019-02-28,109.04,109.29,108.12,108.78,9078
2019-03-01,109.46,109.48,107.93,109.15,6174
2019-03-04,109.5,109.92,107.66,108.51,5742
2019-03-05,108.86,109.17,108.05,108.33,4792
2019-03-06,108.66,108.66,107.58,107.8,5074
2019-03-07,106.91,107.18,106.23,106.85,5420
2019-03-08,106.45,106.85,105.57,105.94,4215
2019-03-11,105.9,106.48,105.65,106.36,5446
2019-03-12,106.67,107.26,106.41,106.72,4392
2019-03-13,107.06,107.59,106.74,107.17,3001
2019-03-14,106.83,107.33,106.26,107.1,4271
2019-03-15,106.8,107.63,106.35,107.05,9604
2019-03-18,107.18,107.94,106.87,107.31,5500
2019-03-19,107.56,108.1,106.74,107.21,4735
2019-03-20,106.88,108.16,106.88,107.25,3476
2019-03-21,107.19,109.39,106.93,109.1,3895
2019-03-22,108.49,109.33,107.43,107.48,3336
2019-03-25,107.45,108.9,107.06,108.09,5925
2019-03-26,108.91,109.37,108.48,109.18,2957
2019-03-27,109.41,109.88,108.87,109.52,3416
2019-03-28,110.0,111.04,109.85,111.0,2908
2019-03-29,111.4,112.16,111.09,112.03,5870
2019-04-01,112.6,113.21,112.17,113.1,3866
2019-04-02,112.78,113.07,112.16,112.49,5376
2019-04-03,112.7,113.05,112.25,112.6,8027
2019-04-04,112.99,113.61,112.6,113.58,6171
2019-04-05,113.76,115.2,113.6,115.14,3618
2019-04-08,114.77,114.81,113.86,114.41,3713
2019-04-09,114.0,114.0,112.77,113.07,4517
2019-04-10,113.24,113.42,112.1,112.77,4519
2019-04-11,113.04,113.04,112.41,112.58,4620
2019-04-12,113.0,113.03,112.0,112.81,4107
2019-04-15,113.0,113.18,112.38,112.74,3517
2019-04-16,113.28,113.39,112.62,113.08,3127
2019-04-17,113.67,113.67,112.52,112.58,4322
2019-04-18,111.8,112.0,105.03,105.45,17340
2019-04-22,105.03,105.23,102.69,103.65,9562
2019-04-23,103.55,105.65,102.34,105.23,8723
2019-04-24,105.32,105.6,103.69,104.54,5104
2019-04-25,104.18,104.18,102.53,103.57,5834
2019-04-26,103.8,103.93,102.95,103.58,4079
2019-04-29,103.41,103.73,102.55,102.56,6377
2019-04-30,102.42,102.58,101.73,102.54,4899
2019-05-01,102.56,102.59,100.38,100.45,4355
2019-05-02,100.3,103.31,99.65,102.0,21071
2019-05-03,102.53,102.82,101.22,102.12,9574
2019-05-06,100.79,101.67,100.35,101.36,5189
2019-05-07,100.7,101.22,98.34,99.09,5586
2019-05-08,99.01,99.04,97.81,98.52,7822
2019-05-09,97.9,98.69,97.17,98.52,5698
2019-05-10,98.4,99.0,96.89,98.63,4445
2019-05-13,97.38,97.57,96.61,97.03,4625
2019-05-14,97.03,97.54,96.38,96.76,6048
2019-05-15,96.19,96.49,95.26,96.42,4329
2019-05-16,96.72,98.13,96.28,97.55,4093
2019-05-17,96.74,98.17,96.74,98.09,5371
2019-05-20,97.78,98.56,97.4,98.31,5172
2019-05-21,98.53,100.21,98.35,99.81,5030
2019-05-22,99.84,100.78,99.5,100.02,4020
