date,open,high,low,close,volume
2018-12-10,18.65,18.65,18.37,18.54,2355
2018-12-11,18.6,18.75,18.57,18.67,1936
2018-12-12,18.75,18.88,18.7,18.77,2130
2018-12-13,18.77,18.82,18.7,18.71,2367
2018-12-14,18.66,18.88,18.63,18.72,2048
2018-12-17,18.7,19.1,18.45,18.5,8770
2018-12-18,18.58,19.01,18.58,18.64,5972
2018-12-19,18.66,18.93,18.52,18.55,4490
2018-12-20,18.55,18.6,18.03,18.12,7027
2018-12-21,18.15,18.48,17.96,18.05,4551
2018-12-24,17.94,18.0,17.45,17.68,3375
2018-12-26,17.75,18.54,17.75,18.51,3979
2018-12-27,18.31,18.55,18.08,18.54,3540
2018-12-28,18.16,18.35,18.06,18.24,3865
2018-12-31,18.29,18.29,17.77,18.03,3048
2019-01-02,17.95,18.12,17.8,18.1,2214
2019-01-03,18.1,18.25,17.96,18.05,1936
2019-01-04,18.15,18.57,18.13,18.47,3401
2019-01-07,18.57,18.79,18.42,18.75,3480
2019-01-08,18.76,18.93,18.65,18.93,3801
2019-01-09,18.95,19.05,18.83,19.05,6556
2019-01-10,19.0,19.03,18.81,18.97,2120
2019-01-11,19.01,19.07,18.95,19.03,3545
2019-01-14,19.06,19.06,18.9,19.0,1510
2019-01-15,19.03,19.12,18.97,19.12,2473
2019-01-16,19.05,19.13,18.88,18.99,4226
2019-01-17,18.92,19.2,18.92,19.14,4593
2019-01-18,19.13,19.2,18.94,18.97,3701
2019-01-22,18.94,19.05,18.85,18.9,2679
2019-01-23,18.91,19.05,18.91,19.0,3220
2019-01-24,19.03,19.14,18.96,19.14,2574
2019-01-25,19.16,19.34,19.16,19.28,3364
2019-01-28,19.26,19.32,19.15,19.31,2104
2019-01-29,19.31,19.39,19.22,19.31,3296
2019-01-30,19.4,19.69,19.28,19.38,8116
2019-01-31,19.39,19.52,19.33,19.52,5199
2019-02-01,19.09,19.13,18.81,18.95,56406
2019-02-04,18.94,19.02,18.82,18.94,12830
