date,open,high,low,close,volume
2020-08-31,9.7,9.7,9.7,9.7,0
2020-09-01,9.7,9.7,9.7,9.7,0
2020-09-02,9.73,9.73,9.73,9.73,0
2020-09-03,9.73,9.73,9.73,9.73,0
2020-09-04,9.63,9.63,9.63,9.63,0
2020-09-08,9.76,9.87,9.74,9.77,491
2020-09-09,9.8,9.85,9.8,9.85,391
2020-09-10,9.9,9.92,9.83,9.83,86
2020-09-11,9.87,9.87,9.87,9.87,2
2020-09-14,9.87,9.87,9.87,9.87,0
2020-09-15,9.84,9.87,9.84,9.87,10
2020-09-16,9.85,9.85,9.85,9.85,125
2020-09-17,9.86,9.87,9.83,9.83,43
2020-09-18,9.87,9.91,9.86,9.91,143
2020-09-21,9.91,9.91,9.91,9.91,0
2020-09-22,9.91,9.91,9.91,9.91,0
2020-09-23,9.91,9.91,9.91,9.91,0
2020-09-24,10.0,10.0,10.0,10.0,2
2020-09-25,10.0,10.0,10.0,10.0,0
2020-09-28,9.87,9.87,9.87,9.87,1
2020-09-29,9.9,9.9,9.9,9.9,98
2020-09-30,9.87,9.92,9.85,9.91,41
2020-10-01,9.88,9.9,9.87,9.9,645
2020-10-02,9.9,9.9,9.9,9.9,90
2020-10-05,9.9,9.9,9.9,9.9,0
2020-10-06,9.87,9.88,9.85,9.85,31
2020-10-07,9.85,9.85,9.85,9.85,0
2020-10-08,9.85,9.85,9.85,9.85,0
2020-10-09,9.85,9.85,9.85,9.85,0
2020-10-12,9.85,9.85,9.82,9.82,64
2020-10-13,9.82,9.82,9.82,9.82,0
2020-10-14,9.86,9.86,9.86,9.86,10
2020-10-15,9.86,9.86,9.86,9.86,0
2020-10-16,9.89,9.89,9.88,9.89,2
2020-10-19,9.87,9.87,9.86,9.86,519
2020-10-20,9.88,9.88,9.86,9.86,7
2020-10-21,9.86,9.86,9.84,9.84,685
2020-10-22,9.86,9.86,9.83,9.83,14
2020-10-23,9.83,9.83,9.81,9.81,150
2020-10-26,9.81,9.81,9.81,9.81,0
2020-10-27,9.84,9.84,9.84,9.84,70
2020-10-28,9.84,9.84,9.84,9.84,0
2020-10-29,9.84,9.84,9.84,9.84,0
2020-10-30,9.82,9.82,9.79,9.79,226
2020-11-02,9.84,9.84,9.83,9.83,27
2020-11-03,9.83,9.83,9.83,9.83,0
2020-11-04,9.83,9.84,9.82,9.82,134
2020-11-05,9.8,9.82,9.76,9.77,57
2020-11-06,9.84,9.84,9.83,9.835,4
2020-11-09,9.835,9.835,9.835,9.835,0
2020-11-10,9.87,9.87,9.79,9.82,50
2020-11-11,9.86,9.86,9.85,9.86,94
2020-11-12,9.87,9.9,9.87,9.9,60
2020-11-13,9.9,9.91,9.9,9.91,30
2020-11-16,9.91,9.91,9.9,9.9,15
2020-11-17,9.9,9.9,9.9,9.9,0
2020-11-18,9.92,9.92,9.91,9.91,23
2020-11-19,9.91,9.91,9.91,9.91,5
