date,open,high,low,close,volume
2018-12-10,35.41,37.0,34.16,35.8,145
2018-12-11,35.81,37.79,35.81,37.69,105
2018-12-12,38.0,38.88,37.01,37.56,91
2018-12-13,37.66,38.0,37.3,37.41,32
2018-12-14,38.2,39.99,37.81,39.5,146
2018-12-17,39.5,42.55,38.5,41.22,326
2018-12-18,43.0,43.4,40.51,43.0,245
2018-12-19,43.4,44.6,42.0,42.42,480
2018-12-20,42.02,43.0,41.42,42.08,84
2018-12-21,42.55,45.72,38.61,38.61,272
2018-12-24,40.53,44.75,40.53,42.0,390
2018-12-26,44.0,44.0,40.26,41.99,156
2018-12-27,41.99,42.7,40.61,41.69,52
2018-12-28,41.01,42.94,41.01,42.0,52
2018-12-31,42.0,43.7,41.58,41.95,58
2019-01-02,41.0,44.0,41.0,43.58,195
2019-01-03,44.07,45.0,43.6,44.0,181
2019-01-04,44.8,46.5,44.8,46.5,375
2019-01-07,47.49,48.4,45.32,47.55,277
2019-01-08,47.97,47.97,43.1,43.83,261
2019-01-09,44.55,46.73,44.55,45.42,169
2019-01-10,44.69,44.92,42.77,44.6,142
2019-01-11,44.16,44.29,42.9,43.81,64
2019-01-14,43.1,44.96,43.1,43.52,31
2019-01-15,43.6,46.38,43.6,45.66,245
2019-01-16,45.63,47.86,44.9,45.33,259
2019-01-17,46.1,47.0,45.0,45.0,71
2019-01-18,45.01,45.6,41.6,43.0,241
2019-01-22,41.84,42.0,36.12,37.5,480
2019-01-23,38.16,39.1,37.05,38.18,132
2019-01-24,38.37,40.0,38.37,38.66,152
2019-01-25,39.54,40.9,39.01,39.01,74
2019-01-28,39.05,42.41,34.07,37.25,335
2019-01-29,36.68,37.98,34.8,36.435,204
2019-01-30,36.34,39.9,36.09,36.81,86
2019-01-31,37.0,38.01,35.5,35.5,207
2019-02-01,40.0,47.0,40.0,45.51,1271
2019-02-04,45.51,47.0,44.6,45.34,227
2019-02-05,45.2,45.23,42.14,43.01,90
2019-02-06,42.72,44.96,42.0,44.51,124
2019-02-07,44.8,45.02,42.6,43.62,196
2019-02-08,43.12,44.01,43.12,43.72,84
2019-02-11,43.4,44.64,41.12,42.32,329
2019-02-12,42.5,43.21,41.5,43.05,142
2019-02-13,44.47,50.41,44.01,49.16,792
2019-02-14,49.07,53.0,48.05,50.0,809
2019-02-15,50.5,52.66,46.23,52.66,788
2019-02-19,52.66,52.66,47.56,49.5,270
2019-02-20,49.5,49.52,46.5,49.1,211
2019-02-21,47.94,49.13,46.75,47.52,190
2019-02-22,48.3,48.35,47.21,47.21,58
2019-02-25,47.98,48.01,45.76,46.51,162
2019-02-26,46.68,46.82,43.28,44.96,367
2019-02-27,45.31,45.5,42.65,44.49,276
2019-02-28,45.39,46.49,44.52,45.85,182
2019-03-01,47.23,49.94,47.22,47.83,117
2019-03-04,48.98,49.65,47.15,49.65,241
2019-03-05,49.98,50.5,48.58,49.65,176
2019-03-06,49.98,52.48,49.98,52.155,199
2019-03-07,52.89,56.0,52.5,55.69,411
2019-03-08,55.02,57.75,54.0,57.44,331
2019-03-11,58.84,61.45,54.5,55.0,277
2019-03-12,55.51,61.0,55.51,61.0,456
2019-03-13,62.06,66.5,61.58,64.01,445
2019-03-14,65.29,67.9,64.57,67.59,246
2019-03-15,67.59,67.59,63.08,64.1,173
2019-03-18,65.18,70.8,64.02,69.35,448
2019-03-19,70.56,73.25,67.04,71.8,355
2019-03-20,72.81,74.85,71.24,74.46,221
2019-03-21,74.46,74.46,69.7,70.76,138
2019-03-22,70.04,70.04,66.0,68.61,230
2019-03-25,68.0,68.0,64.11,64.99,242
2019-03-26,61.06,63.32,60.48,60.48,712
2019-03-27,61.0,64.47,61.0,63.69,227
2019-03-28,63.71,66.84,61.3,63.0,207
2019-03-29,63.39,64.99,63.07,64.43,105
2019-04-01,64.95,65.9,61.9,62.09,137
2019-04-02,62.88,66.39,61.74,63.53,159
2019-04-03,63.91,64.91,63.05,64.0,779
2019-04-04,64.0,64.63,62.26,63.5,221
2019-04-05,62.83,65.27,61.02,61.79,133
2019-04-08,61.8,63.83,61.0,62.77,156
2019-04-09,62.0,62.73,61.31,61.5,65
2019-04-10,61.3,63.73,61.3,62.0,141
2019-04-11,61.61,63.63,58.01,58.86,357
2019-04-12,58.75,63.4,58.57,63.06,417
2019-04-15,62.9,64.47,62.9,63.61,324
2019-04-16,63.8,66.79,63.8,65.54,490
2019-04-17,66.06,67.43,61.32,63.02,705
2019-04-18,63.09,64.61,60.53,61.98,144
2019-04-22,61.17,63.5,59.27,61.06,133
2019-04-23,61.06,62.0,59.1,61.21,357
2019-04-24,61.2,63.75,59.2,59.2,275
2019-04-25,59.52,62.37,59.52,60.8,140
2019-04-26,60.59,62.88,57.5,62.24,162
2019-04-29,62.8,62.8,59.54,61.3,58
2019-04-30,61.15,62.4,60.98,61.47,84
2019-05-01,61.97,63.5,61.35,62.5,131
2019-05-02,63.0,63.8,61.01,62.31,196
2019-05-03,62.61,68.75,62.6,67.15,228
2019-05-06,65.9,67.13,64.5,67.13,146
2019-05-07,66.8,67.2,64.99,65.9,158
2019-05-08,65.84,68.59,65.84,66.24,156
2019-05-09,66.0,66.92,63.6,64.0,186
2019-05-10,64.5,67.9,63.9,67.18,248
2019-05-13,70.0,78.5,68.5,77.67,735
2019-05-14,78.08,88.8,77.83,86.9,939
2019-05-15,87.0,88.78,83.18,86.4,659
2019-05-16,85.27,86.69,82.5,86.1,342
2019-05-17,86.0,88.0,84.01,86.7,369
2019-05-20,84.27,84.27,79.66,81.64,284
2019-05-21,83.0,84.53,81.55,83.4,234
2019-05-22,84.98,91.48,84.5,90.78,517
2019-05-23,91.5,96.5,91.01,91.85,462
2019-05-24,91.99,94.0,90.0,90.14,482
2019-05-28,91.99,93.8,88.0,93.72,539
2019-05-29,91.0,91.31,87.13,88.9,307
2019-05-30,88.5,93.2,88.5,92.6,380
2019-05-31,92.18,93.5,89.02,92.0,414
2019-06-03,92.0,92.0,88.0,88.75,406
2019-06-04,88.55,89.5,86.14,86.83,534
2019-06-05,85.51,85.51,75.4,78.3,957
2019-06-06,72.03,74.48,61.16,61.21,1701
2019-06-07,60.0,67.5,59.0,65.14,1066
2019-06-10,66.0,66.49,61.3,62.07,849
2019-06-11,61.43,63.63,59.01,59.44,726
2019-06-12,59.12,65.12,57.06,64.52,1046
2019-06-13,64.01,65.28,62.5,63.0,515
2019-06-14,62.0,63.38,58.01,62.25,535
2019-06-17,63.09,65.5,62.86,63.89,613
2019-06-18,64.0,65.69,60.11,60.3,652
2019-06-19,61.01,61.97,56.22,58.45,937
2019-06-20,59.22,61.0,56.94,60.03,697
2019-06-21,60.06,60.06,58.09,58.95,219
2019-06-24,59.0,59.5,53.0,54.4,992
2019-06-25,54.38,54.38,42.6,45.0,2475
2019-06-26,45.1,48.27,45.1,47.28,1161
2019-06-27,46.72,47.65,43.21,47.13,603
2019-06-28,47.84,47.84,45.4,46.15,914
2019-07-01,46.66,46.66,44.0,45.69,502
2019-07-02,45.99,47.9,44.0,46.85,629
2019-07-03,46.85,46.85,42.02,42.02,863
2019-07-05,42.44,44.13,41.43,44.0,394
2019-07-08,43.05,44.93,42.02,42.2,456
2019-07-09,41.76,42.89,41.1,42.11,333
2019-07-10,42.04,45.06,42.04,44.18,378
2019-07-11,44.2,45.24,43.1,43.2,234
2019-07-12,43.0,43.39,41.27,42.57,304
2019-07-15,42.02,44.38,42.02,42.25,467
2019-07-16,41.61,42.98,41.32,41.32,709
2019-07-17,41.42,43.03,41.42,42.12,416
2019-07-18,42.6,44.95,42.6,43.21,542
2019-07-19,43.49,43.8,41.5,41.69,314
2019-07-22,41.12,42.71,39.6,41.0,363
2019-07-23,40.5,41.8,40.12,40.15,314
2019-07-24,40.3,41.88,39.57,41.5,436
2019-07-25,42.24,42.24,39.17,41.01,391
2019-07-26,41.69,43.25,40.72,42.29,425
2019-07-29,42.33,42.5,39.75,40.86,719
2019-07-30,40.85,40.97,39.35,40.65,391
2019-07-31,40.1,40.63,38.5,40.45,671
2019-08-01,40.0,40.96,39.84,40.07,621
2019-08-02,39.32,41.23,39.0,40.23,240
2019-08-05,39.86,41.24,38.2,39.4,760
2019-08-06,40.0,40.0,35.08,36.0,654
2019-08-07,35.07,38.74,34.08,37.19,493
2019-08-08,34.0,34.0,26.9,28.82,2081
2019-08-09,28.74,32.87,28.74,30.44,663
2019-08-12,30.2,31.69,28.5,29.45,477
2019-08-13,28.8,31.48,28.51,29.61,493
