date,open,high,low,close,volume
2018-12-10,37.41,37.8,37.16,37.68,40724
2018-12-11,38.05,38.11,37.24,37.36,32288
2018-12-12,37.76,38.16,37.66,37.68,21960
2018-12-13,38.03,38.1,37.67,37.94,20349
2018-12-14,37.58,37.68,37.4,37.61,39612
2018-12-17,37.45,37.52,36.94,37.07,36404
2018-12-18,37.37,37.4,36.87,37.09,39957
2018-12-19,39.26,39.27,37.3,37.4,130332
2018-12-20,38.3,38.32,37.68,37.9,56953
2018-12-21,37.83,38.36,37.57,37.58,40918
2018-12-24,37.5,37.63,37.06,37.24,19244
2018-12-26,37.14,38.01,36.96,38.0,27443
2018-12-27,37.45,38.01,37.09,38.0,31842
2018-12-28,38.06,38.42,38.02,38.15,26290
2018-12-31,38.25,38.31,37.97,38.21,17434
2019-01-02,37.77,38.11,37.6,37.88,21609
2019-01-03,38.11,38.29,37.83,37.83,24209
2019-01-04,38.11,38.71,38.11,38.62,26761
2019-01-07,38.59,38.99,38.37,38.81,31145
2019-01-08,38.35,39.09,38.35,39.06,26705
2019-01-09,39.42,39.43,39.12,39.2,18894
2019-01-10,38.99,39.43,38.89,39.36,26914
2019-01-11,39.17,39.57,39.1,39.38,29061
2019-01-14,38.73,38.77,38.38,38.61,41707
2019-01-15,38.52,39.1,38.49,39.05,32365
2019-01-16,38.42,38.66,38.32,38.41,30956
2019-01-17,38.55,39.06,38.5,38.98,35023
2019-01-18,39.05,39.22,38.91,39.06,26953
2019-01-22,38.7,39.06,38.67,38.97,22069
2019-01-23,39.37,39.5,38.84,39.07,24737
2019-01-24,38.58,38.61,38.25,38.37,34697
2019-01-25,38.36,38.56,38.26,38.42,25391
2019-01-28,38.25,38.49,38.16,38.44,23260
2019-01-29,38.73,38.93,38.63,38.72,18920
2019-01-30,39.13,39.19,38.45,38.71,53240
2019-01-31,38.74,39.25,38.62,39.2,32866
2019-02-01,39.08,39.36,39.02,39.2,17152
2019-02-04,39.15,39.18,38.94,39.14,19683
2019-02-05,39.48,39.78,39.42,39.45,28307
2019-02-06,39.92,40.76,39.85,40.68,48340
2019-02-07,41.08,41.18,40.49,40.57,32260
2019-02-08,40.8,41.21,40.72,41.09,27510
2019-02-11,40.33,40.43,40.12,40.23,50791
2019-02-12,40.26,40.61,40.23,40.53,28646
2019-02-13,40.1,40.53,40.07,40.37,27874
2019-02-14,40.59,40.97,40.53,40.86,23367
2019-02-15,41.21,41.31,41.04,41.24,28955
2019-02-19,41.22,41.43,41.22,41.29,24041
2019-02-20,41.16,41.61,41.15,41.36,22959
2019-02-21,40.53,40.71,40.43,40.54,20792
2019-02-22,40.2,40.66,40.15,40.55,18328
2019-02-25,40.63,40.72,40.43,40.49,18203
2019-02-26,40.42,40.7,40.33,40.5,15099
2019-02-27,40.36,40.68,40.34,40.46,23175
2019-02-28,40.3,40.68,40.26,40.36,23463
2019-03-01,40.41,40.58,40.33,40.39,20493
2019-03-04,40.49,40.49,40.11,40.28,16035
2019-03-05,40.2,40.54,40.12,40.36,18319
2019-03-06,40.53,40.53,40.05,40.19,13646
