date,open,high,low,close,volume
2018-12-10,2.54,2.54,2.44,2.46,18962
2018-12-11,2.51,2.53,2.39,2.39,14025
2018-12-12,2.42,2.54,2.42,2.44,9460
2018-12-13,2.45,2.47,2.4,2.45,6892
2018-12-14,2.41,2.47,2.36,2.37,10684
2018-12-17,2.35,2.39,2.28,2.29,13564
2018-12-18,2.27,2.33,2.26,2.29,12454
2018-12-19,2.31,2.32,2.2,2.23,21481
2018-12-20,2.19,2.245,2.11,2.19,17360
2018-12-21,2.18,2.2,2.08,2.08,10392
2018-12-24,2.05,2.1,2.025,2.05,8018
2018-12-26,2.08,2.26,2.0419,2.24,11703
2018-12-27,2.2,2.2,2.08,2.16,15377
2018-12-28,2.19,2.235,2.14,2.14,11770
2018-12-31,2.15,2.21,2.13,2.17,8827
2019-01-02,2.11,2.28,2.1,2.22,9081
2019-01-03,2.22,2.29,2.17,2.23,9253
2019-01-04,2.27,2.39,2.26,2.39,13763
2019-01-07,2.4,2.5,2.38,2.47,12106
2019-01-08,2.49,2.5,2.4197,2.47,9890
2019-01-09,2.5,2.55,2.46,2.47,11601
2019-01-10,2.46,2.54,2.43,2.51,13763
2019-01-11,2.49,2.5,2.41,2.42,10835
2019-01-14,2.41,2.47,2.36,2.41,9853
2019-01-15,2.43,2.46,2.41,2.44,6439
2019-01-16,2.42,2.45,2.38,2.42,5079
2019-01-17,2.41,2.48,2.4,2.48,7882
2019-01-18,2.57,2.57,2.48,2.51,8471
2019-01-22,2.48,2.48,2.34,2.35,9345
2019-01-23,2.34,2.38,2.28,2.32,7645
2019-01-24,2.31,2.41,2.3,2.4,6718
2019-01-25,2.43,2.45,2.38,2.38,7267
2019-01-28,2.3,2.36,2.26,2.28,10561
2019-01-29,2.32,2.35,2.28,2.31,9654
2019-01-30,2.41,2.435,2.34,2.39,16968
2019-01-31,2.35,2.45,2.345,2.37,11330
2019-02-01,2.41,2.41,2.33,2.34,18345
2019-02-04,2.28,2.3,2.25,2.29,16932
2019-02-05,2.26,2.3,2.24,2.26,19442
2019-02-06,2.27,2.3,2.23,2.24,6159
2019-02-07,2.23,2.3,2.13,2.15,26221
2019-02-08,2.13,2.19,2.13,2.18,9627
2019-02-11,2.19,2.22,2.15,2.21,7400
2019-02-12,2.23,2.27,2.2,2.22,7496
2019-02-13,2.24,2.28,2.2,2.26,14206
2019-02-14,2.27,2.38,2.26,2.36,16562
2019-02-15,2.36,2.42,2.36,2.39,7708
2019-02-19,2.4,2.43,2.37,2.4,17001
2019-02-20,2.38,2.41,2.33,2.33,17931
2019-02-21,2.34,2.36,2.285,2.29,19543
2019-02-22,2.29,2.34,2.28,2.31,10638
2019-02-25,2.3,2.32,2.28,2.29,15230
2019-02-26,2.3,2.31,2.25,2.28,15101
2019-02-27,2.21,2.36,2.21,2.31,26728
2019-02-28,2.31,2.33,2.25,2.26,19495
2019-03-01,2.25,2.39,2.25,2.32,18842
2019-03-04,2.36,2.42,2.345,2.39,17326
2019-03-05,2.45,2.48,2.41,2.44,25838
2019-03-06,2.43,2.48,2.3,2.32,23141
2019-03-07,2.32,2.32,2.25,2.27,21670
2019-03-08,2.23,2.28,2.155,2.23,15151
2019-03-11,2.31,2.31,2.25,2.31,10228
2019-03-12,2.3,2.35,2.28,2.3,17736
2019-03-13,2.3,2.49,2.3,2.47,20316
2019-03-14,2.45,2.5,2.405,2.43,15948
2019-03-15,2.42,2.43,2.33,2.33,14805
2019-03-18,2.36,2.45,2.345,2.44,9435
2019-03-19,2.47,2.54,2.4,2.4,14926
2019-03-20,2.37,2.52,2.36,2.52,32503
2019-03-21,2.54,2.54,2.42,2.46,15252
2019-03-22,2.44,2.44,2.28,2.31,22715
2019-03-25,2.3,2.31,2.25,2.26,14850
2019-03-26,2.3,2.36,2.29,2.35,19783
2019-03-27,2.35,2.37,2.32,2.35,12331
2019-03-28,2.35,2.35,2.26,2.27,12353
2019-03-29,2.32,2.32,2.27,2.27,10037
2019-04-01,2.32,2.395,2.31,2.35,16891
2019-04-02,2.37,2.39,2.285,2.29,12327
2019-04-03,2.32,2.33,2.2544,2.28,16239
2019-04-04,2.27,2.3326,2.26,2.3,15151
2019-04-05,2.33,2.42,2.31,2.37,26919
2019-04-08,2.39,2.56,2.38,2.55,27031
2019-04-09,2.52,2.54,2.44,2.46,17213
2019-04-10,2.49,2.59,2.47,2.56,17790
2019-04-11,2.58,2.59,2.505,2.54,9186
2019-04-12,2.6,2.64,2.495,2.51,16088
2019-04-15,2.5,2.57,2.48,2.48,9609
2019-04-16,2.47,2.51,2.4401,2.47,9336
2019-04-17,2.49,2.53,2.36,2.39,21450
2019-04-18,2.39,2.42,2.36,2.39,12049
