date,open,high,low,close,volume
2020-06-19,16.15,17.71,15.61,16.0,117674
2020-06-22,16.5,16.55,15.15,15.64,20012
2020-06-23,15.64,15.85,14.21,14.36,13651
2020-06-24,14.38,14.65,11.7,12.48,18168
2020-06-25,12.48,13.71,12.48,13.44,4485
2020-06-26,13.6,13.97,12.53,12.81,6166
2020-06-29,12.84,13.04,11.09,11.29,7472
2020-06-30,11.3,12.2,11.27,12.07,6262
2020-07-01,11.75,12.04,11.52,11.84,2138
2020-07-02,11.91,13.38,11.91,13.01,5435
2020-07-06,13.36,14.02,13.27,13.81,6213
2020-07-07,13.5,13.87,13.2,13.81,2402
2020-07-08,13.59,14.01,13.27,13.9,2869
2020-07-09,13.75,13.99,12.81,13.04,7082
2020-07-10,12.73,13.86,12.68,13.78,4371
2020-07-13,14.0,14.28,13.85,14.05,7874
2020-07-14,13.5,15.0,13.24,14.8,3056
2020-07-15,14.8,15.84,14.04,15.69,4596
2020-07-16,14.65,15.65,14.35,15.39,3832
2020-07-17,15.02,16.0,15.02,15.81,4692
2020-07-20,15.66,15.66,14.56,14.84,2212
2020-07-21,14.97,15.39,14.5,15.06,3311
2020-07-22,14.92,14.92,13.46,13.56,2249
2020-07-23,14.0,14.3,13.77,14.29,1175
2020-07-24,14.18,14.18,13.35,13.9,726
2020-07-27,13.84,14.28,13.57,13.9,888
2020-07-28,14.17,14.17,13.5,13.52,1375
2020-07-29,13.79,14.0,13.61,13.9,681
2020-07-30,14.42,14.42,13.57,13.9,1027
2020-07-31,13.89,14.3,13.71,14.3,748
2020-08-03,14.39,14.39,13.63,13.91,344
2020-08-04,14.0,14.33,13.57,13.74,258
2020-08-05,13.81,13.85,13.61,13.82,361
2020-08-06,14.35,14.35,13.63,13.77,652
2020-08-07,13.9,13.97,13.25,13.51,880
2020-08-10,13.6,14.09,13.49,14.08,951
2020-08-11,14.1,14.1,13.54,13.95,787
2020-08-12,13.73,13.88,12.75,13.03,2238
2020-08-13,12.9,13.5,12.9,13.08,2254
2020-08-14,12.81,13.56,12.77,13.46,1310
2020-08-17,13.38,13.61,12.54,13.54,334
2020-08-18,13.74,13.74,11.96,11.96,2103
2020-08-19,12.02,13.04,12.02,12.51,3170
2020-08-20,12.13,12.89,12.13,12.8,720
