date,open,high,low,close,volume
2018-12-10,43.59,44.43,42.96,43.53,4139
2018-12-11,44.23,44.47,42.17,42.34,2050
2018-12-12,43.14,43.7,42.68,42.75,3262
2018-12-13,43.13,43.56,41.14,41.33,3267
2018-12-14,41.14,41.87,40.1,40.4,3464
2018-12-17,40.29,41.17,39.91,40.27,3038
2018-12-18,40.57,41.75,40.57,40.78,2335
2018-12-19,40.66,41.38,39.65,40.0,3225
2018-12-20,39.84,40.72,39.06,39.58,2956
2018-12-21,39.59,40.46,39.03,39.3,6392
2018-12-24,39.0,40.22,38.74,38.82,2801
2018-12-26,38.88,40.73,38.55,40.7,3640
2018-12-27,39.74,40.78,39.23,40.57,2189
2018-12-28,40.4,40.69,39.69,39.99,2285
2018-12-31,40.14,40.59,39.5,40.28,2443
2019-01-02,39.7,40.42,39.07,40.38,2033
2019-01-03,40.26,40.66,39.58,40.1,1697
2019-01-04,40.79,42.1,40.1,41.77,2378
2019-01-07,41.4,42.98,40.83,42.45,3607
2019-01-08,42.84,43.22,42.02,43.02,2406
2019-01-09,43.38,43.63,42.66,43.12,1299
2019-01-10,42.91,44.39,42.83,44.26,1913
2019-01-11,43.89,44.23,43.41,43.67,1892
2019-01-14,43.31,43.97,42.68,43.2,1659
2019-01-15,43.2,43.49,42.49,42.69,1726
2019-01-16,42.59,42.96,42.39,42.63,2021
2019-01-17,42.46,43.46,42.46,43.14,1683
2019-01-18,43.66,45.27,43.51,44.41,1949
2019-01-22,44.1,44.39,43.03,43.5,1318
2019-01-23,43.78,43.96,42.42,42.62,1189
2019-01-24,42.61,43.66,42.56,43.14,1343
2019-01-25,43.63,44.31,43.63,43.93,854
2019-01-28,43.57,44.26,43.1,43.91,1133
2019-01-29,44.1,44.42,42.82,43.04,1164
2019-01-30,43.25,43.5,41.83,43.02,975
2019-01-31,42.83,43.6,42.36,43.22,1965
2019-02-01,43.13,43.56,42.33,42.46,1796
2019-02-04,42.41,43.34,41.8,43.28,2125
2019-02-05,43.46,44.23,43.44,43.96,2544
2019-02-06,44.01,44.42,43.62,43.93,2337
2019-02-07,43.53,43.92,41.76,42.2,1706
2019-02-08,41.86,42.67,41.4,42.17,2854
2019-02-11,42.3,42.39,40.46,41.71,3920
2019-02-12,42.05,44.25,41.73,44.1,3794
2019-02-13,44.33,45.13,44.32,44.72,1930
2019-02-14,44.44,45.47,44.3,44.83,1955
2019-02-15,45.23,45.89,44.94,45.48,1747
2019-02-19,45.04,45.53,44.29,45.33,2588
2019-02-20,45.22,48.94,44.72,48.43,8122
2019-02-21,48.24,49.0,46.46,46.81,3702
2019-02-22,46.87,47.91,46.24,46.69,2415
2019-02-25,46.97,47.41,46.43,47.09,1643
2019-02-26,46.85,47.53,46.22,46.25,1895
2019-02-27,45.73,46.38,44.8,46.31,2502
2019-02-28,46.25,46.88,46.09,46.56,1584
2019-03-01,47.11,48.58,46.99,47.89,2265
2019-03-04,47.99,49.03,47.82,48.2,2397
2019-03-05,48.3,48.75,48.02,48.17,1289
2019-03-06,48.2,48.2,46.96,47.11,1333
2019-03-07,47.44,47.72,46.85,47.43,1694
2019-03-08,47.19,47.71,46.66,46.87,1527
2019-03-11,46.82,47.48,46.59,47.46,2542
2019-03-12,47.47,47.88,47.06,47.3,1207
2019-03-13,47.63,47.63,46.53,46.66,2015
2019-03-14,46.66,46.94,46.09,46.18,2339
2019-03-15,46.32,46.9,45.89,46.06,3097
2019-03-18,46.09,46.94,46.09,46.84,1756
2019-03-19,47.18,47.61,45.91,46.09,6342
2019-03-20,45.77,46.01,45.04,45.34,1634
2019-03-21,45.16,46.33,45.16,45.88,1255
2019-03-22,45.45,45.45,43.04,43.11,1791
2019-03-25,43.0,43.67,42.45,43.65,1508
2019-03-26,43.98,44.71,42.81,43.44,1744
2019-03-27,43.4,43.65,42.53,43.45,1475
2019-03-28,43.34,43.6,42.55,43.33,1544
2019-03-29,43.62,43.88,43.01,43.15,1617
2019-04-01,43.42,45.08,43.3,44.92,1903
