date,open,high,low,close,volume
2018-12-10,10.06,10.24,9.87,10.03,562
2018-12-11,10.03,10.21,9.75,9.97,79
2018-12-12,9.98,10.23,9.81,10.23,85
2018-12-13,10.22,10.49,10.22,10.34,190
2018-12-14,10.29,10.46,10.17,10.24,189
2018-12-17,10.21,10.62,10.06,10.07,563
2018-12-18,10.12,10.29,9.91,9.96,430
2018-12-19,10.03,10.19,9.87,10.07,238
2018-12-20,10.14,10.24,9.95,10.09,384
2018-12-21,10.07,10.29,9.95,10.12,384
2018-12-24,10.04,10.15,9.97,10.06,97
2018-12-26,10.01,10.15,9.86,10.09,159
2018-12-27,10.04,10.25,10.02,10.21,403
2018-12-28,10.23,10.33,10.11,10.26,140
2018-12-31,10.24,10.43,10.12,10.14,143
2019-01-02,10.05,10.27,10.05,10.21,338
2019-01-03,10.21,10.21,10.05,10.09,50
2019-01-04,10.19,10.23,10.07,10.18,85
2019-01-07,10.19,10.33,10.06,10.215,107
2019-01-08,10.26,10.34,10.04,10.05,74
2019-01-09,10.05,10.1,9.76,9.83,184
2019-01-10,9.77,9.95,9.69,9.89,175
2019-01-11,9.83,9.95,9.8,9.83,148
2019-01-14,9.83,9.85,9.61,9.62,191
2019-01-15,9.72,9.91,9.72,9.88,217
2019-01-16,9.82,10.0,9.71,9.77,145
2019-01-17,9.8,10.0,9.8,9.93,80
2019-01-18,9.91,9.98,9.65,9.66,175
2019-01-22,9.5,9.75,9.5,9.53,64
2019-01-23,9.52,9.76,9.52,9.65,70
2019-01-24,9.74,9.75,9.21,9.28,196
2019-01-25,9.34,9.43,9.2,9.36,211
2019-01-28,9.24,9.4,9.24,9.32,95
2019-01-29,9.34,9.55,9.3,9.5,127
2019-01-30,9.6,9.66,9.53,9.61,80
2019-01-31,9.66,9.81,9.61,9.63,85
2019-02-01,9.71,9.84,9.41,9.51,107
2019-02-04,9.51,9.54,9.35,9.38,178
2019-02-05,9.35,9.52,9.27,9.29,106
2019-02-06,9.2,9.25,9.1,9.11,120
2019-02-07,9.03,9.25,9.0,9.02,276
2019-02-08,9.06,9.26,9.06,9.13,88
2019-02-11,9.21,9.25,9.15,9.16,59
2019-02-12,9.18,9.22,9.15,9.2,99
2019-02-13,9.22,9.22,9.12,9.18,128
2019-02-14,9.16,9.22,9.07,9.17,97
2019-02-15,9.22,9.36,9.16,9.32,81
2019-02-19,9.3,9.47,9.3,9.44,63
2019-02-20,9.49,9.55,9.3,9.41,145
2019-02-21,9.44,9.61,9.29,9.53,247
2019-02-22,9.59,9.64,9.48,9.64,43
2019-02-25,9.76,9.76,9.56,9.56,69
2019-02-26,9.64,9.75,9.49,9.49,65
2019-02-27,9.49,9.54,9.44,9.44,115
2019-02-28,9.5,9.71,9.5,9.51,122
2019-03-01,9.59,9.59,9.37,9.45,91
2019-03-04,9.39,9.6,9.39,9.5,70
2019-03-05,9.51,9.98,9.47,9.94,203
2019-03-06,10.02,10.25,9.85,10.25,381
2019-03-07,10.21,10.21,9.73,9.75,57
2019-03-08,9.79,9.96,9.57,9.57,85
2019-03-11,9.73,9.89,9.61,9.8,56
2019-03-12,9.75,9.75,9.5,9.5,213
2019-03-13,9.5,9.59,9.45,9.51,132
2019-03-14,9.38,9.58,9.38,9.55,54
2019-03-15,9.53,10.3,9.51,9.93,520
2019-03-18,9.84,9.88,9.67,9.81,90
2019-03-19,9.79,9.91,9.7,9.7,59
2019-03-20,9.71,9.88,9.65,9.66,124
