date,open,high,low,close,volume
2018-12-10,23.81,24.16,22.96,23.45,5228
2018-12-11,23.7,23.85,23.08,23.65,4879
2018-12-12,24.05,24.42,23.58,24.3,8136
2018-12-13,24.66,25.38,24.38,24.78,6096
2018-12-14,24.69,25.65,24.37,24.59,6343
2018-12-17,24.59,24.66,23.2,23.36,5646
2018-12-18,23.46,23.94,23.01,23.46,5940
2018-12-19,23.41,24.08,22.74,22.97,5050
2018-12-20,23.02,23.31,22.69,22.85,7813
2018-12-21,22.82,23.47,22.6,22.84,7532
2018-12-24,22.76,23.03,22.31,22.41,4048
2018-12-26,22.45,23.96,22.2,23.91,3710
2018-12-27,23.42,23.84,22.96,23.8,2097
2018-12-28,23.98,24.5,23.72,24.03,3801
2018-12-31,24.3,24.3,23.44,24.11,5663
2019-01-02,23.81,23.92,22.59,23.75,5390
2019-01-03,23.61,23.74,21.52,21.95,6769
2019-01-04,22.47,23.88,22.4,23.19,6647
2019-01-07,23.2,23.83,22.2,22.71,4830
2019-01-08,22.97,23.25,22.17,23.16,5113
2019-01-09,23.46,24.24,23.18,24.12,5102
2019-01-10,23.9,24.27,23.36,24.24,5265
2019-01-11,23.98,24.91,23.66,24.45,11092
2019-01-14,24.23,24.89,24.23,24.64,5173
2019-01-15,24.85,24.96,23.64,23.93,6531
2019-01-16,24.0,24.61,23.88,24.4,5845
2019-01-17,24.31,25.25,24.31,25.12,3792
2019-01-18,25.25,26.32,25.04,26.03,4309
2019-01-22,25.85,25.87,25.16,25.8,5040
2019-01-23,26.23,26.37,25.69,26.11,3239
2019-01-24,25.9,26.3,25.69,26.12,2592
2019-01-25,26.53,27.3,26.53,27.1,5177
2019-01-28,26.97,27.02,26.2,26.64,2767
2019-01-29,27.05,27.49,26.85,27.13,3777
2019-01-30,27.71,28.87,27.38,28.3,7581
2019-01-31,28.35,28.81,27.73,28.73,4580
2019-02-01,28.73,28.99,28.48,28.73,2824
2019-02-04,28.6,28.62,28.02,28.61,3312
2019-02-05,28.62,28.76,28.32,28.51,3390
2019-02-06,28.41,28.42,27.36,27.52,7808
2019-02-07,27.32,27.99,27.11,27.22,2226
2019-02-08,27.32,27.53,26.99,27.08,3758
2019-02-11,27.1,27.4,26.95,27.09,2102
2019-02-12,27.33,28.0,27.18,27.93,3453
2019-02-13,28.03,28.33,27.85,28.15,4380
2019-02-14,27.97,28.44,27.92,28.15,5498
