date,open,high,low,close,volume
2018-12-10,41.84,41.95,41.04,41.71,3030
2018-12-11,41.94,43.78,41.75,41.99,6534
2018-12-12,42.46,43.06,42.46,42.71,3024
2018-12-13,42.66,43.04,41.65,42.59,3438
2018-12-14,42.45,43.32,42.36,42.73,4413
2018-12-17,42.74,42.87,41.54,42.06,5149
2018-12-18,42.42,42.8,41.89,42.21,3777
2018-12-19,42.37,43.24,41.22,41.51,3680
2018-12-20,41.54,42.04,40.48,41.17,2865
2018-12-21,41.08,41.57,38.57,38.75,13262
2018-12-24,38.58,39.38,38.41,38.59,3468
2018-12-26,38.66,39.86,37.97,39.83,3318
2018-12-27,39.34,40.07,38.65,40.07,3686
2018-12-28,40.28,41.35,38.32,39.46,4069
2018-12-31,39.69,40.36,38.54,40.18,3025
2019-01-02,39.68,40.11,39.11,39.48,2293
2019-01-03,39.22,39.97,38.53,39.1,6377
2019-01-04,39.62,41.0,39.45,40.49,2997
2019-01-07,40.33,41.29,40.17,40.64,3391
2019-01-08,41.05,41.53,40.23,41.44,3489
2019-01-09,41.41,42.59,41.36,42.39,2934
2019-01-10,42.24,42.48,41.41,42.18,1810
2019-01-11,42.19,42.72,40.37,42.59,2234
2019-01-14,42.42,42.94,41.96,42.09,2295
2019-01-15,42.13,43.07,42.1,42.84,3853
2019-01-16,42.89,43.23,42.59,42.76,3376
2019-01-17,42.51,43.43,42.51,43.26,3297
2019-01-18,43.33,43.98,42.76,43.78,2626
2019-01-22,43.63,44.32,43.19,44.06,3275
2019-01-23,44.16,44.76,43.31,43.97,2221
2019-01-24,44.06,44.06,43.47,43.78,2186
2019-01-25,44.06,44.57,43.28,43.56,3084
2019-01-28,43.29,44.12,43.14,44.09,2651
2019-01-29,44.32,44.44,43.23,43.57,2068
2019-01-30,43.81,43.81,43.09,43.41,2658
2019-01-31,43.3,44.0,43.16,43.62,4389
2019-02-01,43.53,43.89,41.16,41.59,8855
2019-02-04,41.58,41.83,40.23,41.54,8546
2019-02-05,41.59,42.84,41.47,42.17,5245
2019-02-06,42.17,42.17,36.88,39.0,26423
2019-02-07,38.48,40.32,38.2,39.38,15173
2019-02-08,39.16,39.7,38.64,38.75,6533
2019-02-11,38.84,39.09,38.41,38.74,8703
2019-02-12,39.05,39.93,38.95,39.93,9173
2019-02-13,39.96,40.39,39.78,40.22,4589
2019-02-14,39.84,40.4,39.53,39.6,4455
2019-02-15,39.82,40.72,39.81,40.25,4422
2019-02-19,40.13,40.91,39.51,40.29,4204
2019-02-20,40.15,40.42,39.58,39.97,3374
2019-02-21,40.01,40.85,39.72,40.32,3781
2019-02-22,40.43,40.88,40.18,40.28,4284
2019-02-25,40.54,40.83,40.07,40.08,4331
2019-02-26,40.02,40.14,38.96,38.98,4423
2019-02-27,38.79,38.96,37.4,38.34,5347
2019-02-28,38.36,38.59,37.81,38.18,3461
2019-03-01,38.26,38.56,37.46,37.74,9221
2019-03-04,37.75,37.8,32.0,32.78,48394
2019-03-05,32.78,34.25,32.5,33.49,24336
2019-03-06,33.5,34.11,33.04,33.11,8147
2019-03-07,33.16,33.9,32.9,33.68,6828
2019-03-08,33.57,34.11,32.84,33.09,10166
2019-03-11,33.08,33.08,32.25,32.6,8487
2019-03-12,32.49,33.09,32.19,32.2,11097
2019-03-13,32.33,32.65,31.74,31.87,9218
2019-03-14,31.93,32.0,31.04,31.14,14482
2019-03-15,31.09,31.48,30.68,30.91,32673
2019-03-18,31.08,32.46,29.75,31.05,29870
2019-03-19,31.02,32.57,30.86,31.63,18083
2019-03-20,31.59,32.47,31.59,31.76,13503
2019-03-21,31.64,32.35,31.64,32.19,5151
2019-03-22,32.1,32.37,31.74,32.14,10839
2019-03-25,32.13,32.62,31.94,32.51,7031
2019-03-26,32.72,32.97,32.38,32.84,10507
2019-03-27,32.76,33.67,32.76,33.62,12855
2019-03-28,33.46,33.84,32.31,32.71,8728
2019-03-29,32.93,33.87,32.02,32.99,4631
2019-04-01,33.12,33.67,32.75,33.29,10325
2019-04-02,33.35,33.88,33.13,33.56,8964
2019-04-03,33.78,34.15,33.63,34.05,8374
2019-04-04,34.05,34.39,33.94,34.23,5184
2019-04-05,34.3,34.72,33.94,34.3,8080
2019-04-08,34.22,34.46,33.91,34.39,6138
2019-04-09,34.25,34.3,33.24,33.34,5334
2019-04-10,33.36,34.27,33.15,34.18,5148
2019-04-11,34.14,34.5,34.03,34.32,4890
2019-04-12,34.57,34.68,34.01,34.09,6617
2019-04-15,34.24,34.98,34.1,34.49,8935
2019-04-16,34.64,34.64,33.32,33.95,13888
2019-04-17,34.16,34.37,33.62,33.81,7424
2019-04-18,33.8,34.96,33.5,34.56,10408
2019-04-22,34.52,34.81,33.3,33.56,12708
2019-04-23,33.67,34.35,33.57,33.99,6047
2019-04-24,33.93,34.37,33.72,34.06,5275
2019-04-25,34.1,34.1,33.34,33.86,3469
2019-04-26,34.02,34.11,33.36,33.7,7167
2019-04-29,33.67,33.91,33.56,33.6,7759
2019-04-30,33.65,34.03,33.14,33.85,7256
2019-05-01,29.97,32.38,28.24,31.96,36507
2019-05-02,31.81,33.57,31.77,33.29,12119
2019-05-03,33.53,34.19,33.51,34.07,9113
2019-05-06,33.58,34.87,33.41,34.56,7920
2019-05-07,34.24,34.6,33.88,34.2,6168
2019-05-08,34.26,34.59,33.8,34.1,4509
2019-05-09,34.0,34.01,33.34,33.94,3891
2019-05-10,33.86,34.17,33.46,34.04,4577
2019-05-13,33.4,33.6,32.95,33.0,2749
