date,open,high,low,close,volume
2018-12-10,41.6,41.79,40.59,41.57,25212
2018-12-11,42.13,42.45,41.04,41.34,26548
2018-12-12,41.9,42.3,41.37,41.39,25296
2018-12-13,41.41,41.7,40.87,41.32,24878
2018-12-14,41.09,41.43,40.88,41.27,28781
2018-12-17,41.18,42.43,40.98,41.79,44657
2018-12-18,42.04,42.92,42.0,42.28,28377
2018-12-19,42.29,43.58,42.29,42.67,41326
2018-12-20,42.32,43.09,42.2,42.5,39499
2018-12-21,42.41,43.67,42.06,42.19,36409
2018-12-24,41.95,41.99,40.75,40.76,12736
2018-12-26,40.83,42.95,40.54,42.85,22505
2018-12-27,42.21,43.87,41.69,43.87,24602
2018-12-28,44.15,44.42,43.52,43.77,20863
2018-12-31,44.02,44.45,43.69,44.45,14652
2019-01-02,43.57,43.69,42.94,43.42,30401
2019-01-03,43.2,43.49,42.77,42.82,25346
2019-01-04,43.47,44.2,43.37,44.14,24413
2019-01-07,43.95,44.44,43.76,43.98,13746
2019-01-08,44.2,44.29,42.92,43.39,23959
2019-01-09,43.3,43.88,43.29,43.77,15861
2019-01-10,43.73,44.37,43.7,44.22,20350
2019-01-11,43.99,44.6,43.93,44.46,15913
2019-01-14,44.08,44.82,44.05,44.53,14352
2019-01-15,44.6,44.92,44.28,44.89,13863
2019-01-16,45.23,45.56,44.8,45.33,16996
2019-01-17,45.12,46.24,45.12,46.11,19837
2019-01-18,46.37,46.74,46.16,46.68,17050
2019-01-22,46.47,46.88,46.01,46.21,13646
2019-01-23,46.31,46.54,45.85,46.5,12977
2019-01-24,46.4,46.82,46.34,46.67,14668
2019-01-25,46.94,47.37,46.71,46.76,14597
2019-01-28,46.49,46.79,45.99,46.66,12267
2019-01-29,46.51,46.81,45.91,46.09,17205
2019-01-30,46.15,46.82,45.97,46.63,12763
2019-01-31,46.35,47.0,46.25,46.92,14368
2019-02-01,47.11,47.15,46.67,47.02,18170
2019-02-04,47.25,47.26,46.74,47.16,19905
2019-02-05,47.21,48.51,45.92,48.33,33527
2019-02-06,48.16,48.77,47.76,47.91,21280
2019-02-07,47.64,48.5,47.63,48.2,15987
2019-02-08,47.83,48.06,47.15,47.89,14647
2019-02-11,47.89,48.27,47.33,48.24,21928
2019-02-12,48.56,48.96,48.36,48.76,13992
2019-02-13,48.92,49.36,48.63,48.74,11630
2019-02-14,48.37,48.59,47.78,48.24,19319
2019-02-15,48.72,48.88,48.57,48.73,15200
2019-02-19,48.64,49.18,48.42,49.12,9694
2019-02-20,49.07,49.4,48.93,49.07,14767
2019-02-21,49.2,49.34,48.59,48.83,18871
2019-02-22,48.88,49.07,48.65,48.89,11204
2019-02-25,49.18,49.49,49.01,49.17,11939
2019-02-26,49.08,49.53,48.96,49.01,10327
2019-02-27,48.86,49.16,48.77,49.08,9000
2019-02-28,49.09,49.41,48.91,49.36,15273
2019-03-01,49.44,49.73,49.07,49.4,11689
2019-03-04,49.46,49.68,48.79,49.08,12019
2019-03-05,49.05,49.26,48.59,48.92,8943
2019-03-06,48.99,49.11,48.43,48.48,10020
2019-03-07,48.38,48.38,47.81,48.04,16384
2019-03-08,47.68,48.15,47.5,48.11,9744
2019-03-11,48.27,48.34,47.97,48.2,15554
2019-03-12,48.37,48.7,48.32,48.43,9719
2019-03-13,48.61,48.93,48.5,48.6,8527
2019-03-14,48.66,48.89,48.52,48.81,9402
2019-03-15,48.75,49.21,48.69,48.82,16206
2019-03-18,48.99,49.43,48.91,49.34,9930
2019-03-19,49.45,49.79,48.99,49.21,29279
2019-03-20,49.07,49.2,48.13,48.23,15433
2019-03-21,48.06,49.1,48.01,48.95,14516
2019-03-22,48.59,49.0,48.29,48.53,15463
2019-03-25,48.61,48.97,48.37,48.41,19006
2019-03-26,48.62,49.11,48.62,49.09,14828
2019-03-27,49.1,49.49,49.03,49.22,12618
2019-03-28,49.33,49.58,48.92,49.36,9313
2019-03-29,49.74,49.78,49.36,49.72,11299
2019-04-01,49.94,50.33,49.75,49.86,17623
2019-04-02,49.87,49.99,49.42,49.51,10659
2019-04-03,49.87,49.92,49.22,49.72,19925
2019-04-04,49.78,50.14,49.58,50.0,13284
2019-04-05,50.0,50.18,49.81,49.93,8314
2019-04-08,49.93,50.02,49.63,49.89,8116
2019-04-09,49.81,49.84,49.51,49.69,8164
2019-04-10,49.66,50.05,49.48,49.98,7959
2019-04-11,50.22,50.64,50.04,50.57,9194
2019-04-12,50.98,51.23,50.78,51.07,6921
2019-04-15,51.06,51.17,50.62,50.75,5456
2019-04-16,50.95,51.43,50.79,51.42,7815
2019-04-17,51.55,51.55,50.44,50.58,12668
2019-04-18,50.48,51.45,50.46,50.94,14238
2019-04-22,50.74,50.91,50.52,50.89,5721
2019-04-23,50.86,51.32,50.73,51.11,7359
2019-04-24,51.12,51.72,50.66,51.24,11741
2019-04-25,51.01,51.16,50.56,50.97,8996
2019-04-26,51.12,51.6,50.92,51.56,9083
2019-04-29,51.65,52.14,51.6,51.77,14880
2019-04-30,51.79,52.31,51.48,52.31,17258
2019-05-01,52.2,52.39,51.36,51.4,21582
2019-05-02,51.94,52.46,50.58,52.14,28182
2019-05-03,52.25,52.87,52.12,52.72,13846
2019-05-06,52.05,52.75,51.77,52.55,11871
2019-05-07,52.41,52.69,51.95,52.3,16782
2019-05-08,52.19,53.14,52.13,52.51,14648
2019-05-09,52.08,52.72,52.03,52.51,10797
2019-05-10,52.29,53.15,52.05,53.01,12724
2019-05-13,52.44,52.61,51.69,51.96,10637
2019-05-14,52.22,53.07,52.11,52.72,13289
2019-05-15,52.4,53.29,52.31,52.94,13199
2019-05-16,53.1,53.88,53.0,53.6,12559
2019-05-17,53.12,54.1,53.12,53.58,16861
2019-05-20,53.55,53.79,52.92,53.14,13763
2019-05-21,53.53,53.89,53.46,53.63,12262
2019-05-22,53.63,54.28,53.62,54.21,16159
2019-05-23,53.83,53.92,52.98,53.32,14676
2019-05-24,53.41,53.71,52.96,53.24,18269
2019-05-28,53.15,53.37,52.33,52.46,18585
2019-05-29,53.0,53.2,52.47,53.19,20753
2019-05-30,53.32,53.65,52.79,53.07,11032
2019-05-31,52.45,52.74,52.07,52.66,11543
2019-06-03,52.53,53.49,52.48,53.43,14517
2019-06-04,53.99,54.02,53.49,53.9,17572
2019-06-05,53.9,54.95,53.9,54.95,13739
2019-06-06,54.94,55.19,54.75,54.99,10150
2019-06-07,55.04,55.42,54.95,54.97,7749
2019-06-10,55.27,55.33,54.67,54.83,8936
2019-06-11,55.0,55.11,54.43,54.69,10952
2019-06-12,54.69,55.02,54.34,54.65,9933
2019-06-13,54.75,54.87,54.17,54.51,8718
2019-06-14,54.52,55.14,54.42,54.95,10244
2019-06-17,55.04,55.04,54.45,54.53,7394
2019-06-18,54.48,55.02,54.42,54.98,13592
2019-06-19,55.05,55.39,54.94,55.25,7759
2019-06-20,55.45,55.66,54.89,55.63,10078
2019-06-21,55.54,55.8,55.35,55.72,18419
2019-06-24,55.66,56.1,55.5,55.69,12794
2019-06-25,55.59,56.31,55.59,56.03,18478
2019-06-26,56.13,56.13,54.74,54.88,13610
2019-06-27,54.88,55.46,54.61,55.4,16918
2019-06-28,55.74,55.93,55.43,55.72,18922
2019-07-01,55.98,55.99,55.23,55.89,16288
2019-07-02,56.0,56.36,55.77,56.28,12142
2019-07-03,56.44,57.23,56.36,57.16,7028
2019-07-05,57.17,57.18,56.64,56.95,7715
2019-07-08,56.73,57.21,56.68,57.11,11091
2019-07-09,57.11,57.19,56.74,57.08,12851
