date,open,high,low,close,volume
2018-12-10,7.12,7.22,6.79,6.87,8931
2018-12-11,7.01,7.07,6.68,6.82,8337
2018-12-12,6.95,7.21,6.95,7.09,13113
2018-12-13,7.01,7.07,6.44,6.64,14327
2018-12-14,6.57,6.64,6.42,6.51,13427
2018-12-17,6.47,6.58,6.17,6.19,11799
2018-12-18,6.19,6.27,5.99,6.25,10414
2018-12-19,6.25,6.44,5.91,6.01,13490
2018-12-20,5.88,6.05,5.74,5.78,9660
2018-12-21,5.75,5.79,5.38,5.45,17909
2018-12-24,5.34,5.43,5.2,5.21,9128
2018-12-26,5.25,5.46,5.05,5.44,21528
2018-12-27,5.27,5.5,5.24,5.49,14224
2018-12-28,5.51,5.66,5.42,5.44,12292
2018-12-31,5.48,5.5,5.24,5.41,10391
2019-01-02,5.3,5.79,5.19,5.71,15153
2019-01-03,5.7,5.81,5.5,5.7,9899
2019-01-04,5.85,6.18,5.79,6.14,12897
2019-01-07,6.14,6.57,6.05,6.54,14809
2019-01-08,6.71,6.75,6.48,6.66,13218
2019-01-09,6.82,6.91,6.59,6.64,4673
2019-01-10,6.55,6.76,6.45,6.76,5825
2019-01-11,6.65,6.89,6.54,6.85,8796
2019-01-14,6.73,6.86,6.66,6.73,6654
2019-01-15,6.82,7.0,6.81,6.93,8544
2019-01-16,6.91,6.92,6.63,6.73,3934
2019-01-17,6.62,6.94,6.56,6.89,8768
2019-01-18,7.0,7.12,6.92,7.12,7673
2019-01-22,6.99,7.04,6.7,6.83,8155
2019-01-23,6.89,7.11,6.81,6.88,24089
2019-01-24,6.88,7.01,6.7,6.91,9234
2019-01-25,6.98,7.15,6.98,7.06,3665
2019-01-28,6.93,7.0,6.78,6.91,8038
2019-01-29,6.98,7.11,6.92,7.02,5895
2019-01-30,7.07,7.13,6.91,7.06,6107
2019-01-31,7.1,7.1,6.8,6.83,4843
2019-02-01,6.88,7.01,6.81,6.94,3773
2019-02-04,6.87,7.01,6.81,7.0,4851
2019-02-05,7.0,7.07,6.9,7.06,5150
2019-02-06,7.0,7.12,6.97,7.04,4123
2019-02-07,7.0,7.0,6.72,6.85,7004
2019-02-08,6.8,6.84,6.61,6.69,4956
