date,open,high,low,close,volume
2018-12-10,1.65,1.66,1.54,1.55,31587
2018-12-11,1.56,1.63,1.56,1.6,26912
2018-12-12,1.61,1.68,1.61,1.64,17233
2018-12-13,1.61,1.66,1.61,1.65,10280
2018-12-14,1.57,1.64,1.55,1.6,16375
2018-12-17,1.61,1.69,1.61,1.67,25319
2018-12-18,1.66,1.73,1.65,1.69,25421
2018-12-19,1.78,1.815,1.62,1.63,41201
2018-12-20,1.74,1.7711,1.69,1.74,27797
2018-12-21,1.7,1.71,1.65,1.71,19372
2018-12-24,1.74,1.8,1.73,1.76,17066
2018-12-26,1.78,1.78,1.7,1.73,14240
2018-12-27,1.73,1.73,1.68,1.68,20008
2018-12-28,1.73,1.74,1.67,1.67,18010
2018-12-31,1.69,1.8,1.66,1.79,32007
2019-01-02,1.83,1.84,1.76,1.81,27863
2019-01-03,1.9,1.93,1.87,1.93,35088
2019-01-04,1.9,1.91,1.84,1.87,28800
2019-01-07,1.94,1.94,1.845,1.87,17299
2019-01-08,1.86,1.905,1.83,1.88,24619
2019-01-09,1.87,1.94,1.86,1.93,24379
2019-01-10,1.92,1.94,1.82,1.85,37126
2019-01-11,1.88,1.91,1.8301,1.86,20088
2019-01-14,1.85,1.86,1.8,1.84,16829
2019-01-15,1.83,1.85,1.74,1.77,39114
2019-01-16,1.77,1.815,1.77,1.77,21966
2019-01-17,1.77,1.805,1.76,1.78,9490
2019-01-18,1.75,1.77,1.69,1.69,23702
2019-01-22,1.75,1.75,1.7,1.71,27481
2019-01-23,1.71,1.76,1.7,1.73,17177
2019-01-24,1.77,1.78,1.745,1.76,14591
2019-01-25,1.77,1.845,1.765,1.78,31408
2019-01-28,1.79,1.89,1.79,1.89,30693
2019-01-29,1.92,2.06,1.89,2.04,50559
2019-01-30,1.96,1.99,1.895,1.96,43042
2019-01-31,1.99,1.995,1.9201,1.98,32732
2019-02-01,1.98,2.05,1.93,2.04,36149
2019-02-04,1.95,2.02,1.94,1.99,33598
2019-02-05,1.99,2.07,1.96,2.05,25817
2019-02-06,2.09,2.15,2.05,2.07,54854
2019-02-07,2.09,2.12,2.05,2.08,37073
2019-02-08,2.18,2.2,2.12,2.14,39905
2019-02-11,2.11,2.16,2.07,2.15,28579
2019-02-12,2.17,2.18,2.05,2.06,51565
2019-02-13,2.04,2.08,1.94,1.96,39812
2019-02-14,1.98,2.0,1.915,1.95,37207
2019-02-15,1.95,2.01,1.88,1.99,49081
2019-02-19,2.01,2.12,2.0,2.07,50860
2019-02-20,2.17,2.205,2.11,2.13,57241
2019-02-21,2.12,2.16,2.05,2.14,56394
2019-02-22,2.09,2.15,2.04,2.09,39131
2019-02-25,2.03,2.1,2.02,2.06,33455
2019-02-26,2.05,2.1,2.02,2.1,21350
2019-02-27,2.13,2.15,2.1,2.12,31034
2019-02-28,2.09,2.11,2.05,2.08,25968
2019-03-01,2.05,2.11,2.0,2.0,34108
2019-03-04,1.98,2.06,1.935,2.03,37374
2019-03-05,1.96,1.99,1.92,1.96,41709
2019-03-06,1.92,1.95,1.84,1.85,30281
2019-03-07,1.85,1.9,1.83,1.89,28967
2019-03-08,2.03,2.07,1.94,2.04,50645
2019-03-11,1.97,2.02,1.92,2.0,44034
2019-03-12,2.0,2.03,1.96,2.02,43586
2019-03-13,2.04,2.12,2.02,2.09,67200
2019-03-14,2.01,2.01,1.93,1.94,63139
2019-03-15,1.97,2.0,1.94,1.98,55516
2019-03-18,1.96,2.02,1.93,1.94,69481
2019-03-19,1.96,1.975,1.9,1.95,83600
2019-03-20,1.96,2.04,1.93,2.02,35036
2019-03-21,2.04,2.09,1.98,2.07,64040
2019-03-22,2.06,2.07,1.98,1.99,46864
2019-03-25,2.02,2.07,2.01,2.07,29464
2019-03-26,2.05,2.08,2.02,2.04,38911
2019-03-27,2.04,2.05,1.99,2.02,38932
2019-03-28,1.95,1.96,1.87,1.89,68415
2019-03-29,1.9,1.95,1.875,1.9,39670
2019-04-01,1.87,1.89,1.78,1.79,61077
2019-04-02,1.82,1.85,1.79,1.8,58314
2019-04-03,1.85,1.94,1.83,1.91,58803
2019-04-04,1.86,1.965,1.8408,1.93,55295
2019-04-05,1.9,1.97,1.88,1.94,42796
2019-04-08,1.98,2.04,1.98,2.03,50635
2019-04-09,2.03,2.1,2.01,2.08,54990
2019-04-10,2.04,2.05,1.98,1.99,28184
2019-04-11,1.93,1.97,1.92,1.93,22275
2019-04-12,1.94,1.95,1.92,1.92,16060
2019-04-15,1.89,1.93,1.85,1.87,53042
2019-04-16,1.84,1.86,1.81,1.82,21953
2019-04-17,1.82,1.85,1.81,1.84,34547
2019-04-18,1.84,1.85,1.81,1.82,12579
2019-04-22,1.83,1.84,1.77,1.78,21605
2019-04-23,1.78,1.84,1.77,1.79,32516
2019-04-24,1.78,1.84,1.76,1.81,22988
