date,open,high,low,close,volume
2018-12-10,11.16,11.5,10.91,11.115,114
2018-12-11,11.38,11.45,11.0,11.09,69
2018-12-12,10.93,11.32,10.93,11.15,50
2018-12-13,11.25,11.3,10.91,10.91,186
2018-12-14,10.97,11.08,10.91,11.08,86
2018-12-17,10.8,11.24,10.8,10.88,92
2018-12-18,11.23,11.24,10.41,10.41,286
2018-12-19,10.55,10.93,10.45,10.51,71
2018-12-20,10.54,10.61,10.26,10.26,133
2018-12-21,10.3,10.31,9.69,9.69,239
2018-12-24,9.75,10.2,9.69,10.15,146
2018-12-26,10.1,10.1,10.01,10.01,44
2018-12-27,10.0,10.2,10.0,10.0,46
2018-12-28,10.1,10.35,10.0,10.115,233
2018-12-31,10.2,10.2,10.01,10.01,43
2019-01-02,10.0,10.39,10.0,10.27,33
2019-01-03,10.27,10.96,10.19,10.445,177
2019-01-04,10.33,10.72,10.33,10.72,36
2019-01-07,10.56,10.73,10.56,10.6,58
2019-01-08,10.73,10.76,10.64,10.7,78
2019-01-09,10.7,10.7,10.7,10.7,2
2019-01-10,10.67,10.67,10.4,10.6,77
2019-01-11,10.48,10.7,10.48,10.59,38
2019-01-14,10.52,10.63,10.1,10.52,95
2019-01-15,10.46,10.47,10.0,10.27,81
2019-01-16,10.2,10.49,10.09,10.15,145
2019-01-17,10.15,10.49,10.15,10.3,73
2019-01-18,10.42,10.47,10.37,10.38,29
2019-01-22,10.4,10.47,10.39,10.41,56
2019-01-23,10.47,11.0,10.39,10.43,81
2019-01-24,10.91,11.0,10.25,10.35,91
2019-01-25,10.39,11.18,10.22,10.5,70
2019-01-28,10.47,11.7,10.47,11.685,305
2019-01-29,11.67,11.9,10.64,11.065,303
2019-01-30,11.25,11.95,11.11,11.75,220
2019-01-31,11.75,12.33,11.53,11.53,144
2019-02-01,12.0,12.0,10.83,10.87,101
2019-02-04,11.74,11.95,11.64,11.95,111
2019-02-05,11.85,11.99,11.54,11.61,17
2019-02-06,11.58,11.77,11.57,11.7,18
2019-02-07,11.7,11.7,11.53,11.56,68
2019-02-08,11.46,11.46,11.14,11.22,16
2019-02-11,11.25,11.65,11.25,11.3,10
2019-02-12,11.48,11.58,11.4,11.4,101
2019-02-13,11.79,11.79,11.1,11.1,91
2019-02-14,11.19,11.22,10.98,10.98,342
2019-02-15,11.0,11.0,10.57,10.61,317
2019-02-19,10.5,10.75,10.4,10.535,140
2019-02-20,10.45,10.73,10.19,10.31,227
2019-02-21,10.24,10.5,10.2,10.25,76
2019-02-22,10.42,10.5,10.35,10.5,108
2019-02-25,10.5,10.5,10.38,10.5,132
2019-02-26,10.74,10.74,10.33,10.48,192
2019-02-27,10.37,10.49,10.25,10.25,89
2019-02-28,10.35,10.4,10.22,10.25,177
2019-03-01,10.39,10.5,10.35,10.47,121
2019-03-04,10.42,10.87,10.25,10.49,463
2019-03-05,10.54,10.54,10.3,10.3,35
2019-03-06,10.39,10.39,10.11,10.2,105
2019-03-07,10.23,10.23,9.9,10.04,158
2019-03-08,9.96,10.04,9.89,9.89,28
2019-03-11,9.9,9.91,9.7,9.83,120
2019-03-12,9.73,9.89,9.7,9.88,135
2019-03-13,9.89,9.89,9.75,9.82,62
2019-03-14,9.85,9.85,9.5,9.69,210
2019-03-15,9.69,9.96,9.68,9.95,57
2019-03-18,9.78,9.95,9.72,9.72,94
2019-03-19,9.68,9.75,9.52,9.52,114
2019-03-20,9.4,9.47,9.0,9.0,312
2019-03-21,9.33,9.52,9.17,9.31,84
2019-03-22,9.64,9.64,9.25,9.55,310
2019-03-25,9.55,9.65,9.32,9.375,83
2019-03-26,9.36,9.42,9.3,9.3,26
2019-03-27,9.63,9.63,9.34,9.51,17
2019-03-28,9.5,9.55,9.45,9.45,12
2019-03-29,9.52,9.55,9.25,9.25,45
2019-04-01,9.38,9.7,9.3,9.43,121
2019-04-02,9.43,9.43,9.26,9.33,65
2019-04-03,9.6,9.61,9.36,9.43,115
2019-04-04,9.49,9.6,9.47,9.47,44
2019-04-05,9.51,9.7,9.51,9.565,76
2019-04-08,9.57,9.95,9.57,9.9,75
2019-04-09,9.73,9.98,9.57,9.7,66
2019-04-10,9.84,9.84,9.5,9.54,10
2019-04-11,9.5,9.72,9.5,9.71,19
2019-04-12,9.72,9.72,9.5,9.51,9
2019-04-15,9.61,9.83,9.6,9.6,75
2019-04-16,9.8,9.86,9.5,9.5,67
2019-04-17,9.84,9.87,9.51,9.51,54
2019-04-18,9.51,9.75,9.1,9.1,194
2019-04-22,9.18,9.44,9.14,9.15,29
2019-04-23,9.25,9.5,9.2,9.46,47
2019-04-24,9.52,9.86,9.52,9.55,25
2019-04-25,9.85,9.9,9.75,9.75,101
2019-04-26,9.75,9.87,9.56,9.56,73
2019-04-29,9.85,9.87,9.6,9.87,128
2019-04-30,9.85,10.0,9.77,9.99,83
2019-05-01,10.1,10.14,9.75,9.755,114
2019-05-02,9.74,10.09,9.74,10.09,17
2019-05-03,10.05,10.43,10.05,10.3,90
2019-05-06,10.3,10.8,10.15,10.31,253
2019-05-07,10.26,10.26,9.54,10.02,97
2019-05-08,10.21,10.32,9.91,10.04,20
2019-05-09,9.88,9.99,9.86,9.89,39
2019-05-10,9.9,9.93,9.52,9.55,66
2019-05-13,9.55,9.55,9.37,9.4,98
2019-05-14,9.52,9.99,9.48,9.625,76
2019-05-15,9.67,9.94,9.62,9.62,144
2019-05-16,9.79,9.91,9.5,9.86,4302
2019-05-17,9.72,9.82,9.68,9.73,26
2019-05-20,9.75,9.92,9.66,9.68,57
2019-05-21,9.82,9.95,9.66,9.69,103
2019-05-22,9.73,9.73,9.63,9.63,7
2019-05-23,9.73,9.8,9.29,9.31,122
2019-05-24,9.44,9.68,9.42,9.68,32
2019-05-28,9.59,9.7,9.24,9.3,116
2019-05-29,9.38,9.49,9.28,9.49,80
2019-05-30,9.26,9.45,9.15,9.38,25
2019-05-31,9.32,9.34,9.14,9.34,41
2019-06-03,9.23,9.34,9.07,9.29,65
2019-06-04,9.3,9.31,9.09,9.25,52
2019-06-05,9.2,9.24,9.11,9.11,12
2019-06-06,9.07,9.25,9.0,9.205,109
2019-06-07,9.13,9.34,9.08,9.34,36
2019-06-10,9.34,9.5,9.29,9.49,78
2019-06-11,9.6,9.86,9.2,9.3,152
2019-06-12,9.21,9.59,9.21,9.26,110
2019-06-13,9.32,9.49,9.3,9.46,59
2019-06-14,9.41,9.45,9.3,9.45,60
2019-06-17,9.5,9.5,9.35,9.35,23
2019-06-18,9.69,9.8,9.32,9.415,23
2019-06-19,9.54,9.77,9.48,9.77,6
2019-06-20,9.6,9.76,9.6,9.76,5
2019-06-21,9.65,9.75,9.35,9.75,18
2019-06-24,9.77,9.77,9.6,9.64,19
2019-06-25,9.7,9.78,9.61,9.61,82
2019-06-26,9.64,9.77,9.64,9.69,14
2019-06-27,9.69,9.78,9.6,9.69,21
2019-06-28,9.74,9.79,9.38,9.7,15
2019-07-01,9.88,9.88,9.48,9.73,17
2019-07-02,9.66,9.66,9.6,9.61,21
2019-07-03,9.72,9.72,9.47,9.47,5
2019-07-05,9.65,9.65,9.45,9.65,16
2019-07-08,9.65,9.65,9.45,9.5,13
2019-07-09,9.56,9.65,9.55,9.625,19
2019-07-10,9.5,9.53,9.44,9.445,18
2019-07-11,9.49,9.68,9.4,9.68,32
2019-07-12,9.65,9.76,9.44,9.45,20
2019-07-15,9.48,9.49,9.45,9.45,17
2019-07-16,9.5,9.56,9.45,9.46,81
2019-07-17,9.55,9.55,9.3,9.37,126
2019-07-18,9.69,10.0,9.42,9.89,431
2019-07-19,9.96,10.0,9.69,10.0,161
2019-07-22,10.05,10.47,9.97,9.97,237
2019-07-23,10.2,10.74,10.07,10.07,53
2019-07-24,10.09,10.7,10.09,10.25,56
2019-07-25,10.3,10.3,10.05,10.17,96
2019-07-26,10.2,10.28,10.2,10.2,43
2019-07-29,10.24,10.29,10.05,10.05,24
2019-07-30,10.05,10.17,9.75,10.0,17
2019-07-31,9.92,10.25,9.92,10.0,42
2019-08-01,10.06,10.23,9.91,9.91,14
2019-08-02,9.96,10.0,9.91,9.91,18
2019-08-05,9.39,9.81,9.38,9.63,51
2019-08-06,9.56,9.68,9.55,9.64,39
2019-08-07,9.5,9.55,9.38,9.425,154
2019-08-08,9.48,10.05,9.48,9.83,253
2019-08-09,9.47,9.93,9.31,9.6,243
2019-08-12,9.6,9.66,9.5,9.5,8
2019-08-13,9.6,9.7,9.5,9.65,23
2019-08-14,9.5,9.68,9.26,9.26,158
2019-08-15,9.5,9.51,9.2,9.415,234
2019-08-16,9.34,9.7,9.34,9.55,157
2019-08-19,9.55,9.69,9.16,9.415,253
2019-08-20,9.5,9.62,9.49,9.55,224
2019-08-21,9.55,9.7,9.31,9.45,183
2019-08-22,9.45,9.55,9.38,9.51,280
2019-08-23,9.4,9.52,9.3,9.5,97
2019-08-26,9.55,9.64,9.52,9.64,126
2019-08-27,9.62,9.83,9.58,9.8,204
2019-08-28,9.68,10.26,9.67,9.92,128
2019-08-29,9.88,9.95,9.84,9.84,57
2019-08-30,9.85,10.33,9.71,9.91,542
2019-09-03,9.91,10.18,9.9,10.05,125
2019-09-04,9.85,10.39,9.84,10.1,117
2019-09-05,9.9,10.29,9.85,10.03,128
2019-09-06,10.08,10.31,10.08,10.12,118
2019-09-09,9.99,10.75,9.99,10.66,84
2019-09-10,10.71,10.73,10.25,10.485,77
2019-09-11,10.6,10.6,10.26,10.56,73
2019-09-12,10.45,10.48,10.41,10.42,38
2019-09-13,10.44,10.6,10.43,10.55,55
2019-09-16,10.17,10.52,10.15,10.3,154
2019-09-17,10.01,10.4,10.01,10.285,45
2019-09-18,10.17,10.22,9.94,10.09,101
2019-09-19,10.01,10.19,9.76,9.76,110
2019-09-20,9.84,10.15,9.84,10.15,5
2019-09-23,10.07,10.47,10.07,10.4,70
2019-09-24,10.13,10.44,10.13,10.395,77
2019-09-25,10.27,10.47,10.27,10.34,34
2019-09-26,10.35,10.4,10.17,10.22,58
2019-09-27,10.5,11.18,10.33,10.56,389
2019-09-30,10.4,11.21,10.4,10.81,196
2019-10-01,10.99,11.21,10.45,10.9,62
2019-10-02,10.63,11.15,10.46,10.98,71
2019-10-03,11.05,11.07,10.7,10.9,66
2019-10-04,10.94,10.94,10.66,10.83,13
2019-10-07,10.93,11.91,10.9,11.2,472
2019-10-08,11.26,11.9,11.26,11.49,272
2019-10-09,11.61,11.61,11.1,11.19,67
2019-10-10,11.16,11.31,10.9,10.9,103
2019-10-11,11.16,11.16,10.86,11.07,43
2019-10-14,11.01,11.25,10.89,11.2,92
2019-10-15,11.13,11.29,11.06,11.2,12
2019-10-16,11.27,11.27,11.0,11.14,177
2019-10-17,11.08,11.13,11.03,11.095,10
2019-10-18,11.01,11.09,11.0,11.07,48
2019-10-21,11.1,11.15,11.05,11.15,9
2019-10-22,11.05,11.15,11.05,11.095,18
2019-10-23,11.07,11.15,11.07,11.15,86
2019-10-24,11.2,11.2,11.05,11.15,14
2019-10-25,11.03,11.25,11.03,11.2,95
2019-10-28,11.32,11.33,11.15,11.19,49
2019-10-29,11.1,11.39,11.1,11.18,25
2019-10-30,11.11,11.17,11.11,11.17,10
2019-10-31,11.06,11.15,11.06,11.1,39
2019-11-01,11.13,11.51,11.13,11.51,95
2019-11-04,11.75,12.0,11.74,11.76,129
2019-11-05,11.95,12.78,11.65,12.5,106
2019-11-06,12.49,12.52,12.06,12.36,22
2019-11-07,12.3,12.63,12.29,12.365,70
2019-11-08,12.13,12.4,11.9,12.14,85
2019-11-11,12.14,12.24,11.96,12.16,75
2019-11-12,12.19,12.24,11.93,12.235,35
2019-11-13,12.06,12.24,12.01,12.18,22
2019-11-14,12.0,12.11,12.0,12.1,12
2019-11-15,12.03,12.1,11.5,11.85,114
2019-11-18,11.85,11.86,11.6,11.605,32
2019-11-19,11.63,11.76,11.26,11.45,353
2019-11-20,11.18,11.56,11.18,11.27,36
2019-11-21,11.94,11.95,11.07,11.125,103
2019-11-22,11.18,12.09,11.17,11.335,19
2019-11-25,11.25,11.25,10.9,11.225,119
2019-11-26,11.23,11.41,10.96,11.39,61
2019-11-27,11.2,11.69,11.1,11.57,144
2019-11-29,11.85,11.9,11.52,11.89,33
2019-12-02,11.61,11.61,11.42,11.54,27
2019-12-03,11.54,11.54,11.21,11.21,32
2019-12-04,11.45,11.46,11.07,11.12,154
2019-12-05,11.08,11.3,10.91,11.09,141
2019-12-06,11.18,11.28,11.06,11.07,23
2019-12-09,11.0,11.0,10.59,10.94,166
2019-12-10,10.8,11.12,10.49,10.49,258
2019-12-11,10.51,10.58,10.16,10.18,325
2019-12-12,10.08,10.58,10.08,10.23,259
2019-12-13,10.19,10.26,10.19,10.24,80
2019-12-16,10.25,10.26,9.52,10.0,714
2019-12-17,9.9,10.26,9.73,10.195,145
2019-12-18,10.19,10.25,10.19,10.24,96
2019-12-19,10.2,10.21,9.98,9.985,98
2019-12-20,9.88,10.74,9.88,10.74,176
2019-12-23,10.7,10.97,10.59,10.82,168
2019-12-24,10.6,10.95,10.06,10.42,37
2019-12-26,10.35,10.5,10.28,10.325,92
2019-12-27,10.42,10.44,10.16,10.31,84
2019-12-30,10.14,10.4,10.06,10.06,108
2019-12-31,10.23,10.24,10.02,10.08,68
2020-01-02,10.33,10.57,10.1,10.44,74
2020-01-03,10.4,10.49,10.1,10.2,135
2020-01-06,10.09,10.54,10.09,10.44,27
2020-01-07,10.23,10.4,10.22,10.25,21
2020-01-08,10.29,10.55,10.23,10.26,182
2020-01-09,10.39,10.58,10.18,10.4,207
2020-01-10,10.29,10.47,10.06,10.47,259
2020-01-13,10.45,10.58,10.09,10.33,166
2020-01-14,10.38,10.51,10.11,10.35,296
2020-01-15,10.19,10.36,10.11,10.11,169
2020-01-16,10.2,10.35,10.2,10.325,59
2020-01-17,10.13,10.25,10.12,10.14,224
2020-01-21,10.22,10.58,10.15,10.2,381
2020-01-22,10.29,10.35,10.13,10.18,116
2020-01-23,10.24,10.44,10.13,10.13,260
2020-01-24,10.16,10.41,10.15,10.38,57
2020-01-27,10.29,10.56,10.24,10.24,94
2020-01-28,10.35,10.47,10.08,10.09,231
2020-01-29,10.15,10.27,9.56,10.19,442
2020-01-30,10.19,10.22,9.98,10.115,138
2020-01-31,10.0,10.26,10.0,10.175,44
2020-02-03,10.16,10.3,10.03,10.04,132
2020-02-04,10.06,10.3,10.0,10.01,233
2020-02-05,10.12,10.3,10.01,10.29,195
2020-02-06,10.22,10.45,10.16,10.445,231
2020-02-07,10.32,10.5,10.15,10.2,325
2020-02-10,10.16,10.55,10.06,10.44,261
2020-02-11,10.34,10.5,10.11,10.45,206
2020-02-12,10.14,10.55,10.13,10.41,68
2020-02-13,10.35,10.67,10.25,10.665,47
2020-02-14,10.75,10.99,10.62,10.625,133
2020-02-18,10.61,10.98,10.61,10.93,80
2020-02-19,10.93,11.15,10.92,11.035,159
2020-02-20,11.11,11.11,11.0,11.07,95
2020-02-21,10.84,10.88,10.61,10.72,141
2020-02-24,10.6,10.6,10.36,10.425,161
2020-02-25,10.36,10.42,10.05,10.09,162
2020-02-26,10.24,10.35,10.09,10.28,149
2020-02-27,10.28,10.28,10.05,10.19,123
2020-02-28,10.0,10.25,9.81,10.15,180
2020-03-02,10.08,10.29,9.81,10.285,407
2020-03-03,10.23,10.55,10.23,10.51,149
2020-03-04,10.55,10.67,10.11,10.58,93
2020-03-05,10.24,10.5,10.02,10.34,87
2020-03-06,10.24,10.24,9.83,9.9,138
2020-03-09,9.7,9.81,9.43,9.57,167
2020-03-10,9.73,9.79,9.18,9.19,251
2020-03-11,9.14,9.46,8.9,9.01,157
2020-03-12,8.86,9.73,8.85,8.85,106
2020-03-13,8.85,9.19,8.29,8.88,297
2020-03-16,8.15,8.49,6.91,7.47,465
2020-03-17,7.98,8.53,6.68,7.81,315
2020-03-18,7.2,7.44,6.35,6.58,212
2020-03-19,6.4,6.45,5.68,6.21,685
2020-03-20,6.6,7.4,6.59,7.17,104
2020-03-23,6.15,7.2,5.71,6.99,126
2020-03-24,7.21,7.21,6.0,6.96,385
2020-03-25,6.99,7.85,6.84,7.84,232
2020-03-26,7.93,8.61,7.93,8.49,34
2020-03-27,8.17,8.3,7.75,8.3,147
2020-03-30,8.2,8.4,7.4,7.6,200
2020-03-31,7.38,8.0,7.28,7.59,171
2020-04-01,7.34,7.95,7.24,7.49,115
2020-04-02,7.33,7.84,7.3,7.3,153
2020-04-03,6.77,7.49,6.51,7.49,191
2020-04-06,7.48,8.0,6.91,7.58,85
2020-04-07,7.88,8.33,7.48,8.33,220
2020-04-08,8.33,8.93,7.75,8.89,153
2020-04-09,8.9,9.05,8.54,8.62,173
2020-04-13,8.44,8.63,7.97,8.56,90
2020-04-14,8.61,8.85,8.24,8.74,128
2020-04-15,8.5,8.74,8.26,8.34,130
2020-04-16,8.23,8.47,7.8,7.8,124
2020-04-17,8.52,8.52,8.01,8.03,86
2020-04-20,7.57,8.3,7.51,8.1,72
2020-04-21,7.85,8.41,7.13,7.13,72
2020-04-22,7.57,7.98,7.26,7.97,115
2020-04-23,7.57,7.81,7.36,7.69,35
2020-04-24,7.35,7.68,7.22,7.615,43
2020-04-27,7.41,7.78,7.41,7.745,37
2020-04-28,8.21,8.21,7.59,7.85,5
2020-04-29,8.07,8.15,7.88,8.07,47
2020-04-30,7.74,7.99,7.74,7.905,11
2020-05-01,7.72,7.89,7.71,7.75,18
2020-05-04,7.71,8.31,7.71,8.2,117
2020-05-05,8.35,8.5,7.77,7.995,137
2020-05-06,8.2,8.33,7.98,7.99,9
2020-05-07,8.11,8.11,7.94,7.94,10
2020-05-08,7.71,8.35,7.5,8.175,13
2020-05-11,7.98,8.44,7.95,7.95,43
2020-05-12,8.17,8.17,7.62,7.935,41
2020-05-13,8.02,8.03,7.64,7.78,5
2020-05-14,7.84,7.85,7.0,7.03,68
2020-05-15,7.05,7.05,7.0,7.0,21
2020-05-18,7.05,7.79,7.0,7.21,58
2020-05-19,7.68,8.15,7.48,7.975,74
2020-05-20,8.14,8.14,7.8,8.0,221
2020-05-21,7.94,8.05,7.8,7.82,118
2020-05-22,7.8,7.82,7.4,7.82,41
2020-05-26,7.5,8.0,7.42,7.95,119
2020-05-27,7.66,8.54,7.66,8.1,60
2020-05-28,8.2,8.38,7.9,8.05,151
2020-05-29,8.13,8.45,8.0,8.0,53
2020-06-01,8.06,8.35,8.04,8.06,19
2020-06-02,8.06,8.4,7.89,8.1,405
2020-06-03,8.12,8.25,8.03,8.03,138
2020-06-04,7.86,8.09,7.85,8.09,18
2020-06-05,8.24,8.24,7.76,7.78,107
2020-06-08,7.85,8.2,7.7,8.08,325
2020-06-09,8.03,8.12,7.9,8.12,66
2020-06-10,8.07,8.73,8.07,8.72,72
2020-06-11,8.47,8.47,7.98,8.22,47
2020-06-12,8.77,8.97,7.85,7.895,138
2020-06-15,7.85,8.42,7.71,8.0,121
2020-06-16,8.24,8.24,7.98,8.07,128
2020-06-17,8.16,8.17,7.97,8.04,65
2020-06-18,8.06,8.1,8.02,8.1,45
2020-06-19,8.06,8.27,7.92,8.27,37
2020-06-22,8.27,8.51,8.06,8.51,36
2020-06-23,8.47,8.56,8.25,8.28,49
