date,open,high,low,close,volume
2018-12-10,5.47,5.55,5.24,5.4,1046
2018-12-11,5.45,5.45,5.32,5.33,372
2018-12-12,5.32,5.7,5.32,5.62,480
2018-12-13,5.63,5.63,5.45,5.54,427
2018-12-14,5.5,5.53,5.36,5.39,112
2018-12-17,5.32,5.5,5.27,5.3,328
2018-12-18,5.27,5.3,4.9,5.13,1110
2018-12-19,5.16,5.46,5.13,5.22,507
2018-12-20,5.23,5.23,4.9,4.95,955
2018-12-21,4.95,5.1,4.9,4.97,1175
2018-12-24,5.0,5.06,4.75,4.75,364
2018-12-26,4.98,5.29,4.81,5.21,1299
2018-12-27,5.21,5.29,4.98,5.09,679
2018-12-28,5.09,5.26,4.94,5.05,920
2018-12-31,5.05,5.2,4.98,5.07,1412
2019-01-02,5.06,5.37,5.06,5.26,542
2019-01-03,5.26,5.27,5.03,5.06,245
2019-01-04,5.13,5.36,5.13,5.27,90
2019-01-07,5.26,5.3,5.11,5.24,404
2019-01-08,5.31,5.6,5.24,5.32,318
2019-01-09,5.35,5.4,5.28,5.4,288
2019-01-10,5.65,5.65,5.25,5.28,191
2019-01-11,5.2,5.35,5.12,5.17,466
2019-01-14,5.13,5.3,5.06,5.08,323
2019-01-15,5.12,5.22,5.11,5.21,98
2019-01-16,5.22,5.32,5.2,5.22,187
2019-01-17,5.19,5.3,5.18,5.21,72
2019-01-18,5.16,5.31,5.09,5.15,243
2019-01-22,5.1,5.56,5.1,5.2,365
2019-01-23,5.43,5.6,5.23,5.29,338
2019-01-24,5.3,5.44,5.27,5.37,85
2019-01-25,5.43,5.58,5.41,5.44,197
2019-01-28,5.42,5.5,5.34,5.35,260
2019-01-29,5.44,5.65,5.44,5.58,91
2019-01-30,5.6,5.72,5.6,5.67,273
2019-01-31,5.66,5.88,5.45,5.665,317
2019-02-01,5.71,5.71,5.52,5.7,138
2019-02-04,5.7,5.84,5.7,5.81,166
2019-02-05,5.75,5.8,5.64,5.72,169
2019-02-06,5.68,5.7,5.56,5.63,173
2019-02-07,5.63,5.68,5.45,5.51,216
2019-02-08,5.5,5.64,5.43,5.56,160
2019-02-11,5.56,5.63,5.45,5.48,174
2019-02-12,5.49,5.58,5.45,5.48,181
2019-02-13,5.5,5.64,5.5,5.63,113
2019-02-14,5.58,5.71,5.38,5.38,313
2019-02-15,5.45,5.7,5.45,5.55,97
2019-02-19,5.58,5.86,5.58,5.73,150
2019-02-20,5.8,5.8,5.62,5.62,156
2019-02-21,5.59,5.72,5.59,5.695,98
2019-02-22,5.69,5.71,5.53,5.57,248
2019-02-25,5.59,5.62,5.5,5.54,358
2019-02-26,5.56,5.69,5.51,5.61,135
2019-02-27,5.59,5.71,5.4,5.4,197
2019-02-28,5.4,5.56,5.35,5.37,133
2019-03-01,5.32,5.42,5.25,5.39,298
2019-03-04,5.43,5.52,5.25,5.27,194
2019-03-05,5.25,5.39,5.15,5.36,252
2019-03-06,5.4,5.4,5.19,5.2,162
2019-03-07,5.16,5.3,5.13,5.13,201
2019-03-08,5.12,5.18,5.06,5.16,203
2019-03-11,5.17,5.46,5.16,5.45,215
2019-03-12,5.45,5.65,5.45,5.6,416
2019-03-13,5.64,5.64,5.29,5.52,525
2019-03-14,5.53,5.68,5.45,5.65,255
2019-03-15,5.65,5.9,5.62,5.89,2047
2019-03-18,5.9,5.96,5.3,5.9,856
2019-03-19,5.72,5.8,5.5,5.5,1126
2019-03-20,5.49,5.55,5.35,5.36,291
2019-03-21,5.33,5.37,5.3,5.34,282
2019-03-22,5.29,5.34,4.95,4.98,740
2019-03-25,5.0,5.33,5.0,5.2,545
2019-03-26,5.21,5.37,5.1,5.24,737
