date,open,high,low,close,volume
2018-12-10,7.00065,7.00065,7.00065,7.00065,2131
2018-12-11,7.00065,7.00065,7.00065,7.00065,0
2018-12-12,7.02175,7.0358,7.02175,7.0358,5544
2018-12-13,7.0569,7.0569,7.02175,7.0288,6
2018-12-14,7.0288,7.0288,7.0288,7.0288,0
2018-12-17,7.0288,7.0288,7.0288,7.0288,0
2018-12-18,7.0288,7.0288,7.0288,7.0288,0
2018-12-19,7.0288,7.0288,7.0288,7.0288,0
2018-12-20,6.96545,6.96545,6.96545,6.96545,9
2018-12-21,7.00765,7.02175,7.00765,7.02175,390
2018-12-24,7.02175,7.02175,7.02175,7.02175,0
2018-12-26,7.0358,7.0358,7.0358,7.0358,269
2018-12-27,7.0358,7.0358,7.0358,7.0358,0
2018-12-28,7.0358,7.0358,7.0358,7.0358,0
2018-12-31,7.0358,7.0358,7.0358,7.0358,0
2019-01-02,7.0358,7.0358,7.0358,7.0358,0
2019-01-03,7.0358,7.0358,7.0358,7.0358,0
2019-01-04,7.0358,7.0358,7.0358,7.0358,0
2019-01-07,7.04285,7.071,7.04285,7.071,127
2019-01-08,7.0569,7.071,7.0499,7.071,185
2019-01-09,7.071,7.071,7.071,7.071,0
2019-01-10,7.071,7.07805,7.071,7.071,251
2019-01-11,7.07805,7.07805,7.07805,7.07805,89
2019-01-14,7.07805,7.07805,7.07805,7.07805,0
2019-01-15,7.07805,7.08505,7.07805,7.08505,87
2019-01-16,7.08505,7.08505,7.08505,7.08505,0
2019-01-17,7.08505,7.08505,7.08505,7.08505,0
2019-01-18,7.08505,7.12025,7.08505,7.12025,881
2019-01-22,7.12025,7.12025,7.12025,7.12025,0
2019-01-23,7.12025,7.12025,7.12025,7.12025,0
2019-01-24,7.12025,7.12025,7.12025,7.12025,1421
2019-01-25,7.12025,7.12025,7.12025,7.12025,0
2019-01-28,7.1343,7.14135,7.1273,7.14135,852
2019-01-29,7.14135,7.14135,7.14135,7.14135,0
2019-01-30,7.14135,7.14135,7.14135,7.14135,0
2019-01-31,7.14135,7.14135,7.14135,7.14135,0
2019-02-01,7.14135,7.14135,7.14135,7.14135,28
2019-02-04,7.14135,7.14135,7.14135,7.14135,0
2019-02-05,7.10615,7.16245,7.10615,7.16245,712
2019-02-06,7.16245,7.16245,7.16245,7.16245,0
2019-02-07,7.16245,7.16245,7.16245,7.16245,0
2019-02-08,7.16245,7.16245,7.16245,7.16245,0
2019-02-11,7.16245,7.16245,7.16245,7.16245,0
2019-02-12,7.16245,7.16245,7.16245,7.16245,0
2019-02-13,7.14135,7.16245,7.14135,7.16245,78
2019-02-14,7.16245,7.16245,7.16245,7.16245,0
2019-02-15,7.16245,7.16245,7.16245,7.16245,0
