date,open,high,low,close,volume
2018-12-10,41.98,42.59,41.44,42.38,12360
2018-12-11,42.83,43.26,42.04,42.44,10366
2018-12-12,43.05,43.49,42.73,42.88,9182
2018-12-13,42.97,43.36,42.52,42.84,11757
2018-12-14,42.54,42.71,41.84,41.94,12737
2018-12-17,41.92,42.2,40.08,40.26,22824
2018-12-18,40.48,40.53,39.57,40.16,17309
2018-12-19,40.27,40.87,39.41,39.68,16419
2018-12-20,39.54,39.86,38.07,38.59,23450
2018-12-21,38.85,39.26,37.76,38.41,29034
2018-12-24,38.19,38.41,37.48,37.76,17355
2018-12-26,37.92,40.0,37.92,39.97,17831
2018-12-27,39.47,40.74,39.16,40.71,13508
2018-12-28,40.98,41.03,40.29,40.45,12474
2018-12-31,40.7,41.19,40.59,41.1,9088
2019-01-02,38.67,39.65,38.15,38.42,36551
2019-01-03,38.25,38.75,37.68,38.28,16968
2019-01-04,38.27,39.2,38.27,39.15,16133
2019-01-07,40.03,41.36,40.0,40.49,23992
2019-01-08,40.81,41.04,40.09,40.86,14588
2019-01-09,41.0,42.28,41.0,42.08,17336
2019-01-10,41.84,42.58,41.84,42.56,13295
2019-01-11,42.46,42.94,42.14,42.89,12500
2019-01-14,42.62,42.77,42.1,42.53,12710
2019-01-15,42.63,43.03,42.59,42.94,16745
2019-01-16,42.88,43.51,42.8,42.97,15520
2019-01-17,42.93,43.52,42.66,43.1,14539
2019-01-18,43.41,44.14,42.96,44.12,39235
2019-01-22,43.88,44.26,43.02,44.19,15368
2019-01-23,44.83,44.9,43.95,44.4,11600
2019-01-24,44.27,44.8,44.26,44.58,16582
2019-01-25,44.89,45.28,44.57,44.83,12043
2019-01-28,44.49,44.68,44.15,44.62,15828
2019-01-29,44.35,44.5,43.91,44.12,22816
2019-01-30,44.22,45.07,44.22,45.01,25633
2019-01-31,43.77,45.45,43.01,44.4,36460
2019-02-01,44.45,44.58,43.57,43.7,21878
2019-02-04,43.77,43.91,43.28,43.91,13603
2019-02-05,43.66,44.48,43.66,44.15,13385
2019-02-06,43.96,44.2,43.38,43.83,8665
2019-02-07,43.56,43.82,42.92,43.45,12950
2019-02-08,43.22,43.62,42.98,43.61,9184
2019-02-11,43.72,44.04,43.7,43.79,13858
2019-02-12,44.02,44.74,43.91,44.72,14942
2019-02-13,44.8,44.96,44.41,44.9,9298
2019-02-14,44.79,45.47,44.75,45.23,10680
2019-02-15,45.51,46.32,45.14,46.29,16561
2019-02-19,46.09,46.45,45.72,46.29,11378
2019-02-20,46.29,46.58,46.14,46.42,12331
2019-02-21,46.49,46.53,46.1,46.45,14110
2019-02-22,46.52,47.12,46.19,46.96,20864
2019-02-25,47.82,47.82,46.94,46.99,19243
2019-02-26,46.97,47.2,45.91,46.38,28036
2019-02-27,46.27,46.98,46.02,46.96,14317
2019-02-28,46.85,47.38,46.81,47.15,11071
2019-03-01,47.38,48.09,47.38,47.92,8961
2019-03-04,48.12,48.14,46.84,47.42,10829
2019-03-05,47.43,47.69,47.16,47.5,10158
2019-03-06,47.5,47.62,46.52,46.72,11286
2019-03-07,46.78,46.94,46.4,46.81,11537
2019-03-08,46.54,46.72,45.98,46.61,6668
2019-03-11,46.7,46.97,46.54,46.95,11334
2019-03-12,47.04,47.44,46.79,47.21,6987
2019-03-13,47.36,48.0,46.84,47.39,10648
2019-03-14,47.37,47.47,46.97,47.36,5539
2019-03-15,47.48,47.83,47.39,47.63,10567
2019-03-18,47.61,47.75,46.68,47.18,14910
2019-03-19,47.27,47.59,47.01,47.43,8704
2019-03-20,47.44,47.65,46.99,47.3,7821
2019-03-21,47.26,47.78,47.23,47.72,7968
2019-03-22,47.57,47.75,46.82,46.85,5207
2019-03-25,46.98,47.01,46.54,46.81,7154
2019-03-26,47.08,47.56,46.97,47.24,6757
2019-03-27,47.24,47.33,46.38,46.91,9540
2019-03-28,47.08,47.56,46.87,47.53,7899
2019-03-29,47.71,48.44,47.53,48.4,9610
2019-04-01,48.54,48.82,47.92,48.19,14727
2019-04-02,48.25,48.38,47.95,48.17,8657
