date,open,high,low,close,volume
2018-12-10,13.8,13.84,13.4,13.48,10091
2018-12-11,13.62,13.67,13.1,13.21,10284
2018-12-12,13.3,13.55,13.18,13.31,9746
2018-12-13,13.38,13.39,12.78,12.82,9199
2018-12-14,12.7,13.08,12.45,12.48,8759
2018-12-17,12.45,12.74,12.35,12.43,9971
2018-12-18,12.55,12.72,12.16,12.24,7587
2018-12-19,12.22,12.46,11.69,11.75,6531
2018-12-20,11.66,11.92,11.57,11.83,12232
2018-12-21,11.87,12.08,11.57,11.64,11957
2018-12-24,11.56,11.93,11.47,11.53,5684
2018-12-26,11.56,11.92,11.37,11.89,10286
2018-12-27,11.71,11.9,11.41,11.77,9021
2018-12-28,11.76,12.05,11.76,11.85,9949
2018-12-31,11.97,11.97,11.49,11.86,14871
2019-01-02,11.72,12.35,11.72,12.19,10170
2019-01-03,12.13,12.49,12.05,12.27,8038
2019-01-04,12.49,12.79,12.33,12.46,9027
2019-01-07,12.47,12.83,12.31,12.68,9618
2019-01-08,12.69,13.02,12.65,13.01,11114
2019-01-09,13.04,13.24,12.95,13.2,10372
2019-01-10,13.13,13.27,13.0,13.23,7654
2019-01-11,13.13,13.43,13.03,13.36,6555
2019-01-14,13.25,13.59,13.22,13.47,9792
2019-01-15,13.44,13.5,13.23,13.48,7120
2019-01-16,13.61,13.77,13.52,13.76,6929
2019-01-17,13.73,13.89,13.68,13.87,6954
2019-01-18,13.88,14.13,13.75,14.03,10207
2019-01-22,13.97,14.21,13.79,13.89,9268
2019-01-23,14.1,14.59,13.75,14.57,16344
2019-01-24,14.54,14.79,14.3,14.56,10610
2019-01-25,14.63,14.74,14.42,14.66,7767
2019-01-28,14.58,14.83,14.51,14.83,6459
2019-01-29,14.82,14.93,14.7,14.76,7661
2019-01-30,14.86,14.86,14.58,14.6,4774
2019-01-31,14.42,14.5,14.04,14.31,5843
2019-02-01,14.37,14.53,14.32,14.43,4667
2019-02-04,14.47,14.66,14.36,14.64,3293
2019-02-05,14.64,14.72,14.38,14.52,3013
2019-02-06,14.44,14.61,14.37,14.56,3803
2019-02-07,14.62,14.91,14.58,14.81,4764
2019-02-08,14.75,14.86,14.43,14.5,6471
2019-02-11,14.58,14.67,14.45,14.67,2331
2019-02-12,14.73,14.9,14.59,14.64,6211
2019-02-13,14.68,14.83,14.63,14.73,6401
2019-02-14,14.57,14.67,14.4,14.4,7747
2019-02-15,14.49,14.74,14.47,14.59,41858
2019-02-19,14.52,14.82,14.48,14.76,4562
2019-02-20,14.76,14.95,14.65,14.85,5462
2019-02-21,14.86,14.9,14.66,14.77,3185
2019-02-22,14.78,14.8,14.68,14.79,1884
2019-02-25,14.92,14.92,14.67,14.68,2659
2019-02-26,14.62,14.68,14.4,14.41,2824
2019-02-27,14.38,14.63,14.26,14.62,3973
2019-02-28,14.66,14.74,14.55,14.58,2819
2019-03-01,14.66,14.78,14.42,14.6,3866
2019-03-04,14.58,14.69,14.37,14.53,4586
2019-03-05,14.53,14.71,14.32,14.64,6083
2019-03-06,14.61,14.62,14.0,14.01,5065
2019-03-07,14.0,14.05,13.62,13.64,4556
2019-03-08,13.5,13.71,13.38,13.65,6789
2019-03-11,13.75,13.89,13.63,13.87,4862
2019-03-12,13.89,13.97,13.75,13.82,3895
2019-03-13,13.88,14.03,13.81,13.98,4102
2019-03-14,13.98,14.04,13.92,13.96,2478
2019-03-15,13.93,14.12,13.92,13.99,7652
