date,open,high,low,close,volume
2018-12-10,28.65,28.65,28.06,28.26,10335
2018-12-11,28.28,28.31,27.93,27.93,12677
2018-12-12,28.09,28.18,27.37,27.42,8901
2018-12-13,27.16,27.51,27.14,27.46,18926
2018-12-14,27.36,27.51,27.23,27.3,7677
2018-12-17,27.4,27.51,26.27,26.34,14566
2018-12-18,26.46,26.83,26.36,26.5,21291
2018-12-19,26.57,26.75,26.35,26.52,18561
2018-12-20,26.54,26.71,26.2,26.32,14015
2018-12-21,26.25,26.72,25.62,25.67,20519
2018-12-24,25.56,25.76,24.48,24.48,15055
2018-12-26,24.52,25.13,24.21,25.11,18894
2018-12-27,25.0,25.29,24.48,25.28,28804
2018-12-28,25.5,25.63,25.03,25.39,14056
2018-12-31,25.14,25.31,24.77,25.31,13528
2019-01-02,25.15,25.15,24.52,24.73,18732
2019-01-03,24.69,25.47,24.69,25.11,12743
2019-01-04,25.53,25.56,25.07,25.24,13499
2019-01-07,25.28,25.89,25.27,25.71,11913
2019-01-08,25.83,26.18,25.75,26.16,6175
2019-01-09,25.95,26.14,25.43,25.79,9288
2019-01-10,25.76,26.32,25.69,26.19,7542
2019-01-11,26.23,26.46,26.09,26.38,6786
2019-01-14,26.38,26.44,26.05,26.1,9485
2019-01-15,26.13,26.47,26.04,26.29,8829
2019-01-16,26.29,26.55,26.23,26.51,7455
2019-01-17,26.49,26.84,26.48,26.82,5005
2019-01-18,26.83,26.92,26.59,26.87,5448
2019-01-22,26.87,26.98,26.52,26.89,7843
2019-01-23,26.89,27.09,26.77,27.07,6627
2019-01-24,27.16,27.28,26.9,27.19,6102
2019-01-25,27.24,27.49,27.19,27.49,5602
2019-01-28,27.46,27.7,27.24,27.51,16848
2019-01-29,27.53,28.0,27.47,28.0,9611
2019-01-30,27.96,28.22,27.85,28.15,12446
2019-01-31,28.05,28.44,27.76,28.42,15198
2019-02-01,28.44,28.5,27.64,28.24,12008
2019-02-04,28.11,28.45,27.97,28.44,8216
2019-02-05,28.44,28.44,28.08,28.34,21578
2019-02-06,28.32,28.43,28.2,28.24,8679
2019-02-07,28.28,28.59,28.13,28.43,14618
